,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,ups,downs,avg
01-02,1.740334405628554,1.516278627510343,1.5490559554579735,1.9824934468038797,3.505653488031567,0.9355118831464466,1.780672548120895,-9.372990567040802,1.4905795264753452,5.010100085325916,3.637076249407132,6.884098420105008,11.0,1.0,1.721572005747688
01-03,-0.13811943648281547,1.516278627510343,2.9960467532215485,-0.7142869397175893,3.598398301671714,0.8646358383628218,2.616716691251652,-9.372990567040802,2.3753274296740163,5.1833284820961625,5.084088163029397,8.055160762952804,9.0,3.0,1.8387153422107712
01-04,-0.13811943648281547,2.131569067332423,4.205480286854896,0.261092626927082,2.9542465960267146,1.2189944339486953,2.616716691251652,-8.696117605340527,1.546684771137234,7.028630337695205,3.9844782787297026,6.708990586127375,10.0,2.0,1.9852205528506364
01-05,1.6282184503819148,1.7830592157354108,4.7276725768286605,1.4088094881211854,2.6432665806509776,1.2189944339486953,1.870896122456288,-11.415332920653555,2.1401026609018388,5.903260786555141,3.298839522749314,6.708990586127375,11.0,1.0,1.8263981253169372
01-06,3.4750046574792206,4.311290716090611,1.9409244487118702,1.1526658616457017,2.6432665806509776,1.1489327072251774,2.42371554657984,-9.984868999735601,0.8303111527719522,4.343535432699616,3.298839522749314,6.800788632151984,11.0,1.0,1.865367188251722
01-07,1.8584320916644956,5.0478959568706,1.7440195364010653,1.203896541191401,3.7126507243273683,0.11342950863366662,0.49761907434415725,-8.39383622149416,0.03508218751893184,3.926233452814623,1.7481621964312324,7.061278802515152,11.0,1.0,1.5462386542682112
01-08,1.6604149152415122,4.0162128854123385,2.306609598937422,2.1066035505341834,4.536527994720492,-0.8791871470444695,0.6359089735430048,-7.766773861476552,-0.011702510925021451,3.1581012490674985,5.396941554787669,6.356167727953767,9.0,3.0,1.7929854108959873
01-09,3.7761109846015564,2.947675958186207,2.771561155191107,3.791470321721994,4.055235680481566,-1.565165755872377,-0.23712138779658676,-3.476343211958273,-2.0656756500699625,5.006825283155612,4.252916106617799,5.835048558531045,8.0,4.0,2.091044836899141
01-10,3.963576690381334,0.9029336787322959,3.795011052055509,1.984926961485263,4.958858597648566,-1.5082492558408955,1.9939625980399414,-3.8533707359270175,0.058901300637433776,5.446939604224328,4.233871704271749,5.422142703420403,10.0,2.0,2.283292074927409
01-11,4.475227128939407,1.2002989371932842,3.361810939445651,2.37673487949945,5.067128924045561,-0.4695529834754143,3.420075590564963,-3.3626346797733673,3.411923655803962,6.193847435303486,3.528229624777228,6.38921800653195,10.0,2.0,2.966025621571347
01-12,0.5821987420276845,2.17631921543596,3.031989233534508,2.2155111809426664,4.092679465479798,-1.3928794216033693,4.011403902773828,-3.1883464108031627,2.295236139666895,5.371824315657124,3.1502015886752712,5.4958336276514155,10.0,2.0,2.3201642982865516
01-13,2.116686055888578,1.457724528954716,2.7754832054779013,4.833841703513918,3.127734617225358,-4.996283435467007,4.392278718303089,-2.060045156049356,1.409762389210225,4.846109311529228,2.337987813520141,3.115155983025884,10.0,2.0,1.9463696445943894
01-14,2.0032428025984776,0.1834231254195195,2.638084915015798,3.5750300604282006,1.6433441790581655,-5.583001786016087,3.982485162370413,-3.925483370534175,-0.18641038017193026,4.61818488836065,3.514942157967344,-1.4968067164477705,8.0,4.0,0.9139195865040505
01-15,2.4099573301441817,1.2472492653454408,0.604565057414392,1.7948737511268027,0.0886741631259579,-4.178974867161585,5.1572077192655374,-2.8720296397492637,-3.1178780347177253,5.621918957576516,3.5696461711286847,-2.5361936042540516,8.0,4.0,0.6490846891037406
01-16,0.9269027798698524,-0.4035238790460971,1.7653490800280396,1.7444851543391495,1.1418542980010618,-4.817124235600142,4.09879056247804,-2.61698891368945,-4.318812987278635,5.271665695296403,2.8161903922385445,-1.780545808205547,7.0,5.0,0.31902017820260165
01-17,3.0985122376928276,-0.3299125744961774,-0.4722171359592014,1.33951690327551,0.1316396903918844,-4.861725452287758,4.078032783199433,-6.014434580062099,-2.834244247001503,1.1321452694514518,3.119822980168043,-1.3354072335761438,6.0,6.0,-0.24568927993364442
01-18,1.321471559519768,-0.4035238790460971,-0.8644661274887548,-0.17962456410451363,-0.5923576836770801,-4.846854599012716,4.048156575391645,-3.327382132836656,2.027952185863522,-1.1939424734303097,-1.6936226304963604,-1.5468499668453313,3.0,9.0,-0.6042536446802403
01-19,-0.7433933370934149,1.3693663451048705,2.0391338104104966,1.029891568120324,-0.08775142436004534,-4.057842904263105,2.7459237522910263,-3.9775291185700494,3.543617388579069,-0.3912906559779248,-1.502610879304978,-2.6665198242801367,5.0,7.0,-0.22491710661198897
01-20,0.8669728966326399,4.9387036255391505,-0.5630652037216924,-0.7033377785430809,-0.551024919298173,-4.909246299369195,2.8481335165671067,-3.13138433780681,5.48470892323164,-2.9999052353706914,4.390072617887045,-6.650306923524145,5.0,7.0,-0.08163992648135047
01-21,0.5592519007707314,6.144067054619959,-1.6328772772598619,0.025124681952860464,1.9557272110159734,-8.209296646367662,2.9903812511537025,-2.9321535330063013,4.20946093131823,-3.3941008314111296,4.8352470731444495,-6.476083138147241,7.0,5.0,-0.16043761018469094
01-22,1.002102509934108,5.861581445269196,-2.167794053604443,-1.1692910083590742,0.9122545075817368,-8.106439732186102,1.7940973937903226,-3.4208457885073518,3.600233604167443,-6.915233546326564,5.612786305575105,-4.472701334091798,6.0,6.0,-0.6224374747297852
01-23,4.878688194758815,4.272595683303627,-2.5430956241896867,-1.4529689051118597,0.21607276741293832,-7.601974777731433,1.1891095827564215,-3.7276950323093896,4.928317188663786,-11.871595050673225,7.473471241219902,0.3062103803816945,7.0,5.0,-0.3277386959598675
01-24,2.8217292892711634,1.1305596830045141,0.7385132593592332,-1.462287587270498,1.6139444379137717,-3.909145135318036,0.020866039311410057,-8.1398044940568,6.190263933119771,-14.288837339126598,9.164361146515548,2.7559101106495647,8.0,4.0,-0.2803272213855798
01-25,4.036466120224551,-0.370234656135948,1.452847549198145,-2.1867823827520323,3.0987785745198253,-3.2292897071548197,0.5086131226858004,-7.756788585056222,4.981733542324515,-10.772661212456706,8.056320148558331,4.28697035616521,7.0,5.0,0.17549773917672082
01-26,4.927760397633983,-1.818180917426855,0.4649944673327431,0.8894497781271163,2.926620560848334,-1.984422805634921,1.2263009379422194,-9.136569168506439,8.433073823335324,-11.95075566795502,7.525388606876423,5.363328864428849,8.0,4.0,0.5722490730834796
01-27,4.498453114629304,-0.3681899191146662,-0.40905790392413466,0.9402768646308818,2.780174295485439,-0.40576591426436487,-0.37672731221116823,-6.407080006107116,9.487207004064011,-11.53682336696788,6.62004674026572,4.807489320175643,6.0,6.0,0.8025002430551389
01-28,-0.31880694428960893,-0.33100460029477596,1.8271017245719778,1.3468838623854937,3.796116021468391,-2.0340491460814394,0.5572189610167803,-1.974301952723957,8.180517155163221,-14.78972456011606,4.969748467967582,4.797006342912435,7.0,5.0,0.50222544433167
01-29,0.7760158124667602,-0.25744646358705603,2.2088835534213684,0.38491537382663416,2.6090621253167257,0.44404297395526077,2.4306274841023874,-4.626167237222391,8.76159153912231,-17.827103331373877,4.901958995743995,4.980436818940196,9.0,3.0,0.3989014703926929
01-30,2.8097384722285215,-2.0595787235860854,2.3154412838997325,-0.5699513715023128,2.938665418062722,-0.04428517898271963,3.7370821266400713,-3.9719644701942456,8.281228007016667,-14.544441118045373,8.46252716954624,7.204010872644072,7.0,5.0,1.2132060406439409
01-31,1.2309314894847128,-2.0595787235860854,2.18221287613295,-4.729917171551091,2.722985579724378,0.7676360488114786,3.6358075912090753,-3.9719644701942456,3.5366981199293894,-1.9433380291658726,3.518112240122932,10.670287482726726,8.0,4.0,1.2966560861370289
02-01,1.2309314894847128,-0.8357541366662401,1.5730893223754694,-6.018647622234637,0.23585036833420198,3.7939175905979368,3.6358075912090753,-5.263154095355968,2.4333837171314183,-2.9979246306055374,3.0667763147438993,10.524119815747492,8.0,4.0,0.948199643730152
02-02,2.4577174984820536,-4.387564310250788,2.9508143753641423,-7.164263507779967,1.2864461448819424,3.7939175905979368,4.6879697679419925,-2.955260788762288,3.4327673206207434,0.3941959302879123,2.268263662540089,10.524119815747492,9.0,3.0,1.4407602916392719
02-03,-0.5354772988224585,-2.72034823468206,2.6945272780230725,-6.864615964617565,1.2864461448819424,4.0064829064026455,4.684071277434723,-2.7800458316200394,2.0837919713968827,4.668049718642338,2.268263662540089,9.33135845119734,8.0,4.0,1.5102086733980762
02-04,-4.664638829870291,0.6161655503941692,-0.5224153065335175,-6.183602599771845,1.5608285975869614,4.397055682014017,4.7017850887500945,3.531828109885259,1.3160747359353435,4.668049718642338,2.313476079354178,6.64476921566817,9.0,3.0,1.5316146701712399
02-05,-6.312299727067465,2.102210657841001,-0.3024487588178626,-6.183602599771845,0.686694646571546,5.518246393134145,4.291682065420881,3.188937002686464,1.3160747359353435,5.840160898930298,1.0270101332018629,3.04315045221418,9.0,3.0,1.1846513250232122
02-06,-7.308968626015052,2.319678818807148,-0.3024487588178626,-5.465369339287399,1.588309997059403,3.8173520053176127,3.5962672510260196,4.423357197028922,0.3764352735157377,7.90744516065747,0.24179515044577712,2.7856553905126367,9.0,3.0,1.164959126687534
02-07,-7.087490168863705,3.266331039038072,2.538073083606382,-5.970552367743489,0.4505451227692645,2.3050942310307443,5.066566578553945,3.541353799014172,0.47377731936405904,5.723435142056042,0.6139218904849176,3.353300645551217,10.0,2.0,1.189529692905135
