,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,ups,downs,end_day_sum,avg
01-02,0.0,0.0,-0.20039463043212713,0.34271907806396484,-0.21931171417236506,0.6011829376220739,-0.5606498718261754,-0.2553234100341726,0.19170570373535156,-1.023452758789059,-0.22800254821777344,3.0,7.0,01-17,-0.12286611036820748
01-03,0.0,0.0,-0.20039463043212713,0.23449134826660156,-0.25586605072021484,0.5734348297119141,-0.5606498718261754,-0.3782558441162074,-0.019168853759765625,-0.9942111968994176,-0.22800254821777344,2.0,8.0,01-18,-0.1662384379993787
01-04,0.0,0.0,-0.10019874572753729,0.2795867919921875,-0.18276119232177557,0.5734348297119141,-0.49524116516113637,-0.1229324340820348,0.220458984375,-1.1501655578613246,-0.22800254821777344,3.0,7.0,01-19,-0.1096200942993164
01-05,0.0,0.0,-0.004009246826173651,0.26154804229736506,-0.18276119232177557,0.7676639556884766,-0.8316364288330078,-0.5673809051513672,0.0,-1.0429458618164062,-0.22800254821777344,2.0,8.0,01-20,-0.1661385622891511
01-06,0.0,0.0,0.13867282867431463,0.26154804229736506,-0.10965633392333984,0.6381778717041087,-0.6914710998535156,-0.12293052673339844,-0.047924041748046875,-1.0429458618164062,-0.009914398193359375,3.0,7.0,01-21,-0.08967668359929801
01-07,0.0,0.0,0.13867282867431463,0.2795877456665057,0.4569053649902344,1.183862686157223,-1.4670467376708949,-0.4255390167236328,-0.13419151306152344,-0.6725502014160156,-0.009914398193359375,4.0,6.0,01-22,-0.05911029468883167
01-08,0.0,0.0,0.13867282867431463,0.1533193588256836,0.8772573471069354,0.9896335601806676,-1.3922939300537074,-1.153676986694336,-0.4696693420410156,-0.43862152099609375,-0.009914398193359375,4.0,6.0,01-23,-0.11866300756281008
01-09,0.0,0.0,-0.032866477966308594,0.20743751525878906,0.7950124740600604,1.1838607788085938,-1.2427864074706996,-0.5390148162841797,-0.2588005065918004,-0.12671470642089844,-0.009914398193359375,3.0,7.0,01-24,-0.0021624131636184467
01-10,0.0,0.0,-0.032866477966308594,0.009020805358886719,0.804153442382816,1.2116127014160156,-1.2427864074706996,-0.7186794281005895,-0.4121589660644531,-0.12671470642089844,-0.009914398193359375,3.0,7.0,01-25,-0.04712122136896275
01-11,0.0,0.0,-0.24047470092773615,0.2164564132690412,0.7950124740600604,1.581573486328125,-0.8596706390380859,-0.501184463500973,0.6805381774902344,-0.3801422119140625,-0.009914398193359375,4.0,6.0,01-26,0.11656310341574945
