,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,ups,downs,avg
01-02,-38.33333752773437,10.344833823077964,0.0,0.0,7.317073525310204,0.0,0.0,0.0,-80.20000711530463,0.0,0.0,76.49999981373549,3.0,9.0,-2.030953123409612
01-03,-27.777778513637607,10.344833823077964,0.0,0.0,7.317073525310204,0.0,0.0,0.0,-80.20000711530463,0.0,0.0,37.499997671693514,3.0,9.0,-4.401323384071714
01-04,-27.777778513637607,10.344833823077964,0.0,0.0,2.439022085483674,0.0,0.0,0.0,-80.20000711530463,0.0,0.0,37.499997671693514,3.0,9.0,-4.807827670723923
01-05,-2.222220102945964,10.344833823077964,3.9603923000712546,45.00000111758707,-2.439022085483674,0.0,0.0,0.0,-80.20000711530463,0.0,0.0,37.499997671693514,4.0,8.0,0.9953313007246282
01-06,-2.222220102945964,10.344833823077964,3.9603923000712546,40.000002235174136,-2.439022085483674,0.0,0.0,0.0,0.0,0.0,0.0,50.0,4.0,8.0,8.30366551415781
01-07,-2.222220102945964,0.0,3.9603923000712546,40.000002235174136,-2.439022085483674,0.0,0.0,0.0,0.0,0.0,0.0,50.0,3.0,9.0,7.441596028901313
01-08,11.11111111111111,0.0,3.9603923000712546,62.5,-2.439022085483674,0.0,0.0,0.0,0.0,1.9230736510486557,0.0,21.99999955296517,5.0,7.0,8.254629544142709
01-09,-11.999999152289496,0.0,3.9603923000712546,57.14285828325213,-4.999995157122685,0.0,0.0,0.0,0.0,1.9230736510486557,0.0,20.000002980232196,4.0,8.0,5.502194408766004
01-10,20.000002119276257,0.0,3.9603923000712546,57.14285828325213,14.285709420028917,0.0,0.0,0.0,0.0,1.9230736510486557,0.0,20.000002980232196,6.0,6.0,9.776003229492451
01-11,20.000002119276257,0.0,3.9603923000712546,53.84615318485969,-14.428573241039244,0.0,0.0,0.0,0.0,1.9230736510486557,0.0,20.000002980232196,5.0,7.0,7.108420916204067
01-12,20.000002119276257,0.0,-2.1052674507501288,33.33333747254459,-17.142858115994215,0.0,0.0,0.0,0.0,1.9230736510486557,0.0,20.000002980232196,4.0,8.0,4.667357554696446
01-13,20.000002119276257,0.0,-2.1052674507501288,33.33333747254459,-17.142858115994215,0.0,0.0,0.0,0.0,1.9230736510486557,0.0,20.000002980232196,4.0,8.0,4.667357554696446
01-14,20.000002119276257,0.0,-2.1052674507501288,33.33333747254459,-10.512130830752206,0.0,0.0,0.0,0.0,1.9230736510486557,0.0,20.000002980232196,4.0,8.0,5.219918161799947
01-15,0.0,0.0,-6.315789803903877,50.0,-28.125001746229866,0.0,0.0,0.0,0.0,1.9230736510486557,0.0,20.000002980232196,3.0,9.0,3.123523756762259
01-16,0.0,0.0,-6.315789803903877,47.826089069162705,-24.242418221753294,0.0,0.0,0.0,0.0,1.9230736510486557,0.0,0.0,2.0,10.0,1.5992462245461827
01-17,0.0,0.0,-0.9999990463256836,55.55555831502975,-24.242418221753294,0.0,0.0,0.0,0.0,1.9230736510486557,0.0,0.0,2.0,10.0,2.686351224833286
01-18,0.0,0.0,-0.9999990463256836,19.999998807907104,-24.242418221753294,0.0,0.0,0.0,0.0,1.9230736510486557,0.0,0.0,2.0,10.0,-0.2766120674269348
01-19,0.0,0.0,-0.9999990463256836,-27.99999713897705,-21.21211820178574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,-4.184342865590707
01-20,0.0,-15.079369734804743,-0.9999990463256836,-12.000000476837158,-47.05881772878705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,-6.261515582229553
01-21,0.0,-15.079369734804743,-0.9999990463256836,-12.000000476837158,-47.05881772878705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,-6.261515582229553
01-22,0.0,-15.079369734804743,-0.9999990463256836,-12.000000476837158,-47.05881772878705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,-6.261515582229553
01-23,0.0,-15.079369734804743,-0.9999990463256836,-33.33333806386084,-28.676461403912825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,-6.507430687408674
01-24,0.0,-15.079369734804743,-0.9999990463256836,-23.809523133734164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,-3.3240743262387156
01-25,0.0,-15.079369734804743,5.000001192092918,30.769225478877498,-5.999999489103036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,10.0,1.2241547872552199
01-26,0.0,-15.079369734804743,5.000001192092918,7.692306369719361,8.571429057997108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,9.0,0.5153639070837203
01-27,0.0,-15.079369734804743,5.000001192092918,11.53845668897101,8.571429057997108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,9.0,0.8358764336880243
01-28,0.0,-15.079369734804743,0.0,-3.8461617816837887,8.571429057997108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.0,-0.8628418715409522
01-29,0.0,-15.079369734804743,0.0,0.0,5.714280362031807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.0,-0.7804241143977446
01-30,0.0,-15.079369734804743,0.0,-8.000004291534445,5.714280362031807,-55.00000093132259,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.0,-6.030424549635831
01-31,0.0,-15.079369734804743,13.043476458082539,10.714286094417377,22.285708738832962,-55.00000093132259,0.0,0.0,0.0,0.0,0.0,0.0,3.0,9.0,-2.0029916145662043
02-01,0.0,-15.079369734804743,13.043476458082539,-8.695650202114786,22.285708738832962,-55.00000093132259,0.0,0.0,0.0,0.0,0.0,0.0,2.0,10.0,-3.6204863059438845
02-02,0.0,0.0,13.043476458082539,7.4074110867063405,22.285708738832962,-55.00000093132259,0.0,0.0,0.0,0.0,0.0,0.0,3.0,9.0,-1.0219503873083953
02-03,-0.44642814378045226,0.0,13.043476458082539,22.22222774117061,22.285708738832962,-55.00000093132259,0.0,0.0,0.0,0.0,0.0,0.0,3.0,9.0,0.17541532191525633
02-04,-0.44642814378045226,0.0,13.043476458082539,22.22222774117061,22.285708738832962,-55.00000093132259,0.0,0.0,0.0,0.0,0.0,0.0,3.0,9.0,0.17541532191525633
02-05,-0.44642814378045226,0.0,13.043476458082539,22.22222774117061,-4.615394138020521,-55.00000093132259,0.0,0.0,0.0,0.0,0.0,0.0,2.0,10.0,-2.0663432511558675
02-06,-0.44642814378045226,0.0,13.043476458082539,25.000002660921634,-34.615387260561256,-55.00000093132259,0.0,0.0,0.0,0.0,0.0,0.0,2.0,10.0,-4.334861434721677
02-07,-0.44642814378045226,-8.620691958562418,13.043476458082539,3.7037110623015512,-34.615387260561256,-55.00000093132259,0.0,0.0,0.0,0.0,0.0,0.0,2.0,10.0,-6.82794339782022
02-08,0.0,-8.620691958562418,13.043476458082539,7.1428609441737585,-34.615387260561256,-55.00000093132259,0.0,0.0,0.0,0.0,0.0,0.0,2.0,10.0,-6.504145229015831
02-09,0.0,-8.620691958562418,13.043476458082539,3.5714251502435985,-34.615387260561256,-55.00000093132259,0.0,0.0,0.0,0.0,0.0,0.0,2.0,10.0,-6.801764878510011
02-10,0.0,-8.620691958562418,13.043476458082539,10.714286094417377,-34.615387260561256,-55.00000093132259,0.0,0.0,0.0,0.0,0.0,0.0,2.0,10.0,-6.2065264664955295
02-11,0.0,-8.620691958562418,0.0,0.0,-39.44223585345426,-55.00000093132259,0.0,0.0,0.0,0.0,-1.9607809121245139,0.0,0.0,12.0,-8.751975804621981
02-12,0.0,-8.620691958562418,0.0,-21.73912874466981,-133.33332008785723,0.0,0.0,0.0,0.0,0.0,-1.9607809121245139,0.0,0.0,12.0,-13.804493475267831
02-13,0.4444440205891927,-8.620691958562418,0.0,-33.33333806386084,-133.33332008785723,0.0,0.0,0.0,0.0,0.0,-1.9607809121245139,0.0,1.0,11.0,-14.73364058348465
02-14,0.4444440205891927,-5.882347048478309,-0.8771921569070334,7.999998331069924,-74.99999441206462,0.0,0.0,0.0,0.0,0.0,-1.9607809121245139,0.0,2.0,10.0,-6.272989348159615
02-15,0.4444440205891927,2.3255792462719667,-0.8771921569070334,-8.000004291534445,-29.999993294477562,0.0,0.0,0.0,0.0,0.0,-1.9607809121245139,0.0,2.0,10.0,-3.1723289490151996
02-16,0.4444440205891927,2.3255792462719667,-5.504581737815493,-12.000000476837158,-29.999993294477562,0.0,0.0,0.0,0.0,0.0,-1.9607809121245139,0.0,2.0,10.0,-3.8912777628661304
02-17,0.4444440205891927,2.3255792462719667,-5.504581737815493,-8.000004291534445,-29.999993294477562,0.0,0.0,0.0,0.0,0.0,-1.9607809121245139,0.0,2.0,10.0,-3.5579447474242376
02-18,0.4444440205891927,10.077519308209034,-5.504581737815493,-12.000000476837158,-29.999993294477562,0.0,0.0,0.0,0.0,0.0,-1.9607809121245139,0.0,2.0,10.0,-3.245282757704708
02-19,0.0,10.077519308209034,-5.504581737815493,-12.000000476837158,-29.999993294477562,0.0,0.0,0.0,0.0,0.0,-1.9607809121245139,0.0,1.0,11.0,-3.2823197594204743
02-20,0.0,10.077519308209034,0.0,-39.9999985098839,-29.999993294477562,0.0,0.0,0.0,0.0,0.0,-1.9607809121245139,0.0,1.0,11.0,-5.156937784023079
02-21,0.0,10.077519308209034,0.0,-55.5555500366072,-29.999993294477562,0.0,0.0,0.0,0.0,0.0,-1.9607809121245139,0.0,1.0,11.0,-6.453233744583354
02-22,0.0,10.077519308209034,0.0,-27.272728504228205,-25.49999169260276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.0,-3.5579334073851605
02-23,0.0,10.077519308209034,0.0,-15.000000372529051,24.99999813735488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,10.0,1.6731264227529052
02-24,0.0,10.077519308209034,-8.49056964499474,-4.999995157122685,24.99999813735488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,10.0,1.7989127202872073
02-25,2.1739110153428576,7.751930820906596,-7.5471742673464375,-24.99999813735488,24.99999813735488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,9.0,0.1982222974085849
02-26,2.1739110153428576,0.0,-7.5471742673464375,-24.99999813735488,0.0,66.66666666666666,0.0,0.0,0.0,0.0,0.0,0.0,2.0,10.0,3.024450439775683
02-27,2.1739110153428576,0.0,0.0,-31.578949019519264,-33.33333002196431,66.66666666666666,0.0,0.0,0.0,0.0,0.0,0.0,2.0,10.0,0.3273582200438285
02-28,2.1739110153428576,-14.159289141289047,0.0,-31.578949019519264,-33.33333002196431,66.66666666666666,0.0,0.0,0.0,0.0,0.0,0.0,2.0,10.0,-0.8525825417302588
02-29,0.0,0.0,0.0,-31.578949019519264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,-2.6315790849599385
03-01,-12.5,-4.032254188043406,4.385960784535187,-31.578949019519264,-33.33333002196431,66.66666666666666,0.0,0.0,0.0,0.0,0.0,0.0,2.0,10.0,-0.865992148193761
