,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,ups,downs,end_day_sum,avg
01-02,0.0,1.8199996948242188,0.24000167846679332,1.1700019836425781,8.259994506835938,-3.2400054931640625,-16.10999870300292,-2.029998779296882,-0.5599994659423828,1.0400009155273438,0.8100013732910085,-0.31999969482422586,6.0,5.0,01-17,-0.7433334986368827
01-03,0.0,1.8199996948242188,0.3500003814697301,1.2000007629394531,8.97000122070314,-4.5900115966796875,-14.39999961853027,-2.029998779296882,-0.12999916076660156,0.010000228881835938,1.7699985504150426,-0.25,6.0,5.0,01-18,-0.6066673596700017
01-04,0.0,1.6900005340576172,0.020000457763671875,2.049999237060547,7.639999389648452,-2.600006103515625,-14.39999961853027,-0.9200000762939382,-1.4500007629394602,1.060001373291012,1.1099987030029297,-0.31999969482422586,6.0,5.0,01-19,-0.5100005467732741
01-05,0.0,0.17999839782714844,0.0999984741210902,0.1699981689453125,7.000000000000014,-2.600006103515625,-14.089998245239258,-1.6900005340576207,-0.9599990844726527,0.9600009918212891,0.4099998474121058,-0.31999969482422586,6.0,5.0,01-20,-0.9033339818318685
01-06,0.0,-0.38999938964843395,-0.10000038146972656,0.009998321533203125,7.000000000000014,-4.3699951171875,-2.8199996948242188,-3.6999988555908168,-0.9699993133544886,0.8700008392333984,0.4099998474121058,-0.09000015258789418,4.0,7.0,01-21,-0.34583282470702975
01-07,0.0,0.04999923706054332,0.0699996948242223,0.11999893188477273,7.409996032714844,-5.25,-9.079999923706051,-3.2899990081787145,-0.5100002288818324,1.2299995422363281,0.7200012207031214,-0.18000030517578125,6.0,5.0,01-22,-0.7258337338765456
01-08,0.0,-0.030000686645507812,0.12000083923339844,-0.06999969482420454,1.730003356933608,-12.25,-6.700000762939453,-2.930000305175785,-1.2000007629394531,1.9799995422363281,0.3899993896484375,0.14999961853026988,5.0,6.0,01-23,-1.5674999554951967
01-09,0.0,-0.11000061035156605,-0.11999893188476207,0.25999832153321023,2.5699996948241903,-16.1199951171875,-4.190000534057617,-3.719999313354492,-0.8600006103515625,2.729999542236328,-0.3400001525878906,-0.20000076293944957,3.0,8.0,01-24,-1.6749998728434259
01-10,0.0,-0.75,-0.2199993133544922,2.3100013732910227,-0.37000274658201704,-14.569992065429688,-2.2300014495849503,-2.8899993896484446,-0.8700008392333984,2.5900001525878906,-0.9099998474121129,-0.18000030517578125,2.0,9.0,01-25,-1.5074995358784975
01-11,0.0,-1.5699996948242259,-0.18000030517578125,4.019996643066413,-1.4300003051757528,-10.449996948242188,-3.0799999237060476,-1.2000007629394496,-1.4400005340576172,2.520000457763672,-0.7399997711181676,-0.149999618530277,2.0,9.0,01-26,-1.1416667302449517
01-12,0.0,-1.8400001525878906,-0.4400005340576101,2.849998474121101,-1.7200012207031108,-17.459991455078125,-5.649999618530263,-1.5900001525878906,0.4599990844726598,1.4399986267089844,-1.290000915527333,0.0400009155273402,4.0,7.0,01-27,-2.0999997456868447
01-13,0.0,-1.6200008392333984,-0.4099998474121129,2.819999694824226,-2.3300018310546875,-21.38000488281253,5.659999847412109,0.9300003051757919,0.029998779296878553,2.9200000762939418,-1.1100006103515554,0.010000228881832385,6.0,5.0,01-28,-1.206667423248292
01-14,0.0,-1.7400016784667969,-0.35000038146972656,2.6800003051757884,-3.3300018310546875,-20.800003051757784,3.850000381469723,0.020000457763668322,0.4699993133544993,2.8000011444091726,-0.7300014495849503,0.0699996948242152,6.0,5.0,01-29,-1.4216672579447398
01-15,0.0,-1.0,-0.5699996948242152,3.5300025939941335,-7.9799957275390625,-25.009994506835938,2.7099990844726527,0.6000003814697301,1.8500003814697301,2.950000762939453,0.5799999237060618,-0.3000011444091726,6.0,5.0,01-30,-1.8866656621297189
01-16,0.0,-1.7200012207031286,-0.4799995422363246,3.460002899169929,-6.8700027465820455,-26.8800048828125,-6.579999923706058,0.7899990081787074,1.9799995422363352,2.88000106811522,-0.7599983215332067,-1.2800006866455043,4.0,7.0,01-31,-2.955000400543215
01-17,0.0,-0.5300006866455114,-0.5499992370605433,2.720001220703125,-8.629997253417969,-21.1199951171875,-0.18000030517578836,1.4899997711181605,1.8600006103515554,1.6199989318847656,-0.4099998474121129,-1.2800006866455043,4.0,7.0,02-01,-2.0841660499572767
01-18,0.0,0.10000038146971946,-0.2399997711181605,2.990001678466797,-6.970001220703139,-18.460006713867188,-0.7000007629394531,1.869998931884762,1.9699993133544886,-0.9799995422363281,-0.5199985504150426,-1.2700004577636683,4.0,7.0,02-02,-1.8508338928222676
01-19,0.0,-0.05000114440917969,0.39999961853027344,3.4699974060058594,-7.650001525878892,-13.770004272460966,-0.9799995422363317,2.2899990081787074,2.7399997711181605,-1.7299995422363281,0.13000106811523082,-2.2000007629394567,5.0,6.0,02-03,-1.4458341598510769
01-20,0.0,-0.12999916076660156,0.6700000762939382,3.1399993896484446,-6.0699996948242045,-17.470001220703125,-1.0699996948242259,2.629999160766605,2.39999961853027,-2.3199996948242188,0.4500007629394531,-0.8099994659423828,5.0,6.0,02-04,-1.548333326975504
01-21,0.0,0.3400001525878906,0.7700004577636683,1.7199974060058594,-4.5699996948242045,-18.420013427734403,-2.9599990844726562,1.430000305175792,2.329999923706051,-2.1700000762939453,0.1400012969970703,-0.010000228881835938,6.0,5.0,02-05,-1.7833344141642262
01-22,0.0,1.1599998474121165,0.7900009155273402,1.8400001525878764,-6.100006103515611,-20.1199951171875,-3.110000610351559,-0.2599983215332031,2.489999771118164,-3.1599998474121094,0.5500011444091832,-0.3600006103515625,5.0,6.0,02-06,-2.189999898274739
01-23,0.0,1.0900001525878906,1.0699996948242188,1.039997100830071,-5.229995727539077,-7.95001220703125,-0.5400009155273438,1.5100002288818395,2.9599990844726562,-4.550001144409183,0.8199996948242152,-0.05000114440917969,6.0,5.0,02-07,-0.8191679318745951
01-24,0.0,0.2899990081787074,0.7000007629394496,0.01000213623046875,-4.849998474121094,-4.029998779296847,-1.3999996185302734,2.3199996948242223,3.020000457763672,-5.049999237060547,0.5400009155273473,-0.020000457763671875,6.0,5.0,02-08,-0.7058327992757137
01-25,0.0,0.5399990081787109,1.1700000762939418,-0.48999786376953836,-3.8499984741210938,-1.550003051757841,0.3099994659423828,0.19999885559082742,2.1800003051757777,-4.940000534057614,0.1600017547607422,0.2699985504150426,7.0,4.0,02-09,-0.5000001589457218
01-26,0.0,0.9400005340576172,0.970001220703125,-1.5900001525878835,-0.3000030517578125,-9.439994812011733,1.5300006866455078,-0.8299999237060547,0.529998779296875,-5.090000152587894,-0.15999984741211293,0.2699985504150426,5.0,6.0,02-10,-1.0974998474121103
01-27,0.0,1.5500011444091797,0.9500007629394425,-1.520000457763679,-0.9599990844726562,-11.349998474121122,0.4799995422363317,-1.8299999237060547,0.3999996185302699,-5.020000457763661,0.5100002288818324,0.3299999237060547,6.0,5.0,02-11,-1.3716664314270053
01-28,0.0,1.220001220703125,1.0200004577636612,-0.779998779296875,-1.9899978637695312,-11.709999084472656,0.8099994659423899,-2.630001068115231,0.5199985504150497,-6.5,0.05999946594237926,0.6599998474121058,6.0,5.0,02-12,-1.6099998156229651
01-29,0.0,0.5900001525878942,0.7100009918212784,-0.15000152587890625,-2.0699996948242188,-12.019996643066406,0.9600009918212855,-3.0100002288818324,0.6000003814697372,-6.460000991821278,1.5499992370605504,1.44000053405761,6.0,5.0,02-13,-1.4883330663045238
01-30,0.0,0.7400016784667933,0.6700000762939453,-2.8199996948242188,-2.4300003051757812,-13.590003967285128,1.239999771118164,-3.4300003051757777,1.0499992370605575,-5.420000076293945,0.7699985504150426,2.390001296997074,6.0,5.0,02-14,-1.7358336448669396
01-31,0.0,0.7400016784667933,0.9200000762939453,-2.25,3.1399993896484517,-9.890007019042969,1.3299999237060582,-3.4300003051757777,1.2700004577636719,-2.6800003051757812,0.9499988555908203,1.0,7.0,4.0,02-15,-0.741667270660399
02-01,0.0,2.120000839233395,0.6800003051757848,-0.829998016357429,1.6399993896484517,-8.93999481201169,1.3299999237060582,-3.119998931884769,2.420000076293949,-2.0100002288818324,1.2599983215332031,0.20000076293945312,7.0,4.0,02-16,-0.4374993642171188
02-02,0.0,1.2299995422363281,0.4399986267089915,-0.40000152587889914,3.170005798339858,-8.93999481201169,2.0399990081787145,-0.3699989318847656,2.0500011444091797,-1.0200004577636683,0.8499984741210902,0.20000076293945312,7.0,4.0,02-17,-0.06249936421711736
02-03,0.0,3.5299987792968714,0.30000114440918324,0.40000152587890625,3.170005798339858,-5.049995422363267,0.5699996948242188,1.439998626708988,1.5800018310546875,-0.07999992370604758,0.8499984741210902,0.220001220703125,9.0,2.0,02-18,0.5775009791056345
02-04,0.0,3.950000762939453,0.6700000762939524,0.5699996948242188,-0.399993896484375,-8.120002746582017,2.6499996185302734,3.2899990081787074,1.8100013732910156,-0.07999992370604758,0.7899990081787074,0.8200016021728516,8.0,3.0,02-19,0.49583371480306165
02-05,0.0,3.7000007629394496,0.3500003814697301,0.5699996948242188,-0.23999786376953125,-18.399993896484375,1.7000007629394531,5.409999847412102,1.8100013732910156,0.9300003051757848,1.720001220703118,0.3600006103515625,9.0,2.0,02-20,-0.1741655667622893
02-06,0.0,3.9300003051757812,0.3500003814697301,1.759998321533196,-0.6999969482421875,-11.959999084472685,0.4799995422363281,5.179998397827145,-6.25,1.0599994659423828,2.039999008178711,0.2800006866455078,8.0,3.0,02-21,-0.31916666030884083
02-07,0.0,4.30000114440918,0.8199996948242188,6.349998474121094,-2.0800018310546875,-10.049995422363295,1.7700004577636683,5.129999160766602,-5.819999694824219,1.110000610351566,0.2999992370605469,0.21999931335449574,8.0,3.0,02-22,0.1708334287007641
02-08,0.0,4.229999542236332,0.7199993133544922,7.619998931884766,-1.0500030517578125,-8.129997253417983,1.4200000762939453,5.50999832153321,-4.969999313354492,2.9099998474121236,0.75,0.1100006103515625,8.0,3.0,02-23,0.7599997520446786
02-09,0.0,3.0799999237060582,0.4200000762939524,9.310001373291016,-0.5699996948242188,-14.540000915527344,0.8100013732910085,6.350000381469727,-4.760000228881832,2.870000839233402,0.09000015258789062,0.15999984741210938,8.0,3.0,02-24,0.26833359400431406
02-10,0.0,2.2199993133544957,0.4099998474121129,11.979999542236328,-4.80999755859375,-8.129997253417983,1.6700000762939453,5.7399997711181605,-5.209999084472653,2.2800006866455114,-0.15999984741210938,-0.1399993896484375,6.0,5.0,02-25,0.4875005086263018
02-11,0.0,1.1299991607666051,0.15999984741211293,11.239997863769531,-6.980003356933594,-4.700004577636719,1.9699993133544922,6.450000762939457,-5.7399997711181605,3.1399993896484375,0.30999946594238637,-0.6599998474121058,7.0,4.0,02-26,0.5266656875610369
02-12,0.0,1.5499992370605504,-0.04000091552734375,12.75,-6.480003356933594,-4.089996337890611,0.4600009918212784,4.780000686645508,-7.810001373291016,1.3500003814697266,0.6000003814697266,-1.2399997711181676,6.0,5.0,02-27,0.1524999936421715
02-13,0.0,-0.5799999237060511,-0.05000114440917969,13.369998931884766,-15.560005187988295,-23.739997863769517,0.3700008392333878,3.34000205993652,-7.520000457763672,1.1399993896484375,-0.3699989318847621,-1.7900009155273438,4.0,7.0,02-28,-2.6158336003621425
02-14,0.0,-0.9099998474121129,0.11999893188475852,11.829998016357436,-8.600006103515625,-19.120002746582045,-0.7099990844726669,6.379999160766598,-7.120000839233398,0.3000011444091655,0.09000015258789062,-1.8700008392333984,5.0,6.0,02-29,-1.6341676712036166
02-15,0.0,-0.7599983215332031,0.3000011444091655,10.870002746582031,-8.890007019042969,-14.0,-1.1999988555908203,5.100000381469723,-6.760000228881832,-0.5499992370605433,-0.5300006866454972,-1.9099998474121094,3.0,8.0,03-01,-1.5274999936421711
02-16,0.0,-0.6299991607666016,0.019998550415039062,9.750003814697273,-8.200004577636719,-15.059997558593764,-3.2600002288818324,-2.549999237060547,2.4300003051757812,-0.13999938964843395,-0.75,-3.1700000762939418,3.0,8.0,03-02,-1.7966664632161455
02-17,0.0,-0.75,-0.5100002288818359,5.3000030517578125,-5.5,-16.620002746582045,-2.930000305175785,-12.80999946594238,2.0,-0.18000030517578125,-0.3400001525878906,-3.8499994277954084,2.0,9.0,03-03,-3.0158332983652762
02-18,0.0,-0.820001602172848,-0.35000038146972656,4.280002593994141,-5.129997253417969,-14.050003051757798,-3.9400005340576207,-11.180000305175781,1.4200000762939453,0.22999954223632812,-0.2800006866455078,-3.5300006866455114,3.0,8.0,03-04,-2.779166857401529
02-19,0.0,-0.75,-0.12000083923339488,3.4399986267089844,-4.80999755859375,-10.22000122070311,-5.069999694824222,-11.55999946594239,1.6200008392333949,0.9499988555908168,0.05999946594237926,-3.72999954223633,4.0,7.0,03-05,-2.515833377838135
02-20,0.0,0.03999900817871094,-0.20000076293944957,3.259998321533203,-1.2099990844726562,-3.0400009155273438,-4.4600009918212855,-11.600000381469727,2.0699996948242223,1.5799999237060476,0.9599990844726598,-4.059999465942383,5.0,6.0,03-06,-1.3883337974548333
02-21,0.0,1.0,-0.11000061035155895,3.6899986267089844,0.970001220703125,-9.450004577636705,-4.819999694824222,-12.329999923706051,2.0200004577636754,1.629999160766598,0.7399997711181605,-3.760000228881836,6.0,5.0,03-07,-1.7016671498616525
02-22,0.0,0.8799991607666016,-0.36000061035155895,1.4000015258788991,3.1400070190429688,-8.930000305175781,-4.799999237060547,-11.549999237060547,2.0,0.7700004577636719,0.27000045776366477,-3.270000457763672,6.0,5.0,03-08,-1.7041659355163583
02-23,0.0,1.0599994659423793,-0.21999931335449574,-0.40000152587890625,4.350006103515625,-5.519996643066392,-5.019998550415043,-9.48999977111816,4.260000228881832,2.559999465942383,0.10000038146972301,-4.399999618530273,5.0,6.0,03-09,-1.059999148050944
02-24,0.0,0.610000610351559,0.07000160217284801,-1.0200004577636719,5.0800018310546875,-5.05999755859375,-6.479999542236328,-11.320001602172855,3.9699993133544886,2.270000457763672,0.5100002288818359,-8.420000076293945,6.0,5.0,03-10,-1.649166266123455
02-25,0.0,1.3000011444091832,-0.0999984741210902,-1.1899986267089986,6.340003967285156,-5.8400039672851705,-5.09000015258788,-13.359998703002933,2.340000152587887,2.3600006103515625,0.5600013732910156,-10.130001068115233,5.0,6.0,03-11,-1.9008328119913749
02-26,0.0,1.1499996185302734,-0.06999969482420809,-3.559997558593757,6.950004577636719,11.550003051757798,-4.620000839233398,-12.079999923706058,2.630001068115238,2.910001754760742,1.2999992370605469,-9.309999465942381,6.0,5.0,03-12,-0.26249901453654045
02-27,0.0,1.0200004577636719,-0.19000053405760653,-1.520000457763686,4.5,12.32999420166017,-2.5599994659423864,-4.430000305175788,2.5,3.2899990081787216,1.1300010681152344,-9.049999713897709,6.0,5.0,03-13,0.5849995215733852
02-28,0.0,0.4099998474121094,-0.19000053405760653,-0.94000244140625,-0.5100021362304688,13.889999389648452,-2.889999389648434,-3.639999389648441,3.8299999237060476,2.6999988555908203,1.1100006103515625,-8.370000362396242,5.0,6.0,03-14,0.4499995311101291
02-29,0.0,0.0,0.0,-0.8700027465820312,0.0,0.0,0.0,-2.1900005340576207,0.0,0.0,0.0,-8.689999103546139,0.0,3.0,03-15,-0.9791668653488159
03-01,0.0,-0.7299995422363281,-0.03999900817871094,0.17000198364257812,-0.8800048828125,11.319999694824205,-2.4499988555908168,5.479999542236332,2.8400001525878906,1.9799995422363246,1.0500011444091797,-8.259999275207516,6.0,5.0,03-16,0.8733333746592198
03-02,0.0,-0.6000003814697266,-0.15999984741211293,0.3500022888183594,-1.2000045776367188,11.100006103515597,-2.6599998474121023,0.3299999237060547,2.8299999237060476,1.260000228881836,0.7100009918212926,-7.049999237060543,6.0,5.0,03-17,0.40916713078816525
03-03,0.0,-0.6899986267089915,-0.20000076293945312,-0.07999801635742188,-0.48000335693359375,11.650001525878892,-3.829999923706051,2.4499988555908168,2.38000106811522,0.6299991607666051,0.75,-7.220000267028807,5.0,6.0,03-18,0.44666663805643464
03-04,0.0,-1.460000991821289,-0.29000091552734375,-0.31999969482421164,-2.7800064086914062,11.169998168945312,-3.609999656677246,1.6699981689453125,2.430000305175767,0.18999862670899148,0.8299999237060618,-6.11999988555908,5.0,6.0,03-19,0.14249897003173903
03-05,0.0,-1.3400001525878906,-0.04000091552734375,-1.1800003051757812,-7.8899993896484375,11.450004577636705,-4.909999847412113,0.3199996948242152,2.770000457763672,0.5100002288818395,1.3000011444091797,-6.510000228881836,5.0,6.0,03-20,-0.45999956130981595
03-06,0.0,-1.5200004577636683,0.25,0.299999237060554,-9.930000305175781,9.869995117187472,-4.690000534057617,1.2600002288818324,2.6000003814697195,-0.20999908447265625,1.4899997711181676,-2.489999771118164,6.0,5.0,03-21,-0.2558337847391785
03-07,0.0,-1.9799995422363281,0.38999938964844105,0.6199989318847656,-11.139999389648438,9.40999603271483,-3.1599998474121094,1.7399997711181605,2.170000076293938,-0.35000038146972656,0.7600002288818359,-0.2199993133544904,6.0,5.0,03-22,-0.14666700363159343
03-08,0.0,-2.3899993896484375,0.36000061035155895,3.010002136230476,-12.400001525878906,6.459999084472642,-4.530000686645508,3.1800003051757884,0.4600009918212926,-2.3400001525878906,0.7099990844726562,0.8000001907348668,7.0,4.0,03-23,-0.5566666126251217
03-09,0.0,-1.629999160766598,0.029998779296875,0.9700050354004048,-11.080001831054688,6.8000030517578125,-3.6800003051757812,1.4699993133544993,0.6499996185302699,-2.8900012969970703,0.44000053405761363,-0.029999732971187854,6.0,5.0,03-24,-0.7458329995473209
03-10,0.0,-2.5600013732910156,0.10000038146973012,0.8000030517578267,-11.700004577636719,4.900001525878906,-3.660000801086426,0.679998397827152,0.7800006866455078,-3.25,0.6900005340576136,-0.990000247955324,6.0,5.0,03-25,-1.184166868527729
03-11,0.0,-2.450000762939453,0.10000038146973012,0.09000015258789062,-12.520004272460938,2.8600006103515767,-3.2699995040893555,-0.7700004577636683,-0.7000007629394496,-3.4599990844726562,-1.189998626708988,-0.40999984741211204,3.0,8.0,03-26,-1.8100001811981186
03-12,0.0,-1.3100013732910156,0.09000015258789062,-0.04000091552734375,-15.989997863769517,2.7000045776367188,-3.75,-0.8400001525878906,1.0999984741210973,-4.559999465942383,-1.0100002288818324,-0.919999599456788,3.0,8.0,03-27,-2.044166366259255
03-13,0.0,-0.9400005340576172,0.020000457763671875,0.15999984741210938,-11.830001831054688,2.409996032714858,-3.5399990081787145,-1.7699985504150426,3.629999160766605,-3.840000152587894,-1.6700000762939418,-2.1299996376037598,4.0,7.0,03-28,-1.6250003576278678
03-14,0.0,-1.989999771118164,0.19999885559081676,-0.7299995422363281,-12.550003051757812,1.8600006103515625,-2.1199989318847656,-0.8299999237060547,4.529998779296875,-4.229999542236325,-2.6199989318847585,-1.679999828338623,3.0,8.0,03-29,-1.6800001064936314
03-15,0.0,-1.5200004577636719,0.43000030517578836,-1.379997253417983,-10.25,-0.04000091552734375,-2.3599996566772443,1.3000011444091797,6.7800006866455185,-3.789999008178711,-2.6999988555908203,-0.760000228881835,3.0,8.0,03-30,-1.19083285331726
03-16,0.0,-2.280000686645508,0.6900005340576172,-0.5199966430664134,-6.700004577636719,5.199996948242202,-3.0199995040893555,0.8100013732910156,6.859998703002926,-4.110000610351559,-3.0,-1.010000228881835,4.0,7.0,03-31,-0.5900003910064691
