,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,ups,downs,end_day_sum,avg
01-02,-3.4000015258789027,-1.75,0.18000030517578125,-1.8900032043457102,2.3199996948242188,3.0999984741210938,-1.919998168945284,1.7000045776367188,-1.8400039672851562,6.020000457763679,3.6100006103515625,-0.5500030517578054,6.0,6.0,01-17,0.4649995168050163
01-03,-2.8300018310546875,-1.75,0.20999908447265625,-2.4300003051757812,2.0800018310546804,1.9599990844726562,1.5899963378906392,1.7000045776367188,-1.6699981689453125,5.709999084472649,4.379997253417969,-0.23000335693359375,7.0,5.0,01-18,0.7266661326090494
01-04,-2.8300018310546875,-1.470001220703118,0.9399986267089844,-3.5,1.229999542236321,2.4399986267089844,1.5899963378906392,2.4199981689453125,-3.4599990844726562,4.299999237060547,2.3199996948242188,-1.3500022888183594,7.0,5.0,01-19,0.2191654841105155
01-05,-2.7100009918212926,-3.540000915527351,0.4799995422363281,-2.2900009155273438,1.0600013732910156,2.4399986267089844,1.3399963378906392,-0.15000152587890625,-5.069999694824219,5.279998779296875,1.6999969482421875,-1.3500022888183594,6.0,6.0,01-20,-0.23416789372762015
01-06,-1.5499992370605504,-1.1899986267089773,0.0,-1.25,1.0600013732910156,2.5900001525878906,3.8499984741210938,-1.4599990844726562,-2.5099945068359375,-2.0900001525878906,1.6999969482421875,-0.9000015258789062,4.0,8.0,01-21,-0.14583301544189423
01-07,-2.6999988555908203,-3.529998779296882,0.01999664306640625,-0.6000022888183594,1.4000015258789062,2.790000915527351,2.549995422363267,-3.5699996948242188,-1.9799957275390625,-3.3899993896484375,2.720001220703125,-0.8199996948242188,5.0,7.0,01-22,-0.592499891916912
01-08,-2.120000839233395,-2.979999542236328,0.1399993896484304,-1.0800018310546875,1.6299972534179759,2.8899993896484375,0.5800018310546875,-4.709999084472656,-2.75,-2.8400001525878906,-0.9300003051757812,-0.8299980163574148,4.0,8.0,01-23,-1.0833334922790518
01-09,-0.8400001525878871,-3.009998321533203,-0.00999832153321023,-1.1599998474121094,5.680000305175781,2.2999992370605398,0.48000335693359375,-5.25,-1.7999954223632812,-1.5,-0.9000015258789062,-0.3100013732910156,3.0,9.0,01-24,-0.5266660054524749
01-10,-0.350000381469723,-4.849998474121094,-0.3999977111816406,-2.6099967956542898,4.58000183105468,2.420001983642578,0.3099975585937358,-6.290000915527344,-2.0099945068359375,0.329998016357429,0.25,0.990001678466804,6.0,6.0,01-25,-0.6358323097229001
01-11,-0.9500007629394531,-5.209999084472656,-0.049999237060546875,-2.6299972534179688,4.44000244140625,2.6599998474121094,1.9099960327148295,-4.5800018310546875,-1.7000045776367188,-1.279998779296882,-0.06000518798828125,0.5800018310546875,4.0,8.0,01-26,-0.5725005467732766
01-12,-0.7199993133545028,-2.720001220703125,0.00999832153319602,-3.1899986267089773,4.540000915527337,3.2099990844726562,3.019996643066392,-2.6800003051757812,-2.0399932861328125,-2.779998779296882,0.5999984741210938,0.8700027465820384,6.0,6.0,01-27,-0.156666278839114
01-13,-0.9099998474121094,-5.760002136230462,0.18000030517578125,-2.6500015258789062,5.290000915527337,2.720001220703125,3.2400054931640767,0.6099929809570312,-2.2099990844726562,-1.6800003051757812,-0.26999664306640625,0.2800025939941335,6.0,6.0,01-28,-0.09666633605956972
01-14,-0.3499984741210973,-6.0800018310546875,0.09000015258789062,-1.4500007629394531,4.319999694824219,2.3500022888183594,1.4300003051757812,-0.7099990844726562,-1.649993896484375,-0.8100013732910156,-0.6299972534179688,0.32999801635741477,5.0,7.0,01-29,-0.26333268483479905
01-15,-0.29999923706053977,-3.670001983642578,0.22999954223632812,-1.3899993896484375,4.029998779296882,1.1300010681152344,1.7300033569335795,0.18000030517578125,-2.149993896484375,-0.8400001525878906,-1.0500030517578125,2.5500030517578054,6.0,6.0,01-30,0.03750069936116477
01-16,-1.2199993133544886,-5.650001525878906,0.0,-0.7299995422363281,4.270000457763679,0.1100006103515625,1.4000015258789062,-0.5699996948242188,-1.3299942016601562,-1.1300010681152344,-2.2399978637695312,1.3400001525878906,4.0,8.0,01-31,-0.47916587193806875
01-17,1.1000003814697301,-5.490001678466797,-1.529998779296882,-1.1199989318847656,3.6599998474121094,-0.2999992370605469,1.9900054931640767,-0.589996337890625,-2.2699966430664062,-0.48999786376953125,-3.2300033569335938,1.2299995422363281,4.0,8.0,02-01,-0.5866656303405753
01-18,-0.2800006866455078,-6.069999694824219,-1.8100013732910156,-0.9599990844726562,3.0800018310546804,-1.1699981689453125,1.8600006103515767,0.43000030517578125,0.4199981689453125,0.8400001525878906,-2.6699981689453125,1.3299980163574148,6.0,6.0,02-02,-0.41666650772094727
01-19,-0.6800003051757812,-6.950000762939453,-0.75,0.9399986267089844,-1.75,-0.9199981689453125,1.0900039672851705,-0.279998779296875,-2.8300018310546875,0.29000091552734375,-1.6399993896484375,1.8699989318847585,4.0,8.0,02-03,-0.9674997329711909
01-20,0.8299999237060582,-5.540000915527344,-0.029998779296875,1.0199966430664062,-0.920001983642571,-1.8499984741210938,2.0800018310547017,0.899993896484375,-3.7800064086914062,-0.4399986267089844,-0.589996337890625,1.55999755859375,5.0,7.0,02-04,-0.563334306081134
01-21,-0.5199985504150426,-4.299999237060547,0.3600006103515554,1.6799964904785156,-0.7999992370605469,-2.509998321533203,3.299995422363267,1.5,-3.9200057983398438,-0.9300003051757741,-1.05999755859375,1.5,5.0,7.0,02-05,-0.4750005404154474
01-22,-0.3799991607666051,-3.9399986267089844,0.030002593994140625,2.80999755859375,-1.5699996948242259,-2.0699996948242188,0.720001220703125,-0.20999908447265625,-3.1100006103515625,-2.0699996948242188,-1.5199966430664062,0.509998321533196,4.0,8.0,02-06,-0.8999994595845555
01-23,-0.6100006103515554,-4.869998931884766,0.1100006103515625,3.6999969482421946,0.7099990844726634,-3.25,-0.3899993896484375,-0.18000030517578125,-1.6700057983398438,-3.3100013732910156,-2.7699966430664062,1.4899978637695241,4.0,8.0,02-07,-0.9200007120768218
01-24,-0.9200000762939489,-7.509998321533196,0.10000228881835938,4.1699981689453125,0.18999862670899148,-2.7600021362304688,-0.6200027465820455,0.089996337890625,-3.9000015258789062,-2.6399993896484375,-3.2400054931640625,2.079998016357429,5.0,7.0,02-08,-1.2466680208841956
01-25,-1.1000003814697266,-6.479999542236328,0.010002136230475855,4.060001373291016,1.1599998474121094,-2.6300010681152344,0.04999542236328125,-1.3899993896484375,-3.100006103515625,-4.700000762939453,-2.8800048828125,2.1599998474121094,5.0,7.0,02-09,-1.2366677920023594
01-26,-0.9500007629394496,-4.099998474121094,0.04999923706053977,4.6999969482421875,1.5400009155273366,-2.1599998474121094,-1.3400039672851705,-1.67999267578125,-3.2000045776367188,-4.670001983642578,-2.720001220703125,2.3400001525878906,4.0,8.0,02-10,-1.015833854675295
01-27,-0.8199996948242152,-2.9199981689453125,0.20999908447266336,4.039997100830078,1.2100028991699148,-1.729999542236321,-0.8399963378906392,-1.720001220703125,-4.0200042724609375,-4.380001068115234,-1.5699996948242188,2.5,4.0,8.0,02-11,-0.8366667429606123
01-28,-2.370000839233402,-2.7699966430664062,1.7399978637695455,4.429996490478516,1.1399993896484304,-1.75,-0.8100051879882955,-0.910003662109375,-3.0800018310546875,-6.220001220703125,-2.0999984741210938,0.7299995422363281,4.0,8.0,02-12,-0.9975012143452971
01-29,-0.8799991607666016,-2.1899986267089844,2.020000457763679,3.7699966430664062,0.23999786376952414,-0.4799995422363281,-0.40999603271484375,-1.9300003051757812,-1.9899978637695312,-6.0,-1.5,1.9200019836425852,4.0,8.0,02-13,-0.6191662152608229
