,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,ups,downs,end_day_sum,avg
01-02,0.009185008704662337,-0.008402526378631592,-0.0030173957347869873,0.20949316024780318,-0.4831843376159668,0.498030424118042,-0.1296253204345703,0.08038926124572754,0.20633912086486816,0.12566184997558505,0.0,0.40538978576660245,7.0,5.0,01-17,0.07585491922994458
01-03,-0.013777464628219604,-0.008402526378631592,-0.006034746766090393,0.21603989601135298,-0.49008750915527344,0.21653509140014648,-0.06100034713745117,0.08038926124572754,0.27511835098266557,-0.01795196533203125,-0.1489524841308585,0.40538978576660245,5.0,7.0,01-18,0.03727211182316159
01-04,-0.013777464628219604,-0.01087380945682527,-0.007845148444175748,0.11129307746887163,-0.3106198310852051,0.03608989715576172,-0.06100034713745117,0.04823398590087846,0.24932575225830034,-0.0807828903198251,-0.1489524841308585,0.40538978576660245,5.0,7.0,01-19,0.018040043612321175
01-05,-0.02066622674465181,0.009885281324386597,-0.0018103867769241333,0.21604037284851074,-0.3106198310852051,0.03608989715576172,-0.11437606811523349,0.18489456176757635,0.18914341926574707,-0.08975934982299805,-0.1489524841308585,0.40538978576660245,6.0,6.0,01-20,0.02960491428772616
01-06,-0.004592478275299058,0.004942670464515686,-0.00784514844417572,0.19640064239501953,-0.3106198310852051,0.2598419189453116,0.038125038146972656,0.36979055404663086,0.1375579833984375,-0.008976459503173828,-0.1489524841308585,-0.009652137756347656,6.0,6.0,01-21,0.043001689016819
01-07,-0.004592500627040877,-0.0049426257610321045,-0.006034746766090393,0.18330764770507768,-0.2553987503051758,0.14435768127441495,0.038124561309813565,0.37782931327819824,0.18054580688476562,-0.044879913330078125,-0.1489524841308585,-0.009652137756347656,5.0,7.0,01-22,0.037475987647970554
01-08,-0.009185001254081726,0.006919696927070618,0.001810401678085355,0.11784029006958008,0.0,0.18044519424438477,0.038125038146973544,0.17685675621032715,0.12036442756652832,0.0,-0.1489524841308585,-0.1737380027771005,7.0,5.0,01-23,0.025873859723409092
01-09,0.0,0.0,0.0006034970283508578,0.13093352317810014,0.34513282775878906,0.20931720733642667,0.11437702178955167,0.17685675621032715,0.11176657676696777,-0.00897550582885831,-0.1489524841308585,-0.08686876296997159,7.0,5.0,01-24,0.07034922142823541
01-10,-0.0022962763905525208,0.0,0.0012069344520569125,-0.05237412452697754,0.20707988739013672,0.10104942321777344,0.06862545013427823,0.3537123203277588,0.06018137931823686,-0.00897550582885831,0.06516647338867188,-0.08686876296997159,7.0,5.0,01-25,0.05887559987604607
01-11,-0.004592515528202071,0.0,-0.01025901734828949,-0.052373647689819336,0.20707988739013672,0.2526240348815918,0.1067500114440918,0.32959556579589844,0.06018137931823686,0.21542119979858398,0.06516647338867188,-0.08686876296997159,7.0,5.0,01-26,0.09022705070674408
01-12,-0.004592515528202071,-0.0049426257610321045,-0.009655594825744629,0.006546735763549805,0.2761068344116211,0.2959308624267578,0.1067500114440918,0.28136205673217773,0.12036395072936967,0.21542119979858398,0.06516647338867188,-0.08686876296997159,8.0,4.0,01-27,0.10513238546748944
