,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,ups,downs,end_day_sum,avg
01-02,-1.1833209991455078,-0.5634860992431641,-0.16904640197753906,0.5509643554687518,0.38191795349121094,-0.21349811553955078,0.5991735458374006,-0.3581266403198238,0.47727298736572266,0.31666660308837713,0.516667366027832,-1.109999656677246,6.0,6.0,01-17,-0.06290125846862804
01-03,-1.4087152481079093,-0.5634860992431641,-0.26922130584716797,0.3380918502807617,-0.14400196075439275,-0.14462757110595703,0.7162532806396467,-0.3581266403198238,0.34848499298095703,0.28333377838134766,0.3833332061767596,-1.130000114440918,5.0,7.0,01-18,-0.16239015261332168
01-04,-1.4087152481079093,-0.8452291488647461,-0.2128725051879865,0.2754821777343732,-0.018782615661619317,-0.1170797348022461,0.7162532806396467,-0.2548208236694336,0.5378789901733398,0.4499998092651367,0.2666664123535156,-0.8900003433227539,5.0,7.0,01-19,-0.1251016457875569
01-05,-1.2208867073059073,-0.7575750350952148,-0.31930923461913885,0.7074880599975586,-0.012521743774412286,-0.1170797348022461,0.36501407623291016,-0.3443527221679683,0.28787899017334073,0.34166717529296875,0.2916660308837926,-0.8900003433227539,5.0,7.0,01-20,-0.13900093237558922
01-06,-1.496368408203125,-0.5196590423583984,0.05634880065917791,0.6761837005615217,-0.012521743774412286,-0.2410469055175799,0.24104690551757812,-0.2961432933807373,0.30303049087524414,0.40833377838134766,0.2916660308837926,-0.7700004577636719,6.0,6.0,01-21,-0.1132608453432719
01-07,-1.4713244438171387,-1.8281993865966797,0.18782806396484197,0.4883546829223615,0.17530727386474787,-0.30303049087524414,-0.22727298736572266,-0.1859502792358403,0.2651515007019043,0.4333333969116211,0.3416662216186541,-0.41000080108642756,6.0,6.0,01-22,-0.2111781040827435
01-08,-0.8765339851379386,-1.9659404754638672,0.1565237045288086,0.6010513305664045,0.2379169464111346,-0.12396717071533381,-0.04132270812987926,-0.11707973480224565,0.31818151473999023,0.5749998092651367,0.2666664123535156,-0.7899999618530273,6.0,6.0,01-23,-0.14662535985310846
01-09,-0.8076634407043448,-1.9596796035766602,-0.16904544830322088,0.6448783874511719,0.11269664764404297,0.06887006759643555,0.144628524780277,-0.061983346939086914,0.3560605049133301,0.8416662216186523,-0.31666660308837713,-0.5399999618530273,6.0,6.0,01-24,-0.1405198375384006
01-10,-0.4695715904235822,-2.5732526779174805,-0.21913337707519354,0.5259208679199219,0.11269664764404297,-0.061984062194825995,0.40633583068847834,-0.19283747673034668,0.6060605049133274,0.7666664123535174,0.058333396911621094,-0.3499994277954084,6.0,6.0,01-25,-0.11589707930882735
01-11,-0.6887054443359366,-2.729776382446289,-0.10017585754394176,0.48209381103515625,0.16904544830322266,0.03443479537963867,0.5922861099243164,-0.02754807472229004,0.2803030014038086,1.3666658401489258,0.125,-0.3299999237060547,7.0,5.0,01-26,-0.06886472304662032
01-12,-0.5071372985839835,-2.592036247253416,-0.48209285736083984,0.6636619567871094,-0.025044441223142755,-0.17217636108398438,0.3787879943847656,-0.16528940200805664,0.454545497894288,1.3583326339721697,0.025000572204589844,-0.07000064849853693,5.0,7.0,01-27,-0.09445405006408647
01-13,-0.38191795349121094,-2.642124176025389,-0.42574501037597656,0.8765344619750994,-0.006260871887205255,-0.4752068519592285,0.41322326660156605,0.00688695907592729,0.5833334922790536,1.2749996185302734,0.08333396911621094,-0.1900005340576172,6.0,6.0,01-28,-0.07357863585154138
01-14,0.11269712448120028,-2.4605560302734375,-0.40696239471435725,0.8765344619750994,0.10643577575683771,-0.5922865867614746,0.1997251510620135,-0.10330581665039018,0.37121200561523526,1.4833335876464844,0.1916666030883789,-0.46000003814697266,7.0,5.0,01-29,-0.05679217974344856
01-15,0.30678701400756836,-2.2539443969726562,-0.38817882537841797,0.8076639175415039,-0.05634784698486328,-0.5785126686096191,0.24104690551757812,0.0,0.3409090042114258,1.6499996185302734,0.15833282470703125,-0.15000009536743164,6.0,6.0,01-30,0.006479620933532715
01-16,0.18782854080200195,-2.4605560302734375,-0.46331024169921875,0.8827953338623065,-0.05634880065917969,-0.736914634704589,-0.06198310852050781,-0.00688695907592729,0.38636350631713867,1.1583337783813477,0.2833337783813459,-0.45999956130981445,5.0,7.0,01-31,-0.11227869987487782
01-17,0.757575511932373,-2.4605560302734375,-0.7012271881103516,0.6323566436767578,-0.3380918502807635,-0.6267218589782724,0.16528987884521484,-0.00688695907592729,0.3409090042114258,1.0500001907348633,0.2666664123535156,-0.6599993705749494,6.0,6.0,02-01,-0.1317238012949626
01-18,0.42574501037597745,-2.767343521118164,-0.7888803482055664,-0.20035076141357422,-0.3944406509399432,-0.6818180084228525,0.034435272216796875,0.2341599464416504,0.41666650772094727,1.0749998092651385,0.19166660308837713,-0.1399998664855957,6.0,6.0,02-02,-0.2162633339564007
01-19,0.3693962097167969,-2.2664670944213867,-0.5259199142456037,-0.09391403198242188,-0.4382667541503906,-0.640495777130127,-0.5578508377075195,0.3305785655975342,0.3787879943847656,0.9333333969116229,0.5333328247070312,-0.1100001335144043,5.0,7.0,02-03,-0.17395712931950857
01-20,0.26295995712280273,-0.5634860992431641,-0.38191890716552557,-0.13774108886718928,-0.275482177734375,-0.7093663215637207,-0.42010974884033025,0.14462804794311523,0.3409090042114258,0.8166666030883807,1.2333335876464844,-0.28999996185302734,5.0,7.0,02-04,0.0016994078954063834
01-21,-0.22539472579956144,-0.11895847320556818,-0.3318309783935529,-0.18782901763916016,-0.30678653717041016,-0.915977954864502,-0.38567447662353693,0.5303030014038086,0.07575750350952415,0.5749998092651367,1.0666666030883771,-0.1700000762939453,4.0,8.0,02-05,-0.03289377689361587
01-22,0.13148021697998047,0.03756523132324041,-0.5822687149047852,-0.15026283264160156,-0.5196590423583984,-0.6473827362060547,-0.49586772918700994,0.36501359939575195,-0.15909099578857155,0.10833358764648438,1.2083330154418945,-0.2600002288818377,5.0,7.0,02-06,-0.08031721909840894
