,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,ups,downs,avg
01-02,0.0,0.0,0.0,0.0,0.0,0.0,-2.7559085568992803,-2.5020133765326715,0.0,2.4327792395967536,0.0,0.0,1.0,8.0,-0.23542855781959984
01-03,0.0,0.0,0.0,0.0,0.0,0.0,-2.7559085568992803,-2.5020133765326715,0.0,2.4327792395967536,0.0,0.0,1.0,8.0,-0.23542855781959984
01-04,0.0,0.0,0.0,0.0,0.0,0.0,-2.7559085568992803,-2.5020133765326715,0.0,2.4327792395967536,0.0,0.0,1.0,8.0,-0.23542855781959984
01-05,0.0,0.0,0.0,0.0,0.0,0.0,-2.7559085568992803,-2.41935645132237,0.0,0.0,0.0,0.0,0.0,9.0,-0.4312720840184709
01-06,0.0,0.0,0.0,0.0,0.0,0.0,-2.7559085568992803,-2.41935645132237,0.0,0.0,0.0,0.0,0.0,9.0,-0.4312720840184709
01-07,0.0,0.0,0.0,0.0,0.0,0.0,2.1653513595303138,-0.7258077044889298,0.0,0.0,0.0,0.0,1.0,8.0,0.11996197125344865
01-08,0.0,0.0,0.0,0.0,0.0,0.0,2.1653513595303138,0.08063931867042212,-0.08018664790216407,0.0,0.0,0.0,2.0,7.0,0.18048366919154765
01-09,0.0,0.0,0.0,0.0,0.0,0.0,2.1653513595303138,0.08063931867042212,-0.08018664790216407,0.0,0.0,0.0,2.0,8.0,0.18048366919154765
01-10,0.0,0.0,0.0,0.0,0.0,0.0,2.1653513595303138,0.08063931867042212,-0.08018664790216407,0.0,0.0,0.0,2.0,8.0,0.18048366919154765
01-11,0.0,0.0,0.0,0.0,0.0,0.0,5.116457141134229,-1.6406954046274551,0.873714130408106,0.0,0.0,0.0,2.0,8.0,0.3624563222429067
01-12,0.0,0.0,0.0,0.0,0.0,0.0,5.116457141134229,-1.6406954046274551,0.873714130408106,0.0,0.0,0.0,2.0,8.0,0.3624563222429067
01-13,0.0,0.0,0.0,0.0,0.0,0.0,5.116457141134229,-1.6406954046274551,0.873714130408106,0.0,0.0,0.0,2.0,8.0,0.3624563222429067
01-14,0.0,0.0,0.0,0.0,0.0,0.0,3.016421914539568,-1.6406954046274551,0.873714130408106,0.0,0.0,0.0,2.0,8.0,0.18745338669335157
01-15,0.0,0.0,0.0,0.0,0.0,0.0,3.016421914539568,-1.7227239161264143,0.873714130408106,0.0,0.0,0.0,2.0,8.0,0.18061767740177162
01-16,0.0,0.0,0.0,0.0,0.0,0.0,3.016421914539568,-1.7227239161264143,0.873714130408106,0.0,0.0,0.0,2.0,8.0,0.18061767740177162
01-17,0.0,0.0,0.0,0.0,0.0,0.0,3.016421914539568,-1.7227239161264143,0.873714130408106,0.0,0.0,0.0,2.0,8.0,0.18061767740177162
