,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,ups,downs,end_day_sum,avg
01-02,-1.8499999046325692,0.5399999618530273,-0.4099998474121094,-0.15000057220459162,-0.019999980926513672,-0.14999961853027344,-1.2200002670288068,-0.7800002098083496,-0.04999971389770508,0.15000009536743164,0.23000001907348633,0.019999980926513672,4.0,8.0,01-17,-0.30750000476837164
01-03,-1.9000000953674316,0.5399999618530273,-0.5399999618530273,-0.30000019073486506,-0.059999942779541016,-0.35000038146972656,0.17999935150146662,-0.7800002098083496,-0.09999990463256836,-0.04999971389770508,0.23000001907348633,0.06999993324279785,4.0,8.0,01-18,-0.25500009457270306
01-04,-1.9000000953674316,0.8200006484985334,-0.8000001907348651,-0.09000015258789062,0.009999752044678623,-0.14999961853027344,0.17999935150146662,-0.75,-0.04999971389770508,-0.15000009536743164,0.03000020980834961,0.1100001335144043,5.0,7.0,01-19,-0.22833331425984707
01-05,-1.6700000762939453,0.4099998474121076,-0.7799997329711932,0.09000015258788885,-0.3400001525878906,-0.14999961853027344,0.08999919891357422,-0.9800000190734863,-0.15000009536743164,-0.15000009536743164,-0.05000019073486328,0.1100001335144043,4.0,8.0,01-20,-0.29750005404154506
01-06,-2.3499999046325657,0.4900007247924787,-1.0,0.10000038146972479,-0.3400001525878906,-0.1399993896484375,0.21000003814697266,-1.1999998092651394,-0.09999990463256836,-0.05000019073486328,-0.05000019073486328,0.16000008583068848,4.0,8.0,01-21,-0.355833192666372
01-07,-2.1399998664855957,0.319999694824217,-0.6900005340576172,0.18000030517577947,0.1399998664855957,0.05999946594238459,-0.1599998474121076,-0.940000057220459,-0.09999990463256836,-0.09999990463256836,-0.12000036239624023,0.25,5.0,7.0,01-22,-0.27500009536743164
01-08,-1.299999713897706,-0.26999950408935725,-0.4100008010864258,0.2200002670288086,0.34000015258788974,0.06000041961669744,-0.2799997329711932,-0.440000057220459,0.0,0.25,-0.30000019073486417,0.25999999046325684,5.0,7.0,01-23,-0.15583326419194607
01-09,-0.5999999046325684,-0.35999965667724965,-0.26000022888183416,0.1700000762939453,0.40000009536743075,0.14999961853027344,-0.35000038146972656,-0.5500001907348624,-0.04999971389770508,0.09999990463256836,-0.40000009536743164,0.23000001907348588,5.0,7.0,01-24,-0.1266667048136395
01-10,-0.1399998664855957,-0.32999992370605646,-0.16000080108642578,-0.13000011444091442,0.28999996185302646,0.10000038146972656,-0.48999977111816406,-0.510000228881835,-0.19999980926513672,0.15000009536743164,-0.35000038146972656,0.21000003814697266,4.0,8.0,01-25,-0.13000003496805812
01-11,-0.6300001144409189,-0.5799999237060565,-0.5100002288818359,0.01999950408935547,0.5699996948242161,0.06000041961669922,-0.25,-0.15000009536743075,-0.19999980926513672,0.0,-0.1900000572204581,0.14999985694885254,4.0,8.0,01-26,-0.14250006278355945
01-12,-0.07000017166137695,-0.2700004577636719,-0.6599998474121094,0.2200002670288086,0.4600000381469709,-0.019999504089357245,-0.1399993896484375,-0.4199995994567871,0.0,-0.09999990463256836,-0.23000001907348633,0.09999990463256836,3.0,9.0,01-27,-0.09416655699412058
01-13,0.24000024795532138,-0.3499994277954137,-0.2200002670288086,0.36999988555908203,0.32000017166137606,-0.3899993896484375,-0.5,0.09999990463256836,0.05000019073486328,0.0,-0.15999984741210938,0.009999990463256836,6.0,6.0,01-28,-0.04416654507319177
01-14,0.5900001525878906,-0.6600008010864258,-0.09000015258789062,0.4499998092651367,0.3800001144409171,-0.7399997711181641,-0.3899993896484393,-0.13000011444091797,0.0,-0.05000019073486328,0.03000020980834961,-0.009999990463256836,4.0,8.0,01-29,-0.05166667699813865
01-15,0.5900001525878906,-0.3000001907348633,-0.06000041961669744,0.3000001907348633,0.5599999427795419,-0.7299995422363281,-0.4099998474121076,0.15000009536743164,-0.09999990463256836,0.25,-0.11999988555908203,-0.10000014305114746,5.0,7.0,01-30,0.0025000373522444295
01-16,0.4099998474121094,-0.37000083923339844,-0.07000064849853338,-0.010000228881835938,0.5100002288818368,-0.6700000762939453,-0.4099998474121076,0.059999942779541016,0.0,0.09999990463256836,-0.11999988555908203,-0.15000009536743164,4.0,8.0,01-31,-0.060000141461689895
