,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,ups,downs,avg
01-02,-22.666664123535156,1.47213816985591,-3.1179560388396794,3.943878962567303,-3.746396925124815,-2.7223160126930575,0.3759394789693757,-23.500001430511453,10.560151845263412,6.7836302643796875,-6.415928386654173,-12.21264224100309,5.0,7.0,-4.270513869777145
01-03,-25.333328247070312,1.47213816985591,-10.196711887138852,1.6692558282421,0.2926408637163375,-2.1778562717670527,-2.255636873816254,-23.500001430511453,14.486396158643522,12.674419816730436,-5.664482427044935,-10.632180561240085,5.0,7.0,-4.097112238450054
01-04,-25.333328247070312,0.15983316949307208,-3.4981861782340933,0.4667403195562072,-1.2959843852576303,-3.4482681032820586,-2.255636873816254,-31.38298057846052,14.48276077524513,12.311260257952862,-5.4466229126168395,0.43103749488394744,5.0,7.0,-3.734114605133875
01-05,-23.684207059009555,-3.532606695685318,-3.9404885772675335,2.380049781296196,1.714046179366189,-3.4482681032820586,1.627489135140733,-25.26316548978866,2.0052353143512365,13.821133888901258,-3.4858353397199533,0.43103749488394744,6.0,6.0,-3.447964955901126
01-06,-16.66667423551082,-5.534652044685906,-2.5501697675833648,3.1356250292280925,1.714046179366189,-4.109587370808699,4.208754168210969,-37.572259433589124,8.195296531593819,12.775835907755653,-3.4858353397199533,1.42248049054402,6.0,6.0,-3.205594990433261
01-07,-33.802818698652295,-14.08532882198764,-1.3795983388524442,3.626743896394119,3.13143887328901,-2.338131578755532,11.234177513642889,-34.25415157889743,7.759375088081811,9.843934001615178,-6.026785262879366,-17.576786851598207,5.0,7.0,-6.155660979883326
01-08,-22.50000238418579,-15.663355988160394,-2.591976744380757,3.077505605373028,5.970760237995576,0.17969863035061198,9.238252262773903,-28.176795943986143,5.451292936119569,9.843934001615178,-11.486480753875242,-8.823524801594914,6.0,6.0,-4.62339107849628
01-09,-20.000004768371582,-15.137346932769475,-5.912821902124615,3.4443597455876906,3.138075363894592,3.454546494917436,5.348458989068098,-23.204424838211253,7.274320199875413,9.551881010229039,-17.80821261623992,-7.38255124839329,6.0,6.0,-4.769476708544823
01-10,-12.5,-22.512443136872072,-8.82484144476714,1.1189826297521777,-1.640031027700734,0.9090943769975142,1.1345246482302145,-26.704547224828048,7.815120851376359,5.595235851616435,-15.151517509260556,-9.899331355899237,5.0,7.0,-6.721646111779591
01-11,-12.5,-21.755255818120546,-22.713219123349496,2.4087293827598653,-2.396970893042581,-0.9090943769975142,3.3280513478811375,-27.428572518484934,7.432433303208824,2.6775377395232183,-14.68531748351802,-7.88590246952041,4.0,8.0,-7.868965075805039
01-12,-13.92404925763999,-19.120465480605347,-18.521825130601584,6.786850527248049,-3.0277514405574824,1.0695176711511585,-1.8363962891081962,-14.124293937513857,4.724408988935027,0.46565728920245303,-14.918411938846601,-7.705193539583102,4.0,8.0,-6.67766271149329
01-13,-4.878055872057841,-24.232527344632537,-3.662085458264888,8.943091568642826,-8.743893712005924,-1.0929038637187185,6.05565228005024,-9.289614923387202,0.34995591238007967,-0.11641709783703257,-12.045448215539928,-6.633492613808476,3.0,9.0,-4.61214494501495
01-14,6.25,-23.324573774320196,-3.4956309970257746,9.119836506044859,-11.770072603677928,-3.965182218198467,15.82278438035429,7.843135765358735,-1.48731471351726,-3.2413020436565527,-5.567446419637114,-9.833335876464888,4.0,8.0,-1.9707584995616916
01-15,-5.555557027275193,-20.89355647641033,-3.4956309970257746,8.537892115858218,-11.832420273571076,-3.9622647281047634,7.679458746021712,6.862744525138009,-4.977377205803346,-1.6548503864241177,4.842105664704975,-24.508047373215895,4.0,8.0,-4.079791951342298
01-16,-16.666664459087134,-22.273326437888006,-8.22454888879925,11.25302142267932,-8.875743395012973,-4.285712469191778,0.8347197964645588,15.196075910607073,-3.019539482031201,-6.699751038954753,5.942622029758919,-18.350170742219508,4.0,8.0,-4.59741814613956
01-17,1.3888876011342082,-26.084013020109452,-5.292125129494997,9.978993118919128,-11.126374945962821,-5.904760814848401,-5.509188867324648,14.356433890658407,-1.8437228429943004,-10.384608283786093,10.934396974027544,1.3468000494177135,5.0,7.0,-2.344940189196976
01-18,0.0,-32.73894438459981,-6.372975756847467,4.302243458504423,-12.728940783986657,-6.000001089913504,-6.397308262295449,21.719457501727184,1.5450588617630767,-3.6069647167782986,11.729624810698974,2.6936000988353372,5.0,7.0,-2.1545958552410167
01-19,0.0,-22.676338277896775,2.4469835655315038,6.167556468060796,-9.432231921016204,-7.432437097306174,-0.31746000509537375,21.00456740310789,3.032932258463591,-3.6069647167782986,12.92246656570612,3.3444784051375938,6.0,6.0,0.4544627206595558
01-20,-4.411760374749118,-13.311259457638483,5.467156834249551,5.811048859541494,-10.138243217705819,-9.655177662484968,1.095456905896921,14.218007925666715,1.1265174598843177,-5.472631622772914,14.951455663450378,4.145936837503786,7.0,5.0,0.31887567923682186
01-21,-15.94202738302993,-5.511812107634038,7.996739998034286,4.420676666114974,-8.636361902410334,-10.636179425378069,5.80152829580733,21.77777820163303,-3.119581090704262,-7.341765061610646,13.438731937318718,2.1996555154004542,6.0,6.0,0.3706153036284596
01-22,-14.285714285714285,-6.167982599573526,7.670342923538214,5.764503525544435,-5.612021674156571,-8.48125865442954,11.376403873578681,22.22222222222222,-3.2986036950242372,-8.02547318799295,13.779524011379513,-1.0169481662661488,5.0,7.0,1.1604161910921504
01-23,-12.85714421953475,-2.9527546983166397,9.588499640590921,6.225955498934767,-5.924275628095422,-14.140390174069296,15.870788379263958,21.333334181043835,-1.7964075764328384,-4.607719774134738,16.86046339701759,3.0844165897224727,6.0,6.0,2.5570638013324882
01-24,-17.14285441807341,-12.15153564744671,8.082866005819195,6.013444412494126,1.7444379119348794,-11.698877186732517,14.185390003912513,26.250003725290167,0.671140295251806,-4.756101858467008,12.524852647370405,2.1103837796095615,8.0,4.0,2.152762472580251
01-25,-18.840575303332365,-5.870444692808742,9.179136675222098,-0.7119998641973213,4.404710926470671,-5.188201758292145,15.491008058152273,30.588234744132446,2.140410902979318,-5.844981509987587,7.157060009906457,2.597400184666017,7.0,5.0,2.925146531075926
01-26,-15.492956611377547,-12.988931395626668,6.860459700605398,0.4955730607024462,5.276934041506184,-5.617979498242619,12.83880265309197,29.8850530088563,8.069885441662269,-7.496825427793221,5.566604336563597,4.306219804591067,8.0,4.0,2.6419032595449314
01-27,-12.676057851496669,-7.943261384808105,7.487925116448854,-2.548670135768101,5.276934041506184,-2.5793673695410244,13.067397685798406,17.408909383662852,6.322797004478938,-2.4142380790405995,3.2586527980533213,0.9900980750178164,7.0,5.0,2.1375932736926555
