,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,ups,downs,end_day_sum,avg
01-02,0.0,0.4011812210083008,0.0,0.3294858932495117,0.34033203125,-0.8051633834838867,-0.7966718673706055,0.554499626159668,1.1201429367065447,1.523326873779295,-0.5497760772705114,6.0,4.0,01-17,0.19248702309348334
01-03,0.0,0.4011812210083008,-0.20539283752441317,0.5256233215332013,0.34033203125,-0.26542091369628906,-0.7966718673706055,0.6125736236572283,1.070361137390142,1.3666400909423793,-0.3207015991210973,6.0,4.0,01-18,0.24804765527898606
01-04,0.0,0.4011812210083008,0.35944032669067383,0.5291509628295881,0.5390386581420898,-0.26542091369628906,-0.7318706512451172,0.5027875900268555,0.7052764892578125,0.6441488265991193,-0.4489841461181676,7.0,3.0,01-19,0.2031589421358969
01-05,0.0,0.4011812210083008,0.35944032669067383,0.5291509628295881,0.5390386581420898,-0.11788272857666016,-0.7204341888427717,-0.03341293334961115,0.6969776153564418,0.5658063888549805,-0.4489841461181676,6.0,4.0,01-20,0.16098919781771492
01-06,0.0,0.0,0.35944032669067383,0.5291509628295881,0.39380264282226385,0.20981597900390625,-0.4825773239135742,-0.011137962341308594,0.7052764892578125,0.5658063888549805,-0.320703506469723,6.0,4.0,01-21,0.17717036333951083
01-07,0.0,0.0,0.3936719894409171,0.7210559844970703,0.5397615432739276,0.4137029647827166,-0.7364449501037598,0.14638042449951172,0.6554908752441406,0.5309896469116211,0.04581642150878906,8.0,2.0,01-22,0.24640226364135767
01-08,0.0,0.0,0.46829748153686435,0.5467872619628906,0.18787002563476562,0.23205852508544922,-0.814206600189209,0.31105899810791016,0.8629245758056641,0.9227027893066406,-0.5955924987792933,7.0,3.0,01-23,0.19290005077015293
01-09,0.0,0.0,0.46829748153686435,0.4162635803222656,-0.1423473358154279,0.5078611373901367,-0.657921314239502,0.42880058288574396,1.0537643432617223,0.20891189575195312,-0.6688957214355469,6.0,4.0,01-24,0.14679405905983722
01-10,0.0,0.0,0.4963693618774414,0.4162635803222656,0.054191589355470526,0.7858867645263672,-0.3445892333984393,0.5696125030517578,0.9624958038330114,0.13927459716796875,-0.5039615631103516,7.0,3.0,01-25,0.23414030942049927
01-11,0.0,0.0,0.4963693618774414,0.4162635803222656,-0.26735305786132635,0.8311119079589844,0.18144226074218572,0.7064495086669922,0.9956836700439453,0.11316204071044922,-0.4764747619628871,7.0,3.0,01-26,0.2724231373180046
01-12,0.0,0.0,0.4963693618774414,0.4162635803222656,0.0014448165893554688,0.46782493591308416,-0.17458248138427734,0.7899799346923846,0.7633571624755859,0.13927459716796875,-0.5131282806396449,7.0,3.0,01-27,0.2169821479103785
01-13,0.0,0.0,0.7017621994018546,0.41273689270019354,-0.2731332778930664,0.6642961502075178,0.29656124114990234,0.7319059371948242,0.6637859344482386,0.13927459716796875,-0.7330379486083949,7.0,3.0,01-28,0.2367410659790035
01-14,0.0,0.0,0.41078662872314364,0.5326766967773438,-0.5202503204345721,0.360321044921875,0.05717658996582031,0.6451911926269513,0.30699920654296164,0.2176189422607422,-1.0537405014038104,7.0,3.0,01-29,0.08697995272549595
01-15,0.0,0.0,0.41078662872314364,0.27162933349609375,-0.4992971420288086,-0.14309024810791016,0.33620166778564275,0.7175865173339844,0.43975830078124645,0.026113510131835938,-0.4306602478027344,6.0,4.0,01-30,0.10263893821022671
01-16,0.0,-0.15183353424072266,0.41078662872314364,0.059969902038575995,-0.3540611267089826,-0.29804229736328125,0.31561851501464844,0.6650791168212873,0.35678291320800426,-0.3046627044677699,-0.4856376647949254,5.0,5.0,01-31,0.01945452256636162
01-17,0.0,-0.15183353424072266,0.13692808151245117,0.12558555603027344,-0.32515811920166016,-0.49970436096191406,0.6114168167114258,0.4622144699096662,-0.06637763977051137,0.0957517623901385,-0.5681037902832031,5.0,5.0,02-01,-0.01629825071855057
01-18,0.0,-0.15183353424072266,0.13692808151245117,0.19402313232421875,-0.16980552673339844,0.14234924316406428,0.8279294967651367,0.7422485351562518,0.09127235412598012,-0.20891380310058594,-0.21074867248535512,6.0,4.0,02-02,0.12667720968073096
01-19,0.0,-0.15183353424072266,0.062302589416503906,0.32454681396484375,-0.16980552673339844,0.15421199798583984,0.6548728942871094,0.7923688888549805,-0.11616134643554332,0.1653909683227539,-0.34819221496582387,6.0,4.0,02-03,0.12433650276877663
01-20,0.0,0.5078554153442401,0.062302589416503906,0.25751972198486506,-0.682830810546875,0.5857095718383807,0.5961699485778809,0.6746273040771467,-0.3484878540039027,0.008707046508789062,-0.5497779846191442,7.0,3.0,02-04,0.10107226805253494
01-21,0.0,0.5078554153442401,-0.27385854721069247,0.25751972198486506,-0.8562479019165057,0.7999744415283221,0.5115470886230487,0.6348505020141602,-0.074676513671875,0.03481864929199219,-0.5131263732910156,6.0,4.0,02-05,0.0935142256996854
01-22,0.0,0.5078554153442401,-0.25331783294677646,0.0740823745727539,-0.652481079101566,0.619814872741701,-0.014484405517576349,0.3762960433959961,-0.3401908874511719,0.11316108703613281,-0.3115406036376953,5.0,5.0,02-06,0.010835907676003438
01-23,0.0,0.5078554153442401,0.1882786750793466,0.0740823745727539,-0.9212789535522479,0.9831018447876012,0.3224811553955078,0.8623771667480487,-1.0454692840576172,0.37430477142333984,-0.0549774169921875,7.0,3.0,02-07,0.11734143170443505
01-24,0.0,0.5078554153442401,0.1882786750793466,0.1340503692626971,-0.646700859069826,0.8288898468017614,0.5100231170654297,0.41607093811035156,-0.9293041229248047,0.2959604263305664,0.1649322509765625,8.0,2.0,02-08,0.13364145972512043
01-25,0.0,0.5078554153442401,0.1882786750793466,0.014110565185546875,-0.5274772644042987,1.1143283843994158,0.6213293075561506,0.13126564025878906,-0.40657043457030895,0.21761608123779297,0.659731864929201,8.0,2.0,02-09,0.22913347591053412
01-26,0.0,0.5078554153442401,0.1882786750793466,0.06349754333496094,0.1531839370727539,1.2359189987182653,-0.10825634002685547,-0.08353233337402521,-0.5393295288085938,0.2959604263305664,1.5851907730102557,7.0,3.0,02-10,0.29988796060735584
01-27,0.0,0.6596889495849627,0.1882786750793466,0.7161178588867188,0.13367462158203125,1.19069194793701,-0.11206626892089844,-0.031024932861328125,-0.45635414123535156,0.3307790756225586,1.4660730361938494,7.0,3.0,02-11,0.3714417110789908
01-28,0.0,0.6596889495849627,0.46213722229003906,0.7161178588867188,-0.04696559906005682,1.5925331115722674,-0.1570472717285174,0.17183971405029297,-1.0786552429199237,0.24373054504394354,0.8155040740966797,7.0,3.0,02-12,0.3071712147105824
01-29,0.0,0.6596889495849627,0.9817838668823242,0.7161178588867188,-0.0057811737060546875,0.8919076919555629,-0.37355995178222834,0.3611793518066406,-1.0371685028076172,0.19150257110595525,0.8888072967529261,7.0,3.0,02-13,0.29767981442538094
01-30,0.0,0.6596889495849627,0.9756221771240234,0.9454154968261737,0.007225990295410156,0.8800449371337873,-0.200503349304201,0.27446460723876775,-0.3484897613525355,0.2785511016845703,1.1453685760498082,8.0,2.0,02-14,0.41976261138916066
01-31,0.0,0.6596889495849627,0.9756221771240234,1.0124425888061523,0.5202512741088867,0.44854736328124645,-0.200503349304201,0.16547393798827947,-0.19083976745605824,0.5919218063354528,1.3469543457031286,8.0,2.0,02-15,0.4845053932883521
02-01,0.0,0.9352130889892578,0.7017621994018555,1.0124425888061523,0.6936683654785174,0.44854736328124645,-0.7661781311035138,0.032616615295410156,-0.3982715606689453,0.5658102035522496,1.310302734375,8.0,2.0,02-16,0.41235576976429367
02-02,0.0,0.2755241394042951,0.8934617042541504,1.1958799362182635,0.6936683654785174,0.5656900405883771,-0.2622547149658203,0.46142005920410156,-0.13275718688964844,0.487467765808109,1.310302734375,8.0,2.0,02-17,0.4989457130432132
