,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,ups,downs,end_day_sum,avg
01-02,0.0,-0.006000012159347534,0.0,0.042000025510787964,0.0,0.03099999949336052,0.0,0.0,0.004000000655651094,0.02700000256299972,0.0,0.0,4.0,7.0,01-17,0.008166668005287647
01-03,0.0,-0.006000012159347534,0.0,0.042000025510787964,0.12600000202655792,0.03099999949336052,0.0,0.0,0.004000000655651094,0.005000002682209008,0.0,0.0,5.0,6.0,01-18,0.01683333485076825
01-04,0.0,-0.006000012159347534,-0.01500000059604642,0.042000025510787964,0.12600000202655792,0.0,0.0,0.0,0.004000000655651094,0.005000002682209008,0.0,0.0,4.0,7.0,01-19,0.013000001509984337
01-05,0.0,-0.006000012159347534,0.0,0.042000025510787964,0.12600000202655792,0.0,0.0,0.0,0.004000000655651094,0.005000002682209008,0.0,0.0,4.0,7.0,01-20,0.014250001559654871
01-06,0.0,-0.03299999237060547,0.01499998569488531,0.015000015497207642,0.12600000202655792,0.0,0.0,0.0,0.0,0.005000002682209008,0.0,0.029000001028180122,5.0,6.0,01-21,0.013083334546536212
01-07,0.0,-0.03299999237060547,-0.0030000060796737393,0.015000015497207642,0.12600000202655792,0.0,0.0,0.0,0.0,0.005000002682209008,0.0,0.029000001028180122,4.0,7.0,01-22,0.011583335231989624
01-08,0.0,-0.03299999237060547,-0.0030000060796737393,0.015000015497207642,0.12600000202655792,0.0,0.0,0.0,0.0,0.017999999225139625,0.0,0.015000000596046448,4.0,7.0,01-23,0.011500001574556036
01-09,0.0,-0.03299999237060547,-0.0030000060796737393,0.015000015497207642,0.12600000202655792,0.0,0.0,0.0,0.0,0.01999999955296517,-0.009999999776482582,0.015000000596046448,4.0,7.0,01-24,0.010833334953834615
01-10,0.0,-0.03299999237060547,-0.0030000060796737393,0.015000015497207642,0.12600000202655792,0.0,0.0,0.0,0.0,0.017999999225139625,-0.009999999776482582,0.015000000596046448,4.0,7.0,01-25,0.010666668259849153
01-11,0.0,-0.03299999237060547,0.01499998569488531,0.020999997854232788,0.12600000202655792,0.0,0.0,0.0,0.0,0.012999996542930617,-0.009999999776482582,0.015000000596046448,5.0,6.0,01-26,0.012249999213963752
01-12,0.0,-0.030000001192092896,0.01499998569488531,0.0,0.12600000202655792,0.0,0.0,0.0,0.0,0.012999996542930617,-0.009999999776482582,0.015000000596046448,4.0,7.0,01-27,0.010749998657653734
01-13,0.0,-0.050999999046325684,0.01499998569488531,0.0,0.12600000202655792,0.0,0.0,0.0,0.0,0.012999996542930617,-0.009999999776482582,0.015000000596046448,4.0,7.0,01-28,0.00899999883646767
01-14,0.0,-0.050999999046325684,0.02999998629093173,0.0,0.12600000202655792,0.0,0.0,0.0,0.0,0.012999996542930617,-0.009999999776482582,0.015000000596046448,4.0,7.0,01-29,0.010249998886138204
01-15,0.0,-0.050999999046325684,0.01499998569488531,0.0,0.12600000202655792,0.0,0.0,0.0,0.0,0.012999996542930617,-0.009999999776482582,0.015000000596046448,4.0,7.0,01-30,0.00899999883646767
01-16,0.0,-0.050999999046325684,0.01499998569488531,0.0,0.0,0.0,0.0,0.0,0.0,-0.0020000003278255393,-0.009999999776482582,-0.014000000432133675,1.0,10.0,01-31,-0.0051666678239901806
01-17,0.0,-0.050999999046325684,0.01499998569488531,0.11399999260902405,0.0,0.0,0.0,0.0,0.0,-0.0020000003278255393,-0.009999999776482582,-0.014000000432133675,2.0,9.0,02-01,0.004333331560095156
01-18,0.0,-0.050999999046325684,0.01499998569488531,0.11399999260902405,0.0,0.0,0.0,0.0,0.0,-0.0020000003278255393,-0.009999999776482582,0.0,2.0,9.0,02-02,0.005499998262772962
01-19,0.0,-0.050999999046325684,0.0,0.11399999260902405,0.0,0.0,0.0,0.0,0.0,-0.014999996870756156,0.0,0.0,1.0,10.0,02-03,0.003999999724328517
01-20,0.0,-0.050999999046325684,0.0,0.11399999260902405,0.0,0.0,0.0,0.0,0.0,-0.014999996870756156,0.0,0.0,1.0,10.0,02-04,0.003999999724328517
01-21,0.0,-0.078000009059906,0.0,0.11399999260902405,0.0,0.0,0.0,0.0,0.0,-0.014999996870756156,0.0,0.0,1.0,10.0,02-05,0.0017499988898634904
01-22,0.0,-0.078000009059906,0.0,0.11399999260902405,0.0,0.0,0.0,0.0,0.0,-0.014999996870756156,0.0,0.0,1.0,10.0,02-06,0.0017499988898634904
01-23,0.0,-0.078000009059906,0.0,0.11399999260902405,0.0,0.0,0.0,0.0,0.0,-0.014999996870756156,0.0,0.0,1.0,10.0,02-07,0.0017499988898634904
01-24,0.0,-0.078000009059906,0.0,0.11399999260902405,0.0,0.0,0.0,0.0,0.0,-0.014999996870756156,0.0,0.0,1.0,10.0,02-08,0.0017499988898634904
01-25,0.0,-0.078000009059906,0.0,0.11399999260902405,0.0,0.0,0.0,0.0,0.0,-0.03299999795854092,0.0,0.0,1.0,10.0,02-09,0.0002499987992147599
01-26,0.0,-0.027000010013580322,0.0,0.11399999260902405,0.0,0.0,0.0,0.0,0.0,-0.03299999795854092,0.0,0.0,1.0,10.0,02-10,0.0044999987197419005
