,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,ups,downs,end_day_sum,avg
01-02,0.14999997615814215,0.21000003814697266,0.06000000238418579,0.0,0.0,0.029999971389770952,-0.21000003814697266,-0.009999990463256836,0.0,0.09000000357627869,0.030000001192092896,-0.01000000536441803,6.0,6.0,01-17,0.0283333299060663
01-03,0.14999997615814215,0.21000003814697266,0.06000000238418579,0.0,0.0,0.029999971389770952,-0.12000000476837158,-0.009999990463256836,0.0,0.09000000357627869,0.030000001192092896,-0.01000000536441803,6.0,6.0,01-18,0.03583333268761639
01-04,0.14999997615814215,0.21000003814697266,0.06000003218650812,0.0,0.0,0.08999991416931152,-0.12000000476837158,-0.019999995827674866,0.01000000536441803,0.06000000238418579,0.030000001192092896,-0.01000000536441803,7.0,5.0,01-19,0.03833333030343056
01-05,0.1199999749660492,0.18000000715255737,0.06000003218650812,0.0,0.0,0.08999991416931152,-0.18000000715255737,-0.030000001192092896,0.01000000536441803,0.06000000238418579,0.030000001192092896,-0.01000000536441803,7.0,5.0,01-20,0.02749999364217122
01-06,0.1199999749660492,0.0899999737739563,0.06000003218650812,0.0,0.0,0.20999979972839355,-0.1499999761581421,-0.02000001072883606,0.01000000536441803,0.06000000238418579,0.030000001192092896,-0.01000000536441803,7.0,5.0,01-21,0.03333331644535064
01-07,0.1199999749660492,-0.09000003337860107,0.06000003218650812,0.0,0.0,0.3299999237060547,-0.12000000476837158,-0.01000000536441803,0.01000000536441803,0.06000000238418579,0.030000001192092896,-0.01000000536441803,6.0,6.0,01-22,0.031666657576958336
01-08,0.1199999749660492,-0.09000003337860107,0.06000003218650812,0.0,0.0,0.42000007629394487,-0.15000003576278687,-0.01000000536441803,0.04999999701976776,0.050000011920928955,0.030000001192092896,-0.01000000536441803,6.0,6.0,01-23,0.039166667809088986
01-09,0.1199999749660492,-0.030000030994415283,0.06000003218650812,0.05999997258186346,0.0,0.600000143051147,-0.18000000715255737,-0.01000000536441803,0.04999999701976776,0.010000020265579224,0.030000001192092896,-0.01000000536441803,7.0,5.0,01-24,0.05833334103226658
01-10,-0.03000000119209295,-0.030000030994415283,0.06000003218650812,0.05999997258186346,0.0,0.6300001144409175,-0.06000000238418579,-0.01000000536441803,0.04999999701976776,0.030000001192092896,0.030000001192092896,-0.01000000536441803,6.0,6.0,01-25,0.060000006109476055
01-11,-0.03000000119209295,-0.030000030994415283,0.06000003218650812,0.05999997258186346,0.0,0.6300001144409175,-0.06000000238418579,-0.02000001072883606,0.04999999701976776,0.009999990463256836,0.0,0.0,5.0,7.0,01-26,0.05583333844939864
01-12,-0.03000000119209295,-0.030000030994415283,0.030000030994415283,0.05999997258186346,0.0,0.600000143051147,-0.1799999475479126,0.0,0.020000010728836087,0.009999990463256836,0.0,0.0,5.0,7.0,01-27,0.04000001400709149
01-13,-0.03000000119209295,-0.030000030994415283,0.030000030994415283,0.05999997258186346,0.0,0.5399999618530269,-0.15000003576278687,0.009999990463256836,0.020000010728836087,0.009999990463256836,0.0,0.0,6.0,6.0,01-28,0.038333324094613354
01-14,-0.03000000119209295,-0.030000030994415283,0.0,0.05999997258186346,0.0,0.2699999809265141,-0.20999997854232788,0.019999995827674866,0.010000005364418058,0.009999990463256836,0.0,0.0,5.0,7.0,01-29,0.008333327869574268
01-15,0.0,0.0,0.0,0.030000001192092896,0.26999998092651367,0.2999999523162842,-0.1799999475479126,0.030000001192092896,0.010000005364418058,0.02000001072883606,0.0,0.0,6.0,6.0,01-30,0.040000000347693764
01-16,0.0,0.0,0.0,0.030000001192092896,0.26999998092651367,0.18000006675720215,-0.20999997854232788,0.030000001192092896,0.010000005364418058,0.02000001072883606,0.0,0.0,6.0,6.0,01-31,0.027500007301568985
01-17,0.0,0.0,0.0,0.030000001192092896,0.26999998092651367,0.059999942779541016,-0.20999997854232788,0.030000001192092896,0.010000005364418058,0.02000001072883606,0.0,0.0,6.0,6.0,02-01,0.017499996970097225
01-18,0.0,0.0,0.0,0.030000001192092896,0.26999998092651367,0.059999942779541016,-0.20999997854232788,0.040000006556510925,0.010000005364418058,0.009999990463256836,0.0,0.0,6.0,6.0,02-02,0.017499995728333793
01-19,0.0,0.06000000238418579,0.0,0.030000001192092896,0.26999998092651367,0.21000003814697266,-0.24000000953674316,0.040000006556510925,-0.029999986290931674,0.019999980926513672,0.0,0.0,6.0,6.0,02-03,0.030000001192092896
01-20,0.0,0.06000000238418579,0.0,-0.029999971389770563,0.26999998092651367,0.3599998950958252,-0.24000000953674316,0.030000001192092896,-0.029999986290931674,0.019999980926513672,0.0,0.0,5.0,7.0,02-04,0.03666665777564049
01-21,0.0,0.06000000238418579,0.0,-0.029999971389770563,0.26999998092651367,0.18000006675720215,-0.0899999737739563,0.0400000065565109,-0.029999986290931674,0.0,0.0,0.0,4.0,8.0,02-05,0.03333334376414617
01-22,0.0,0.06000000238418579,0.0,-0.029999971389770563,0.26999998092651367,0.029999971389770508,-0.029999971389770508,0.05000001192092893,0.0,0.0,0.0,0.0,4.0,8.0,02-06,0.029166668653488156
01-23,0.0,0.06000000238418579,0.0,-0.029999971389770563,0.26999998092651367,0.029999971389770508,0.0899999737739563,0.030000001192092868,0.0,-0.030000001192092896,0.0,0.0,5.0,7.0,02-07,0.03499999642372131
01-24,0.0,0.1499999761581421,0.0,-0.029999971389770563,0.26999998092651367,0.09000015258789062,0.030000030994415283,0.009999990463256836,-0.009999990463256836,-0.030000001192092896,0.0,0.0,5.0,7.0,02-08,0.04000001400709152
01-25,0.0,0.1499999761581421,0.0,-0.029999971389770563,0.26999998092651367,0.18000006675720215,0.030000030994415283,0.009999990463256836,0.009999990463256836,-0.030000001192092896,0.0,0.0,6.0,6.0,02-09,0.04916667193174362
01-26,0.0,0.1499999761581421,0.0,0.0,0.0,0.24000000953674316,0.06000000238418579,0.01000000536441803,0.009999990463256836,-0.04000002145767212,0.0,0.0,5.0,7.0,02-10,0.035833330204089485
01-27,0.0,0.1499999761581421,0.0,0.0,0.1199999451637268,0.26999998092651367,0.1499999761581421,0.01000000536441803,0.009999990463256836,-0.04000002145767212,0.0,0.0,6.0,6.0,02-11,0.05583332106471062
