,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,ups,downs,end_day_sum,avg
01-02,0.06486144289374352,0.0,0.0,0.0,0.18531844019889837,0.0,0.0,0.0,0.0,0.0,-0.007973015308380127,-0.09239792823791504,2.0,9.0,01-17,0.012484078295528894
01-03,0.06486144289374352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01594597101211548,-0.04619884490966797,1.0,10.0,01-18,0.0002263855809966723
01-04,0.06486144289374352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01594597101211548,-0.04619884490966797,1.0,10.0,01-19,0.0002263855809966723
01-05,0.06486144289374352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04619884490966797,1.0,10.0,01-20,0.0015552164986729622
01-06,0.02316480502486229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04619884490966797,1.0,10.0,01-21,-0.0019195033237338066
01-07,0.009265929460525513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.049418300390243475,0.0,-0.09794151782989502,1.0,10.0,01-22,-0.011507824063301081
01-08,-0.009265907108783722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.049418300390243475,0.031094789505004883,-0.032339334487914595,1.0,10.0,01-23,-0.004994062706828076
01-09,-0.041696637868881226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.049418300390243475,0.0,-0.12473726272582963,0.0,11.0,01-24,-0.01798768341541286
01-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.049418300390243475,0.0,-0.10625767707824663,0.0,11.0,01-25,-0.012972998122374175
01-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.049418300390243475,0.031094789505004883,-0.032339334487914595,1.0,10.0,01-26,-0.004221903781096099
01-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.049418300390243475,0.031094789505004883,-0.032339334487914595,1.0,10.0,01-27,-0.004221903781096099
01-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.049418300390243475,0.031094789505004883,0.23099470138549805,2.0,9.0,01-28,0.017722599208354953
01-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.049418300390243475,0.031094789505004883,0.23099470138549805,2.0,9.0,01-29,0.017722599208354953
01-15,0.0,0.0,0.0,0.0,-0.15752065181732183,0.0,0.0,0.0,0.0,-0.049418300390243475,-0.02391916513442993,0.23099470138549805,1.0,10.0,01-30,1.1382003625233969e-05
01-16,0.0,0.0,0.0,0.0,-0.15752065181732183,0.0,0.0,0.0,0.0,-0.049418300390243475,-0.02391916513442993,0.0,0.0,11.0,01-31,-0.01923817644516627
01-17,0.0,0.0,0.0,0.0,-0.15752065181732183,0.0,0.0,0.0,0.0,-0.049418300390243475,-0.02391916513442993,0.05174267292022705,1.0,10.0,02-01,-0.014926287035147348
01-18,0.0,0.0,0.0,0.0,-0.15752065181732183,0.0,0.0,0.0,0.0,0.0,-0.02391916513442993,0.032339334487914595,1.0,10.0,02-02,-0.012425040205319765
01-19,0.0,0.0,0.0,0.0,-0.15752065181732183,0.0,0.0,0.0,0.0,0.0,-0.02391916513442993,-0.013859391212464045,0.0,11.0,02-03,-0.016274934013684652
01-20,0.0,0.0,0.0,0.0,-0.15752065181732183,0.0,0.0,0.0,0.0,0.0,0.0,0.032339334487914595,1.0,10.0,02-04,-0.01043177644411727
01-21,0.0,0.0,0.0,0.0,-0.15752065181732183,0.0,0.0,0.0,0.0,0.0,0.09567642211914062,0.032339334487914595,2.0,9.0,02-05,-0.002458741267522218
01-22,0.0,0.0,0.0,0.0,-0.15752065181732183,0.0,0.0,0.0,0.0,0.0,0.09567642211914062,-0.013859391212464045,1.0,10.0,02-06,-0.006308635075887105
01-23,0.0,0.0,0.0,0.0,-0.15752065181732183,0.0,0.0,0.0,0.0,0.0,0.09567642211914062,0.06929850578308061,2.0,9.0,02-07,0.0006211896737416169
01-24,0.0,0.0,0.0,0.0,-0.15752065181732183,0.0,0.0,0.0,0.0,-0.012292742729187067,0.09567642211914062,-0.19403553009033203,1.0,10.0,02-08,-0.022347708543141692
01-25,0.0,0.0,0.0,0.0,-0.15752065181732183,0.0,0.0,0.0,0.0,-0.012292742729187067,0.09567642211914062,-0.19403553009033203,1.0,10.0,02-09,-0.022347708543141692
01-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.012292742729187067,0.11959558725357056,-0.19403553009033203,1.0,10.0,02-10,-0.007227723797162379
01-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.012292742729187067,0.11959558725357056,-0.19403553009033203,1.0,9.0,02-11,-0.007227723797162379
01-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.012292742729187067,0.11959558725357056,-0.19403553009033203,1.0,9.0,02-12,-0.007227723797162379
01-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.012292742729187067,0.11959558725357056,-0.18479561805725075,1.0,8.0,02-13,-0.006457731127738939
01-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.012292742729187067,0.11959558725357056,-0.13859689235687211,1.0,8.0,02-14,-0.002607837319374052
01-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.012292742729187067,0.08451414108276367,-0.18479561805725075,1.0,8.0,02-15,-0.009381184975306179
02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.012292742729187067,-0.011162281036376953,-0.18479561805725075,0.0,9.0,02-16,-0.01735422015190123
02-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.012292742729187067,-0.011162281036376953,-0.18479561805725075,0.0,9.0,02-17,-0.01735422015190123
