,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,ups,downs,end_day_sum,avg
01-02,0.0,10.799999237060554,2.55999755859375,-1.0399999618530273,4.160001754760746,1.0399999618530273,0.6399993896484348,-0.5599999427795401,0.0899996757507342,-0.1399998664855957,0.30000001192092896,0.33000004291534424,8.0,4.0,01-17,1.5149998217821128
01-03,0.0,10.799999237060554,2.9599990844726562,-1.0399999618530273,4.480001449584961,0.8000001907348615,0.39999961853027166,-0.5599999427795401,0.10999965667724698,-1.190000057220459,0.33000004291534435,0.33000004291534424,8.0,4.0,01-18,1.451666613419851
01-04,0.0,11.36000061035157,4.240001678466797,-2.0,4.64000129699707,0.5599994659423828,0.39999961853027166,-0.5599999427795401,-0.08999967575073065,-1.559999942779541,0.33000004291534435,0.3400000333786011,7.0,5.0,01-19,1.4716669321060187
01-05,0.0,9.040000915527337,4.6399993896484375,-1.2799997329711914,3.520000457763672,0.5599994659423828,0.4800004959106463,-0.8000001907348633,0.07999992370605469,-1.0299997329711905,0.350000023841858,0.3400000333786011,8.0,4.0,01-20,1.325000087420145
01-06,0.0,19.279998779296868,3.6800003051757812,-1.2799997329711914,3.520000457763672,0.9600000381469727,0.6400003433227539,-0.48000001907348633,0.23999977111816406,-0.7899999618530273,0.350000023841858,0.36000001430511475,8.0,4.0,01-21,2.206666668256123
01-07,0.0,15.680000305175781,3.440002441406243,-1.6000003814697266,2.159999847412113,1.360000610351559,0.31999969482421875,-0.48000001907348544,0.1099996566772461,-0.7799999713897705,0.3700000047683716,0.3100000023841858,8.0,4.0,01-22,1.740833515922228
01-08,0.0,11.84000015258789,1.8400001525878906,-1.3600006103515643,3.039999008178711,2.0000000000000018,0.5600004196166992,0.0,0.07999992370605558,-0.630000114440918,0.27000004053115834,0.3199999928474426,8.0,4.0,01-23,1.496666580438614
01-09,0.0,12.080001831054688,0.7199974060058594,-1.0399999618530273,2.7999992370605504,2.0799999237060582,0.5600004196166992,-0.1600003242492667,-0.010000228881835938,-1.0899999141693129,0.16999995708465576,0.27000004053115856,7.0,5.0,01-24,1.3649998654921855
01-10,0.0,8.160003662109375,2.3999977111816406,-0.31999969482421875,2.239999771118164,1.6799993515014684,0.4800004959106463,-0.32000017166137695,-0.03999996185302557,-1.1600000858306885,0.10000002384185791,0.19999998807907116,7.0,5.0,01-25,1.118333424131076
01-11,0.0,11.760002136230469,1.3600006103515625,0.5600004196166974,1.6000003814697266,1.4399995803833043,0.4800004959106463,-0.24000024795532227,-0.7300000190734863,-0.8600001335144039,0.11000001430511475,0.15000003576278698,8.0,4.0,01-26,1.3025002727905912
01-12,0.0,6.240001678466797,-0.07999801635741477,0.39999961853027344,-0.4799995422363281,1.2799997329711914,0.6400003433227557,-0.07999992370605469,-0.3299999237060556,-0.9400000572204585,-0.28999996185302734,0.17000001668930054,5.0,7.0,01-27,0.5441669970750816
01-13,0.0,4.880001068115227,0.0,0.39999961853027344,-0.5599994659423828,0.9600000381469727,0.5599994659423846,0.07999992370605469,-0.34999990463256836,-0.5199999809265132,-0.349999964237213,0.14000004529953003,6.0,6.0,01-28,0.4366667370001471
01-14,0.0,1.1999969482421875,-0.31999969482421875,1.1199998855590803,-1.0399990081787145,-0.5599994659423793,0.8800001144409197,-0.24000024795532227,-0.22000026702880948,-0.00999999046325728,-0.3100000023841858,0.10999995470046997,4.0,8.0,01-29,0.05083318551381418
01-15,0.0,1.9199981689453125,-0.15999984741210938,1.5999994277954084,-0.8000011444091797,-0.07999992370605469,1.2799997329711896,0.07999992370605469,-0.11000013351440519,-0.39999985694885254,-0.1299999952316283,-0.009999990463256836,4.0,8.0,01-30,0.2658330301443732
01-16,0.0,-10.240001678466797,0.55999755859375,1.5999994277954084,-1.2800006866455078,-0.32000064849853693,1.119999885559082,0.0,-0.1700000762939462,-0.440000057220459,-0.18000000715255737,-0.050000011920928955,3.0,9.0,01-31,-0.7833338578542076
01-17,0.0,-11.279998779296868,-0.15999984741210938,1.1199998855590803,-1.1200008392333984,-0.48000049591064453,0.880000114440918,0.07999992370605558,0.3599996566772461,-0.5100002288818359,-0.19999998807907093,-0.030000030994415283,4.0,8.0,02-01,-0.9450000524520868
01-18,4.0,-12.959999084472656,1.9199981689453196,0.8000001907348633,-2.159999847412106,-1.1199998855590874,1.4399995803833008,0.07999992370605558,-0.01999998092651456,-0.4900000095367427,-0.12000000476837136,-0.030000030994415283,5.0,7.0,02-02,-0.7216667483250294
01-19,4.0,-12.959999084472656,1.9199981689453125,0.07999992370605824,-3.600000381469723,-1.279999732971195,1.4399995803833008,0.0,-0.07000017166137784,-0.6399998664855953,-0.09999996423721302,0.08999997377395619,5.0,7.0,02-03,-0.9266667962074276
01-20,4.0,-10.799999237060547,3.2800025939941406,-0.2400007247924787,-3.039999008178711,-1.5199995040893572,0.23999977111816406,-0.07999992370605558,0.019999980926513672,-0.14999985694885165,-0.12999999523162842,0.039999961853027344,5.0,7.0,02-04,-0.6983329951763153
01-21,4.0,-1.6800003051757884,1.6000022888183594,-0.3200006484985334,-3.039999008178711,-1.4399995803833043,0.6400003433227539,0.07999992370605469,0.19999980926513583,-0.19000005722045854,-0.09999996423721302,0.009999990463256836,6.0,6.0,02-05,-0.019999767343203995
01-22,4.0,-5.279998779296882,1.2800025939941406,-0.16000080108642578,-3.440000534057617,-1.4399995803833043,-0.07999992370605469,0.0,0.019999980926513672,-0.25,-0.07999998331069946,0.17000001668930054,4.0,8.0,02-06,-0.43833308418591904
01-23,4.0,0.15999984741210227,0.8800010681152344,0.0,-2.799999237060547,-1.5999994277954084,-0.23999977111816406,-0.24000024795532227,0.26999998092651367,-0.7300000190734863,-0.050000011920928955,0.09000003337860096,5.0,7.0,02-07,-0.021666482090950467
