,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,ups,downs,end_day_sum,avg
01-02,-0.0869979858398433,-0.09161901473999112,0.405897617340087,0.10057592391967773,0.2087535858154297,-0.09472942352294922,-0.2655668258666992,0.004597663879396308,-0.7994480133056641,3.104940414428711,-1.643753051757816,-0.20600128173828125,5.0,7.0,01-17,0.053054134051004787
01-03,-0.0869979858398433,-0.09161901473999112,0.09663963317871005,0.10057592391967773,0.2087535858154297,-0.09472942352294922,-0.2655668258666992,0.004597663879396308,-0.5643177032470703,3.5826091766357457,-0.6478252410888707,0.1667652130126953,6.0,6.0,01-18,0.2007404168446859
01-04,-0.0869979858398433,0.0,-0.13143587112426758,0.0362091064453125,0.10855579376220881,-0.3961391448974627,-0.2655668258666992,0.004597663879396308,-0.42323875427246094,3.5826091766357457,-0.6091499328613317,-0.10790634155273438,4.0,8.0,01-19,0.14262807369232197
01-05,-0.0869979858398433,0.09161663055419922,-0.22034692764282227,0.0362091064453125,0.0,-0.3961391448974627,-0.2655668258666992,-0.018401145935058594,-0.7994499206542969,3.7736835479736293,-0.3577537536621165,-0.10790634155273438,3.0,9.0,01-20,0.1374122699101756
01-06,0.13571548461914107,-0.25652599334716797,-0.4909482002258301,0.02011728286743253,0.0,-0.3961391448974627,-0.02655696868896662,0.023004531860351562,-0.7994499206542969,3.5348453521728516,-0.3577537536621165,-0.03923988342284801,4.0,8.0,01-21,0.112255732218424
01-07,-0.17399549484252885,0.18323278427124112,-0.4909482002258301,0.02011728286743253,0.622093200683592,-0.3961391448974627,-0.6860399246215803,0.43701934814453125,-0.7994499206542969,2.818319320678711,-0.7251853942871165,0.4512424468994176,6.0,6.0,01-22,0.10502219200134251
01-08,-0.02783966064453125,0.09161901473999112,-0.15462970733642578,0.02011728286743253,0.622093200683592,-0.2798814773559588,-0.6639108657836896,0.6670312881469727,-2.2572746276855504,3.5348453521728516,-0.6865100860595739,0.4316234588623118,6.0,6.0,01-23,0.10810693105061848
01-09,-0.017399787902832475,0.09161901473999112,-0.15462970733642578,0.02011728286743253,0.11690330505371094,0.1162576675415039,-0.6639108657836896,0.6670312881469727,-2.915647506713867,3.487081527709961,-0.9185676574706996,0.2844772338867223,7.0,5.0,01-24,0.009444316228231645
01-10,-0.10439729690551802,0.09161901473999112,-0.15462970733642578,-0.016094207763670987,-0.28808116912841797,0.1162576675415039,-0.6639108657836896,0.6670312881469727,-3.056732177734375,0.52545166015625,-0.4061069488525426,0.500289916992191,5.0,7.0,01-25,-0.23244190216064428
01-11,-0.10439729690551802,0.09161901473999112,-0.2937936782836905,-0.016094207763670987,0.05010509490966797,0.1162576675415039,-0.04426002502441051,0.02300262451171875,-1.391988754272461,0.8025054931640625,-0.3674297332763672,0.058855056762698865,6.0,6.0,01-26,-0.08963489532470625
01-12,-0.10439729690551802,-0.20155572891235352,-0.5373320579528809,-0.08448410034179776,0.11690330505371094,0.08181190490722656,-0.3850688934326154,-0.3956165313720721,-1.3637733459472656,0.5636520385742188,-0.19338417053222656,-0.15695571899414062,3.0,9.0,01-27,-0.22168338298797619
01-13,-0.10439729690551802,0.09161901473999112,-0.2280740737915039,-0.08448410034179776,0.11690330505371094,-0.012919425964355469,-0.039834976196287286,-0.46001815795898615,-1.5989036560058594,0.13374710083007812,0.0,-0.27467155456542613,3.0,9.0,01-28,-0.2050861517588295
01-14,-0.08699750900268555,0.0,-0.2860589027404785,-0.02011728286743253,0.11690330505371094,-0.012919425964355469,-0.29211902618408025,-0.44161891937256037,-1.1756649017333984,-0.047763824462890625,0.2804069519043004,0.13733482360839844,3.0,9.0,01-29,-0.152384559313456
01-15,-0.08699750900268555,0.18323278427124112,-0.1468954086303711,-0.02011728286743253,0.0,-0.012919425964355469,-0.4735870361328107,-0.41862010955810547,-1.3167419433593714,0.12419509887694602,-0.06768226623535512,0.27466773986816406,3.0,9.0,01-30,-0.16345544656117802
01-16,-0.3097109794616699,0.27118539810180753,-0.1352982521057129,0.15689516067504883,0.0,-0.012919425964355469,-0.4735870361328107,-0.41862010955810547,-1.504852294921875,-0.4776802062988281,0.19337844848633168,0.4904804229736257,4.0,8.0,01-31,-0.185060739517212
01-17,0.0,0.27118539810180753,-0.15076112747192383,0.15689516067504883,-0.622093200683592,-0.012919425964355469,0.21245288848876953,-0.24381065368652344,-1.7870101928710938,-0.23883438110351562,0.6768398284912145,0.4904804229736257,5.0,7.0,02-01,-0.10396460692087817
01-18,0.0,0.23453760147094727,-0.52960205078125,0.18907833099365234,-0.622093200683592,-0.12917709350585938,0.21245288848876953,-0.23920917510986328,-0.7053985595703125,-0.2866058349609375,0.6768398284912145,0.1569538116455007,5.0,7.0,02-02,-0.0868519544601442
01-19,0.05219817161560014,0.23453760147094727,-0.2590007781982422,0.18907833099365234,-0.11690330505371094,-0.12917709350585938,0.21245288848876953,-0.43701934814453125,0.8464775085449254,-1.0031318664550781,0.9185676574706996,-0.17657279968262074,6.0,6.0,02-03,0.027625580628712638
01-20,0.17747402191162065,-0.14658737182617276,-0.2590007781982422,0.18907833099365234,-0.3214874267578125,-0.12917709350585938,0.21245288848876953,-0.41862010955810547,1.5048503875732422,-0.9553680419921875,0.45444869995116477,-0.294286727905277,5.0,7.0,02-04,0.0011480649312327247
01-21,0.16703486442565918,-0.10993862152099698,-0.2590007781982422,0.21724128723144442,-0.3214874267578125,-0.004305839538574219,0.1903238296508789,-0.4324188232421875,1.5048503875732422,0.2866058349609446,0.6478328704833949,-0.1275253295898473,6.0,6.0,02-05,0.1466010212898253
01-22,0.2923104763031015,-0.10993862152099698,-0.2280755043029794,0.21724128723144442,-0.3214874267578125,0.5597648620605487,0.02213096618652166,0.2116098403930664,2.0221405029296875,-0.6209945678710938,0.6284904479980398,-0.09809494018555043,7.0,5.0,02-06,0.21459144353866474
01-23,0.2923104763031015,0.18323612213134766,0.13143444061279297,-0.004023551940918857,-0.3214874267578125,-0.1205635070800799,0.36293983459472656,-0.004598617553709161,2.304302215576172,-2.1018028259277415,1.0152626037597656,0.1765727996826172,7.0,5.0,02-07,0.15946521361668844
01-24,0.2923104763031015,0.14658737182617188,-0.2744655609130868,0.036207675933837,-0.3214874267578125,-0.02583217620849787,0.017705917358398438,0.018403053283693183,1.1286373138427734,-0.8502731323242188,1.1119499206543004,0.2942886352539027,8.0,4.0,02-08,0.13116933902104688
01-25,0.2923104763031015,0.018325328826904297,-0.3169889450073242,0.02816200256347745,-0.3214874267578125,-0.02583217620849787,0.039834976196287286,-0.009199142456052911,1.4578227996826172,-0.7165260314941406,0.83154296875,0.28447723388671875,7.0,5.0,02-09,0.13020350535710654
01-26,0.2923104763031015,0.018322467803955078,-0.26287078857421875,0.02816200256347745,-0.20458412170410156,-0.12917518615722656,0.039834976196287286,0.023000717163085938,1.3167419433593714,-0.8884849548339773,0.9862461090087962,0.19618988037109375,8.0,4.0,02-10,0.11797446012497037
01-27,0.2783911228179923,0.018322467803955078,-0.27446794509887695,-0.1488504409790039,-0.20458412170410156,-0.04305934906005682,0.29211902618408025,0.041400909423828125,1.504852294921875,-0.2866096496582031,1.469705581665039,-0.019620895385738635,6.0,6.0,02-11,0.21896658341089906
01-28,0.2783911228179923,0.08131170272826971,-0.259005069732666,-0.1488504409790039,-0.20458412170410156,-0.04305934906005682,0.4735870361328107,0.8222131729125977,1.7870101928710938,-0.4299201965332031,1.6437511444091868,-0.3531455993652344,6.0,6.0,02-12,0.3039749662081404
