,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,ups,downs,avg
01-02,-20.655742318231233,7.222042449593917,-4.881034685861977,3.029717684427216,2.969381186051044,-11.510330187815324,-9.933284745509647,-26.697223091945606,0.03772482465200241,12.077117663449624,8.514589335403352,-1.0748364259395708,6.0,6.0,-3.4084898593105173
01-03,-18.032793890647426,7.222042449593917,-5.372095594165863,4.721277207473884,0.6673914374345247,-10.699516000441038,-8.648381256310698,-26.697223091945606,0.20088343885014062,9.186746569764676,10.589411363516707,0.46208608715763444,7.0,5.0,-3.0333476066432614
01-04,-18.032793890647426,6.181929661355181,-3.067792515189895,6.068097099538433,-2.3125839775137127,-9.348167107752433,-8.648381256310698,-25.06283002740078,-1.869624750390052,6.890421492505813,7.675658516387679,1.6474126965076625,5.0,7.0,-3.323221171575852
01-05,-8.761327883400133,-1.1944280611870246,-4.2232286493938105,8.586133887389057,-0.23281316959245205,-9.348167107752433,-12.541596017795802,-22.20140211089455,2.8641971541039735,2.8731274231037376,4.711957652923415,1.6474126965076625,5.0,7.0,-3.1516778488323625
01-06,-15.699996948242207,-2.222924295581741,-4.44100501170264,7.8323191199446445,-0.23281316959245205,-8.349085184750535,-4.963062266197102,-13.461193094470003,2.7407422477816357,0.12713717119212145,4.711957652923415,3.9438797518205044,5.0,7.0,-2.5011703355728634
01-07,-26.931816297621786,-9.430899271150915,-4.286082796365194,5.791501648336388,0.046430551019169486,-6.592036511018081,-8.12957508866984,-7.792428985479965,3.1728391294126155,-0.6405329434255846,5.311050889160877,5.311370154784287,5.0,7.0,-3.680848293418169
01-08,-19.843920624104864,-10.08129585080028,-4.15698587498253,5.513549491072391,0.5834442951677337,-5.770130700056889,-11.444386398973922,-2.3462903685654832,3.26837871982376,1.1575311518398235,5.620724507826053,6.337477466106542,6.0,6.0,-2.596825348803972
01-09,-19.06354500826994,-8.097566434038386,-3.808542251649076,5.321502790572353,-0.16951858743446116,-4.294000343986316,-8.097323494871619,-4.726840495086155,2.2679123923043223,1.632854718729768,2.434643235117554,5.860057035840123,5.0,7.0,-2.5616972035643197
01-10,-9.921954996142244,-11.394106931946668,-5.353876176663219,5.074737164958313,5.378403376889831,-3.7611622935745643,-8.213178718271545,-7.017854706097388,-1.3469280739428908,0.7970612931688446,1.5045160990811184,5.228381732783018,5.0,7.0,-2.4188301858131167
01-11,-9.55555174085829,-16.18315613191576,-4.493505304509943,4.840204498213676,6.289496549675149,-1.88058413589336,-7.52110159946967,-5.1952527133534945,1.224335711472643,-1.5241202843873891,-0.16716562124915202,1.846454322355927,4.0,8.0,-2.693328870826639
01-12,-7.877453898352303,-1.1272154269555368,-6.116612183281815,5.3170105458641554,6.700956897566554,-2.7014264135547705,-6.74285404265873,-7.061099237342681,2.8110523836915955,-3.879584147542247,1.4376472997975824,2.8565943886049707,5.0,7.0,-1.3652486528469352
01-13,-1.344365185266293,-0.3496522999133023,-3.257004119193664,3.6360275542005196,6.246307539851512,-4.82102814640097,0.0484977132629822,-2.416129704749176,2.652161057246475,-0.36528645642634505,1.7988038217624027,1.7509756793018108,6.0,6.0,0.29827562113966266
01-14,4.388715670713108,-5.687198191466792,-2.849870111011575,3.946646931259684,5.801186585894679,-5.888992801128284,1.7599186296685017,-7.763132847883991,1.943285680543953,-0.5552782095763154,2.351775353631832,3.5096168518066406,7.0,5.0,0.07972279520428664
01-15,0.20100004495210458,-2.031138982821478,-1.2213729047192647,3.310647916906545,3.607629849265985,-1.4516153643208052,3.003970012766167,-5.957752795493368,-0.2123479934100936,0.7597466725568239,2.77048955198193,4.727720272759805,7.0,5.0,0.6255813567020292
01-16,-0.5025144893802372,-6.601214607836478,-1.195617882438447,3.7179465861323036,4.984511687229241,-3.895255527908538,-0.7944381939472458,-1.6609532294281266,-1.1727620042697668,0.01255130621663995,0.2822483317903632,2.403295746415399,5.0,7.0,-0.3685168564520744
01-17,11.557785332412056,-8.586206107304015,-4.327295213640587,3.4172342456788374,2.987984848892756,-5.2700512293252455,1.5144007667276562,-7.646721267421647,0.0,0.8445709737561529,0.9342725954854633,1.752203933623379,7.0,5.0,-0.2351517600929328
01-18,11.379658405971348,-8.586206107304015,-5.126846244413438,-1.968502501043964,2.2072090906643798,-4.664488314227173,3.818646632869438,-4.958061084358091,-0.2599320238803163,0.4971311724916213,-0.6064624762519184,1.4936855146700019,5.0,7.0,-0.5645139945676773
01-19,11.735206067778964,-2.5732866076420056,0.180411588146005,0.055287099566624795,2.5675662517276607,-3.4454886422355733,1.306136409665178,-2.177464615585685,-2.3995977753926687,-1.3129463973987896,-0.31142836687997333,1.2383612731135931,6.0,6.0,0.40522969040527745
01-20,10.112357252050277,2.9356069956345316,-2.3709208313628416,0.2580158385166616,4.207260944785775,-4.613119001391787,2.6025076975309367,-9.344565020941559,-1.3513509607226861,-3.0465257904665726,-0.27855478787956417,-2.0938778214167275,5.0,7.0,-0.2485971238052965
01-21,1.428572626278526,4.664533929904886,-0.8693409879181822,0.12900791925835045,4.58756454724464,-6.017906310478161,6.126887848730174,-7.811319603110259,-0.3283684456028893,-4.864444387263295,-0.47611380110628104,-1.080760942536807,5.0,7.0,-0.3759739672166082
01-22,0.44247745599357413,8.594245023252004,-1.422552498817705,0.5505653193554111,3.937829077626008,-2.85299876151466,5.2248729181829034,-9.679247298330617,-0.8249797161137091,-11.982260152304649,1.1148790329837872,-1.3593429161197192,6.0,6.0,-0.6880427096506144
01-23,-1.1061989147312827,0.7987220641973346,2.506967932104767,1.3471721725023862,1.8037517243201528,-3.0273448110771874,4.5338804226253675,-7.150945123636497,0.6999969482421875,-16.90578346692955,4.057736714054569,-4.157485011587401,7.0,5.0,-1.3832941124929292
01-24,-6.969027844019794,-5.936539757156965,5.498285680363027,3.6146702008768363,1.7268935976861788,-0.9440134179992612,0.012116022663066635,-3.5935812325243788,-2.770717204779135,-11.190472959406813,2.3898511561026137,-2.9853770447247316,5.0,7.0,-1.762326066909946
01-25,-4.314990278077818,-3.1561423373790456,6.063577663595944,2.2154755251427996,2.1912669510722744,-0.8789077597612504,2.712898626420995,-3.4049577729946647,-4.37555853027436,-8.771447527096917,1.8370952434612415,-4.187537886150204,5.0,7.0,-1.172435673503417
01-26,10.296843081380212,-5.74789608226103,5.0724691097068195,1.8060321822114949,2.6556403044583496,1.1167848748106193,3.237910107936602,-7.132212219633087,-4.285529581072979,-10.212769522636576,0.8291307680863076,-11.432548976330322,7.0,5.0,-1.149678829445299
01-27,10.644260870796348,4.339372673758817,4.308666939799474,1.3906456070387871,1.886793716110877,1.587805664128926,3.0819935075209353,-3.9797238852394132,-3.2955666527567935,-9.389161442076032,-5.390461082080921,-10.029627267902583,7.0,5.0,-0.4037501125751317
01-28,1.4851541241502622,4.163913481002636,7.181111566332474,1.6976677710710482,1.901134066363685,0.6887719094566974,5.534710703876069,2.823705008471265,-4.506977810555477,-6.1966970537665915,-7.394367639707748,-9.68926676522566,8.0,4.0,-0.19259505321094506
01-29,1.4880914649365145,4.163913481002636,7.887053393501792,4.475253172247508,0.17665647879128288,1.83162463625079,2.1703057847224088,0.3343865856455268,-2.938158639716391,-3.3190785416173942,-4.294371501707928,-7.681209136740952,8.0,4.0,0.3578722647763161
01-30,1.0912664435498,-1.4540665258741436,2.974358583107973,-0.07354461477518745,1.97233429368921,0.45088371365026486,4.660816318073368,-2.3778538654227575,-2.2820000762550374,-1.9272773541185888,-2.0404706260658854,-8.58959432665086,5.0,7.0,-0.632929003090987
01-31,2.8769837703173957,-1.4540665258741436,4.805031062671973,-0.31973291235106754,-0.5193626313860094,1.5619926406440947,3.3918413433380463,-2.3778538654227575,-3.0747687503960464,-4.307934986318115,-2.279203372021166,-5.045341730942837,4.0,8.0,-0.561867996478386
02-01,2.8769837703173957,-8.06054532849967,1.397710948889259,0.07366651213512823,-0.9200218907811237,2.866342710199346,3.3918413433380463,-5.940023309105387,-0.06319101920056323,-0.7185725317279242,-2.078099072428234,-6.098194991671927,5.0,7.0,-1.1060085715446377
02-02,1.903803497978172,-20.456278418951516,2.741480215960954,-4.06799282522188,-0.23742938649432996,2.866342710199346,4.254822130552316,-7.228920369418951,2.824372056995001,5.68330078663303,-3.72046470391632,-6.098194991671927,6.0,6.0,-1.7945966081130091
02-03,8.72617715403885,-21.647881049049193,3.4710295141571335,-4.90832632709353,-0.23742938649432996,3.5959725283267336,1.8852222040900215,-3.8197860765565292,1.3320199884862767,11.667102427959588,-3.72046470391632,-3.9632249161838162,6.0,6.0,-0.6349657201862594
02-04,-0.4444440205891927,-9.324878962328333,0.41554184693077256,-7.25744689221659,-0.2225541876602568,1.7265961256864366,0.9248189439162544,-5.443350500081922,2.9600412822877793,11.667102427959588,-4.104286956090429,-3.0241482645140634,5.0,7.0,-1.0105840963916632
02-05,-17.789079956322443,-12.271544129296753,0.024439798510132726,-7.25744689221659,-3.975996196864267,3.0303061318608973,-1.4478869078512102,-5.635692240594907,2.9600412822877793,11.331146740522541,-0.9389639178552471,1.3441397571156093,5.0,7.0,-2.552211377558705
02-06,-36.97585628624677,-10.966059651707162,0.024439798510132726,-2.6878794251518356,-11.830582370316241,1.1044505382496712,-1.9983225739424544,-3.289092189394761,1.1060800407514781,6.176080213510766,0.0812265280090042,11.325413937240201,6.0,6.0,-3.9941751200406643
02-07,-36.086406529676054,-5.985038558748377,-0.2451036536479212,-2.135040145860673,-12.840406955605271,0.6311163129344426,-1.7231093055698963,-3.2493799191424975,2.3907336910880765,2.3327496302418207,9.079482867029649,10.194777536278949,5.0,7.0,-3.1363020858898127
02-08,-44.339621671490306,-5.123677745689075,1.709395594169471,-4.590102697792338,-12.856902263099526,1.4988967291408992,-1.8449753120949712,-3.6879702908818945,7.561717252168705,-0.535907729300412,10.775998471244787,9.491684431134933,5.0,7.0,-3.495122102707477
02-09,-11.099581501211928,-12.12780731374679,2.237026693166799,-10.319453744230517,-12.114210487049137,0.6998546750186827,-1.5772489620231378,-0.49047754096014234,4.742113502676302,-3.3360100269706865,9.283694410270032,12.29976088430173,5.0,7.0,-1.8168616175632322
