,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,ups,downs,end_day_sum,avg
01-02,-0.06258010864257812,-0.030136108398433947,0.050828933715818536,0.18722915649413885,0.6659593582153303,0.13210487365723012,0.1927337646484375,-1.5326223373413086,-0.295562744140625,0.6155300140380859,-0.04571151733398793,0.019079208374019885,7.0,5.0,01-17,-0.008595625559489376
01-03,0.1422247886657706,-0.030136108398433947,0.050828933715818536,0.294217109680174,0.5257577896118164,0.11008739471435725,0.038545608520506036,-1.5326223373413086,-0.34622764587402344,1.0112247467041016,0.7770881652831996,0.9633903503417969,9.0,3.0,01-18,0.16703156630198124
01-04,0.1422247886657706,-0.030136108398433947,0.24145221710205078,0.26078891754150213,0.665959358215332,0.13210487365723012,0.038545608520506036,-1.492288589477539,-0.3884506225585902,0.43966484069824574,0.7770881652831996,0.32431221008301137,9.0,3.0,01-19,0.09260547161102377
01-05,0.028444766998291016,-0.0301399230957049,0.09531021118164062,0.18723297119140625,0.7711076736450195,0.13210487365723012,-0.2698297500610334,0.0,-0.624902725219723,0.017585754394534803,0.7862262725830078,0.32431221008301137,8.0,4.0,01-20,0.11812102794647335
01-06,0.31289386749267667,0.12055969238281605,0.09531021118164062,0.19391918182373047,0.7711076736450195,0.03669643402099787,0.19273471832275568,-0.32265758514404297,-0.47289848327636363,0.0,0.7862262725830078,0.06677055358887074,9.0,3.0,01-21,0.14838854471842575
01-07,-0.48925018310546875,-0.012054443359375,0.17790985107421875,0.10698890686035334,0.7360572814941388,0.03669548034667969,0.36234188079833984,0.0,-0.1773395538330007,0.4396629333496058,0.3199729919433594,0.8489284515380824,8.0,4.0,01-22,0.19582613309224448
01-08,0.028444766998291016,-0.2652268409729013,0.050828933715818536,0.13373756408691584,0.5257549285888672,-0.20550155639648615,0.36234188079833984,-0.24199390411376953,-0.337793350219723,0.0,0.5942401885986328,0.8489284515380824,7.0,5.0,01-23,0.12448008855183897
01-09,0.028444766998291016,-0.33153676986694425,-0.09531402587890803,0.16717147827148615,0.7360591888427752,0.03669643402099432,0.36234188079833984,-0.28232574462890625,-0.3546791076660121,0.0,0.24683761596679688,0.2861557006835902,7.0,5.0,01-24,0.06665428479512525
01-10,0.35271501541137784,-0.14467144012451172,-0.1397876739501971,0.2340412139892578,1.0515155792236328,0.03669643402099432,0.36234188079833984,-0.4839878082275373,-0.7346858978271449,0.0,0.1554183959960973,0.2861557006835902,7.0,5.0,01-25,0.08131261666615826
01-11,-0.18204736709594727,-0.030140876770021308,0.006354331970213067,0.19391918182373047,0.9113101959228516,0.02201652526855291,0.34692573547363104,-0.5646514892578125,-0.6755695343017614,0.21983146667480113,0.1554183959960973,0.2861557006835902,8.0,4.0,01-26,0.057460188865660435
01-12,-0.49494123458862216,-0.22303009033203125,0.0,0.1537981033325213,0.7010078430175781,-0.08807277679443537,0.5011138916015625,-1.0486402511596662,0.08445167541503551,0.04396629333496094,0.1554183959960973,0.5150814056396484,7.0,5.0,01-27,0.025012771288554097
01-13,-1.5417151451110858,-0.0361671447753924,-0.13343429565429688,0.04681015014648615,0.5608053207397479,0.02201652526855291,-0.038545608520506036,-0.8873090744018555,0.13511657714843395,0.04396629333496094,1.1427726745605504,0.0,6.0,6.0,01-28,-0.05714031060536703
01-14,-1.2629542350769043,-0.09041881561279475,-0.13343429565429688,-0.006685256958006036,0.4977140426635742,-0.3155870437622106,-0.1927337646484375,-0.8873119354248047,0.1773395538330007,0.04396629333496094,1.188482284545902,0.23846435546875,5.0,7.0,01-29,-0.061929901440938906
01-15,-0.9386820793151864,-0.060278892517089844,-0.13343429565429688,0.0,0.7360601425170916,-0.09540843963623225,0.11564159393310192,-0.8469781875610352,0.050664901733394885,0.04396629333496094,1.1427726745605504,0.9347705841064453,6.0,6.0,01-30,0.07909119129180871
01-16,-0.9955720901489267,0.090420722961424,0.3049926757812482,-0.07355594635009943,0.9113140106201172,0.366966247558592,0.11564159393310192,-0.5243206024169922,-0.3884563446044993,0.04396629333496094,0.6308116912841797,2.384628295898441,8.0,4.0,01-31,0.23890304565429563
01-17,-0.42098712921142667,0.15069961547851385,0.0,-0.013370513916015625,0.2173137664794922,0.40366268157958984,-0.015416145324708808,-0.6453142166137695,-0.4137916564941442,0.0,1.0970649719238281,1.7169322967529368,5.0,7.0,02-01,0.17306613922119132
01-18,-0.19342660903930753,0.048224449157714844,-0.019059181213378906,0.12036418914794922,0.42761611938476385,0.40366268157958984,-0.015416145324708808,-0.6856479644775373,-0.3631210327148473,-0.4396629333496058,0.8227977752685547,1.7169322967529368,6.0,6.0,02-02,0.15193863709767697
01-19,-0.22756004333496183,0.054251670837402344,0.012708663940427911,0.22734928131103516,0.14721202850341442,0.40366268157958984,-0.015416145324708808,-0.6856479644775373,-0.1688919067382777,0.0,1.1702003479003906,1.7169322967529368,7.0,5.0,02-03,0.21956674257914263
01-20,-0.22756004333496183,0.19289255142211825,0.5146770477294922,0.19391536712646484,0.3154544830322248,0.40366268157958984,0.2467050552368164,-0.40332221984863104,-0.15200614929198863,0.0,0.9873542785644531,1.9458560943603551,8.0,4.0,02-04,0.3348024288813278
01-21,-0.8931689262390154,0.054250717163087714,0.5591506958007812,0.10029983520507812,0.5257558822631818,0.26256847381591975,0.25441551208495916,-0.0403327941894549,-0.09289169311523438,0.0,1.0330638885498047,2.193855285644535,8.0,4.0,02-05,0.3297472397486369
01-22,-0.7054357528686523,-0.0602798461914027,0.4130086898803711,0.2674751281738281,0.6038322448730451,0.03935813903808949,0.26983165740966797,0.04033088684082031,-0.09289169311523438,0.4396629333496058,0.3931140899658203,2.3320713043212926,9.0,3.0,02-06,0.32833981513977095
01-23,-0.39254188537597745,-0.0602798461914027,0.39394474029541016,0.5817594528198242,0.3619880676269531,0.07518577575683771,0.1156435012817365,0.04033088684082031,0.11822509765624645,0.2637977600097621,0.6240882873535156,1.5540103912353516,10.0,2.0,02-07,0.3063460191090898
01-24,-0.09102392196655273,0.018081665039066053,0.39394474029541016,0.4863443374633789,0.18279075622558238,-0.03490352630615057,0.1156435012817365,0.04033088684082031,0.6289558410644567,-0.018186569213867188,-0.3632659912109375,2.069091796875,8.0,4.0,02-08,0.2856502930323286
01-25,-0.38684988021850586,0.0783615112304723,0.2272491455078125,0.4868316650390607,0.24588203430175604,0.11188316345215021,0.10793304443359375,0.08066368103027521,-0.36385917663573863,0.15939331054687855,-0.40897560119628906,1.83062744140625,9.0,3.0,02-09,0.18076169490814298
01-26,-0.39254045486450195,0.06119918823242365,0.6244220733642578,0.5342960357666016,0.04258823394775213,0.000496864318851209,0.10793304443359375,0.048027992248535156,-0.0664520263671875,0.15939331054687855,-0.3632659912109375,1.4452705383300781,9.0,3.0,02-10,0.1834474007288621
01-27,-0.4619603157043457,0.12155914306640625,0.1859951019287127,0.607851982116701,0.04258823394775213,0.000496864318851209,0.42593193054199396,0.007697105407714844,0.3726692199707067,0.15939331054687855,-0.2708759307861328,1.6957530975341797,10.0,2.0,02-11,0.24059164524078488
01-28,-0.4063410758972177,0.024610519409179688,0.49098777770996094,0.5476665496826172,0.22712993621825994,0.15161418914794922,0.27772140502929865,-0.050805091857910156,0.39800453186035156,-0.24016189575195312,-0.2708759307861328,0.831085205078125,8.0,4.0,02-12,0.16505300998687736
01-29,-0.69175100326538,0.1270856857299787,0.5100469589233398,0.6559648513793945,0.3450765609741211,-0.21535205841064275,0.31672382354736506,-0.010471343994142401,0.7821598052978516,-0.24016189575195312,-0.40752601623535156,-0.3612308502197301,6.0,6.0,02-13,0.0675470431645709
01-30,-0.6576175689697257,0.12105846405029119,0.14981651306152344,0.8928728103637695,0.7050409317016619,-0.10396385192870916,0.31672382354736506,-0.010471343994142401,0.6541099548339844,0.20164489746093395,-0.40752601623535156,-0.3612308502197301,7.0,5.0,02-14,0.1250381469726559
01-31,-0.6576175689697257,0.12105846405029119,0.14981651306152344,1.041619300842287,0.7071447372436523,-0.10396385192870916,0.054602622985839844,-0.010471343994142401,0.6034393310546875,0.4236202239990199,-0.22467994689941406,-0.5901546478271484,7.0,5.0,02-15,0.12620115280151345
