,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,ups,downs,end_day_sum,avg
01-02,-0.19999980926513672,0.0,0.0,0.3000001907348633,0.09000015258788974,0.8699998855590838,0.18000030517578125,-0.21000003814697266,0.36999988555908203,1.1500015258789027,1.0499992370605469,0.10999870300293324,8.0,4.0,01-17,0.3091666698455811
01-03,-0.19999980926513672,0.0,0.0,0.3000001907348633,0.09000015258788974,0.8699998855590838,0.22999954223632812,-0.21000003814697266,0.36999988555908203,0.8000011444091832,1.369999885559082,0.38999938964844105,8.0,4.0,01-18,0.3341666857401537
01-04,-0.19999980926513672,0.0,-0.05000019073486239,0.3000001907348633,0.09000015258788974,0.8699998855590838,0.22999954223632812,-0.21000003814697266,0.4600000381469709,0.7000007629394531,0.4200000762939471,0.18999862670898438,8.0,4.0,01-19,0.23333326975504573
01-05,-0.19999980926513672,0.0,-0.05000019073486239,0.3000001907348633,0.09000015258788974,0.8699998855590838,-0.15000057220458984,0.23999977111816406,0.21000003814697088,0.7000007629394531,0.13000011444091797,0.18999862670898438,8.0,4.0,01-20,0.19416658083597818
01-06,-0.3000001907348633,-1.0,-0.05000019073486239,0.3000001907348633,0.09000015258788974,0.2799997329711932,0.14999961853027344,-0.3100004196166992,0.05999946594237926,0.3999996185302699,0.13000011444091797,0.3099994659423757,8.0,4.0,01-21,0.0049997965494781305
01-07,-0.2999992370605469,-1.0,-0.05000019073486239,0.0,0.34000015258788974,0.2799997329711932,0.14999961853027344,-0.3100004196166992,0.009999275207517755,0.0,-0.7699995040893572,-0.0400009155273402,4.0,8.0,01-22,-0.1408334573109943
01-08,0.05000019073486328,-1.0,0.1499996185302752,0.0,0.34000015258788974,0.2799997329711932,0.14999961853027344,-0.3299999237060547,0.009999275207517755,-0.10000038146973012,-0.05999946594237926,1.2199993133544922,7.0,5.0,01-23,0.059166510899861725
01-09,0.05000019073486328,-1.0,0.1499996185302752,0.0,0.34000015258788974,-0.1300001144409162,0.14999961853027344,-0.30000019073486506,0.009999275207517755,-0.4500007629394531,0.12999916076660156,1.1500015258789062,7.0,5.0,01-24,0.008333206176757738
01-10,0.05000019073486328,-1.0,0.1499996185302752,0.0,0.25,-0.1300001144409162,0.14999961853027344,-0.30000019073486506,-0.1300001144409162,-0.8500003814697266,0.30999946594237926,1.2000007629394496,6.0,6.0,01-25,-0.025000095367431936
01-11,0.05000019073486328,-1.0,0.1499996185302752,0.0,0.25,-0.9600000381469727,-0.20000076293945312,-0.8200006484985369,0.10000038146972656,-1.899999618530277,0.6799993515014648,1.060001373291012,6.0,6.0,01-26,-0.2158333460489915
01-12,-0.15000057220458984,-1.0,-0.05000019073486239,0.0,0.25,-1.0,-0.2700004577636701,-0.03999996185302912,0.30000019073486506,-1.7499999999999964,-0.03999996185302912,0.5400009155273438,3.0,9.0,01-27,-0.26750000317891404
01-13,-0.10000038146972656,-1.0,-0.05000019073486239,0.0,0.2899999618530291,-1.0,-0.5799999237060547,0.2200002670288086,0.30000019073486506,-1.399999618530277,-0.4399995803833008,0.5799999237060547,4.0,8.0,01-28,-0.26499994595845533
