,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,ups,downs,avg
01-02,0.0,0.0,0.0,44.44444297272478,-36.98629779067631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,0.6215120985040391
01-03,0.0,0.0,0.0,44.44444297272478,-36.98629779067631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.0,0.6215120985040391
01-04,0.0,0.0,0.0,44.44444297272478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.0,3.7037035810603984
01-05,0.0,0.0,0.0,44.44444297272478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.0,3.7037035810603984
01-06,0.0,0.0,0.0,44.44444297272478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.0,3.7037035810603984
01-07,0.0,0.0,0.0,44.44444297272478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.0,3.7037035810603984
01-08,0.0,0.0,0.0,44.44444297272478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.0,3.7037035810603984
01-09,0.0,0.0,0.0,0.0,27.722769706298983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.0,2.3102308088582486
01-10,0.0,0.0,0.0,0.0,27.722769706298983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.0,2.3102308088582486
01-11,0.0,0.0,0.0,7.4074110867063405,27.722769706298983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,10.0,2.9275150660837768
01-12,0.0,0.0,0.0,-66.66665562876989,27.722769706298983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.0,-3.2453238268725753
01-13,0.0,0.0,0.0,-66.66665562876989,6.458221488697061,0.0,0.0,0.0,0.0,0.0,0.0,59.95999872684479,2.0,10.0,-0.020702951102336442
01-14,0.0,0.0,0.0,-66.66665562876989,6.458221488697061,0.0,0.0,0.0,0.0,0.0,0.0,59.95999872684479,2.0,9.0,-0.020702951102336442
01-15,0.0,0.0,0.0,-66.66665562876989,6.458221488697061,0.0,0.0,0.0,0.0,0.0,0.0,59.95999872684479,2.0,9.0,-0.020702951102336442
01-16,0.0,0.0,0.0,-66.66665562876989,6.458221488697061,0.0,0.0,0.0,0.0,0.0,0.0,59.95999872684479,2.0,9.0,-0.020702951102336442
01-17,0.0,0.0,0.0,-55.17241414747117,6.458221488697061,0.0,0.0,0.0,0.0,0.0,0.0,59.95999872684479,2.0,9.0,0.9371505056725565
01-18,0.0,0.0,0.0,-73.01037134540582,6.458221488697061,0.0,0.0,0.0,0.0,0.0,0.0,59.95999872684479,2.0,9.0,-0.5493459274886637
01-19,0.0,0.0,0.0,-49.99999006589293,-29.420812240857458,0.0,0.0,0.0,0.0,0.0,0.0,59.95999872684479,1.0,10.0,-1.6217336316588
01-20,0.0,0.0,0.0,16.66666997803569,-29.420812240857458,0.0,0.0,0.0,0.0,0.0,0.0,60.74509605697737,2.0,9.0,3.9992461495129668
01-21,0.0,0.0,0.0,16.66666997803569,-29.420812240857458,0.0,0.0,0.0,0.0,0.0,0.0,52.67139417445631,2.0,9.0,3.326437659302878
01-22,0.0,0.0,0.0,16.66666997803569,-29.420812240857458,0.0,0.0,0.0,0.0,0.0,0.0,52.67139417445631,2.0,9.0,3.326437659302878
01-23,0.0,0.0,0.0,16.66666997803569,-0.9999990463256836,0.0,0.0,0.0,0.0,0.0,0.0,52.67139417445631,2.0,9.0,5.694838758847193
01-24,0.0,0.0,0.0,12.903223015391246,21.960002183914185,0.0,0.0,0.0,0.0,0.0,0.0,-18.203307494086214,2.0,9.0,1.388326475434935
01-25,0.0,0.0,0.0,12.903223015391246,21.960002183914185,0.0,0.0,0.0,0.0,0.0,0.0,-18.203307494086214,2.0,9.0,1.388326475434935
01-26,0.0,0.0,0.0,12.931305980867872,21.960002183914185,0.0,0.0,0.0,0.0,0.0,0.0,-18.203307494086214,2.0,9.0,1.3906667225579872
01-27,0.0,0.0,0.0,12.931305980867872,21.960002183914185,0.0,0.0,0.0,0.0,0.0,0.0,-18.203307494086214,2.0,9.0,1.3906667225579872
