,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,ups,downs,end_day_sum,avg
01-02,0.0,0.0,0.0338172763586044,0.0,0.003381699323654175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,10.0,01-17,0.003099914640188215
01-03,0.0,0.0,0.056136742234230014,0.013526931405067444,0.003381699323654175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,9.0,01-18,0.006087114413579303
01-04,0.0,0.0,0.056136742234230014,0.013526931405067444,-0.00338175892829895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,10.0,01-19,0.005523492892583209
01-05,0.0,0.0,0.037199035286903354,0.013526931405067444,-0.00338175892829895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,10.0,01-20,0.003945350646972654
01-06,0.0,0.0,0.037199035286903354,0.013526931405067444,-0.00338175892829895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,10.0,01-21,0.003945350646972654
01-07,0.0,0.0,0.00338175892829895,0.013526931405067444,-0.00338175892829895,0.0,0.0,0.0,0.0,0.0,-0.004439786076545715,0.0,2.0,10.0,01-22,0.000757262110710144
01-08,0.0,0.0,0.00338175892829895,0.013526931405067444,-0.00338175892829895,0.0,0.0,0.0,0.0,0.0,-0.004439786076545715,0.0,2.0,10.0,01-23,0.000757262110710144
01-09,0.0,0.0,0.00338175892829895,0.013526931405067444,-0.006763458251953125,0.0,0.0,0.0,0.0,0.0,-0.004439786076545715,0.0,2.0,10.0,01-24,0.00047545383373896283
01-10,0.0,0.0,0.01082152128219599,0.0,-0.003381699323654175,0.0,0.0,0.0,0.0,0.0,-0.004439786076545715,0.0,1.0,11.0,01-25,0.0002500029901663416
01-11,0.0,0.0,0.01082152128219599,0.0,-0.003381699323654175,0.0,0.0,0.0,0.0,0.0,-0.004439786076545715,0.0,1.0,11.0,01-26,0.0002500029901663416
01-12,0.0,-0.0033817440271377563,0.01082152128219599,0.0,-0.003381699323654175,0.0,0.0,0.0,0.0,0.0,-0.004439786076545715,0.0,1.0,11.0,01-27,-3.180901209513809e-05
01-13,0.0,-0.0033817440271377563,-0.008792519569396973,-0.013526931405067444,-0.003381699323654175,0.0,0.0,0.0,0.0,0.0,-0.004439786076545715,0.0,0.0,12.0,01-28,-0.0027935567001501718
01-14,0.0,-0.0033817440271377563,-0.008792519569396973,-0.013526931405067444,-0.003381699323654175,0.0,0.0,0.0,0.0,0.0,-0.004439786076545715,0.0,0.0,12.0,01-29,-0.0027935567001501718
01-15,0.0,-0.0033817440271377563,0.010145187377929688,-0.013526931405067444,-0.003381699323654175,0.0,0.0,0.0,0.0,0.0,-0.004439786076545715,0.0,1.0,11.0,01-30,-0.0012154144545396168
01-16,0.0,-0.0033817440271377563,0.010145187377929688,-0.013526931405067444,-0.003381699323654175,0.0,0.0,0.0,0.0,0.0,-0.004439786076545715,0.0,1.0,11.0,01-31,-0.0012154144545396168
01-17,0.0,-0.0033817440271377563,0.017585009336471558,-0.013526931405067444,-0.003381699323654175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.0,02-01,-0.00022544711828231812
01-18,0.0,-0.0033817440271377563,0.017585009336471558,-0.013526931405067444,-0.003381699323654175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.0,02-02,-0.00022544711828231812
01-19,0.0,-0.0033817440271377563,0.017585009336471558,-0.013526931405067444,0.0,0.0,-0.010637879371643066,0.0,0.0,0.0,0.0,0.0,1.0,11.0,02-03,-0.0008301287889480591
01-20,0.0,-0.0033817440271377563,0.017585009336471558,-0.013526931405067444,0.0,0.0,-0.0035459399223327637,0.0,0.0,0.0,0.0,0.0,1.0,11.0,02-04,-0.0002391338348388672
01-21,0.0,-0.0033817440271377563,0.010145246982574518,0.0,0.0,0.0,-0.0035459399223327637,0.0,0.0,0.0,0.0,0.0,1.0,11.0,02-05,0.00026813025275866653
01-22,0.0,-0.0033817440271377563,0.010145246982574518,0.0,0.0,-0.013594925403595012,0.006382748484611511,0.0,0.0,0.0,0.0,0.0,2.0,10.0,02-06,-3.7389496962228257e-05
01-23,0.0,0.0,0.010145246982574518,0.0,0.0,-0.013594925403595012,0.006382748484611511,0.0,0.0,0.0,0.0,0.0,2.0,10.0,02-07,0.00024442250529925144
01-24,0.0,0.0,0.010145246982574518,0.0,0.0,-0.013594925403595012,0.006382748484611511,0.0,0.0,0.0,0.0,0.0,2.0,10.0,02-08,0.00024442250529925144
01-25,0.0,0.0,0.010145246982574518,0.0,0.0,-0.013594925403595012,0.006382748484611511,0.0,0.0,0.0,0.0,0.0,2.0,10.0,02-09,0.00024442250529925144
01-26,0.0,0.0,0.00743982195854187,0.0,0.0,-0.013594925403595012,0.006382748484611511,0.0,0.0,0.0,0.0,0.0,2.0,10.0,02-10,1.8970419963197416e-05
01-27,0.0,0.0,0.00743982195854187,0.0,0.0,-0.013594925403595012,0.006382748484611511,0.0,0.0,0.0,0.0,0.0,2.0,10.0,02-11,1.8970419963197416e-05
01-28,0.0,0.0,0.0,0.0,0.0,-0.013594925403595012,0.006382748484611511,0.0,0.0,0.0,0.0,0.0,1.0,11.0,02-12,-0.0006010147432486251
