,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,ups,downs,end_day_sum,avg
01-02,0.0,-1.5,0.0,0.0,0.5,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.0,01-17,-0.125
01-03,0.0,-1.5,0.0,0.0,0.5,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.0,01-18,-0.125
01-04,0.0,-1.5,0.0,0.0,0.5,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.0,01-19,-0.125
01-05,0.0,0.0,-3.0,0.0,0.5,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.0,01-20,-0.25
01-06,0.0,0.0,0.0,0.0,0.5,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.0,01-21,0.0
01-07,0.0,0.0,0.0,0.0,0.5,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.0,01-22,0.0
01-08,0.0,0.0,0.0,0.0,0.5,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.0,01-23,0.0
01-09,0.0,0.0,0.0,0.0,0.5,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.0,01-24,0.0
01-10,0.0,0.0,0.0,0.0,0.5,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.0,01-25,0.0
01-11,0.0,0.0,0.0,0.0,0.5,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.0,01-26,0.0
01-12,0.0,0.0,-3.0,0.0,0.0,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,01-27,-0.2916666666666667
01-13,0.0,0.0,-3.0,0.0,0.0,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,01-28,-0.2916666666666667
01-14,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,01-29,-0.25
01-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,01-30,0.0
01-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04999995231628418,0.0,12.0,01-31,-0.004166662693023682
01-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04999995231628418,0.0,12.0,02-01,-0.004166662693023682
01-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04999995231628418,0.0,12.0,02-02,-0.004166662693023682
01-19,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04999995231628418,0.0,12.0,02-03,-0.2541666626930237
01-20,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04999995231628418,0.0,12.0,02-04,-0.2541666626930237
01-21,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04999995231628418,0.0,12.0,02-05,-0.2541666626930237
01-22,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04999995231628418,0.0,12.0,02-06,-0.2541666626930237
01-23,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04999995231628418,0.0,12.0,02-07,-0.2541666626930237
01-24,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04999995231628418,0.0,12.0,02-08,-0.2541666626930237
01-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04999995231628418,0.0,12.0,02-09,-0.004166662693023682
01-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04999995231628418,0.0,12.0,02-10,-0.004166662693023682
01-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04999995231628418,0.0,12.0,02-11,-0.004166662693023682
01-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04999995231628418,0.0,12.0,02-12,-0.004166662693023682
01-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,02-13,0.0
01-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,02-14,0.0
01-31,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.0,02-15,0.041666666666666664
02-01,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.0,02-16,0.041666666666666664
02-02,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.0,02-17,0.041666666666666664
02-03,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.0,02-18,0.041666666666666664
02-04,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.0,02-19,0.041666666666666664
02-05,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.0,02-20,0.041666666666666664
02-06,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.0,02-21,0.041666666666666664
02-07,0.0,0.0,0.0,0.0,0.5,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,11.0,02-22,-0.041666666666666664
02-08,0.0,0.0,0.0,0.0,0.5,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,11.0,02-23,-0.041666666666666664
02-09,-2.0,-0.5,0.0,0.0,0.5,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,11.0,02-24,-0.25
02-10,-2.0,1.0,-0.5,0.0,0.5,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,2.0,10.0,02-25,-0.16666666666666666
02-11,-2.0,1.0,-0.5,0.0,0.5,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,2.0,10.0,02-26,-0.16666666666666666
02-12,-2.0,1.0,-0.5,0.0,0.5,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,2.0,10.0,02-27,-0.16666666666666666
02-13,-2.0,1.0,-0.5,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.5,0.0,2.0,10.0,02-28,-0.16666666666666666
02-14,-2.0,1.0,-0.5,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,2.0,10.0,02-29,-0.125
02-15,-2.0,1.0,-0.5,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,2.0,10.0,03-01,-0.125
02-16,-2.0,1.0,-0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0,0.0,3.0,9.0,03-02,0.0
02-17,-2.0,1.0,-0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0,0.0,3.0,9.0,03-03,0.0
02-18,-2.0,1.0,-0.5,0.0,0.0,0.0,0.0,1.5,0.0,0.0,1.5,0.0,3.0,9.0,03-04,0.125
02-19,-2.0,1.0,-0.5,0.0,0.0,0.0,0.0,1.5,0.0,0.0,1.0,0.0,3.0,9.0,03-05,0.08333333333333333
02-20,0.0,1.5,-0.5,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.5,0.0,3.0,9.0,03-06,0.25
02-21,0.0,1.5,-0.5,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.7000000476837158,0.0,3.0,9.0,03-07,0.26666667064030963
02-22,-2.0,1.5,-0.5,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.7000000476837158,0.0,3.0,9.0,03-08,0.10000000397364299
02-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.7000000476837158,0.0,2.0,10.0,03-09,0.18333333730697632
02-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.75,0.0,2.0,10.0,03-10,0.1875
