,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,ups,downs,avg
01-02,0.0,0.0,0.0,0.0,18.39080525393761,0.0,-11.638203185681766,0.5620372780287313,-0.15122134642968538,23.191486427340262,22.666671964857095,4.0,5.0,4.820143308368386
01-03,0.0,0.0,0.0,0.0,18.39080525393761,0.0,-11.638203185681766,14.498137742570385,4.506977416632163,14.958773892428182,22.666671964857095,5.0,4.0,5.762105734976697
01-04,0.0,0.0,0.0,0.0,18.39080525393761,0.0,-11.638203185681766,27.063774654692473,19.67871300883951,14.958773892428182,-7.466663620207184,4.0,5.0,5.544290909455348
01-05,0.0,0.0,0.0,0.0,18.39080525393761,0.0,-15.813642012904388,23.00068537191839,19.67871300883951,14.958773892428182,-7.466663620207184,4.0,5.0,4.795333808546556
01-06,0.0,0.0,0.0,0.0,14.495985492835322,0.0,-15.813642012904388,23.00068537191839,24.45783261591324,14.958773892428182,-7.466663620207184,4.0,6.0,4.875724703634869
01-07,0.0,0.0,0.0,0.0,14.724202912182646,0.0,-10.312497846316498,28.195491823357166,24.45783261591324,14.958773892428182,-7.466663620207184,4.0,6.0,5.868830888850686
01-08,0.0,0.0,0.0,0.0,14.724202912182646,0.0,-10.312497846316498,26.254830455231758,24.45783261591324,17.861203562920284,-30.66665805710721,4.0,6.0,3.847173967529474
01-09,0.0,0.0,0.0,0.0,14.724202912182646,0.0,-10.312497846316498,26.254830455231758,14.40711951081252,17.861203562920284,2.0000040233134624,5.0,5.0,5.903169328922198
01-10,0.0,0.0,0.0,0.0,2.6690444889137153,0.0,-10.312497846316498,31.563521997559306,20.542632166664777,16.192684904777426,2.0000040233134624,5.0,5.0,5.695944521355654
01-11,0.0,0.0,0.0,0.0,-4.492878961940592,0.0,-6.006000200830062,24.65798438649592,20.542632166664777,-25.362745556742595,24.99999813735488,3.0,7.0,3.1217263610002117
01-12,0.0,0.0,0.0,0.0,-4.492878961940592,0.0,-6.788476086692519,20.59732325422128,20.542632166664777,-25.478815486518602,24.99999813735488,3.0,7.0,2.6708893657353836
01-13,0.0,0.0,0.0,0.0,-7.752295120648813,-11.2556996701385,4.344146502360808,7.655339874361694,16.666660891022506,-25.478815486518602,24.99999813735488,4.0,6.0,0.8344850116176339
01-14,0.0,0.0,0.0,0.0,-7.752295120648813,-11.2556996701385,4.344146502360808,-6.041881215083575,16.666660891022506,-25.478815486518602,24.99999813735488,3.0,7.0,-0.4107169056046632
01-15,0.0,0.0,0.0,0.0,-7.752295120648813,-11.2556996701385,7.792834910766603,-6.517243983912952,13.999998569488525,-9.112012714504711,24.99999813735488,3.0,7.0,1.105052738945912
01-16,0.0,0.0,0.0,0.0,-2.844037060965983,-11.2556996701385,7.792834910766603,-6.517243983912952,13.999998569488525,1.450956281825504,24.99999813735488,4.0,6.0,2.5115279258561887
01-17,0.0,0.0,0.0,0.0,-3.11927108439169,-11.2556996701385,12.864490591565056,-6.848843977054601,0.40000081062315784,-7.741115395405053,24.99999813735488,3.0,7.0,0.8454144920502955
01-18,0.0,0.0,0.0,0.0,-3.11927108439169,-11.2556996701385,12.864490591565056,5.4604208318901595,0.3601441936304133,-11.548220242565565,24.99999813735488,4.0,6.0,1.6147147961222503
01-19,0.0,0.0,0.0,0.0,-3.11927108439169,-11.2556996701385,12.864490591565056,7.769501177235172,0.3601441936304133,-11.548220242565565,21.874997574680815,4.0,6.0,1.5405402309105185
01-20,0.0,0.0,0.0,0.0,-14.05378343963104,-11.2556996701385,7.138711479351513,7.769501177235172,1.1204492649446378,-11.548220242565565,21.874997574680815,4.0,6.0,0.09508692217063955
01-21,0.0,0.0,0.0,0.0,-13.535356956189457,-11.2556996701385,7.138711479351513,0.6150817311087801,-10.757502610875685,-11.548220242565565,21.874997574680815,3.0,7.0,-1.5879989722389176
01-22,0.0,0.0,-2.7027000903735274,0.0,-14.11167974212065,-11.2556996701385,3.3662182278999038,0.6150817311087801,-9.968843509426978,-11.548220242565565,-1.8329945544753898,2.0,8.0,-4.31262162273563
01-23,0.0,0.0,-2.7027000903735274,0.0,-21.51351495029456,-11.2556996701385,4.074287176603499,1.0634809651227342,-12.663748468401428,-9.327408293800975,-1.8329945544753898,2.0,8.0,-4.923481625978013
01-24,0.0,0.0,-2.7027000903735274,0.0,-17.837833483955894,0.0,4.074287176603499,-0.03258931107497629,5.425224410505561,-9.885200239102813,-1.8329945544753898,2.0,8.0,-2.0719823719885038
01-25,0.0,0.0,-2.7027000903735274,0.0,-17.837833483955894,0.0,4.074287176603499,5.971594673407255,0.769232356336732,-9.885200239102813,-1.8329945544753898,3.0,7.0,-1.9494194692327402
01-26,0.0,0.0,-2.7027000903735274,0.0,-17.837833483955894,0.0,-2.594661221961814,6.391222533018516,3.8461503192516595,-9.885200239102813,-1.8329945544753898,2.0,8.0,-2.2378197034181144
01-27,0.0,0.0,-2.7027000903735274,0.0,-17.837833483955894,0.0,9.186811686080327,6.391222533018516,3.8461503192516595,-9.885200239102813,-1.8329945544753898,3.0,7.0,-1.1667767117779202
01-28,0.0,0.0,-2.7027000903735274,0.0,-17.837833483955894,0.0,7.947369725420221,6.681732648155703,3.8461503192516595,-9.885200239102813,-1.8329945544753898,3.0,7.0,-1.2530432431890945
01-29,0.0,0.0,-2.7027000903735274,0.0,-17.837833483955894,0.0,7.947369725420221,5.676997458197275,3.8461503192516595,-9.885200239102813,-60.25641699181368,3.0,7.0,-6.655603027488795
01-30,0.0,1.2326142910616955,-2.7027000903735274,0.0,-17.837833483955894,0.0,7.947369725420221,6.014304533818903,3.8461503192516595,-0.510203208881396,-53.84615935693846,4.0,6.0,-5.0778597518724355
01-31,0.0,2.343747817212667,-2.7027000903735274,0.0,-6.5405384071383965,0.0,7.947369725420221,3.0995627064538542,-9.65335674975531,-11.299437049696321,-53.84615935693846,3.0,7.0,-6.422864673165024
02-01,0.0,-0.38547718418322924,-2.7027000903735274,0.0,-7.027025067780146,0.0,7.947369725420221,3.40837747223923,2.1061833607839637,-11.299437049696321,-53.84615935693846,3.0,7.0,-5.618078926411661
02-02,0.0,-1.638285212907574,0.0,0.0,-7.027025067780146,0.0,4.1713056682259015,2.4012667446203575,1.404122240522659,-11.299437049696321,-53.84615935693846,3.0,7.0,-5.984928366723053
02-03,0.0,-2.794726338962395,0.0,0.0,-7.027025067780146,-0.13028565282276036,-7.687499918509273,1.9589306117206644,-0.4826694721039791,-11.299437049696321,-53.84615935693846,1.0,9.0,-7.391715658644787
02-04,0.0,-2.794726338962395,0.0,0.0,-6.486483438769115,-0.13028565282276036,-7.687499918509273,3.0331795414265454,-0.4826694721039791,-11.299437049696321,-57.37180045911816,1.0,9.0,-7.565429344414133
02-05,0.0,-2.794726338962395,0.0,0.0,36.708856887670834,-0.13028565282276036,-7.687499918509273,3.0331795414265454,-0.4826694721039791,-15.373350986372856,-178.97727657571315,2.0,8.0,-15.06397931958064
02-06,0.0,-2.794726338962395,0.0,0.0,33.69175876100109,-0.13028565282276036,-0.687502339948021,1.0000024995496004,-26.706923565553815,-14.787700455249011,-178.97727657571315,2.0,8.0,-17.21751396979077
02-07,0.0,-9.927859131555582,0.0,0.0,33.69175876100109,-0.13028565282276036,8.98305131833603,2.547971989004546,-20.761726895828474,-14.787700455249011,-178.97727657571315,3.0,7.0,-16.305642422075213
02-08,0.0,-9.927859131555582,0.0,0.0,33.69175876100109,24.21105040104548,10.000002497401246,3.4590197626828494,-20.761726895828474,-14.787700455249011,-178.97727657571315,4.0,6.0,-13.917521057837776
02-09,0.0,-9.927859131555582,0.0,0.0,33.69175876100109,24.21105040104548,-8.982036515876413,-0.42594274497544155,-20.761726895828474,-14.787700455249011,-178.97727657571315,2.0,8.0,-15.996339377922864
02-10,0.0,-4.814821207132569,0.0,0.0,32.97101194975976,24.21105040104548,-13.772456585867273,-0.7863633483005694,-20.761726895828474,-14.787700455249011,-178.97727657571315,2.0,8.0,-16.065298428844162
02-11,0.0,-4.814821207132569,0.0,0.0,29.33536720719902,11.666667523055265,-13.772456585867273,-4.652687242702313,-25.907989476099708,-27.272729471836076,-77.27272342428687,2.0,8.0,-10.244670243424592
02-12,0.0,-4.814821207132569,0.0,0.0,29.33536720719902,11.666667523055265,-7.66467568112585,-4.652687242702313,-10.826938886626614,-27.272729471836076,-77.27272342428687,2.0,8.0,-8.318412834859636
02-13,0.0,-4.814821207132569,0.0,0.0,29.33536720719902,11.781603436927236,4.191616445885584,-4.652687242702313,2.7315424507875328,-14.935063835510531,-55.999999254941926,4.0,6.0,-2.9420401817716337
02-14,0.0,-4.814821207132569,0.0,0.0,29.33536720719902,11.781603436927236,5.82695919134145,3.906253428095405,0.23202052906785223,-14.935063835510531,-55.999999254941926,5.0,5.0,-2.2425164095412784
02-15,0.0,1.9865305540040992,0.0,0.0,-11.650112982452123,11.781603436927236,5.82695919134145,8.7370217459847,-0.043898900002520204,-10.876626125509386,11.999998509883847,5.0,5.0,1.6146795845615727
02-16,0.0,0.0,0.0,0.0,-11.650112982452123,11.781603436927236,5.82695919134145,10.611302522189108,5.487270921626367,-10.876626125509386,29.60000143051145,5.0,5.0,3.7073089449667367
02-17,0.0,0.0,0.0,0.0,-11.650112982452123,4.062494353856765,5.82695919134145,8.33333261720677,5.487270921626367,-10.876626125509386,29.60000143051145,5.0,5.0,2.798483582416481
02-18,0.0,0.0,0.0,0.0,-10.761641849279759,4.062494353856765,-4.178929354638497,7.468283256465742,5.487270921626367,-10.876626125509386,29.60000143051145,4.0,6.0,1.8909866030029712
02-19,0.0,0.0,-1.0928983996478439,0.0,-5.72186495449189,-26.75000637955976,-5.356094776647451,7.468283256465742,16.22568313127087,-10.876626125509386,41.333332339922556,3.0,7.0,1.3845280083457128
02-20,0.0,0.0,-1.0928983996478439,0.0,-8.097640766897692,-26.75000637955976,1.706888984858191,1.4737554282635623,9.537819834947708,-6.885758815966349,41.333332339922556,4.0,6.0,1.0204992932654884
02-21,0.0,0.0,-1.0928983996478439,0.0,-6.935292473245171,-26.75000637955976,5.3824347299563335,1.4434905036674888,2.1363659454278707,-6.885758815966349,41.333332339922556,4.0,6.0,0.7846970409595564
02-22,0.0,0.0,-1.0928983996478439,0.0,-1.433548269542799,-26.75000637955976,5.3824347299563335,-4.128287660842046,6.1363659454278965,3.599376576471114,41.333332339922556,4.0,6.0,2.0951608074714048
02-23,0.0,0.0,-1.0928983996478439,0.0,-1.433548269542799,-26.75000637955976,1.7647094400695902,-4.128287660842046,-6.63636086548654,3.599376576471114,45.341617206305415,3.0,7.0,0.9695092407061026
02-24,0.0,0.0,-1.0928983996478439,0.0,-2.666665108375293,-8.749999301508053,7.530457651288244,-4.128287660842046,-6.500001693313768,3.599376576471114,45.341617206305415,3.0,7.0,3.030327206397979
02-25,0.0,0.0,-1.0928983996478439,0.0,-2.666665108375293,-8.749999301508053,3.5207272105102363,-13.544865764482953,-6.500001693313768,3.599376576471114,46.666666666666664,3.0,7.0,1.9302127442109183
02-26,0.0,0.0,-1.0928983996478439,0.0,-2.666665108375293,-8.749999301508053,3.5207272105102363,-13.544865764482953,-6.500001693313768,3.599376576471114,39.39394042019017,3.0,7.0,1.2690558127130551
02-27,0.0,0.0,-1.0928983996478439,0.0,-5.564514278016519,-8.749999301508053,3.5207272105102363,-13.544865764482953,-3.8318200752508393,-7.504359824806024,-28.865977500783462,1.0,9.0,-5.966700721271406
02-28,0.0,0.0,-1.0928983996478439,0.0,-5.564514278016519,0.0,10.578946196141306,-18.32139206841336,-3.545453621828859,-7.504359824806024,-28.865977500783462,1.0,9.0,-4.937786317941342
02-29,0.0,0.0,-1.0928983996478439,0.0,0.0,0.0,5.61111480880649,0.0,0.0,0.0,-28.865977500783462,1.0,2.0,-2.213432826511347
03-01,0.0,0.0,0.0,0.0,-6.411296810826991,0.12484605854054195,5.61111480880649,-18.32139206841336,-3.545453621828859,-7.504359824806024,-28.865977500783462,2.0,8.0,-5.355683541755606
03-02,0.0,0.0,0.0,0.0,-6.411296810826991,0.12484605854054195,1.9053096572345538,-13.704915194317977,-16.818182126057053,-7.504359824806024,-28.865977500783462,2.0,8.0,-6.479506885546946
03-03,0.0,0.0,0.0,0.0,-20.888690783157386,0.12484605854054195,1.9444524469195672,-6.786887603817121,-8.181821260570498,-7.504359824806024,-54.63916724018212,2.0,8.0,-8.721057109733913
03-04,0.0,0.0,0.0,0.0,-20.888690783157386,0.12484605854054195,1.9444524469195672,-6.754095278706426,-4.892026998619086,18.990005404708405,-92.30769322615639,3.0,7.0,-9.43483657967916
03-05,0.0,0.0,0.0,0.0,-18.231792579658585,0.12484605854054195,5.555558315029726,-4.191999435424805,-4.892026998619086,15.965279353661153,-170.5882389770541,3.0,7.0,-16.023488569411377
03-06,0.0,0.0,0.0,0.0,-18.231792579658585,0.12484605854054195,5.555558315029726,-4.191999435424805,3.040986206016536,15.965279353661153,-170.5882389770541,4.0,6.0,-15.302305550808137
03-07,0.0,0.0,0.0,0.0,-16.811724886202022,0.12484605854054195,0.5847964937132787,13.794118722107985,3.040986206016536,15.965279353661153,-177.31091647774124,5.0,5.0,-14.601146775445796
03-08,0.0,0.0,-9.58084013998169,0.0,-16.811724886202022,0.12484605854054195,-0.3333306842381307,13.794118722107985,3.040986206016536,15.965279353661153,-177.31091647774124,4.0,6.0,-15.555598349803352
03-09,0.0,0.0,-9.58084013998169,0.0,-16.811724886202022,0.12484605854054195,-6.9216752632583685,13.794118722107985,3.040986206016536,15.965279353661153,-177.31091647774124,4.0,6.0,-16.15453876607792
03-10,0.0,0.0,-9.58084013998169,0.0,-16.811724886202022,0.12484605854054195,-15.361260419277233,13.794118722107985,3.040986206016536,15.965279353661153,-177.31091647774124,4.0,6.0,-16.92177378026145
03-11,0.0,0.0,-9.58084013998169,0.0,-23.010123588343255,-3.76134486166514,-9.289620848235232,13.794118722107985,-5.263154142241062,15.965279353661153,-63.025211136301174,2.0,8.0,-7.65189969463622
03-12,0.0,0.0,-9.58084013998169,-6.4220178469434455,-19.633375379573465,-3.8910487411949553,-9.289620848235232,19.077855894824623,-5.263154142241062,24.6449216317281,-2.1052694527068008,2.0,8.0,-1.1329590022112663
03-13,0.0,0.0,-9.58084013998169,-6.4220178469434455,-19.633375379573465,-3.8910487411949553,-9.289620848235232,16.257141594497504,1.9170746050594327,24.6449216317281,-2.1052694527068008,3.0,7.0,-0.7366395070318684
03-14,0.0,0.0,-9.58084013998169,-6.4220178469434455,-5.306315533119393,-3.8910487411949553,-9.289620848235232,13.794118722107985,1.9170746050594327,24.6449216317281,-2.1052694527068008,3.0,7.0,0.3419093087921819
03-15,0.0,0.0,-9.58084013998169,-6.4220178469434455,-5.306315533119393,-3.8910487411949553,-5.1608954448770135,9.94980503983938,-1.1591615436035354,0.0,-2.1052694527068008,1.0,9.0,-2.152340332962496
03-16,0.0,0.0,-9.58084013998169,-6.4220178469434455,-5.306315533119393,-3.8910487411949553,-9.289620848235232,7.735458147138476,-1.1591615436035354,0.0,-2.1052694527068008,1.0,9.0,-2.72898326896787
03-17,0.0,0.0,-9.58084013998169,-6.4220178469434455,-5.306315533119393,-6.871244328438303,-6.445893320199851,7.735458147138476,-1.1591615436035354,0.0,17.894736429330703,2.0,8.0,-0.9232071032560948
03-18,0.0,0.0,-9.58084013998169,-6.4220178469434455,-5.306315533119393,-6.871244328438303,-1.1235968917817059,-0.3838225917972252,-0.3982302431203612,0.0,37.36841759564463,1.0,9.0,0.6620318200420456
03-19,0.0,0.0,-9.58084013998169,-6.4220178469434455,-5.306315533119393,-6.871244328438303,-6.445893320199851,3.271692974528638,-0.3982302431203612,-50.72348532985137,37.36841759564463,2.0,8.0,-4.100719651952832
03-20,0.0,0.0,-9.58084013998169,-6.4220178469434455,16.03845852296017,-6.871244328438303,-6.445893320199851,3.271692974528638,-0.3982302431203612,-50.72348532985137,37.36841759564463,3.0,7.0,-2.1602856468546894
03-21,0.0,-0.7499967270663945,0.0,-6.4220178469434455,16.03845852296017,-6.871244328438303,-6.445893320199851,1.7624960723535816,-0.3982302431203612,-50.72348532985137,37.36841759564463,3.0,7.0,-1.494681418605577
03-22,0.0,-3.3210344683106188,0.0,-6.4220178469434455,20.269225020380205,-6.871244328438303,2.6020106081110077,1.7624960723535816,19.89267394007848,-50.72348532985137,41.6666674275511,5.0,5.0,1.7141173722664211
