,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,ups,downs,end_day_sum,avg
01-02,-0.8700008392333984,-0.09000015258789062,0.15000057220459162,0.23000049591064453,0.21999931335449396,0.3099994659423828,0.4099998474121058,-0.8699998855590838,0.1999998092651385,0.5799999237060565,0.75,0.14999961853027166,9.0,3.0,01-17,0.09749984741210938
01-03,-0.9800004959106445,-0.09000015258789062,0.10000038146973012,0.20000076293945312,0.26000022888183594,0.4399986267089844,0.8199996948242152,-0.8699998855590838,0.2299995422363299,0.4700002670288068,1.1599998474121076,0.26999950408935547,9.0,3.0,01-18,0.16749986012776663
01-04,-0.9800004959106445,-0.10999965667724432,0.21000003814697088,0.29999923706054865,0.21000003814697088,0.3499984741210902,0.8199996948242152,-0.8399991989135724,0.06000041961669744,0.47000026702881037,0.8799991607666016,0.15999984741210938,9.0,3.0,01-19,0.12749981880187944
01-05,-0.9300003051757795,0.03999996185302912,0.25,0.4499998092651367,0.19999980926513672,0.3499984741210902,0.4300003051757848,-1.2000007629394513,0.030000686645506036,0.38000011444091975,0.6899995803833008,0.15999984741210938,10.0,2.0,01-20,0.07083312670389856
01-06,-0.9799995422363299,0.18000030517578303,0.13000011444091797,0.3400001525878924,0.19999980926513672,0.3299999237060547,0.5,-1.049999237060545,-0.05999946594238281,0.22000026702881037,0.6899995803833008,0.21000003814697266,9.0,3.0,01-21,0.0591668287913009
01-07,-1.0399999618530273,-0.07999992370605824,0.11999988555908203,0.15999984741210938,0.3000001907348633,0.35000038146973367,0.6900005340576243,-0.9499998092651349,-0.01999950408935547,0.23999977111816406,0.869999885559082,0.26000022888183594,8.0,4.0,01-22,0.07500012715657656
01-08,-0.6500005722045898,-0.17000007629394887,0.06000041961669922,0.13000011444091797,0.39000034332275213,0.75,-0.3600006103515625,-0.9099998474121112,0.02999973297118963,0.26000022888183416,0.8400001525878924,0.28999996185302557,8.0,4.0,01-23,0.05499998728434156
01-09,-0.4200000762939471,-0.15999984741211115,0.020000457763671875,0.19999980926513672,0.4099998474121094,0.5900001525878942,-0.35000038146972656,-0.8500003814697266,0.07999992370605469,0.3400001525878906,0.4099998474121076,0.27000045776367365,8.0,4.0,01-24,0.04499999682108561
01-10,-0.1900005340576172,-0.430000305175783,0.04000091552734375,0.19999980926513672,0.4499998092651385,0.5999984741210902,-0.3299999237060547,-0.7399997711181641,0.06999969482421875,0.319999694824217,0.2899999618530291,0.31999969482421875,8.0,4.0,01-25,0.04999979337056448
01-11,-0.2700004577636701,-0.6599998474121112,0.2800006866455078,0.38000011444091975,0.46999931335449396,0.6499996185302699,0.0,-0.5500001907348633,0.09000015258789062,0.21999931335448863,0.3299999237060529,0.25,8.0,4.0,01-26,0.09916655222574826
01-12,-0.23999977111816406,-0.439999580383299,0.21999931335449396,0.4499998092651367,0.5199995040893555,0.5699996948242152,-0.020000457763668322,-0.6100006103515625,0.23999977111816406,0.21999931335448863,0.3599996566772461,0.23999977111816406,8.0,4.0,01-27,0.12583303451538086
01-13,-0.23999977111816584,-0.6799993515014648,0.4899997711181623,0.4799995422363281,0.5500001907348615,0.28000068664550426,-0.28999900817871094,0.11999988555908381,0.21000003814697266,0.33999919891357244,0.319999694824217,0.2600002288818377,9.0,3.0,01-28,0.15333342552184984
