,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,ups,downs,end_day_sum,avg
01-02,0.024485230445861816,-1.4935988783836365,0.0,0.0,0.0,-0.09794086217880249,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.0,01-17,-0.1305878758430481
01-03,-0.040808707475662176,-1.4935988783836365,0.0,0.0,0.0,-0.09794086217880249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,01-18,-0.13602903733650842
01-04,-0.040808707475662176,-1.4935988783836365,0.0,0.0,0.0,-0.09794086217880249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,01-19,-0.13602903733650842
01-05,-0.040808707475662176,-1.5507310628890991,0.0,0.0,0.0,-0.09794086217880249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,01-20,-0.14079005271196365
01-06,-0.057132244110107366,-1.5507310628890991,0.0,0.0,0.0,-0.09794086217880249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,01-21,-0.14215034743150076
01-07,-0.11426436901092529,-1.5507310628890991,0.0,0.0,0.0,-0.09794086217880249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,01-22,-0.14691135783990225
01-08,-0.04897052049636841,-1.5507310628890991,0.0,0.09794084727764132,0.0,-0.09794086217880249,0.0,0.0,0.0,0.0,0.01914191246032715,0.0,2.0,10.0,01-23,-0.1317133071521918
01-09,-0.04897052049636841,-1.5507310628890991,0.0,0.09794084727764132,0.0,-0.09794086217880249,0.0,0.0,0.0,0.0,0.01914191246032715,0.0,2.0,10.0,01-24,-0.1317133071521918
01-10,-0.04897052049636841,-1.5507310628890991,0.0,0.09794084727764132,0.0,-0.09794086217880249,0.0,0.0,0.0,0.0,0.01914191246032715,0.0,2.0,10.0,01-25,-0.1317133071521918
01-11,-0.04897052049636841,-1.5507310628890991,0.0,0.09794084727764132,0.0,0.0,0.0,0.0,0.0,0.0,0.01914191246032715,0.0,2.0,10.0,01-26,-0.1235515686372916
01-12,-0.04897052049636841,-1.5507310628890991,0.0,0.09794084727764132,0.0,0.0,0.0,0.0,0.0,0.0,0.01914191246032715,0.0,2.0,10.0,01-27,-0.1235515686372916
01-13,-0.04897052049636841,-0.057132184505462646,0.0,0.09794084727764132,0.0,0.0,0.0,0.0,0.0,0.0,0.01914191246032715,0.0,2.0,10.0,01-28,0.0009150045613447849
01-14,-0.01632353663444519,-0.057132184505462646,0.0,0.09794084727764132,0.0,0.0,0.0,0.0,0.0,0.0,0.01914191246032715,0.0,2.0,10.0,01-29,0.0036355865498383863
01-15,-0.01632353663444519,0.0,0.0,0.09794084727764132,0.0,0.0,0.0,0.0,0.0,0.0,0.01914191246032715,0.0,2.0,10.0,01-30,0.008396601925293607
01-16,0.0,0.0,0.0,0.09794084727764132,0.0,0.0,0.0,0.0,0.0,0.0,0.01914191246032715,0.0,2.0,10.0,01-31,0.009756896644830705
01-17,0.0,0.0,-0.13058781623840332,0.09794084727764132,0.0,0.0,0.0,0.0,0.0,0.0,0.01914191246032715,0.0,2.0,10.0,02-01,-0.0011254213750362372
01-18,0.0,0.0,-0.13058781623840332,0.09794084727764132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.0,02-02,-0.002720580746730166
01-19,0.0,-0.09794083237648016,-0.13058781623840332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,02-03,-0.01904405405124029
01-20,0.0,-0.09794083237648016,-0.13058781623840332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,02-04,-0.01904405405124029
01-21,0.0,-0.09794083237648016,-0.13058781623840332,0.0,0.0,0.0,0.0,0.0,0.0,-0.027538537979125977,0.0,0.0,0.0,12.0,02-05,-0.021338932216167453
01-22,0.0,-0.09794083237648016,-0.13058781623840332,0.0,0.0,0.0,0.0,0.0,0.0,-0.027538537979125977,0.0,0.0,0.0,12.0,02-06,-0.021338932216167453
01-23,0.0,-0.09794083237648016,-0.13058781623840332,0.03264698386192316,0.0,0.0,0.0,0.0,0.0,-0.027538537979125977,0.0,0.0,1.0,11.0,02-07,-0.018618350227673858
01-24,0.0,-0.057132184505462646,-0.13058781623840332,0.03264698386192316,0.0,0.0,0.0,0.0,0.0,-0.027538537979125977,0.0,0.0,1.0,11.0,02-08,-0.015217629571755731
01-25,0.0,-0.057132184505462646,-0.13058781623840332,0.03264698386192316,0.0,0.0,0.0,0.0,0.0,-0.027538537979125977,0.0,0.0,1.0,11.0,02-09,-0.015217629571755731
01-26,0.0,-0.08161747455596924,-0.13058781623840332,0.03264698386192316,0.0,0.0,0.0,0.0,0.0,-0.027538537979125977,0.0,0.0,1.0,11.0,02-10,-0.017258070409297947
01-27,0.0,-0.08161747455596924,-0.13058781623840332,0.03264698386192316,0.0,0.0,0.0,0.0,0.0,-0.027538537979125977,0.0,0.0,1.0,11.0,02-11,-0.017258070409297947
01-28,0.0,-0.08161747455596924,0.0,0.03264698386192316,0.0,0.0,0.0,0.0,0.0,-0.027538537979125977,0.0,0.0,1.0,11.0,02-12,-0.006375752389431004
01-29,0.024485260248184204,-0.08161747455596924,0.0,0.03264698386192316,0.0,0.0,0.0,0.0,0.0,-0.027538537979125977,0.0,0.0,2.0,10.0,02-13,-0.004335314035415654
01-30,0.024485260248184204,0.01632335782051092,0.0,0.03264698386192316,0.0,0.0,0.0,0.0,0.0,-0.027538537979125977,0.0,0.0,3.0,9.0,02-14,0.0038264219959576926
01-31,0.024485260248184204,0.01632335782051092,0.0,0.03264698386192316,0.0,0.0,0.0,0.0,0.0,-0.027538537979125977,0.0,0.0,3.0,9.0,02-15,0.0038264219959576926
02-01,0.024485260248184204,0.01632335782051092,0.0,0.03264698386192316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,9.0,02-16,0.006121300160884857
02-02,0.024485260248184204,0.01632335782051092,0.0,0.03264698386192316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,9.0,02-17,0.006121300160884857
02-03,0.024485260248184204,0.01632335782051092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,10.0,02-18,0.00340071817239126
02-04,0.024485260248184204,-0.024485290050506592,0.0,0.0,0.11426430940628052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,10.0,02-19,0.009522023300329844
02-05,0.024485260248184204,-0.024485290050506592,0.0,0.0,0.11426430940628052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,10.0,02-20,0.009522023300329844
02-06,0.024485260248184204,0.0,0.0,0.0,0.11426430940628052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,10.0,02-21,0.01156246413787206
02-07,0.024485260248184204,0.0,0.0,0.0,0.11426430940628052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,10.0,02-22,0.01156246413787206
02-08,0.024485260248184204,0.0,0.0,0.0,0.11426430940628052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,10.0,02-23,0.01156246413787206
02-09,0.024485260248184204,0.0,0.0,0.0,0.11426430940628052,0.0,0.0,0.0,0.17186778783798207,0.0,0.0,0.0,3.0,9.0,02-24,0.025884779791037232
02-10,0.024485260248184204,0.0,0.0,0.0,0.11426430940628052,0.0,0.0,0.0,0.17186778783798207,0.0,0.0,0.0,3.0,9.0,02-25,0.025884779791037232
02-11,0.0,0.0,0.0,0.0,0.11426430940628052,0.0,0.0,0.0,0.17186778783798207,0.0,0.0,0.0,2.0,10.0,02-26,0.023844341437021882
02-12,0.0,0.0,0.0,0.0,0.11426430940628052,0.0,0.0,0.0,0.17186778783798207,0.0,0.0,0.0,2.0,10.0,02-27,0.023844341437021882
02-13,0.0,0.0,-0.08161735534667969,0.0,0.11426430940628052,0.0,0.0,0.0,0.17186778783798207,0.0,0.0,0.0,2.0,10.0,02-28,0.01704289515813191
02-14,0.0,0.0,-0.08161735534667969,0.016323506832122803,0.0,0.0,0.0,0.0,0.17186778783798207,0.0,0.0,0.0,2.0,10.0,02-29,0.008881161610285432
02-15,-0.04897046089172363,0.0,-0.08161735534667969,0.016323506832122803,0.0,0.0,0.0,0.0,0.17186778783798207,0.0,0.0,0.0,2.0,10.0,03-01,0.004800289869308462
02-16,-0.04897046089172363,0.0571323037147522,-0.08161735534667969,0.016323506832122803,0.0,0.0,0.0,0.0,0.17186778783798207,0.0,0.0,0.0,3.0,9.0,03-02,0.009561315178871146
02-17,-0.04897046089172363,0.0571323037147522,-0.08161735534667969,0.016323506832122803,0.0,0.0,0.0,0.0,0.17186778783798207,0.0,0.0,0.0,3.0,9.0,03-03,0.009561315178871146
02-18,-0.04897046089172363,0.0571323037147522,-0.08161735534667969,0.016323506832122803,0.0,0.0,0.0,0.0,0.17186778783798207,0.0,0.0,0.0,3.0,9.0,03-04,0.009561315178871146
02-19,-0.04897046089172363,0.0571323037147522,-0.08161735534667969,0.016323506832122803,0.0,0.0,0.0,0.0,0.17186778783798207,0.0,0.0,0.0,3.0,9.0,03-05,0.009561315178871146
02-20,-0.04897046089172363,0.0571323037147522,-0.08161735534667969,0.016323506832122803,0.0,0.0,0.0,0.0,0.17186778783798207,0.0,0.0,0.0,3.0,9.0,03-06,0.009561315178871146
02-21,-0.04897046089172363,0.0571323037147522,-0.08161735534667969,0.016323506832122803,0.0,0.0,0.0,0.0,0.17186778783798207,0.0,0.0,0.0,3.0,9.0,03-07,0.009561315178871146
02-22,-0.04897046089172363,0.0571323037147522,-0.08161735534667969,0.016323506832122803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,10.0,03-08,-0.004761000474294026
02-23,-0.04897046089172363,0.0571323037147522,-0.08161735534667969,0.016323506832122803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,10.0,03-09,-0.004761000474294026
02-24,-0.04897046089172363,0.0571323037147522,0.0,0.016323506832122803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,10.0,03-10,0.0020404458045959473
02-25,-0.008161723613739014,0.0571323037147522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.0,03-11,0.004080881675084432
02-26,0.04080873727798462,0.0571323037147522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,10.0,03-12,0.008161753416061401
02-27,0.04080873727798462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.0,03-13,0.0034007281064987183
02-28,0.04080873727798462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.0,03-14,0.0034007281064987183
02-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,03-15,0.0
03-01,0.04080873727798462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.0,03-16,0.0034007281064987183
03-02,0.02448520064353943,0.0,0.0,0.0,0.0,0.0,0.0,0.13080266118049622,0.0,0.0,0.0,0.0,2.0,10.0,03-17,0.01294065515200297
03-03,0.02448520064353943,0.0,0.0,0.0,0.0,0.0,0.0,0.13080266118049622,0.0,0.0,0.0,0.0,2.0,10.0,03-18,0.01294065515200297
