,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,ups,downs,end_day_sum,avg
01-02,-0.999169349670411,-0.2070026397705078,-2.893997192382816,1.8101825714111346,-0.6144676208496094,0.0720787048339826,0.30915069580078125,-0.2296886444091797,0.5951137542724574,1.9777755737304688,-1.091684341430664,-0.8654346466064453,5.0,7.0,01-17,-0.17809526125590072
01-03,-0.999169349670411,-0.2070026397705078,-2.893997192382816,1.8101825714111346,-0.6144676208496094,0.0720787048339826,0.0454635620117223,-0.2296886444091797,0.5951137542724574,1.9777755737304688,-1.091684341430664,-0.38463783264160156,5.0,7.0,01-18,-0.16000278790791866
01-04,-0.999169349670411,-0.2070026397705078,-2.4598979949951207,1.8101825714111346,-0.7562694549560547,0.0720787048339826,0.0454635620117223,-0.2296886444091797,0.5951137542724574,1.9777755737304688,-1.091684341430664,-0.38463783264160156,5.0,7.0,01-19,-0.13564467430114782
01-05,-0.999169349670411,-0.2070026397705078,-2.4598979949951207,3.7546730041503924,-0.029539108276367188,0.0720787048339826,0.0454635620117223,0.0,0.5951137542724574,0.384307861328125,-1.091684341430664,-0.38463783264160156,5.0,7.0,01-20,-0.026691198348999395
01-06,-0.999169349670411,-0.3795051574707031,-2.4598979949951207,3.7546730041503924,-0.029539108276367188,0.0720787048339826,1.8275985717773473,-2.388751029968258,0.5951137542724574,0.384307861328125,-1.091684341430664,-0.0576934814453125,5.0,7.0,01-21,-0.06437238057454435
01-07,-0.999169349670411,-1.1212615966796875,-2.4598979949951207,3.0656356811523455,-0.029539108276367188,-0.3784036636352557,1.8275985717773473,-2.756249427795405,0.5951137542724574,0.384307861328125,-1.091684341430664,-0.12500572204589844,4.0,8.0,01-22,-0.2573796113332112
01-08,-0.999169349670411,-1.1212615966796875,0.0,3.0656356811523455,-0.029539108276367188,-0.3784036636352557,1.782135009765625,-2.756249427795405,0.5951137542724574,0.384307861328125,-1.091684341430664,0.32694435119628906,5.0,7.0,01-23,-0.01851423581441236
01-09,-0.999169349670411,-1.4087657928466797,-2.3151969909667933,3.0656356811523455,-0.029539108276367188,-0.3784036636352557,1.782135009765625,-2.756249427795405,0.5951137542724574,0.0,0.0,0.019231796264648438,4.0,8.0,01-24,-0.20210067431131962
01-10,-0.14274024963378995,-2.8922882080078125,-1.9100360870361293,3.0656356811523455,-0.029539108276367188,-0.3784036636352557,1.782135009765625,-2.756249427795405,0.5951137542724574,1.3122711181640625,0.0,0.019231796264648438,5.0,7.0,01-25,-0.11123911539713505
01-11,-0.14274024963378995,-3.427042007446289,-2.0257987976074183,3.7955446243286133,-0.029539108276367188,-0.4504823684692383,1.782135009765625,-2.756249427795405,0.0,1.3122711181640625,0.0,0.019231796264648438,4.0,8.0,01-26,-0.16022245089212986
01-12,-1.141907215118409,-1.8285236358642578,-2.7492980957031214,2.6743993759155256,0.0,-0.3153371810913086,1.782135009765625,-2.756249427795405,0.0,1.3122711181640625,0.0,0.019231796264648438,4.0,8.0,01-27,-0.25027318795522
01-13,-0.9420719146728498,-2.7715320587158203,-2.7492980957031214,2.6743993759155256,0.0,-0.3153371810913086,1.782135009765625,-2.2233743667602504,0.0,1.3122711181640625,0.0,0.019231796264648438,4.0,8.0,01-28,-0.26779802640279077
01-14,-0.9420719146728498,-3.501789093017578,-2.7492980957031214,2.6743993759155256,0.0,-0.3153371810913086,1.782135009765625,-2.2233743667602504,0.0,1.4809932708740234,0.0,0.019231796264648438,4.0,8.0,01-29,-0.3145925998687738
01-15,-0.9420719146728498,-3.501789093017578,-2.7492980957031214,2.5284147262573224,0.0,-1.1262016296386737,1.782135009765625,-2.2233743667602504,0.0,1.4809932708740234,0.0,0.019231796264648438,4.0,8.0,01-30,-0.39433002471923784
01-16,-0.9420719146728498,-3.501789093017578,-2.7492980957031214,2.5284147262573224,0.0,-1.1262016296386737,0.0,0.1653766632080078,0.0,1.4809932708740234,0.0,-0.3077125549316406,3.0,9.0,01-31,-0.3710240523020425
01-17,-0.9420719146728498,-3.501789093017578,-2.7492980957031214,2.5284147262573224,0.0,-0.6757192611694354,0.0,0.1653766632080078,0.0,1.4809932708740234,0.0,-0.3077125549316406,3.0,9.0,02-01,-0.33348385492960597
01-18,-0.9420719146728498,-3.501789093017578,-2.7492980957031214,0.5839242935180646,0.0,-0.6757192611694354,0.0,0.1653766632080078,0.0,1.4809932708740234,0.0,-0.3077125549316406,3.0,9.0,02-02,-0.49552472432454414
01-19,0.0,-2.7830333709716797,-2.7492980957031214,0.5839242935180646,0.0,-0.6757192611694354,0.0,0.1653766632080078,0.0,1.4809932708740234,0.0,-0.3077125549316406,3.0,9.0,02-03,-0.35712242126464844
01-20,0.0,-2.0412769317626953,-0.4341011047363281,0.5839242935180646,0.0,-0.6757192611694354,0.0,0.5328750610351545,0.0,1.4809932708740234,0.0,-0.3077125549316406,3.0,9.0,02-04,-0.07175143559773807
01-21,0.0,-0.5577545166015625,-0.8392620086669922,0.5839242935180646,0.0,-0.6757192611694354,0.0,0.5328750610351545,0.0,1.4809932708740234,0.0,-0.3077125549316406,3.0,9.0,02-05,0.018112023671467654
01-22,-0.5709524154663077,-0.023000717163085938,-0.7234992980957031,0.5839242935180646,0.5022106170654297,-0.6757192611694354,0.0,0.5328750610351545,0.0,1.4809932708740234,0.0,-0.11539268493652344,4.0,8.0,02-06,0.08261990547180138
01-23,0.42821455001831144,-0.5577545166015625,-0.7234992980957031,0.5839242935180646,0.5022106170654297,-0.5766124725341797,0.0,0.5328750610351545,0.0,0.16872215270996094,0.0,-0.11539268493652344,5.0,7.0,02-07,0.020223975181579368
01-24,0.3711194992065421,-0.5577545166015625,-0.5788002014160192,-0.14598464965820312,0.5022106170654297,-0.5766124725341797,0.0,0.5328750610351545,0.0,0.16872215270996094,0.0,-0.11539268493652344,4.0,8.0,02-08,-0.03330143292745006
01-25,0.3711194992065421,-1.2477645874023438,0.14469909667968395,-0.14598464965820312,0.5022106170654297,-0.5766124725341797,0.0,0.5328750610351545,0.0,0.0,0.0,-0.11539268493652344,4.0,8.0,02-09,-0.04457084337870332
