,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,ups,downs,avg
01-02,0.0,-3.571428571428571,0.0,0.0,0.0,0.0,-9.782604414033136,0.0,5.319154486883819,0.0,0.6896551724137931,2.617800994837077,3.0,9.0,-0.39395186094391815
01-03,0.0,-3.571428571428571,0.0,0.0,0.0,0.0,-9.782604414033136,0.0,5.175034808388366,0.0,0.6896551724137931,1.2565432791875826,3.0,9.0,-0.5193999771226637
01-04,0.0,-3.571428571428571,0.0,0.0,0.0,0.0,-9.782604414033136,0.0,5.175034808388366,0.0,0.6896551724137931,1.4397885499367329,3.0,9.0,-0.5041295378935678
01-05,0.0,-3.571428571428571,0.0,0.0,0.0,0.0,-9.782604414033136,0.0,1.0654444151551852,0.0,0.6896551724137931,1.4397885499367329,3.0,9.0,-0.846595403996333
01-06,0.0,0.0,0.0,0.0,0.0,0.0,-1.6778523919496569,0.0,1.0654444151551852,0.0,0.6896551724137931,1.4397885499367329,3.0,9.0,0.12641964546300452
01-07,0.0,0.0,0.0,0.0,0.0,0.0,-2.7118618205442386,-1.3377913833897863,1.0654444151551852,0.0,0.6896551724137931,1.4397885499367329,3.0,9.0,-0.07123042220235944
01-08,0.0,0.0,0.0,0.0,0.0,0.0,-2.7118618205442386,-1.3377913833897863,1.0654444151551852,0.0,0.6896551724137931,1.4397885499367329,3.0,9.0,-0.07123042220235944
01-09,0.0,0.0,0.0,0.0,0.0,0.0,-2.7118618205442386,-1.3377913833897863,1.0654444151551852,0.0,0.6896551724137931,2.207788244470373,3.0,9.0,-0.00723044765788942
01-10,0.0,0.0,0.0,0.0,0.0,0.0,6.440676672983965,-1.3377913833897863,1.0654444151551852,0.0,0.6896551724137931,2.00000118899655,4.0,8.0,0.738165505513309
01-11,0.0,0.0,0.0,0.0,0.0,0.0,6.440676672983965,-1.3377913833897863,2.5875145010758747,0.0,0.6896551724137931,-0.5194825011414367,3.0,9.0,0.6550477051618675
01-12,0.0,0.0,0.0,0.0,0.0,0.0,6.440676672983965,-1.3377913833897863,3.2352896297679226,0.0,0.6896551724137931,-0.3891090242479183,3.0,9.0,0.719893422293998
01-13,0.0,0.0,0.0,0.0,0.0,-12.769487330618423,6.440676672983965,-1.3377913833897863,3.3823574290556278,0.0,0.6896551724137931,0.41173403216439597,4.0,8.0,-0.265237950615869
01-14,0.0,0.0,0.0,0.0,0.0,-12.769487330618423,6.440676672983965,-1.3377913833897863,3.3823574290556278,-14.754100970206563,0.6896551724137931,1.312408976377149,4.0,8.0,-1.4196901194486866
01-15,0.0,0.0,0.0,0.0,0.0,-5.590059609974485,6.440676672983965,-1.3377913833897863,3.3823574290556278,-14.754100970206563,0.0,1.6984041097423401,3.0,9.0,-0.8467094793157419
01-16,0.0,0.0,0.0,0.0,0.0,-5.590059609974485,-1.0169465663069506,-1.3377913833897863,3.3823574290556278,-14.754100970206563,0.0,1.6984041097423401,2.0,10.0,-1.4681780825899846
01-17,0.0,0.0,0.0,0.0,0.0,-5.590059609974485,0.0,-1.3377913833897863,3.3823574290556278,-14.754100970206563,0.0,1.6984041097423401,2.0,10.0,-1.3834325353977388
01-18,0.0,0.0,0.0,0.0,0.0,-5.590059609974485,0.0,-1.3377913833897863,3.3823574290556278,-14.754100970206563,0.0,1.6984041097423401,2.0,10.0,-1.3834325353977388
01-19,0.0,0.0,0.0,0.0,0.0,-5.590059609974485,0.0,-1.3377913833897863,6.142861502511181,-14.754100970206563,0.0,1.6984041097423401,2.0,10.0,-1.1533905292764428
01-20,0.0,0.0,0.0,0.0,0.0,-5.590059609974485,0.0,0.0,6.142861502511181,-14.754100970206563,0.0,0.9079078626404178,2.0,10.0,-1.107782601252454
01-21,0.0,0.0,0.0,0.0,0.0,-5.590059609974485,0.0,0.0,6.142861502511181,-14.754100970206563,-0.6944444444444444,0.9079078626404178,2.0,10.0,-1.1656529716228246
01-22,0.0,0.0,0.0,0.0,0.21193736161870003,-5.590059609974485,0.0,0.0,6.142861502511181,-14.754100970206563,-0.6944444444444444,0.388102250858825,3.0,9.0,-1.1913086591363988
01-23,0.0,0.0,0.0,0.0,0.21193736161870003,-5.590059609974485,0.0,0.0,6.142861502511181,-14.754100970206563,-0.6944444444444444,0.25873812385596096,3.0,9.0,-1.2020890030533042
01-24,0.0,0.0,0.0,0.0,0.21193736161870003,6.366463030549426,0.0,0.0,-1.7973288135416685,-14.754100970206563,-0.6944444444444444,-0.5433352553221688,2.0,10.0,-0.93423409094556
01-25,0.0,0.0,0.0,0.0,0.21193736161870003,6.366463030549426,0.0,0.0,-5.36101492933235,0.0,-0.6944444444444444,-0.5433352553221688,2.0,10.0,-0.0016995197442364236
01-26,0.0,0.0,0.0,0.0,0.21193736161870003,6.366463030549426,0.0,0.0,-5.36101492933235,0.0,-0.6944444444444444,2.8499984741210938,3.0,9.0,0.2810782910427021
01-27,0.0,0.0,0.0,0.0,0.21193736161870003,6.366463030549426,0.0,0.0,-5.36101492933235,0.0,-0.6944444444444444,3.333333649643216,3.0,9.0,0.3213562223362123
