,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,ups,downs,avg
01-02,2.013417749940467,-17.5,-9.130436314977599,2.5641061693801355,8.153480728232068,2.5069614574109695,4.452058597406382,-0.4761900436850765,7.441864127142986,-2.2900833518668735,17.391306882995252,33.33333333333333,8.0,4.0,4.03831827794267
01-03,0.2684561266920117,-17.5,-6.056342407768456,0.5235597192677586,-1.9851096660329297,3.064064003502296,2.0548006722750554,-0.4761900436850765,6.5727745249874046,-16.923079744598674,17.391306882995252,0.0,6.0,6.0,-1.088813327697113
01-04,0.2684561266920117,-17.5,6.535947630939014,2.236843137199542,-2.2332424581936072,2.7855127304566327,2.0548006722750554,-2.9268265451297673,8.83721157175058,-13.385832980085855,-17.391306882995252,0.0,6.0,6.0,-2.5598697497576373
01-05,0.2684561266920117,-17.5,-2.428572518484933,-2.6845676674188104,-7.444161247623652,2.7855127304566327,3.3783831676485327,-6.632646606744119,5.116285052796959,-11.023621086415302,-4.347821861674596,0.0,4.0,8.0,-3.376062825897273
01-06,0.2684561266920117,-6.8181818181818175,1.830987551930745,-4.563760554262713,-7.444161247623652,3.055552722495204,4.620457683416477,-5.555550203847883,4.186053423058577,0.0,-4.347821861674596,-49.999999999999986,5.0,7.0,-5.3973306814998026
01-07,0.2684561266920117,-6.8181818181818175,4.929576187799686,0.40268098978852784,-8.249998092651389,2.997278780045276,7.028754650685563,-10.582006877682248,1.8604743487125917,-4.0983566511258145,-9.090907243657705,-49.999999999999986,6.0,6.0,-5.946019133297942
01-08,0.13422486309654,-6.8181818181818175,10.845070299565887,1.7218557769104348,-10.301503654453628,4.878050513982635,4.153358136989674,-9.523806820651034,1.8604743487125917,-2.419352512826054,-4.761907465063339,71.42857218883475,7.0,5.0,5.09973782140972
01-09,0.2684561266920117,18.181818181818183,9.312322257754257,2.6246694523468834,-3.999996185302712,3.7837865702682487,3.8338696354679085,-10.052906849166629,2.3148235531497563,-7.200002670288068,-19.04762276446209,66.66666666666666,8.0,4.0,5.557156997912034
01-10,0.2684561266920117,18.181818181818183,6.911768438906702,-4.41767616883354,-6.426728916182902,4.054056579305613,3.8338696354679085,-5.050500185316258,-1.421810962080074,-1.5748016714081128,-100.0,66.66666666666666,6.0,6.0,-1.581240189580317
01-11,0.2684561266920117,18.181818181818183,3.8461571017556353,1.179556372712916,-5.6555275752530605,4.864866606417659,2.5889943666086204,0.0,0.9216580748084756,0.7751930820906441,-84.61538726056128,50.0,9.0,3.0,-0.6370179102425156
01-12,0.2684561266920117,8.999997919256037,-2.526004098248873,-4.979816567222907,-8.483282169361377,4.347828340440204,3.525637792647354,-0.9523800873701742,-1.8957441829536557,-1.55038616418134,-84.61538726056128,50.0,5.0,7.0,-3.1550900292386665
01-13,0.0,9.090909090909092,-2.89854792030238,-2.826380121114098,-5.499994754791238,2.7624283920971484,4.953562999562566,-5.527632892897942,-0.9478777412064923,-0.7751930820906785,-118.18181448731538,57.14285828325213,4.0,8.0,-5.225640186158105
01-14,0.2677373693205909,16.666666666666664,-10.869565067159057,-2.2880226140187947,-8.76287798253643,-0.5681812794001732,5.501613029043319,-1.4851471125267248,-1.8957441829536557,-1.5624985448084445,-118.18181448731538,62.5,4.0,8.0,-5.0564861838073405
01-15,0.6666692097981652,16.666666666666664,-1.44927396015119,-2.1505355669564805,-6.923076264721853,-3.1609165084174773,4.2071158457390085,2.9702942250534385,0.9216580748084756,-2.3622025071121953,-155.5555500366072,50.0,6.0,6.0,-8.014095901825053
01-16,0.6666692097981652,8.333333333333332,-1.5965186595934076,-1.1983977764023528,-3.333336186205161,-3.448272554637248,1.9417457749564655,1.9801961500356329,0.4629625030505781,-1.5624985448084445,-187.50001164153247,80.00000074505806,6.0,6.0,-8.771177303912237
01-17,0.6666692097981652,4.3478260869565215,-4.477614914555747,-1.7402960922651083,-2.564100056083373,-5.459771729284188,-1.294504899116146,2.941173720662264,-0.4672892510771449,-4.958672800657622,-266.666672875484,80.00000074505806,4.0,8.0,-16.639437738004023
01-18,0.6666692097981652,8.333333333333332,-3.3973415025329072,1.5852095069359016,-2.051280044866696,-6.034483821723741,-0.6430938913094892,5.263153091541901,0.0,-4.273510543552606,-249.99999689559135,30.00000074505805,5.0,7.0,-18.379278401075787
01-19,0.6666692097981652,4.3478260869565215,-0.42432435986971123,2.580642700195324,-2.564100056083373,-6.034483821723741,2.187497881241188,2.941173720662264,0.9216580748084756,-5.982910685442232,-249.99999689559135,41.66666511446235,7.0,5.0,-17.474473585882176
01-20,0.6666692097981652,4.3478260869565215,1.828412264412424,1.6774208314957155,-2.564100056083373,-5.128207044053164,-3.986715094945645,6.4356433890658415,0.460829037404248,-6.837610756387045,-199.99998935631348,50.0,7.0,5.0,-12.758318457387482
01-21,0.6666692097981652,8.333333333333332,4.360055372127132,3.6129059330109623,-5.263159215615425,-4.532580371883006,-2.2875873519720566,0.5025120811725401,2.7649852114564175,-7.758623790372493,-249.99999689559135,46.15384394953229,7.0,5.0,-16.95397021125029
01-22,1.3245083303764986,8.333333333333332,4.922642729397052,-2.609884270708045,-7.816710481703206,-3.351958841759867,-2.6578047827083955,-4.522608730552862,4.090915938054106,-8.695654427396825,-249.99999689559135,60.00000248352677,5.0,7.0,-16.748601301311066
01-23,1.3245083303764986,8.333333333333332,5.8495767339589175,-0.9459418097580736,1.5189858748160139,-3.3707900535517474,-3.6544815762240437,-5.527632892897942,3.211016950357426,-9.482760126752343,-116.66666356225804,66.6666687362723,6.0,6.0,-4.395348338527309
01-24,1.3245083303764986,8.333333333333332,6.371185244835084,-3.8095267134884128,0.9900980750177948,-1.6853916782002771,-7.308971073331138,-2.94117372066222,3.9822971039421664,-12.173912051945377,-57.142855622330515,61.1111124908482,6.0,6.0,-0.24577469013373823
01-25,1.3245083303764986,8.333333333333332,4.539009404310677,-1.7808169069468642,3.960392300071245,1.1235944521335182,-5.5555581527078814,-2.94117372066222,6.637172389398326,-4.065036710645526,-57.142855622330515,55.55555831502973,7.0,5.0,0.8323439509466931
01-26,1.9736854901274086,-0.4566227543908865,5.994551063671661,0.26809625769762824,3.465343262562325,1.1235944521335182,-2.5396800407627493,2.4509781005518905,1.80995299378213,-3.2520293685164203,-28.57143313300851,55.55555831502973,8.0,4.0,3.151832886573144
01-27,1.7105278430553101,-9.589043004790058,7.267832763513963,-0.6702438402035596,-1.8276807586367287,2.4930724871093806,0.9615375798129149,-0.9999990463256836,2.2624412422276623,-4.065036710645526,-28.57143313300851,55.55555831502973,6.0,6.0,2.043961144761574
01-28,1.3157882353605386,-5.022832879590472,9.825034131080397,-0.1340449328893251,3.2258091233970596,4.6575362151280295,-2.6578047827083955,-14.606741272038173,3.1674177391187075,-4.065036710645526,-12.500006984919466,64.70588351306617,6.0,6.0,3.992583449529962
01-29,1.9607855359147934,-9.589043004790058,8.882905284799811,-3.319498900207744,4.176905875277905,5.1771131681371845,2.201263213580968,-17.415727402371946,3.6036001204979975,-2.3999977111816406,0.0,50.0,7.0,5.0,3.6065255149714393
