,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,ups,downs,end_day_sum,avg
01-02,0.0,0.04999998211860657,-0.007999956607818604,0.04699999094009402,0.005999997258186368,0.10799999535083771,-0.03900003433227539,0.007999986410140991,-0.009999990463256836,-0.160999983549118,-0.002000004053115789,-0.025000035762786865,5.0,6.0,01-17,-0.0021666710575421514
01-03,0.0,0.04999998211860657,-0.009000003337860107,0.03499999642372134,0.0009999945759773393,0.10699999332427981,0.014999985694885254,0.007999986410140991,-0.009999990463256836,-0.11899998784065241,-0.01499998569488531,-0.009000003337860107,6.0,5.0,01-18,0.0044999973227580455
01-04,0.0,0.04999998211860657,-0.07599997520446772,0.06400001049041748,-0.00700000673532486,0.10499998927116397,0.014999985694885254,0.01199999451637268,-0.030000030994415283,-0.03099995851516718,-0.017999976873397883,0.013000011444091797,6.0,5.0,01-19,0.00808333543439707
01-05,0.0,0.04999998211860657,0.0,0.10600000619888303,0.009999997913837433,0.10499998927116397,0.018000006675720215,0.023000001907348633,-0.02399998903274536,-0.016999959945678766,-0.02300000190734869,0.013000011444091797,7.0,4.0,01-20,0.021750003720323235
01-06,0.0,0.034999996423721313,0.04000002145767212,0.0830000042915344,0.009999997913837433,0.09699998795986181,0.009000003337860107,0.03800001740455633,-0.023000001907348633,-0.0370000004768371,-0.02300000190734869,0.009000003337860107,8.0,3.0,01-21,0.019833335652947436
01-07,0.0,0.034999996423721313,0.06800001859664917,0.06700000166893003,0.015000000596046462,0.06400001049041748,0.019999980926513672,0.024000018835067805,-0.02799999713897705,-0.03200000524520874,-0.016000002622604426,0.019999980926513672,8.0,3.0,01-22,0.019750000288089115
01-08,0.0,0.025999993085861206,0.03900003433227539,0.07400000095367432,0.015000000596046434,0.0729999989271164,0.013000011444091797,0.03300002217292791,-0.04900002479553223,-0.03600001335144043,-0.02399998903274525,0.029999971389770508,8.0,3.0,01-23,0.01616666714350384
01-09,0.0,0.025999993085861206,-0.001999974250793457,0.07400000095367432,0.010000005364418016,0.07600000500679013,0.023000001907348633,0.027000010013580322,-0.027000010013580322,-0.048999994993209894,-0.020000010728836004,0.04000002145767212,7.0,4.0,01-24,0.014833337316910422
01-10,0.0,-0.020999997854232788,0.030000030994415283,0.04999999701976782,0.013999998569488553,0.031000003218650818,-0.023000001907348633,0.03700000047683716,-0.025000035762786865,-0.039999991655349676,0.004999995231628418,0.019999980926513672,7.0,4.0,01-25,0.006499998271465313
01-11,0.0,-0.020999997854232788,0.03799998760223389,0.06000000238418582,0.008999995887279524,0.024000003933906527,-0.041999995708465576,0.057999998331069946,-0.019999980926513672,0.009999990463256836,0.0059999823570251465,0.018999993801116943,8.0,3.0,01-26,0.011749998355905214
01-12,0.0,-0.03200000524520874,0.013999998569488525,0.04999999701976779,0.016000002622604384,0.03200000524520874,-0.04400002956390381,0.06499999761581421,0.018999993801116943,0.04199999570846552,0.014999985694885198,0.022000014781951904,9.0,2.0,01-27,0.01658332968751589
01-13,0.0,-0.02799999713897705,-0.0009999871253967285,0.06199999153614047,0.018000006675720215,0.02199999988079071,-0.02799999713897705,0.0720000267028808,0.018999993801116943,0.01399999856948847,-0.0020000040531159002,0.02899998426437378,7.0,4.0,01-28,0.014750001331170388
01-14,0.0,-0.02799999713897705,0.019999980926513616,0.037999987602233914,0.0010000020265579224,0.005999997258186368,-0.014999985694885254,0.054000020027160645,0.0350000262260437,0.018999993801116943,0.019999980926513672,0.02499997615814209,9.0,2.0,01-29,0.014583331843217215
01-15,0.0,-0.02799999713897705,-0.06999999284744263,0.015999987721443204,0.009999997913837433,-0.019999995827674866,-0.02799999713897705,0.03600001335144043,0.030000030994415283,0.04899999499320978,0.021000027656555176,0.023000001907348633,7.0,4.0,01-30,0.003250005965431529
01-16,0.0,-0.02799999713897705,-0.05299997329711914,0.037999987602233914,0.005000002682209029,-0.02399998903274539,-0.018999993801116943,0.018000006675720215,-0.0009999871253967285,0.04300001263618464,0.018999993801117,0.021000027656555176,6.0,5.0,01-31,0.0015833408882220598
01-17,0.0,-0.02799999713897705,-0.07499998807907104,0.034999996423721313,-0.005999997258186368,-0.008000001311302185,-0.029999971389770508,0.0169999897480011,-0.0059999823570251465,-0.0020000040531159002,0.02799999713897705,0.013999998569488525,4.0,7.0,02-01,-0.005083329975605018
01-18,0.0,-0.02799999713897705,-0.07499998807907104,0.013999998569488553,-0.01999999582767488,-0.0169999897480011,-0.0339999794960022,0.020999997854232788,-0.02899998426437378,-0.015000015497207586,0.0370000004768371,0.0040000081062316895,4.0,7.0,02-02,-0.011833328753709793
01-19,0.0,-0.02799999713897705,-0.06800001859664917,0.023000001907348633,-0.010999999940395355,-0.010999992489814786,-0.019999980926513672,0.07099997997283941,-0.0009999871253967285,-0.011000007390975897,0.03800001740455622,0.008000016212463379,4.0,7.0,02-03,-0.0008333306759595848
01-20,0.0,-0.02799999713897705,-0.026000022888183594,0.023000001907348633,-0.013000003993511186,-0.006999999284744263,-0.018000006675720215,0.12099996209144592,-0.023000001907348633,0.004999995231628529,0.020999997854232788,-0.0059999823570251465,4.0,7.0,02-04,0.004083328569928816
01-21,0.0,0.018999993801116943,-0.058000028133392334,0.04299999773502347,-0.005000002682208987,-0.02199999988079071,-0.030000030994415283,0.14100000262260437,-0.010999977588653564,0.009999990463256947,0.030000001192092896,-0.02399998903274536,5.0,6.0,02-05,0.007749996458490699
01-22,0.0,0.018999993801116943,-0.0480000376701355,0.059999987483024514,-0.005000002682208987,-0.005999997258186285,0.015999972820281982,0.12000000476837158,0.0020000338554382324,-0.035999983549117986,0.03100001811981201,-0.029999971389770508,6.0,5.0,02-06,0.0102500015248855
01-23,0.0,0.0040000081062316895,-0.030000030994415283,0.0439999848604202,-0.017999999225139646,-0.01000000536441803,0.018000006675720215,0.10699999332427979,-0.0059999823570251465,-0.005999982357025202,0.025000005960464478,-0.013000011444091797,5.0,6.0,02-07,0.009583332265416772
