,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,ups,downs,end_day_sum,avg
01-02,-14.5,-0.5,-3.0,-2.0,16.00999450683591,-2.0,-7.0,-20.5,14.009994506835938,-2.0,-5.6999969482421875,0.5,3.0,9.0,01-17,-2.2233339945475286
01-03,-14.5,-0.5,-8.0,-2.0,0.0,-2.0,-3.0,-20.5,36.00999450683594,-1.0,0.100006103515625,0.5,3.0,9.0,01-18,-1.2408332824707031
01-04,-14.5,-0.5,-8.0,0.0,0.0,0.0,-3.0,-20.5,18.0,-1.0,0.100006103515625,0.5,3.0,9.0,01-19,-2.4083328247070312
01-05,-14.5,3.0,-8.0,0.0,0.0,0.0,-3.0,-28.5,12.0,-3.0,0.100006103515625,0.5,4.0,8.0,01-20,-3.4499994913736978
01-06,-4.5,3.0,-8.0,2.0,0.0,0.0,-1.0,-22.5,4.0,-1.0,0.100006103515625,0.5,5.0,7.0,01-21,-2.2833328247070312
01-07,-4.5,3.0,-5.0,2.0,-11.0,1.0,0.0,-19.899993896484375,4.0,-2.0,0.100006103515625,0.4600067138671875,6.0,6.0,01-22,-2.653331756591797
01-08,-4.5,3.0,-5.0,2.0,-11.0,1.0,-5.990005493164034,-19.899993896484375,4.0,-1.0,0.100006103515625,1.5,6.0,6.0,01-23,-2.982499440511065
01-09,-4.5,0.0,-5.0,2.0,-11.0,2.0,-5.990005493164034,-14.899993896484375,20.0,-1.0,0.100006103515625,1.75,5.0,7.0,01-24,-1.3783327738443987
01-10,10.0,0.0,-6.0,0.0,-11.0,0.0,-5.990005493164034,-14.899993896484375,-0.75,-2.5,6.0,0.75,3.0,9.0,01-25,-2.0324999491373674
01-11,10.0,0.0,-6.0,0.0,1.0,10.0,0.0,-14.899993896484375,-2.0,-1.0,6.0,1.75,5.0,7.0,01-26,0.40416717529296875
01-12,10.0,0.0,-25.0,0.0,1.0,10.0,-6.0,-8.899993896484375,8.910003662109375,-1.0,6.0,1.5,6.0,6.0,01-27,-0.29083251953125
01-13,10.0,0.0,-16.0,0.0,2.0,6.0,-9.0,1.0,-13.089996337890625,0.0,8.0,6.0,6.0,6.0,01-28,-0.42416636149088544
01-14,10.0,0.0,-16.0,0.0,2.0,0.0,-6.0,1.0,4.910003662109375,0.0,11.0,2.5,6.0,6.0,01-29,0.7841669718424479
01-15,10.0,0.0,-16.0,0.0,-12.0,0.0,-7.0,9.0,4.0,-2.0,10.800003051757812,2.5,5.0,7.0,01-30,-0.05833307902018229
01-16,0.0,0.0,-16.0,0.0,3.0,0.0,-7.0,3.0,-5.0,-2.0,-4.0,2.5,3.0,9.0,01-31,-2.125
01-17,0.0,-3.0,-1.0,0.0,9.0,-1.0,-10.0,3.0,-10.0,-2.0,0.0,2.5399932861328125,3.0,9.0,02-01,-1.0383338928222656
01-18,0.0,-3.0,-1.0,44.0,9.0,-1.0,-9.0,3.0,-2.0099945068359375,-1.0,0.0,2.5,4.0,8.0,02-02,3.457500457763672
01-19,0.0,-1.5,-1.0,40.0,9.0,9.0,-6.0,3.0,-2.0,-2.0,0.0,2.5,5.0,7.0,02-03,4.25
01-20,4.0,-1.5,-1.0,40.0,14.0,14.0,-6.0,9.899993896484375,-18.0,-2.0,0.0,2.5,6.0,6.0,02-04,4.658332824707031
01-21,4.0,-1.5,0.0,40.0,14.0,0.5,-5.009994506835966,9.899993896484375,2.75,-2.0,0.0,2.5,7.0,5.0,02-05,5.4283332824707005
01-22,4.0,-1.5,0.0,40.0,14.0,-7.0,-9.0,9.899993896484375,2.75,3.0,0.0,4.25,7.0,5.0,02-06,5.033332824707031
01-23,4.0,-1.5,0.0,40.0,14.0,-6.25,-3.0,9.899993896484375,2.75,5.110000610351591,0.0,2.5,7.0,5.0,02-07,5.625832875569664
01-24,4.0,-1.5,0.0,15.0,16.0,-2.25,0.0,9.899993896484375,0.0,-1.0,-2.0,-2.0,4.0,8.0,02-08,3.0124994913736978
01-25,4.0,-1.5,19.0,30.0,16.0,3.75,0.0,9.899993896484375,-10.910003662109375,-1.0,-5.0,0.0,6.0,6.0,02-09,5.35333251953125
01-26,4.0,6.0,-9.0,10.0,18.0,7.0,1.0,-9.0,-10.0,1.0,-5.0,-4.7299957275390625,7.0,5.0,02-10,0.7725003560384115
01-27,4.0,6.0,-8.0,10.0,18.0,7.0,0.0,-8.0,-1.0,1.0,-5.0,-4.7299957275390625,6.0,6.0,02-11,1.6058336893717449
01-28,4.0,9.0,-23.0,10.0,18.0,7.0,1.25,-8.0,4.0,3.0,-5.0,-4.7299957275390625,8.0,4.0,02-12,1.2933336893717449
01-29,4.0,9.0,-23.0,20.0,3.0,5.0,-2.0,-8.0,4.0,3.0,0.0,-4.7299957275390625,7.0,5.0,02-13,0.8558336893717448
01-30,4.0,7.5,-23.0,17.5,1.0,-2.0,-5.0,-8.0,-2.0,3.0,-4.0,0.0,5.0,7.0,02-14,-0.9166666666666666
01-31,0.0,7.5,-18.949996948242188,-27.0,5.0,-7.0,-5.0,-8.0,-10.490005493164062,3.0,0.0,0.0,3.0,9.0,02-15,-5.0783335367838545
02-01,0.0,7.5,-19.0,-23.0,5.0,6.5,-5.0,-9.0,-10.5,0.0,0.0,0.0,3.0,9.0,02-16,-3.9583333333333335
02-02,0.0,9.5,-19.0,-25.0,5.0,6.5,-5.0,-15.0,-4.100006103515625,-5.0,0.0,0.0,3.0,9.0,02-17,-4.341667175292969
02-03,0.0,19.5,-19.0,-25.0,5.0,6.5,0.0,-15.0,-4.100006103515625,-5.610000610351591,0.0,-4.0,3.0,9.0,02-18,-3.475833892822268
02-04,0.0,19.5,-19.0,0.0,5.0,1.0,-6.0,-15.0,-0.100006103515625,-5.610000610351591,5.0,-5.5,4.0,8.0,02-19,-1.725833892822268
02-05,-4.0,19.5,-19.0,0.0,5.0,0.25,-5.0,-15.0,-0.100006103515625,-5.610000610351591,5.9499969482421875,0.0,4.0,8.0,02-20,-1.500834147135419
02-06,-4.0,12.0,-19.0,-1.5,-10.990005493164034,3.0,-6.0,-6.0,9.0,-4.0,9.8800048828125,4.7299957275390625,5.0,7.0,02-21,-1.0733337402343726
02-07,-4.0,0.0,-19.0,-16.5,2.0,3.0,-5.0,-11.0,15.0,-2.0,5.0,4.7299957275390625,5.0,7.0,02-22,-2.314167022705078
02-08,-4.0,0.0,3.0,3.0,2.0,3.0,-3.0,-11.0,6.0,-6.0,5.0,4.7299957275390625,7.0,5.0,02-23,0.22749964396158853
02-09,-4.0,0.0,-1.0,-7.0,2.0,-1.0,-2.0,2.8899993896484375,4.0,-6.0,9.0,4.7299957275390625,5.0,7.0,02-24,0.13499959309895834
02-10,-4.0,-6.0,-1.0,-4.5,2.0,8.0,-2.25,3.0,10.0,-6.0,6.5,1.2299957275390625,6.0,6.0,02-25,0.5816663106282552
02-11,-4.0500030517578125,-5.0,-5.0500030517578125,-4.0,-3.0,10.0,0.0,4.0,10.5,-2.0,6.5,2.7299957275390625,5.0,7.0,02-26,0.8858324686686198
02-12,-4.0500030517578125,-7.0,-5.0,0.0,4.0,17.009994506835966,-1.0,10.0,10.5,-2.0,9.0,-3.0,5.0,7.0,02-27,2.371665954589846
02-13,-4.0500030517578125,-17.0,-5.0,0.0,-5.0,20.0,-1.0,10.0,10.399993896484375,-1.5,5.0,-1.0,4.0,8.0,02-28,0.9041659037272135
02-14,-4.0500030517578125,-20.0,-5.0,0.0,-5.0,24.0,3.0,10.0,11.5,1.0,0.0,-1.5,5.0,7.0,02-29,1.1624997456868489
02-15,-4.0500030517578125,-20.0,0.0,1.0,-5.0,24.0,4.0,15.0,13.000000000000028,1.0,-0.9499969482421875,-5.0,6.0,6.0,03-01,1.916666666666669
02-16,-4.0500030517578125,-9.75,0.0,1.5,7.990005493164034,26.0,3.0,14.899993896484375,-4.0,4.0,-4.8800048828125,-6.350006103515625,6.0,6.0,03-02,2.363332112630206
02-17,-4.0500030517578125,10.0,0.0,1.5,7.990005493164034,26.0,3.0,14.889999389648438,-10.0,2.0,-4.8800048828125,-9.0,7.0,5.0,03-03,3.12083307902018
02-18,-0.0500030517578125,21.75,2.0,2.0,1.990005493164034,24.0,2.0,20.0,-1.0,2.0,-4.8800048828125,-9.0,8.0,4.0,03-04,5.067499796549477
02-19,-0.0500030517578125,21.75,5.0,4.0,1.990005493164034,24.0,-4.0,20.0,-2.0,2.0,-4.8800048828125,-7.0,7.0,5.0,03-05,5.067499796549477
