,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,ups,downs,end_day_sum,avg
01-02,0.15000009536743164,-2.039999008178711,0.0,1.079999923706053,8.879999160766605,0.48000335693359375,-3.8400001525878924,-1.3499999046325675,0.3600001335144052,0.18000006675720215,0.31999993324279785,2.4499998092651367,8.0,4.0,01-17,0.5558336178461712
01-03,0.11999988555908114,-2.039999008178711,0.030000686645500707,0.9000005722045898,9.480001449584957,-0.4499969482421875,-2.8800001144409197,-1.3499999046325675,0.4500002861022949,0.24000000953674272,0.3600001335144043,2.3899998664855957,8.0,4.0,01-18,0.6041672428448984
01-04,0.11999988555908114,-3.14999961853027,-0.029998779296878553,1.9200000762939418,9.330001831054688,-0.80999755859375,-2.8800001144409197,-1.4099998474121085,-0.26999998092651456,0.18000006675720215,0.2400000095367436,1.6499996185302743,6.0,6.0,01-19,0.4075004657109574
01-05,-0.030000209808350498,-3.60000038146973,-0.8400001525878906,1.97999954223633,8.640001296997067,-0.80999755859375,-2.5799999237060547,-1.4099998474121103,-0.18000030517578125,0.15000009536743164,0.28000020980835005,1.6499996185302743,5.0,7.0,01-20,0.2708335320154821
01-06,-0.3000001907348624,-3.1199989318847656,-0.8699989318847692,1.97999954223633,8.640001296997067,-1.6499977111816406,-1.7400007247924787,-1.5299997329711932,-0.26999998092651456,0.0,0.28000020980835005,1.4200000762939462,4.0,8.0,01-21,0.23666707674662238
01-07,-0.03000020980834961,-2.670000076293949,-0.75,1.920000076293947,8.940000534057614,-3.8400001525878906,-1.5299997329711914,-1.140000343322754,-0.24000024795532138,-0.059999942779541016,0.3000001907348633,1.2100000381469727,4.0,8.0,01-22,0.17583334445953333
01-08,-0.12000036239624023,-3.0,-0.6599998474121094,2.0700006484985334,2.4900016784667898,-3.9300003051757812,-1.8600006103515625,-1.140000343322754,-0.18000030517578036,-0.059999942779541016,0.3400001525878902,1.0900001525878906,4.0,8.0,01-23,-0.4133332570393888
01-09,-0.12000036239624023,-2.1599998474121094,-0.8400001525878906,2.1000003814697266,-0.4499969482421875,-2.0099983215332102,-1.8900003433227521,-0.8099999427795419,-0.15000009536743075,-0.1799998283386226,0.1099998950958252,0.9100008010864258,3.0,9.0,01-24,-0.4574995636940007
01-10,0.14999961853027255,-2.2199993133544886,-0.7800006866455043,1.949999809265135,-4.650001525878906,-2.4599990844726562,-1.2899999618530273,-0.8699998855590829,-0.24000024795532227,-0.11999988555908203,0.21000003814697266,0.8300008773803729,4.0,8.0,01-25,-0.7908333539962764
01-11,0.48000001907348633,-3.360000610351559,-1.5599994659423864,1.5,-4.1399993896484375,-1.7999992370605469,-1.4099998474121112,-0.75,0.06000041961669922,-0.3300001621246338,0.20000004768371538,0.9700002670288104,5.0,7.0,01-26,-0.8449998299280802
01-12,0.48000001907348633,-2.970001220703118,-2.0999984741210973,1.3500003814697301,-5.159999847412102,-2.700000762939453,-1.22999954223633,-0.869999885559082,0.3299999237060547,-0.18000006675720215,0.23000001907348544,0.5000000000000018,5.0,7.0,01-27,-1.0266666213671356
01-13,-0.4200000762939453,-5.280000686645504,-2.0100002288818324,1.5299997329711932,-4.6199989318847585,-3.8400001525878906,-0.4200000762939471,-0.5700001716613778,0.23999977111816495,-0.2100000381469722,0.25,-0.010000228881834161,3.0,9.0,01-28,-1.2800000905990587
01-14,0.059999942779541016,-4.170000076293945,-2.130001068115231,0.6000003814697301,-5.159999847412102,-3.3899993896484304,0.21000003814697266,-0.5399999618530291,0.48000001907348633,-0.05999994277954057,0.24000000953674272,-0.770000457763671,5.0,7.0,01-29,-1.219166696071623
01-15,0.24000024795532138,-4.050001144409173,-1.5900001525878906,0.32999992370605824,-4.94999885559082,-2.4000015258789062,-0.3300008773803711,-0.3599996566772461,0.5399999618530265,-0.05999994277954057,0.21000003814697266,-0.9299993515014631,4.0,8.0,01-30,-1.1125001112620025
01-16,0.3000001907348624,-3.4800014495849574,-1.8299999237060582,0.48000049591064453,-4.770000457763672,-1.9500007629394531,-0.75,-0.11999988555908292,0.690000057220459,-0.14999985694885165,0.10999989509582475,-0.5600004196166974,4.0,8.0,01-31,-1.0025001764297483
01-17,0.3000001907348624,-3.8700008392333984,-2.2199993133544957,0.32999992370605824,-4.650001525878899,-1.9799995422363281,-0.3600006103515625,0.11999988555908203,0.8400001525878906,-0.15000009536743164,0.12999987602233842,-0.8100004196166974,5.0,7.0,02-01,-1.026666859785715
01-18,0.3299999237060547,-4.020000457763668,-1.6199989318847656,0.9300003051757795,-3.900001525878899,-2.0999984741210938,-0.5700006484985352,0.17999982833862216,0.9600000381469727,-0.05999994277954057,0.11999988555908203,-1.2100000381469709,5.0,7.0,02-02,-0.913333336512247
01-19,0.3000001907348624,-3.660001754760742,-1.2900009155273402,1.5900001525878924,-2.670001983642571,-1.1699981689453125,-0.21000003814697266,-0.03000020980834872,1.0500001907348633,-0.05999994277954057,0.1800000667572017,-1.5399999618530273,4.0,8.0,02-03,-0.6258335312207529
01-20,0.6599998474121112,-2.3400001525878906,-1.0499992370605469,1.5600004196166992,-3.360000610351566,-1.6499977111816406,-0.029999732971191406,-0.26999998092651367,1.0199999809265137,0.0,0.19000005722045898,-1.6599998474121094,4.0,8.0,02-04,-0.5774997472763063
01-21,0.059999942779541904,-1.2000007629394602,-1.1099987030029332,1.5600004196166992,-4.620000839233402,-2.849998474121101,0.6000003814697248,0.0,0.9000000953674316,-0.09000015258789107,0.20000004768371626,-1.4699997901916495,5.0,7.0,02-05,-0.6683331529299436
01-22,-0.15000009536743253,-0.05999946594238992,-0.2399997711181605,2.3400001525878906,-7.620000839233402,-3.450000762939453,0.630000114440918,-0.11999988555908292,0.8099999427795419,-0.09000015258789107,0.17000007629394576,-1.1000003814697266,4.0,8.0,02-06,-0.7400000890096035
01-23,-0.15000009536743253,0.6900005340576101,-0.39000129699706676,1.6499996185302734,-2.3399982452392614,-2.7599983215332102,0.4499998092651367,0.059999942779541016,0.9600000381469727,-0.21000003814697266,0.05999994277954146,-0.43000030517578125,6.0,6.0,02-07,-0.20083320140838745
01-24,0.3000001907348624,-0.4200000762939524,-0.6599998474121058,1.2899999618530273,-2.729999542236328,-1.6199989318847727,0.3900003433227539,-0.030000209808350498,1.1999998092651367,-0.08999991416931152,0.0,0.07999992370605469,5.0,7.0,02-08,-0.19083319107691551
01-25,0.5400004386901873,-0.38999938964844105,0.059999465942386365,0.9600000381469709,-2.1899986267089844,-1.3499984741211009,0.09000015258789062,-0.3600001335144052,1.0199999809265137,-0.24000000953674316,0.00999999046325728,0.4200000762939444,7.0,5.0,02-09,-0.11916637420654368
01-26,0.690000057220459,0.6300010681152308,-0.09000015258789062,1.530000686645506,-1.5300006866455078,-0.5999984741211009,0.030000686645506036,-0.6900000572204581,1.0799999237060556,-0.24000000953674316,-0.0399999618530269,0.019999980926512784,6.0,6.0,02-10,0.0658335884412119
01-27,0.8700003623962402,0.21000099182128906,0.18000030517578836,1.3800001144409197,-2.610000610351559,-0.11999893188476562,0.32999992370605646,-0.8100004196166983,0.929999828338623,-0.15000009536743208,-0.029999971389770508,-0.029999732971192294,6.0,6.0,02-11,0.012500147024791594
01-28,1.1700000762939462,0.2700004577636719,0.5699996948242259,1.530000686645506,-1.9500007629394531,0.5999984741210938,0.3300008773803711,-0.809999942779541,0.7799997329711914,-0.2400000095367436,-0.019999980926514116,0.10999965667724432,8.0,4.0,02-12,0.19499991337458322
