,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,ups,downs,end_day_sum,avg
01-02,-9.262165069580078,-0.22068023681640625,2.1914138793945312,0.26027679443357954,-0.25026702880859375,-2.758930206298828,-0.04947662353515625,-1.4213008880615234,2.5681495666503906,7.314949035644531,2.3907241821289062,0.42462158203125,6.0,6.0,01-17,0.09894291559855024
01-03,-8.218528747558594,-0.22068023681640625,-1.3283615112304688,0.512901306152358,-1.4623413085937358,-2.4140586853027344,1.04736328125,-1.4213008880615234,3.1031761169433594,3.50640869140625,5.445522308349595,1.3133583068847656,6.0,6.0,01-18,-0.011378447214761186
01-04,-8.218528747558594,-1.5078125,-4.04510498046875,0.8650512695312642,-1.6656570434570312,-0.8180465698242188,1.04736328125,-1.1887321472167933,3.9413871765136648,3.0211715698242188,2.684814453125,2.21197509765625,6.0,6.0,01-19,-0.3060099283854158
01-05,-8.291011810302734,-3.3097763061523438,-5.7412109375,2.8861236572265625,-1.556182861328125,-0.8180465698242188,0.7257347106933594,-2.7995433807373047,4.253490447998047,3.3507614135742188,2.5804557800292898,2.21197509765625,6.0,6.0,01-20,-0.5422692298889166
01-06,-9.363643646240241,-0.1323699951171875,-5.110786437988281,4.937797546386712,-1.556182861328125,-0.6416244506835938,0.48656845092772727,-0.9475326538085938,4.931186676025391,2.1972198486328125,2.5804557800292898,2.2317276000976562,6.0,6.0,01-21,-0.032265345255536225
01-07,-12.443778991699219,0.7722702026367188,-2.7017440795898438,6.139698028564453,-1.2277450561523438,-0.3208045959472585,-0.32988357543946023,-1.0767459869384766,6.063671112060547,1.4922866821289062,3.178131103515625,2.666217803955071,6.0,6.0,01-22,0.18429772059122662
01-08,-10.443496704101562,-0.7722778320312358,-2.0338058471679688,7.762668609619141,-0.83673095703125,-0.7298469543457102,-1.2040634155273438,-0.6202049255371094,6.25984191894532,3.0486373901367188,3.2730140686035085,1.4614830017089915,5.0,7.0,01-23,0.4304348627726249
01-09,-6.000831604003906,-3.3465576171875,-2.1613998413085938,8.597095489501953,-0.101654052734375,-0.489227294921875,-1.5669174194335938,-0.5857505798339844,6.250926971435547,1.2267913818359375,0.4933128356933594,0.4739952087402415,5.0,7.0,01-24,0.23248195648193418
01-10,-3.551219940185547,-7.759567260742173,-3.4597396850585938,5.902374267578125,-0.8289184570312216,-1.3313484191894531,-1.6906356811523438,-0.21535110473632812,4.628009796142585,0.48522186279296875,0.46486663818359375,0.21724700927733664,5.0,7.0,01-25,-0.5949217478434209
01-11,-5.167392730712891,-12.503570556640625,-4.120155334472656,6.1320571899414205,-0.4926605224609233,-0.7378616333007812,-0.7917098999023438,0.4306983947753906,1.0611419677734375,0.62255859375,1.1763877868652344,-0.789989471435554,5.0,7.0,01-26,-1.2650413513183576
01-12,-5.645713806152344,-7.075523376464844,-4.29278564453125,6.4918289184570455,-0.5004730224609233,-2.2536888122558594,-2.5565643310546875,1.9725875854492188,-1.8904380798339844,-1.9134063720703125,1.7361221313476562,-1.2738609313964915,3.0,9.0,01-27,-1.433492978413898
01-13,-5.841396331787109,-10.730995178222656,0.067535400390625,6.239204406738267,-0.2111358642578125,-3.496807098388672,-1.4514617919921804,2.9545955657958984,-2.425464630126953,-0.6591567993164062,1.8594512939453125,-2.0539817810058665,4.0,8.0,01-28,-1.3124677340189628
01-14,-1.4567184448242188,-10.149940490722656,0.4652862548828125,5.772232055664048,-0.2736968994140625,-4.427131652832031,-1.5421867370605469,1.9381484985351527,-2.559223175048821,1.8035430908203125,3.4058265686035227,-3.7722091674804688,5.0,7.0,01-29,-0.8996725082397464
01-15,2.3771514892578125,-8.215583801269531,1.3133392333984375,5.213409423828111,-2.236488342285142,-2.7348861694335866,-1.0226325988769531,2.894290924072269,2.5146369934082102,3.4880905151367188,3.3488998413085938,-3.7623329162597656,7.0,5.0,01-30,0.2648245493570978
01-16,2.0437583923339915,-11.878410339355469,-0.2176513671875,5.963653564453111,-1.6187362670898438,-3.37646484375,-1.1545791625976562,1.7227935791015625,1.1146392822265696,2.2613067626953125,1.669708251953132,-4.038837432861328,6.0,6.0,01-31,-0.6257349650065098
01-17,5.000698089599609,-13.422966003417969,-3.1895675659179688,4.784698486328111,-2.9637680053710938,-3.6491737365722656,-0.9813957214355469,1.7658596038818395,0.37451553344727273,-0.4760589599609375,3.3489112854003906,-4.483203887939446,5.0,7.0,02-01,-1.1576209068298338
01-18,2.6090621948242188,-16.968109130859375,-1.9587554931640625,2.6488037109375,-2.588409423828125,-3.0717086791992188,-2.6060562133789134,2.945962905883789,0.4280128479003906,0.5401382446289062,3.3014678955078125,-3.9104576110839915,6.0,6.0,02-02,-1.552504062652589
