,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,ups,downs,end_day_sum,avg
01-02,-1.2999992370605469,-0.3199996948242223,-0.9099998474121165,0.6299972534179688,-0.3100013732910156,-0.69000244140625,-1.6500015258789062,-2.8400001525878906,0.18999862670898438,2.9000015258789062,2.3899993896484375,5.369998931884766,5.0,7.0,01-17,0.28833262125650955
01-03,-1.2899999618530291,-0.3199996948242223,-0.970001220703125,0.529998779296875,0.020000457763671875,-0.8100013732910156,-0.3100013732910156,-2.8400001525878906,1.6199989318847656,2.6499977111816406,3.6299972534179688,5.70999908447266,6.0,6.0,01-18,0.6349990367889403
01-04,-1.2899999618530291,-0.17000007629394176,0.20000076293946023,1.6300010681152273,-0.22999954223632812,-0.15999984741210938,-0.3100013732910156,-2.3400001525878906,-0.8800010681152273,2.479999542236328,1.6899986267089844,5.440000534057621,5.0,7.0,01-19,0.5049998760223399
01-05,-2.0200004577636737,-0.649999618530277,-0.17000198364257102,1.1899986267089844,-0.2999992370605469,-0.15999984741210938,-0.9799995422363281,-3.3699989318847656,-0.20000076293945312,1.529998779296875,1.8599967956542898,5.440000534057621,4.0,8.0,01-20,0.18083286285400377
01-06,-3.1800003051757812,-0.11000061035155895,-1.4000015258789062,0.6599998474121094,-0.2999992370605469,-0.6199989318847656,1.6399993896484375,-3.029998779296882,0.2799987792968679,0.9500007629394531,1.8599967956542898,5.280000686645511,6.0,6.0,01-21,0.16916640599568566
01-07,-3.369999885559082,-0.5599994659423828,-1.0699996948242188,0.5400009155273438,0.060001373291015625,-0.930000305175767,0.5200004577636648,-0.700000762939446,0.20999908447266336,0.299999237060554,2.6999969482421875,2.8000011444091797,7.0,5.0,01-22,0.041666587193809335
01-08,-2.460000038146971,-0.6399993896484375,-1.3699989318847656,1.1800003051757884,0.6899986267089844,-1.4799995422363281,-0.3400001525878835,-0.6900024414062429,-0.40999984741209516,0.75,1.3400001525878835,1.3799991607666051,5.0,7.0,01-23,-0.17083350817362186
01-09,-1.8999996185302717,-0.5799999237060547,-2.05999755859375,2.3500022888183594,0.75,-0.8199996948242259,-0.009998321533203125,-1.3400001525878835,0.00999832153321023,1.3499984741211009,-0.049999237060546875,0.7199993133544957,5.0,7.0,01-24,-0.13166634241739747
01-10,-1.5100002288818342,-0.9599990844726598,-2.520000457763672,2.6199989318847656,0.9499969482421946,-0.9599990844726562,0.8500022888183665,-2.520000457763679,-0.3300018310546804,1.470001220703125,-0.6699981689453196,0.18000030517578125,5.0,7.0,01-25,-0.283333301544189
01-11,-2.1100006103515625,-1.6800003051757848,-1.5200004577636719,2.759998321533203,0.8999977111816548,-0.1399993896484304,2.090000152587905,-1.2000007629394531,1.2199974060058452,-0.18000030517578125,-0.34999847412109375,-0.7299995422363281,4.0,8.0,01-26,-0.07833385467529148
