,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,ups,downs,end_day_sum,avg
01-02,-0.07618761062622159,-0.10185241699218928,0.21231555938720703,0.13314151763915838,-0.5801906585693359,0.7625141143798793,0.3067741394042969,-0.1051940917968679,0.3694419860839879,-3.9275970458984375,0.883686065673821,1.451221466064446,7.0,5.0,01-17,-0.055993914604187976
01-03,-0.20085716247558594,-0.10185241699218928,0.23506069183349432,0.007834434509273791,-0.6446533203125,0.7459354400634801,0.3749427795410156,-0.1051940917968679,0.23427200317383168,-3.7889671325683594,1.0547142028808594,1.2856483459472656,7.0,5.0,01-18,-0.07525968551635683
01-04,-0.20085716247558594,-0.12367916107177734,0.17439746856689453,0.015656471252443183,-0.7413520812988317,0.9116973876953125,0.3749427795410156,0.429510116577152,0.09009170532226207,-2.8449668884277344,0.30405426025390625,1.3927803039550781,8.0,4.0,01-19,-0.018143733342488755
01-05,-0.0831117630004874,0.09457778930663885,0.3108854293823242,-0.2584524154663068,-0.4754295349121129,0.9116973876953125,0.2045116424560547,-0.3243217468261719,0.2703132629394531,-2.7525482177734375,0.6936378479003906,1.3927803039550781,7.0,5.0,01-20,-0.0012883345286053653
01-06,-0.20778703689575195,0.189150810241701,0.227480888366701,-0.18013286590576172,-0.4754295349121129,0.9448490142822266,0.8947505950927734,-0.12271690368652699,0.04504585266112926,-3.214618682861321,0.6936378479003906,1.4025115966796875,7.0,5.0,01-21,0.0163951317469279
01-07,-0.5471677780151376,0.12367439270019531,0.21231174468994318,-0.3132772445678693,-0.3171710968017578,0.613327026367191,0.20451736450194957,-0.5785293579101562,0.40547943115234375,-3.168071746826172,1.0452156066894602,2.1232566833496094,7.0,5.0,01-22,-0.016369581222533364
01-08,-0.3178567886352539,0.0872983932495135,0.1061544418334961,-0.4385786056518537,0.11867141723632812,0.834869384765625,0.05113220214843395,-0.6135902404785156,-0.3268299102783203,-2.4232025146484233,0.5511131286621094,2.8147735595703125,7.0,5.0,01-23,0.03699620564778764
01-09,-0.14470529556274414,0.11640071868896484,0.0227470397949201,-0.3367691040039045,0.6450538635253871,0.8024177551269531,0.7072811126708949,-0.7363090515136683,0.08152770996093395,-1.5449295043945312,1.0452232360839915,3.3212432861328125,8.0,4.0,01-24,0.3315984805425008
01-10,-0.03388595581054776,-0.07274818420410156,-0.03791713714599787,-0.36403369903564275,0.5640182495117223,0.35485267639160156,0.715805053710934,-1.1954689025878835,-0.41565704345703125,0.16889190673828836,0.7791671752929545,2.5518035888671875,6.0,6.0,01-25,0.2512356440226236
01-11,-0.18817043304443448,-0.4219522476196307,0.08130645751953303,-0.3248739242553693,0.5640182495117223,0.40458106994628906,0.9373588562011683,-0.5155506134033168,-0.7313575744628871,1.2778625488281392,1.0547294616699148,2.0940399169921875,7.0,5.0,01-26,0.352665980656943
