,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,ups,downs,avg
01-02,2.0353364888086105,0.876909574856095,-1.8964968148473194,-1.7847246899587814,-1.253400875301499,1.4963902836826768,-6.031595336025717,1.5363080868919983,2.6583242905770543,-0.4578437368373884,-0.6756718007207329,-2.8477572253626686,5.0,7.0,-0.5286851461864726
01-03,1.4592974452955936,0.876909574856095,-1.6025672179943848,-1.8415200844768262,-0.8771921569070334,3.405576868880559,-5.313552511345483,1.5363080868919983,0.7176969905071756,-1.6104297451020293,3.878024770749908,-2.081050410828546,6.0,6.0,-0.12104153245608114
01-04,1.4592974452955936,-2.0394472974429765,-1.254020381154488,0.5479446686014496,-1.754384313814067,1.9607824321972258,-5.313552511345483,1.1220185472932167,0.9116151410372286,0.22701273268859226,1.392111618269302,-2.3366239914519578,7.0,5.0,-0.4231038258188636
01-05,3.133257572206559,3.3333301544189635,-2.1543410549060655,-2.234634728486926,-0.3837754900050852,1.9607824321972258,-2.3255858826212745,-1.7208396527932712,1.56862595502068,-0.9837314637900954,0.8617839848337651,-2.3366239914519578,5.0,7.0,-0.10681268044812349
01-06,2.7935097440027064,3.3333301544189635,-2.8617312702812945,-2.234634728486926,-0.3837754900050852,1.9607824321972258,-2.0417613758187936,-0.23430491251993182,1.17647507611443,-0.6053720982393506,0.8617839848337651,-2.5612907606789976,5.0,7.0,-0.06641577037194073
01-07,4.001511622406334,4.384538582227927,-0.6430861955368239,-1.1173173642434928,-1.1043611403901228,0.6172833601124982,-0.09246408146414362,0.18665404238639483,-0.3137251910041569,-1.0642367629385852,-0.5716209737803695,-4.638007243609412,4.0,8.0,-0.029569278819495965
01-08,4.341259450610126,-1.0392974836657334,-0.16076924902656226,0.6040670359182488,-1.5538275985991001,-0.1563350041767358,-0.0462715184902378,1.5398991873252956,0.23401470458598453,1.518517953378183,-0.2338780291028388,-10.538927654302196,5.0,7.0,-0.45762901712879717
01-09,0.15100023480045094,2.5008072470575553,-0.16076924902656226,1.038821921817398,-1.3736290080063203,0.3628782781535689,1.6196223012831905,0.27998106357959224,4.409567619891916,2.9226818181978684,-2.4054943175759025,-9.037324825584417,8.0,4.0,0.025678590382361605
01-10,-1.849750176208342,2.5008072470575553,-2.097670877899886,-0.32894705884012293,-2.2478088234325164,0.20736113489321734,2.360019554515813,-0.80188940877635,2.5601837001936376,3.3088290464505037,-1.650942608085873,-8.99803119657833,5.0,7.0,-0.5864866222258911
01-11,-1.849750176208342,2.055456055012293,-3.05691230587843,-0.05555947621661931,-2.028510784205773,1.036805674466142,5.635063601780911,-0.659443538461352,2.008342608077603,-1.1316455468518134,-1.4150945821274357,-8.880150309560065,4.0,8.0,-0.6951165650144069
01-12,-1.849750176208342,-1.5572139717876397,-1.1707305908203125,1.7534307779434877,-1.4254372549739291,0.6763818390839844,5.635063601780911,3.3953490012268466,-0.3137251910041569,1.1316527416787463,0.0,-9.525691383744519,5.0,7.0,-0.2708892172354103
