,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,ups,downs,end_day_sum,avg
01-02,-0.48000001907348633,0.1700005531311044,0.7520008087158203,-0.13199996948242188,-0.430000305175783,-0.3940010070800781,-0.12399959564208984,-0.34000015258788885,0.13000011444091797,0.4000005722045916,1.3000001907348633,-0.039999961853027344,5.0,7.0,01-17,0.06766676902771018
01-03,-0.7899999618530282,0.1700005531311044,0.6760005950927717,-0.08199977874756037,-0.09000015258789062,-0.4720001220703125,0.1059999465942365,-0.34000015258788885,-0.10000038146972479,0.20999908447265625,1.4600000381469727,0.13000011444091797,6.0,6.0,01-18,0.0731666485468545
01-04,-0.7899999618530282,0.26200056076049716,0.2799997329711914,-0.0839996337890625,-0.16199970245361328,-0.7800006866455078,0.1059999465942365,-0.1900005340576172,0.4200000762939471,0.8500003814697266,0.9400005340576172,-0.05000019073486328,6.0,6.0,01-19,0.0668333768844603
01-05,-0.75,0.07999992370605469,0.5019998550415039,-0.15599918365478338,0.05200004577636719,-0.7800006866455078,0.00199985504150213,-0.5599994659423837,0.46000003814697443,0.8299999237060565,1.0600004196166992,-0.05000019073486328,7.0,5.0,01-20,0.05750004450480165
01-06,-0.679999828338623,0.03600025177001953,0.22799968719482422,-0.0859994888305664,0.05200004577636719,-0.6180000305175781,0.23799991607666016,-0.3899993896484366,0.41000080108642933,0.7100000381469709,1.0600004196166992,0.06000041961669922,8.0,4.0,01-21,0.08500023682912212
01-07,-0.9719996452331543,-0.07399988174438565,0.1840000152587873,-0.1699991226196289,0.17199993133544744,-0.5720005035400391,0.5159997940063477,-0.4799995422363281,0.47000026702881037,0.4600000381469709,0.9800004959106445,0.24000072479248047,7.0,5.0,01-22,0.06283354759216271
01-08,-0.7599997520446777,-0.09999990463256925,0.19400024414062322,-0.3559999465942383,0.27999973297118963,-0.5359992980957067,0.28800010681152166,-0.630000114440918,0.559999465942381,0.569999694824217,0.7899999618530273,0.05999946594238281,7.0,5.0,01-23,0.029999971389769398
01-09,-0.7300000190734863,-0.1679997444152841,-0.1979999542236328,-0.2239999771118164,0.4300003051757795,-0.13199996948242543,0.46000003814697266,-0.6499996185302752,0.430000305175783,0.5399999618530273,0.4700002670288086,-0.3099994659423846,5.0,7.0,01-24,-0.006833155949911148
01-10,-0.4679999351501465,-0.4199995994567871,-0.21399974822998047,-0.06999969482421875,0.328000068664549,-0.01200103759765625,0.40799999237060725,-0.5199999809265146,0.5100002288818377,1.0099992752075213,0.4799995422363281,-0.3400001525878906,5.0,7.0,01-25,0.05766657988230409
01-11,-0.5859999656677237,-0.43799972534179776,-0.2939996719360334,-0.07400035858154119,0.36800003051757635,0.19799995422362926,0.5240001678466815,-0.2899999618530291,0.3599996566772461,0.8100004196166992,0.22999954223632812,-0.2799997329711914,6.0,6.0,01-26,0.04400002956390366
01-12,-0.5880002975463876,-0.24600028991699308,-0.40200042724609375,-0.1099996566772461,0.30599975585937145,-0.2099990844726598,0.5199995040893555,-0.3899998664855975,0.36999988555908203,0.39999961853027344,0.2799997329711932,-0.18000030517578125,5.0,7.0,01-27,-0.020833452542623625
01-13,-0.5899996757507324,-0.4240002632141131,-0.07200050354003729,-0.1599998474121076,0.27799987792968395,-0.9960002899169957,0.6199998855590803,-0.11000013351440341,0.6000003814697248,0.5200004577636719,0.30999946594238637,-0.27000045776367365,5.0,7.0,01-28,-0.024500091870626333
01-14,-0.08999967575073242,-0.49000024795532227,-0.039999961853027344,-0.029999732971191406,0.5099992752075178,-0.6960010528564418,0.3380002975463867,-0.4899997711181632,0.039999961853027344,0.22000026702880682,0.26999950408935725,-0.4700002670288086,5.0,7.0,01-29,-0.07733345031738259
01-15,0.194000244140625,-0.29399967193603604,-0.23000049591064453,0.10400009155273438,0.3680000305175799,-0.22999954223632812,0.3260002136230469,-0.1400003433227539,0.05999946594238281,0.5500001907348651,-0.13000011444091797,-0.22999954223632812,6.0,6.0,01-30,0.029000043869018777
01-16,0.1440000534057626,-0.40599966049194336,-0.3299999237060547,-0.010000228881835938,0.38000011444091797,-0.8859996795654297,0.13000011444091975,-0.1400003433227539,-0.06000041961669744,0.5200004577636719,0.039999961853027344,-0.12000083923339844,5.0,7.0,01-31,-0.061500032742817824
01-17,0.5079998970031747,-0.32399988174438477,-0.42600059509277344,-0.15000057220458984,0.15600013732910334,-0.8739986419677734,-0.1759996414184588,0.1099996566772461,-0.3900003433227539,-0.19999980926513672,0.34000015258788885,-0.0800008773803711,4.0,8.0,02-01,-0.12550004323323574
01-18,0.40399980545043945,-0.4379997253417969,-0.34800052642822266,0.04999923706054865,0.18599987030029297,-0.9860000610351562,-0.0039997100830078125,0.229999542236329,-0.11000061035156428,0.2799997329711914,0.0200004577636701,0.07999992370605469,7.0,5.0,02-02,-0.053000171979268464
01-19,0.40599966049194336,-0.34800004959106445,-0.03999996185302557,0.8360004425048828,0.13599967956543146,-1.1879997253417969,-0.019999504089357245,0.3099994659423837,-0.129999160766598,0.1700000762939453,0.13000011444091442,0.22000026702881037,7.0,5.0,02-03,0.04016677538553911
01-20,0.2539997100830078,-0.047999858856199396,0.14200019836425604,0.7040004730224609,0.27199935913086115,-1.1360015869140625,-0.10400009155273793,0.20999956130981445,0.0,0.28999996185302734,0.09999942779540838,0.13000011444091797,8.0,4.0,02-04,0.06783310572306285
01-21,0.17999982833862305,0.11600017547607333,0.1579999923706037,0.39999961853027344,0.5679998397827184,-1.7620010375976562,0.14799976348876775,0.010000228881835938,-0.17999935150146307,0.3299999237060547,0.22000026702880682,0.10000038146972656,10.0,2.0,02-05,0.02399996916453036
01-22,0.3279995918273917,0.13400030136108398,0.07800006866454723,0.38199996948242365,0.6440000534057635,-1.4699993133544922,0.03799915313720703,-0.2199997901916495,-0.15999984741210938,0.05000019073486506,0.26999950408935547,0.36999988555908203,9.0,3.0,02-06,0.03699998060862238
01-23,0.3299999237060556,0.01600027084350586,0.25,0.5799999237060547,0.6020002365112322,-1.0500011444091797,0.041999816894533026,-0.11999988555908114,-0.2199993133544904,-0.5599994659423864,0.4399995803833008,0.3000001907348633,8.0,4.0,02-07,0.05083334445953399
01-24,0.3399996757507324,-0.12599992752075195,0.33600044250488104,0.8179998397827148,0.5900001525878924,-0.26399993896484375,0.033999443054200995,-0.019999980926513672,0.010000228881835938,-0.4700002670288068,0.34000015258788885,0.3900003433227557,8.0,4.0,02-08,0.1648333470026655
01-25,0.46000003814697177,-0.3080000877380362,0.3260002136230451,0.9899997711181658,0.3580007553100586,-0.6620006561279332,0.46399974822998225,-0.039999961853027344,0.15999984741210938,-0.30999946594237926,0.38000011444091797,0.619999885559082,8.0,4.0,02-09,0.20316668351491307
01-26,0.4979996681213379,-0.14600038528442383,0.21000003814697443,0.7259998321533203,0.4400005340576172,-0.3180007934570348,0.19400024414062855,-0.2999997138977051,0.3600006103515625,-0.6399993896484375,0.5,0.630000114440918,8.0,4.0,02-10,0.17950006326039647
01-27,0.2519998550415039,0.06999969482421875,0.37199974060058594,0.8400001525878906,0.5100002288818359,-0.20199966430664062,0.3079996109008789,-0.2199997901916495,0.48000049591064275,-0.6099996566772443,0.40999984741211115,0.5,9.0,3.0,02-11,0.2258333762486778
01-28,-0.5139999389648446,-0.15000009536743253,0.4680004119873047,0.9800004959106445,0.5520000457763672,-0.5419998168945312,0.7899999618530273,-0.2999997138977051,0.8100004196166992,-0.7299995422363281,0.40999984741211115,0.42999935150146484,7.0,5.0,02-12,0.1836667855580648
01-29,-0.24000024795532227,-0.03600025177002042,0.3900003433227539,0.7220001220703125,0.1960000991821289,0.32399940490722656,0.3000001907348615,-0.419999599456788,0.7799997329711914,-0.8199996948242205,0.3199996948242205,0.1900005340576172,8.0,4.0,02-13,0.1421666940053301
01-30,-0.24200010299682617,-0.12599992752075284,0.32800006866455256,0.7140007019042969,0.3240003585815412,0.7059993743896484,0.31599998474121094,-0.4999995231628427,0.9700002670288086,-0.6900005340576172,0.13999938964844105,0.09000015258788707,8.0,4.0,02-14,0.16916668415069566
01-31,-0.09000015258789062,-0.12599992752075284,0.32000064849853516,0.7360000610351545,0.32800006866455256,0.6540012359619141,0.4000005722045916,-0.4999995231628427,0.9400005340576154,-0.8500003814697266,0.49000072479248225,0.18000030517577947,8.0,4.0,02-15,0.20683368047078435
02-01,-0.09000015258789062,0.5240006446838361,0.16199970245361506,0.06400012969970703,0.03199958801269531,1.2800006866455078,0.4000005722045916,-0.4399995803833008,0.47999954223632635,-0.869999885559082,0.3699998855590838,0.21000003814697088,9.0,3.0,02-16,0.17683343092600504
02-02,0.09999990463256836,0.007999897003173828,0.18400001525879262,0.08199977874755682,-0.044000625610349786,1.2800006866455078,0.6180000305175799,1.0400004386901855,0.36999988555908203,-0.5900001525878924,0.32000064849853516,0.21000003814697088,10.0,2.0,02-17,0.29816671212514256
02-03,-0.019999980926513672,0.2960000038146964,0.06999969482421697,-0.11600017547607422,-0.044000625610349786,-1.4060001373291016,0.8299999237060582,1.3799996376037607,0.42999935150146307,-0.010000228881834161,0.32000064849853516,-0.13000011444091797,6.0,6.0,02-18,0.13333316644032825
02-04,-0.31999969482421875,0.4120001792907724,-0.016000747680664062,-0.17799949645996094,0.44399929046631037,-1.8020000457763707,0.4180002212524414,1.8999996185302734,0.31999969482421875,-0.010000228881834161,0.34000015258788885,-0.13000011444091797,6.0,6.0,02-19,0.11483323574066155
02-05,-0.5040001869201651,0.5940003395080566,-0.03200054168700994,-0.17799949645996094,0.32999992370605646,-2.719999313354492,0.29600048065185547,1.919999599456787,0.31999969482421875,0.3499994277954137,0.5900001525878924,-0.1400003433227539,7.0,5.0,02-20,0.06883331139882487
02-06,-0.5419998168945312,0.574000358581543,-0.03200054168700994,0.06799983978271484,0.7539997100830078,-2.7719993591308594,0.5659999847412092,2.059999465942382,0.23999977111816406,0.06000041961669744,0.880000114440918,-0.3900003433227539,8.0,4.0,02-21,0.12216663360595681
