,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,ups,downs,avg
01-02,-2.373331705729167,-2.889683390741064,-0.3046257231287551,1.9061306373352949,-0.903804944937659,1.281362206091257,-1.248397543232371,-3.255472673415236,-2.8691436519483946,1.257861635220126,-0.9729310179765175,1.2348346092846834,4.0,8.0,-0.7614334635981503
01-03,-2.0799967447916856,-2.889683390741064,-0.3046257231287551,0.8668447409900563,-2.1032117154549925,0.33813602305137735,-0.2400792685305615,-3.255472673415236,-1.8710997166602603,1.8939394669172291,2.2730057054033788,0.7345139700593634,5.0,7.0,-0.5531441105250959
01-04,-2.0799967447916856,-2.576178239571049,1.4855505724530103,0.9207682672650637,-2.450132468095111,0.5872895967656346,-0.2400792685305615,-2.2586481408111165,-2.3643906984206517,1.8703242606954698,-0.14663951423982685,0.2448406972067527,5.0,7.0,-0.5839409733395059
01-05,-0.026125741869913968,-1.7308736380987315,-0.10125402182876539,1.050125120244898,-1.2792718262185185,0.5872895967656346,-0.30429603713183884,-5.6227900004502915,0.13660994301926005,1.9326626949419774,2.6029632593802017,0.2448406972067527,6.0,6.0,-0.20917666283661127
01-06,-2.341924326650847,0.33195779119432983,-1.6460968659984574,1.8854436438132622,-1.2792718262185185,0.8695614499343141,4.001252565813218,-5.962965223524319,-0.4781504345732489,2.1820449708113814,2.6029632593802017,0.7624708444098789,7.0,5.0,0.07727382069926632
01-07,-13.798003594822953,-2.024181127018374,-1.1522662363646154,2.124112582182142,-0.3868478613755385,-0.3914544537709945,1.1008274144057526,-5.10813144974711,2.4590102423583584,1.1964792939293372,3.4992123959237467,2.1053756264062877,6.0,6.0,-0.8646555973244969
01-08,-10.831101871748238,-2.220975322758568,-0.967080731398366,2.8429300852102712,0.14986019309832968,2.527200137377305,-0.6166846392439627,-4.2505570567490985,1.8556680056647334,2.486016253408571,4.150122774243611,0.7914731775984684,7.0,5.0,-0.3402607496080787
01-09,-4.959791760478733,-1.208884759249381,-0.8840466911422163,4.15985640549081,2.052355062275033,2.3431960107244345,0.11359898740278146,-4.8284865437334705,1.923078938449443,2.873207950124253,3.0541803505230956,1.890534362836753,8.0,4.0,0.5440665261019002
01-10,-4.63806857271311,-2.827768425963891,-1.741654904749231,1.8845682513131499,1.7345831615988725,1.6737085559105407,-0.38948666443842284,-3.687995605536242,-0.1379289298221983,2.5561041151738007,2.0752415689405135,2.88280193066557,6.0,6.0,-0.051324626635053994
01-11,-8.870294115831898,-3.1223149737959472,0.0,2.2498221834266015,1.9853646364398219,1.7618041394843156,2.53663239229056,-2.8158730191945187,0.47944996454944344,0.12538993620199843,2.7305824737070603,2.1412110592275795,8.0,4.0,-0.06651877695791512
01-12,-10.12979766280897,-3.2313331826507965,0.6857606696878534,2.281721827306554,2.821313515508718,0.9943206255778433,2.0737653895290937,-4.385307582125369,2.257184077046241,0.3134796238244514,3.4102004077096515,1.233394646233695,9.0,3.0,-0.1396081370967529
01-13,-9.436585181991642,-3.8972353135253712,1.2236646225194328,3.3061745248392573,3.125,-1.0144883167641636,0.5673768416435315,0.9293041660065875,1.2995854556392448,0.6896589990693573,3.8071085414642485,0.4462843122106295,9.0,3.0,0.08715405425925939
01-14,-3.334249253090914,-1.71878491632872,1.424271025487076,3.9115256701588095,2.2493161692003087,-1.2008731048152077,0.5728844835732179,-2.559317724311019,1.6415827267999346,1.061843936428132,3.865206597716748,0.2874751366378122,8.0,4.0,0.5167400622880148
01-15,-2.0261321520619147,-0.9298337581022005,0.9428233107165667,4.445469391050098,2.5786153512852144,-2.275209376128952,-0.7421734234753944,-0.33626061886889225,1.6415827267999346,0.43998251425320456,2.3864594545461135,0.021282080950685112,7.0,5.0,0.512217125080372
01-16,-2.4526846835779157,-1.859678264857783,0.9030719373945799,3.053791981160396,4.434313021294865,-3.8518249488379905,-3.226847393951815,-0.8780146299665046,1.5068472248234162,-1.2140536079772364,-1.5386593243720683,-1.3741264179596027,4.0,8.0,-0.5414887589023049
01-17,6.291647297407378,-2.844950089870574,-1.4379637603761892,1.5975159534664964,2.4732767298664826,-3.575382420600547,-1.1293978188277285,0.935605094912904,-0.5594426935369318,-1.6476494261370673,-1.3374188194976993,-2.4906061801616577,4.0,8.0,-0.31039717777959447
01-18,0.4249227037494152,-3.285718645368304,-3.7612963012987057,-0.11948160951244248,2.0959966866263313,-5.012903252567345,0.6813505007402121,4.2892560217723075,-2.0920502982486866,-2.253702466981622,-1.999996629960698,-1.728395688650941,4.0,8.0,-1.0635015816417066
01-19,-0.37121949290670014,-2.8157044447190582,-0.9555444335372593,3.5640880899609666,-0.08384178640733228,-3.000722806524925,-1.178368899509422,4.829047580917935,-2.1052631578947367,-3.605918051952786,-1.239266424822661,-0.7120903649881879,2.0,10.0,-0.6395670160320139
01-20,1.2085449214352526,-2.007458515576186,-1.0176486983207718,2.238975398645447,0.5415503658049285,-5.362421621658226,0.14338083787087022,4.128688725275461,-2.1754428796600878,-3.090793919790256,-0.24298941024064802,-2.910512871288785,5.0,7.0,-0.7121773056252501
