,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,ups,downs,end_day_sum,avg
01-02,-5.577976226806641,-8.36698150634765,29.369789123535156,0.0,0.8376922607421875,-7.674133300781278,-4.309463500976506,0.0,1.3425979614257812,9.178512573242216,0.9407958984375284,0.0,5.0,7.0,01-17,1.3117361068725664
01-03,-5.577976226806641,-8.36698150634765,29.369789123535156,0.0,0.8376922607421875,-7.674133300781278,-4.309463500976506,0.0,1.3425979614257812,9.178512573242216,4.704010009765625,0.0,5.0,7.0,01-18,1.6253372828165744
01-04,-5.577976226806641,-6.374839782714844,29.369789123535156,0.0,0.0,-7.674133300781278,-4.309463500976506,0.0,1.3425979614257812,0.0,4.704010009765625,0.0,3.0,9.0,01-19,0.9566653569539412
01-05,-5.577976226806641,-6.374839782714844,29.369789123535156,0.0,15.079010009765625,-7.674133300781278,-4.309463500976506,0.0,0.0,0.0,4.704010009765625,0.0,3.0,9.0,01-20,2.1013663609822615
01-06,-5.577976226806641,-6.374839782714844,29.369789123535156,0.0,15.079010009765625,-7.674133300781278,-4.309463500976506,0.0,0.0,0.0,4.704010009765625,0.0,3.0,9.0,01-21,2.1013663609822615
01-07,-5.577976226806641,-13.944953918457031,29.369789123535156,0.0,15.079010009765625,0.0,-4.309463500976506,0.0,0.0,0.0,4.704010009765625,0.0,3.0,9.0,01-22,2.110034624735519
01-08,-5.577976226806641,-13.944953918457031,0.0,0.0,15.079010009765625,0.0,-4.309463500976506,0.0,0.0,0.0,4.704010009765625,0.0,2.0,10.0,01-23,-0.33744780222574394
01-09,-5.577976226806641,-13.944953918457031,8.974105834960938,0.0,25.1317138671875,0.0,-4.309463500976506,0.0,0.0,0.0,0.0,0.0,2.0,10.0,01-24,0.856118837992355
01-10,-5.577976226806641,-13.944953918457031,8.974105834960938,0.0,25.1317138671875,0.0,-4.309463500976506,0.0,0.0,0.0,0.0,0.0,2.0,10.0,01-25,0.856118837992355
01-11,-5.577976226806641,-15.14023208618164,8.974105834960938,0.0,10.052703857421875,0.0,-4.309463500976506,0.0,0.0,0.0,0.0,0.0,2.0,10.0,01-26,-0.5000718434651645
01-12,-5.577976226806641,-15.14023208618164,8.974105834960938,0.0,10.052703857421875,2.5580596923828125,-4.309463500976506,0.0,0.8950653076171875,0.0,0.0,0.0,4.0,8.0,01-27,-0.21231142679849788
01-13,-5.577976226806641,-6.7732505798339915,8.974105834960938,0.0,5.8640594482421875,2.5580596923828125,0.0,0.0,0.8950653076171875,0.0,0.0,3.8685760498046875,5.0,7.0,01-28,0.8173866271972651
01-14,0.0,-8.765392303466797,8.974105834960938,0.0,5.8640594482421875,2.5580596923828125,0.0,0.0,0.8950653076171875,0.0,0.0,3.8685760498046875,5.0,7.0,01-29,1.116206169128418
01-15,0.0,-8.765392303466797,8.974105834960938,4.1080780029296875,-2.513153076171875,2.5580596923828125,0.0,0.0,0.8950653076171875,0.0,0.0,3.8685760498046875,5.0,7.0,01-30,0.7604449590047201
01-16,0.0,-8.765392303466797,8.974105834960938,4.1080780029296875,-2.513153076171875,2.5580596923828125,0.0,0.0,0.8950653076171875,0.0,0.0,3.8685760498046875,5.0,7.0,01-31,0.7604449590047201
