,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,ups,downs,end_day_sum,avg
01-02,0.0,0.0,0.0,0.25999999046325684,0.0002999999560415745,-0.00249999947845936,0.0,0.0,0.0,-0.007399999536573887,0.0,-0.0038000009953975695,2.0,7.0,01-17,0.020549999200738966
01-03,0.0,0.0,0.0,0.25999999046325684,0.0002999999560415745,-0.00249999947845936,0.0,0.0,0.009999997913837426,-0.009399999864399433,0.0,-0.003700001165270807,3.0,6.0,01-18,0.021224998985417187
01-04,0.0,0.0,0.0,0.25999999046325684,0.0002999999560415745,0.0,0.0,0.0,0.009999997913837426,-0.009399999864399433,0.0,-0.003700001165270807,3.0,6.0,01-19,0.0214333322752888
01-05,0.0,0.0,0.0,0.3629999905824661,0.0002999999560415745,0.0,0.0,0.0,0.010099999606609351,9.999983012676239e-05,0.0,-0.003700001165270807,4.0,5.0,01-20,0.030816665734164417
01-06,0.0,0.0,0.0,0.3629999905824661,0.0002999999560415745,-0.002000000327825543,0.0,0.0,0.010099999606609351,0.0,0.0,-0.003700001165270807,3.0,7.0,01-21,0.030641665721001726
01-07,0.0,0.0,0.0,0.3629999905824661,0.0002999999560415745,0.007500000298023226,0.0,0.0,0.010099999606609351,0.0,0.0,-0.003700001165270807,4.0,6.0,01-22,0.03143333243982246
01-08,0.0,0.0,0.0,0.3629999905824661,0.0,0.007500000298023226,0.0,0.0,0.010099999606609351,0.0,0.0,-0.0020000012591481226,3.0,7.0,01-23,0.03154999910232922
01-09,0.0,0.0,0.0,0.3629999905824661,0.0,0.007500000298023226,0.0,0.0,0.009999997913837426,0.00040000025182962244,0.0,0.00579999946057797,5.0,5.0,01-24,0.032224999042227864
01-10,0.0,0.0,0.0,0.3629999905824661,0.0,0.007500000298023226,0.0,-0.0010000001639127723,0.009999997913837426,0.00040000025182962244,0.0,0.00579999946057797,5.0,5.0,01-25,0.03214166569523513
01-11,0.0,0.0,0.0,0.0,0.0,0.007500000298023226,0.0,-0.0010000001639127723,0.009999997913837426,0.00040000025182962244,0.0,0.00579999946057797,4.0,6.0,01-26,0.0018916664800296228
01-12,0.0,0.0,0.0,0.0,0.0,0.007500000298023226,0.0,-0.0010000001639127723,0.009999997913837426,0.00040000025182962244,0.0,0.00579999946057797,4.0,6.0,01-27,0.0018916664800296228
01-13,0.0,0.0,0.0,0.0,0.0,0.007500000298023226,0.0,-0.0010000001639127723,0.0,0.00040000025182962244,0.0,0.00579999946057797,3.0,7.0,01-28,0.0010583333205431706
01-14,0.0,0.0,0.0,0.0,0.0,0.005999999120831491,0.0,-0.00023000035434961232,0.0,0.00040000025182962244,0.0,0.00579999946057797,3.0,7.0,01-29,0.0009974998732407894
01-15,0.0,0.0,0.0,0.0,0.000800000037997961,0.005999999120831491,0.0,-0.00023000035434961232,0.0,0.00040000025182962244,0.0,0.00579999946057797,4.0,6.0,01-30,0.0010641665430739528
01-16,0.0,0.0,0.0,0.0,0.000800000037997961,0.0012999996542930586,0.0,-0.00023000035434961232,-0.010999999940395348,0.00040000025182962244,-0.0012699998915195465,0.00579999946057797,4.0,6.0,01-31,-0.00035000006513049117
01-17,0.0,0.0,0.0,0.0,0.000800000037997961,-0.00820000097155571,0.0,-0.0010000001639127723,-0.010999999940395348,0.00040000025182962244,-0.00019999966025352478,0.00579999946057797,3.0,7.0,02-01,-0.0011166667488093167
01-18,0.0,0.0,0.0,0.13999998569488525,0.000800000037997961,-0.00820000097155571,0.0,-0.0010000001639127723,-0.011100001633167274,0.00040000025182962244,-0.00019999966025352478,0.0040999995544552855,4.0,6.0,02-02,0.010399998592523238
01-19,0.0,0.0,0.0,-0.4488999918103218,0.000800000037997961,-0.00800000037997961,0.0,-0.0010000001639127723,-0.011100001633167274,0.00040000025182962244,-0.00019999966025352478,0.0040999995544552855,3.0,7.0,02-03,-0.03865833281694601
01-20,0.0,0.0,0.0,-0.4488999918103218,0.000800000037997961,-0.00800000037997961,0.0,-0.0010000001639127723,-0.010999999940395348,0.0,-0.00019999966025352478,0.0040999995544552855,2.0,8.0,02-04,-0.03868333269686749
01-21,0.0,0.0,0.0,-0.4488999918103218,0.004799999762326479,-0.00820000097155571,0.0,0.0,-0.010999999940395348,-0.000599999912083149,-0.00019999966025352478,0.0040999995544552855,2.0,8.0,02-05,-0.038333332748152316
01-22,0.0,0.0,0.0,-0.4439999908208847,0.016200000885874033,-0.00820000097155571,0.0,0.0,-0.010999999940395348,-0.000599999912083149,-0.00019999966025352478,0.0,1.0,8.0,02-06,-0.03731666586827487
01-23,0.0,0.0,0.0,-0.45989999175071716,0.013799999374896288,-0.00820000097155571,0.0,0.0,-0.010999999940395348,0.0,-0.00019999966025352478,0.0,1.0,8.0,02-07,-0.03879166607900212
01-24,0.0,0.0,0.0,-0.4859999902546406,0.013799999374896288,-0.00820000097155571,0.0,0.0,-0.010999999940395348,0.0,-0.00019999966025352478,0.0,1.0,8.0,02-08,-0.04096666595432907
01-25,0.0,0.0,0.0,-0.47199999168515205,0.013799999374896288,-0.0066999997943639755,0.0,0.0,-0.011999998241662972,0.0,-0.00019999966025352478,0.0,1.0,8.0,02-09,-0.03975833250054469
01-26,0.0,0.0,0.0,-0.4699999913573265,0.012999999336898327,-0.0066999997943639755,0.0,0.0,-0.011999998241662972,0.0,-0.00019999966025352478,-0.0040999995544552855,1.0,8.0,02-10,-0.03999999910593033
01-27,0.0,0.0,0.0,-0.4699999913573265,0.010000000707805153,-0.00029999949038028717,0.0,-0.0007699998095631599,-0.000999998301267624,0.0,-0.00019999966025352478,0.0009000003337860073,2.0,7.0,02-11,-0.03844749896476666
01-28,0.0,0.0,0.0,-0.4699999913573265,0.01100000087171793,-0.00029999949038028717,0.0,0.0,-0.000999998301267624,0.0,-0.00019999966025352478,0.0009000003337860073,2.0,7.0,02-12,-0.038299998966977
01-29,0.0,0.0,0.0,-0.4722999893128872,0.008999999612569807,0.006400000303983688,-0.002400000113993883,0.0,-0.000999998301267624,0.0,0.0010700002312660217,-0.0040999995544552855,3.0,6.0,02-13,-0.03861083226123204
01-30,0.0,0.0,0.0,-0.46299999207258224,0.01100000087171793,0.0024999994784593565,-0.002400000113993883,0.0,-0.007470000535249703,0.0,0.0,-0.0040999995544552855,2.0,7.0,02-14,-0.03862249932717532
01-31,0.0,0.0,0.0,-0.6049999743700027,0.008999999612569807,0.0024999994784593565,-0.002400000113993883,0.0,-0.007470000535249703,0.0,0.0,-0.0040999995544552855,2.0,7.0,02-15,-0.05062249795688937
02-01,0.0,0.0,0.0,-0.026099998503923416,0.004999999888241289,0.002700000070035456,-0.002400000113993883,0.0,-0.0075399987399578094,0.000599999912083149,0.0,-0.0040999995544552855,3.0,6.0,02-16,-0.002653333086830875
02-02,0.0,0.0,0.0,-0.03700000047683716,-0.006400001235306265,0.002700000070035456,-0.003000000026077032,0.00022999988868832588,-0.0075399987399578094,0.000599999912083149,0.0,-0.0040999995544552855,3.0,6.0,02-17,-0.004542500013485552
02-03,0.0,0.0,0.0,-0.02109999954700469,-0.006400001235306265,0.002700000070035456,-0.003000000026077032,0.00022999988868832588,-0.0075399987399578094,0.0,0.0,-0.0040999995544552855,2.0,7.0,02-18,-0.0032674999286731086
02-04,0.0,0.0,0.0,0.00499999895691872,-0.006400001235306265,0.002700000070035456,-0.003000000026077032,0.00022999988868832588,-0.0075399987399578094,0.0,-0.0010700002312660217,-0.0040999995544552855,3.0,6.0,02-19,-0.0011816667392849927
02-05,0.0,0.0,0.0,0.00499999895691872,-0.00399999972432852,0.002700000070035456,-0.003000000026077032,0.00022999988868832588,-0.0075399987399578094,0.0,-0.0010700002312660217,-0.0040999995544552855,3.0,6.0,02-20,-0.0009816666133701806
02-06,0.0,0.0,0.0,-0.0010000001639127731,-0.00399999972432852,0.002700000070035456,-0.003000000026077032,0.00022999988868832588,-0.009499996900558465,0.0,-0.0010700002312660217,0.0,2.0,7.0,02-21,-0.0013033330906182525
02-07,0.0,0.0,0.0,-0.0182999987155199,-0.001000001095235346,-0.0037000002339482325,-0.003000000026077032,0.0,-0.00849999859929084,0.0,-0.0010700002312660217,-0.004999999888241293,0.0,9.0,02-22,-0.0033808332324648887
