,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,ups,downs,avg
01-02,-28.57141906813727,19.999994412064446,7.692308794464562,-23.076926383393662,2.7777731786537547,-33.33333333333335,-20.000003725290384,-6.956518006798007,-3.448276526508372,-16.66666977107533,36.67546254540136,-82.35292828619343,4.0,8.0,-12.27171134751214
01-03,-42.85713525450981,19.999994412064446,14.285716186372532,-23.076926383393662,2.7777731786537547,-33.33333333333335,-20.000003725290384,-6.956518006798007,-3.448276526508372,37.28813516514906,39.99999813735481,-82.35292828619343,5.0,7.0,-8.139458703036034
01-04,-42.85713525450981,-9.589043717365001,19.99999751647309,-23.076926383393662,13.888886589326876,-33.33333333333335,-20.000003725290384,-6.956518006798007,-3.448276526508372,32.20339175682923,39.99999813735481,-82.35292828619343,4.0,8.0,-9.626824269450667
01-05,16.666669253673795,19.999994412064446,19.99999751647309,-7.692308794464549,-2.777783526682826,-33.33333333333335,-20.000003725290384,-20.833328806070874,0.0,32.20339175682923,41.250000698491945,-82.35292828619343,5.0,7.0,-3.0724694028752424
01-06,16.666669253673795,19.999994412064446,53.84615439723228,-7.692308794464549,-2.777783526682826,-33.33333333333335,-140.00000745058077,-20.833328806070874,0.0,16.94915521781836,41.250000698491945,-82.35292828619343,5.0,7.0,-11.523143018170416
01-07,16.666669253673795,-2.0000059604645934,44.61538670948267,-7.692308794464549,-23.333337679505483,-33.33333333333335,4.545455315142643,-15.999994933605283,0.0,0.0,39.056017604702056,-17.647049800335406,4.0,8.0,0.4064581984410423
01-08,-42.85713525450981,0.0,44.61538670948267,-7.692308794464549,15.151512072762822,-33.33333333333335,-4.545455315142612,-15.999994933605283,0.0,-25.641019762855667,29.49852427955196,-7.874859585795553,3.0,9.0,-4.0565569931591146
01-09,-28.57141906813727,0.0,27.999999627470963,12.500001455191445,-6.0606070868568365,-33.33333333333335,9.09091063028527,8.000001192092878,0.0,20.556107792959683,37.10526013948077,-17.583600766236334,6.0,6.0,2.4752767152431017
01-10,-71.42856762725489,-24.999991268851304,48.571431042284296,18.750002182787163,-19.99999751647309,-33.33333333333335,9.09091063028527,4.166667313418449,17.142859879805094,8.333331781128997,14.631578090861188,8.306362319433186,8.0,4.0,-1.7307288754924162
01-11,-20.000003725290384,-11.111113410673122,8.333334626836884,18.750002182787163,-19.99999751647309,-33.33333333333335,16.666669253673795,4.166667313418449,17.142859879805094,17.4999986030161,14.631578090861188,8.306362319433186,8.0,4.0,1.754418690338493
01-12,-20.000003725290384,18.88888348491815,-8.333334626836898,18.750002182787163,-16.66666977107533,-33.33333333333335,16.666669253673795,8.000001192092878,17.142859879805094,0.0,14.631578090861188,21.11368376070739,7.0,5.0,3.0716946990258083
01-13,-20.000003725290384,18.88888348491815,-16.66666925367378,18.750002182787163,-9.3749952706278,-33.33333333333335,16.666669253673795,0.0,17.142859879805094,1.6666638726988574,14.631578090861188,-0.5917260196549852,6.0,6.0,0.6483274301803291
01-14,36.36363405457212,-24.999991268851304,-24.99999611948932,18.750002182787163,-9.3749952706278,-82.92682428203261,-24.999991268851304,1.9607872716393946,17.142859879805094,-12.983527968211646,14.631578090861188,5.292475235380733,6.0,6.0,-7.178665788584858
01-15,0.0,0.0,-8.333334626836898,18.750002182787163,-19.99999751647309,-87.49998690327693,9.09091063028527,-2.3017878852166005,-61.11111341067315,-43.90243592182853,0.26315255446595165,-0.5917260196549852,3.0,9.0,-16.30302640970182
01-16,0.0,0.0,-8.333334626836898,-16.071435104941763,-19.99999751647309,-87.49998690327693,54.54545531514263,-2.3017878852166005,-3.571422394289249,-38.497658576256974,-115.05375784151073,-0.5917260196549852,1.0,11.0,-19.78130429610955
01-17,41.6666653731631,0.0,-8.333334626836898,-16.071435104941763,0.0,-87.49998690327693,0.0,-6.194687785655359,-3.571422394289249,-38.497658576256974,-16.35485627112829,-0.5917260196549852,1.0,11.0,-11.287370192406447
01-18,41.6666653731631,-3.8961093938758906,-8.333334626836898,-16.071435104941763,-10.000001862645204,-87.49998690327693,4.3478267911701725,-2.3017878852166005,-3.571422394289249,-15.023475451123053,-2.2933017504255795,-9.704150216055824,2.0,10.0,-9.39004278536281
01-19,41.6666653731631,5.882353585690348,0.0,-16.071435104941763,-10.000001862645204,-87.49998690327693,8.333334626836884,3.4205211178989043,-3.571422394289249,8.45069892919762,-14.665053798070604,-9.704150216055824,5.0,7.0,-6.14653972054106
01-20,41.6666653731631,-5.882342628954752,-40.000007450580746,-42.857154736257726,-6.451614066167647,-87.49998690327693,7.563027840752907,13.7930996831191,-3.571422394289249,-18.192490828877123,-14.665053798070604,-9.704150216055824,3.0,9.0,-13.816785843791292
01-21,16.666669253673795,-5.882342628954752,-40.000007450580746,-42.857154736257726,-10.000001862645204,-87.49998690327693,-0.9174296249094256,-0.8403346875859077,-24.999996673848052,-0.6999969378114204,-14.665053798070604,-9.704150216055824,1.0,11.0,-18.449982188860236
01-22,0.0,-5.882342628954752,-20.000003725290384,-280.9524126300206,-10.000001862645204,-24.999996119489293,0.0,-0.8403346875859077,-24.999996673848052,-0.9018039587966461,-14.665053798070604,16.674156313847917,1.0,11.0,-30.547315814237795
01-23,0.0,-5.882342628954752,14.285716186372532,0.0,0.0,-24.999996119489293,0.0,-5.042015951755316,-24.999996673848052,-24.999996119489293,-14.665053798070604,12.753040711539484,2.0,10.0,-6.129220366141275
01-24,-10.000001862645208,-9.756092297701121,14.285716186372532,0.0,-6.666674117247419,-24.999996119489293,0.0,-6.382983951290322,-24.999996673848052,-49.999999999999986,-14.665053798070604,31.578952925001314,2.0,10.0,-8.46717747574318
01-25,8.333334626836884,-12.499989813659848,28.571432372745075,0.0,-6.666674117247419,31.66666692536738,0.0,-6.382983951290322,-24.999996673848052,-33.8974377931457,-14.665053798070604,27.3279368407971,4.0,8.0,-0.2677304484596246
01-26,8.333334626836884,-6.666674117247395,0.0,-33.33333850734756,0.0,31.66666692536738,-18.811886848544443,8.000001192092878,35.714290465931356,-5.128205862976375,-14.665053798070604,30.694981652945796,5.0,7.0,2.9836763107489923
01-27,14.285716186372532,0.0,0.0,6.6666708058780735,0.0,-2.499995634425661,20.79207236063174,17.79957781784139,0.0,-9.230762911736507,-16.207952777443285,30.694981652945796,5.0,7.0,5.191692291672007
01-28,0.0,3.750005093170067,0.0,6.6666708058780735,-3.448276526508372,33.33333074632622,-8.910894740996433,20.812892532555153,0.0,-9.230762911736507,-16.207952777443285,38.09524134422664,5.0,7.0,5.405021130455963
