,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,ups,downs,end_day_sum,avg
01-02,0.0,0.0345841646194458,-0.021938323974609597,0.007312655448913574,-0.030554890632629617,-0.09558904170990012,0.008279085159302202,0.0,0.0,0.26515722274780273,0.0,4.0,6.0,01-17,0.015204624696211361
01-03,0.0,0.0345841646194458,-0.021938323974609597,0.0,-0.030554890632629617,-0.09558904170990012,0.008279085159302202,0.0,0.0,0.3598563671112065,0.0,3.0,7.0,01-18,0.023148850961165014
01-04,0.0,0.03458428382873535,-0.021938323974609597,0.0,-0.030554890632629617,-0.09558904170990012,0.016559123992919922,0.1716914176940918,0.0,0.3598563671112065,0.0,4.0,6.0,01-19,0.039509903300892206
01-05,0.0,0.06225156784057617,-0.021938323974609597,0.02925121784210205,-0.030554890632629617,-0.09558904170990012,0.06623506546020552,0.1716914176940918,0.0,0.09469914436340376,0.0,5.0,5.0,01-20,0.025095105171203634
01-06,0.0,0.06225156784057617,-0.021938323974609597,0.02925121784210205,-0.053471565246582475,-0.07169198989868186,0.06623506546020552,0.1716914176940918,0.0,0.09469914436340376,0.0,5.0,5.0,01-21,0.025184230370955032
01-07,0.0,0.04841756820678711,-0.021938323974609597,0.02925121784210205,-0.053471565246582475,0.0,0.024838685989380327,0.1716914176940918,0.0,0.09469914436340376,0.0,5.0,5.0,01-22,0.026680740443143
01-08,0.0,0.04841756820678711,0.029251813888549583,0.02925121784210205,-0.02291667461395286,-0.007965922355652078,0.024838685989380327,0.1716914176940918,0.0,0.09469914436340376,0.0,6.0,4.0,01-23,0.03338793191042815
01-09,0.0,0.04841756820678711,0.029251813888549583,0.02925121784210205,-0.04583311080932684,-0.007965922355652078,0.016559600830078125,0.1716914176940918,0.0,0.09469914436340376,0.0,6.0,4.0,01-24,0.03055197542363941
01-10,0.0,0.04841756820678711,0.029251813888549583,0.02925121784210205,-0.015277266502380815,-0.007965922355652078,0.13247036933898926,0.1716914176940918,0.382346391677856,0.09469914436340376,0.0,7.0,3.0,01-25,0.07862588492306788
01-11,0.0,0.04841756820678711,0.06581592559814453,-0.05119025707244873,-0.015277266502380815,-0.01593160629272461,0.13247036933898926,0.1716914176940918,0.382346391677856,0.09469914436340376,0.0,6.0,4.0,01-26,0.07391288063742894
01-12,0.0,-0.02075064182281472,0.06581592559814453,-0.0146256685256958,0.0,0.023897171020507812,0.0,0.1716914176940918,0.382346391677856,0.09469914436340376,0.0,5.0,5.0,01-27,0.06391579454595395
01-13,0.0,-0.02075064182281472,0.06581592559814453,-0.0146256685256958,0.030555844306946023,0.0,0.00828003883361772,0.1716914176940918,0.382346391677856,0.09469914436340376,0.0,6.0,4.0,01-28,0.06527385928414085
01-14,0.0,-0.04841792583465554,0.06581592559814453,-0.0146256685256958,0.015277624130249245,0.0,0.0,0.0,0.382346391677856,0.09469914436340376,0.0,4.0,6.0,01-29,0.04500868103720929
01-15,0.0,-0.06916821002960183,0.08775460720062278,0.0,0.015277624130249245,0.0,-0.0496759414672856,0.0,0.382346391677856,0.09469914436340376,-0.19000005722045987,4.0,6.0,01-30,0.024657596241344046
01-16,0.0,-0.06225156784057617,0.05119013786315918,0.0,0.038194298744202104,-0.02389705181121826,-0.0496759414672856,0.0,0.41791391372680753,-0.1325786113739018,-0.19000005722045987,3.0,7.0,01-31,0.004445010965520645
01-17,0.0,-0.06225156784057617,0.05119013786315918,0.0,0.038194298744202104,-0.031862735748290794,-0.0496759414672856,0.0,0.41791391372680753,-0.1325786113739018,-0.19000005722045987,3.0,7.0,02-01,0.003720857880332233
01-18,0.0,-0.06225156784057617,0.05119013786315918,0.0,0.04583311080932684,-0.031862735748290794,-0.0496759414672856,0.09443044662475586,0.41791391372680753,-0.1325786113739018,-0.19000005722045987,4.0,6.0,02-02,0.012999881397594105
01-19,0.0,-0.06225156784057617,0.0,0.0,0.04583311080932684,-0.031862735748290794,0.07451438903808594,0.09443044662475586,0.41791391372680753,-0.1325786113739018,-0.19000005722045987,4.0,6.0,02-03,0.01963626254688614
01-20,0.0,-0.08300173282623291,0.0,0.0,0.04583311080932684,-0.031862735748290794,0.016558408737182617,0.09443044662475586,0.41791391372680753,-0.09469914436340376,-0.19000005722045987,4.0,6.0,02-04,0.01592474633997141
01-21,0.0,-0.08300173282623291,0.0,0.0,0.04583311080932684,-0.031862735748290794,-0.08279299736022949,0.09443044662475586,0.41791391372680753,-0.09469914436340376,-0.19000005722045987,3.0,7.0,02-05,0.006892800331115763
01-22,0.0,-0.08300173282623291,0.0,0.0,0.04583311080932684,0.04779481887817383,-0.08279299736022949,0.09443044662475586,0.41791391372680753,-0.09469914436340376,-0.19000005722045987,4.0,6.0,02-06,0.01413439620624891
01-23,0.0,-0.08300173282623291,0.0,0.0,-0.015277266502380815,0.007966041564941406,0.049677371978759766,0.09443044662475586,0.03556752204895153,-0.09469914436340376,-0.19000005722045987,4.0,6.0,02-07,-0.01775789260864262
01-24,0.0,-0.08300173282623291,-0.014625787734985352,0.0,-0.04583311080932684,0.07169187068939209,0.13247036933898926,0.09443044662475586,0.03556752204895153,-0.09469914436340376,-0.19000005722045987,4.0,6.0,02-08,-0.008545420386574546
01-25,0.0,-0.013833522796631081,0.10237991809844971,0.0,-0.04583311080932684,0.07169187068939209,0.2069852352142334,0.09443044662475586,0.03556752204895153,-0.09469914436340376,-0.19000005722045987,5.0,5.0,02-09,0.015153559771451003
01-26,0.0,-0.013833522796631081,0.08044123649597146,0.0,-0.04583311080932684,0.07169187068939209,0.008279561996460405,0.09443044662475586,0.03556752204895153,-0.09469914436340376,-0.19000005722045987,5.0,5.0,02-10,-0.004905017939480929
01-27,0.0,-0.06916868686676003,0.11700570583343506,0.021938562393188477,-0.04583311080932684,0.06372582912445068,0.008279561996460405,0.09443044662475586,0.0,-0.09469914436340376,-0.45000004768371626,5.0,5.0,02-11,-0.03221098943190149
01-28,0.0,-0.06916868686676003,0.11700570583343506,0.043877601623535156,-0.05347216129303001,0.05576026439666748,0.008279561996460405,0.09443044662475586,0.0,-0.09469914436340376,-0.2599999904632564,5.0,5.0,02-12,-0.014362400228326931
01-29,0.0,-0.06916868686676003,0.09506738185882568,0.029251575469970703,-0.04583311080932684,0.05576026439666748,0.008279561996460405,0.09443044662475586,0.0,0.03787946701049805,-0.2599999904632564,6.0,4.0,02-13,-0.004939371889287735
01-30,0.0,-0.06916868686676003,0.09506738185882568,0.029251575469970703,-0.04583311080932684,0.05576026439666748,-0.11591076850891113,-0.07726097106933594,0.0,0.03787946701049805,-0.2599999904632564,4.0,6.0,02-14,-0.03183771263469349
01-31,0.0,-0.06916868686676003,0.09506738185882568,0.029251575469970703,-0.04583311080932684,0.05576026439666748,-0.11591076850891113,-0.1716914176940918,0.0,0.0,-0.2599999904632564,3.0,7.0,02-15,-0.04386588660153476
02-01,0.0,-0.06916868686676003,0.1243184804916384,0.029251575469970703,-0.04583311080932684,0.05576026439666748,-0.06623506546020508,-0.1716914176940918,0.0,0.0,-0.2599999904632564,3.0,7.0,02-16,-0.03669072281230578
02-02,0.0,-0.048418521881103294,0.09506738185882568,0.029251575469970703,-0.04583311080932684,0.07169187068939209,0.03311729431152344,-0.1716914176940918,0.0,0.0,-0.2599999904632564,4.0,6.0,02-17,-0.02698317441073331
02-03,0.0,-0.048418521881103294,0.09506738185882568,0.029251575469970703,-0.04583311080932684,0.07169187068939209,0.10763096809387207,-0.1716914176940918,0.0,0.0,-0.2599999904632564,4.0,6.0,02-18,-0.020209204066883434
02-04,0.0,-0.048418521881103294,0.09506738185882568,0.029251575469970703,-0.06111073493957564,0.007965683937072754,-0.08279299736022949,-0.1716914176940918,0.0,0.0,-0.2599999904632564,3.0,7.0,02-19,-0.044702638279307955
02-05,0.0,-0.048418521881103294,0.09506738185882568,0.029251575469970703,0.0,0.007965683937072754,-0.15730786323547363,-0.1716914176940918,0.0,0.0,-0.2599999904632564,3.0,7.0,02-20,-0.045921195637096
02-06,0.0,-0.048418521881103294,0.09506738185882568,0.029251575469970703,-0.015277624130248801,0.007965683937072754,0.03311777114868164,-0.1716914176940918,0.0,0.0,-0.2599999904632564,4.0,6.0,02-21,-0.029998649250377228
