,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,ups,downs,end_day_sum,avg
01-02,0.5400000810623169,-0.04999995231628418,0.23000001907348633,0.059999942779541016,0.27999997138977073,0.1700000762939453,0.04000008106231667,-0.039999961853027344,-0.029999971389770508,-0.04999995231628418,0.0,0.04999995231628396,7.0,5.0,01-17,0.1000000238418579
01-03,0.46000003814697243,-0.04999995231628418,0.23000001907348633,0.059999942779541016,0.24000000953674339,0.12000000476837158,0.04000008106231667,-0.039999961853027344,-0.029999971389770508,0.04999995231628418,0.0,0.04999995231628396,8.0,4.0,01-18,0.0941666762034098
01-04,0.46000003814697243,-0.09999990463256836,0.23000001907348633,0.1099998950958252,0.06999993324279785,0.12000000476837158,0.04000008106231667,-0.039999961853027344,0.12999999523162842,0.04999995231628418,-0.26999998092651367,-0.04999995231628418,8.0,4.0,01-19,0.06250000993410743
01-05,0.46000003814697243,-0.14999985694885254,0.23000001907348633,0.06999993324279785,0.06999993324279785,0.12000000476837158,0.04000008106231667,-0.039999961853027344,0.16999995708465554,0.2999999523162842,-0.26999998092651367,-0.04999995231628418,8.0,4.0,01-20,0.07916668057441706
01-06,0.3399999141693113,-0.08999991416931152,0.3499999046325679,0.06999993324279785,0.06999993324279785,0.12000000476837158,0.0,-0.07999992370605469,0.15999996662139893,0.2999999523162842,-0.26999998092651367,0.0,7.0,5.0,01-21,0.08083331584930414
01-07,0.25999999046325617,-0.14000010490417525,0.3499999046325679,0.06999993324279785,0.06999993324279785,0.12000000476837158,-0.38999998569488503,-0.13999998569488525,0.08000004291534424,0.2999999523162842,-0.26999998092651367,0.0,7.0,5.0,01-22,0.025833308696746715
01-08,-0.31999993324279785,-0.1099998950958252,0.3199999332427983,0.06999993324279785,-0.029999971389770508,0.06999993324279785,-0.24000000953674294,-0.11000001430511475,0.08000004291534424,0.2999999523162842,-0.26999998092651367,0.10000002384185813,6.0,6.0,01-23,-0.011666665474573698
01-09,-0.4200000762939453,-0.08999991416931152,0.3199999332427983,0.11999988555908203,-0.07000005245208762,0.16999995708465576,-0.24000000953674294,-0.09000003337860107,-0.04999995231628418,-0.04999995231628418,-0.26999998092651367,-0.059999942779541016,3.0,9.0,01-24,-0.06083334485689795
01-10,-0.4200000762939453,-0.08999991416931152,0.3199999332427983,0.11999988555908203,0.019999980926513672,0.16999995708465576,-0.24000000953674294,-0.09000003337860107,0.029999971389770508,0.04999995231628418,-0.26999998092651367,-0.059999942779541016,6.0,6.0,01-25,-0.03833335638046259
01-11,-0.4200000762939453,-0.09999990463256836,0.1700000762939453,-0.029999971389770508,-0.13999998569488548,0.16999995708465576,-0.24000000953674294,-0.09000003337860107,0.029999971389770508,0.09999990463256836,-0.26999998092651367,-0.059999942779541016,4.0,8.0,01-26,-0.07333333293596904
01-12,-0.4200000762939453,-0.059999942779541016,0.06000018119812012,-0.029999971389770508,-0.13999998569488548,0.16999995708465576,-0.24000000953674294,-0.060000061988830566,0.029999971389770508,0.09999990463256836,-0.26999998092651367,-0.059999942779541016,4.0,8.0,01-27,-0.07666666309038798
01-13,-0.40000009536743164,-0.04999995231628418,0.06000018119812012,-0.029999971389770508,-0.13999998569488548,0.16999995708465576,-0.3600000143051145,-0.060000061988830566,0.029999971389770508,0.09999990463256836,-0.26999998092651367,-0.059999942779541016,4.0,8.0,01-28,-0.08416666587193807
01-14,-0.07000017166137695,-0.04999995231628418,0.06000018119812012,-0.06999993324279785,-0.13999998569488548,0.10000002384185791,-0.3600000143051145,-0.060000061988830566,-0.12999999523162842,0.09999990463256836,-0.26999998092651367,0.0,3.0,9.0,01-29,-0.07416666547457378
01-15,-0.07000017166137695,0.0,0.06000018119812012,-0.06999993324279785,-0.13999998569488548,0.0,-0.3600000143051145,-0.060000061988830566,-0.12999999523162842,0.20000004768371582,0.0,0.0,2.0,10.0,01-30,-0.04749999443689982
01-16,0.04999995231628418,-0.04999995231628418,0.0700001716613774,-0.06999993324279785,-0.13999998569488548,0.0,-0.3600000143051145,-0.060000061988830566,-0.12999999523162842,0.04999995231628418,0.009999990463256836,-0.04999995231628418,4.0,8.0,01-31,-0.056666652361551884
01-17,0.1299998760223393,-0.04999995231628418,0.0700001716613774,-0.06999993324279785,-0.13999998569488548,0.0,0.029999971389770508,-0.060000061988830566,-0.12999999523162842,0.04999995231628418,0.009999990463256836,-0.04999995231628418,5.0,7.0,02-01,-0.01749999324480687
01-18,0.1299998760223393,-0.15000009536743164,-0.029999971389770508,-0.029999971389770508,-0.04000008106231712,0.05000007152557373,0.029999971389770508,-0.05000007152557373,0.07000005245208762,0.04999995231628418,0.009999990463256836,0.0,6.0,6.0,02-02,0.0033333102862040573
01-19,0.1299998760223393,0.09999990463256836,-0.20000004768371582,-0.029999971389770508,0.0,0.05000007152557373,0.029999971389770508,-0.040000081062316895,0.02999997138977073,0.04999995231628418,0.009999990463256836,0.0,7.0,5.0,02-03,0.010833303133646702
01-20,0.1299998760223393,-0.25,-0.11999988555908203,-0.07999992370605469,0.019999980926513672,0.05000007152557373,0.029999971389770508,0.009999990463256836,0.15999996662139915,0.04999995231628418,0.009999990463256836,-0.14999997615814187,8.0,4.0,02-04,-0.011666665474573698
01-21,0.23000001907348633,-0.25,-0.11999988555908203,-0.07999992370605469,0.019999980926513672,0.05000007152557373,-0.12000000476837158,0.009999990463256836,0.15999996662139915,0.04999995231628418,0.0,0.0,6.0,6.0,02-05,-0.004166652758916201
01-22,0.23000001907348633,-0.24000000953674316,-0.11999988555908203,-0.07999992370605469,0.08000004291534424,-0.04999995231628418,0.0,0.009999990463256836,0.15999996662139915,0.04999995231628418,0.34999990463256836,0.0,6.0,6.0,02-06,0.032500008742014586
01-23,0.23000001907348633,-0.24000000953674316,-0.15000009536743164,-0.07999992370605469,0.08000004291534424,-0.04999995231628418,0.0,0.009999990463256836,0.17999994754791282,0.0,0.34999990463256836,0.0,5.0,7.0,02-07,0.027499993642171244
01-24,0.23000001907348633,0.04999995231628418,-0.15000009536743164,0.0,0.08000004291534424,-0.04999995231628418,0.12000000476837158,0.009999990463256836,0.17999994754791282,0.050000190734863725,0.34999990463256836,0.0,8.0,4.0,02-08,0.07250000039736436
01-25,-0.2200000286102295,0.0,0.059999942779541016,0.0,0.08000004291534424,-0.04999995231628418,0.12000000476837158,0.009999990463256836,0.34999990463256836,0.050000190734863725,0.34999990463256836,0.0,7.0,5.0,02-09,0.06250000000000004
