,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,ups,downs,end_day_sum,avg
01-02,-1.1000003814697301,-0.4249992370605504,-1.005001068115238,-1.5500011444091797,-2.9550018310546875,0.0749969482421804,-2.0200004577636754,0.23999977111816406,3.0100002288818324,0.4799995422363281,-1.3299999237060582,4.0,7.0,01-17,-0.5981825048273286
01-03,-1.1000003814697301,-1.4799995422363317,-0.6350002288818395,-0.9899997711181712,-3.240001678466797,1.7949981689453054,-2.0200004577636754,0.23999977111816406,4.319999694824219,3.5,-0.9699993133544886,4.0,7.0,01-18,-0.05272761258212229
01-04,-0.42000007629394887,-1.5850009918212926,0.2700004577636719,-0.9899997711181712,-3.049999237060547,1.7949981689453054,-2.0200004577636754,0.18000030517578125,2.7999992370605504,3.470001220703125,-0.9699993133544886,5.0,6.0,01-19,-0.047272768887608146
01-05,-0.3000011444091797,-2.25,0.2700004577636719,-0.9899997711181712,-3.049999237060547,1.7949981689453054,-2.25,-0.049999237060546875,0.46999931335448863,2.9200000762939453,-0.9699993133544886,4.0,7.0,01-20,-0.40045460787686565
01-06,-0.04999923706055043,-2.7000007629394496,1.4050006866455114,-0.9899997711181712,-3.9150009155273438,1.2100028991699219,-1.2299995422363281,-0.049999237060546875,0.46999931335448863,2.9200000762939453,-1.1599979400634766,4.0,7.0,01-21,-0.3718176755038181
01-07,-0.6000003814697266,-2.639999389648441,1.2750015258789098,-0.8000011444091797,-2.754997253417976,0.5500030517578196,-1.25,-0.049999237060546875,0.40999984741210227,2.0999984741210938,-0.32999992370605113,4.0,7.0,01-22,-0.3718176755038178
01-08,-0.6700000762939489,-2.104999542236328,1.2750015258789098,-0.7099990844726598,-3.4850006103515554,0.2700004577636861,-1.3000011444091832,-0.14999961853027344,-0.31000137329102273,1.239999771118164,0.1600017547607422,4.0,7.0,01-23,-0.5259089036421336
01-09,-0.6000003814697266,-1.7049999237060547,0.8800010681152379,-0.735000610351559,-2.145000457763679,0.7000007629394673,-1.2900009155273438,0.6500015258789062,0.639999389648441,1.1499996185302734,0.1600017547607422,6.0,5.0,01-24,-0.20863619717684498
01-10,-1.2799987792968786,-1.5450000762939418,0.7950000762939489,-0.19999885559081676,-1.8699989318847727,0.7449989318847727,-1.2900009155273438,0.6500015258789062,0.20000076293944957,1.139999389648434,0.1600017547607422,6.0,5.0,01-25,-0.22681773792613635
01-11,-1.0550003051757777,-2.140001296997063,0.8950004577636719,-0.15499877929687855,-1.0449981689453196,1.3050003051757812,-1.5,0.6500015258789062,-0.8699989318847621,1.139999389648434,-0.18999862670898793,4.0,7.0,01-26,-0.26954494823109054
01-12,-0.7250003814697195,-1.9349994659423793,1.130001068115238,-0.15499877929687855,-1.9249992370605469,0.8549995422363281,-1.25,0.29000091552734375,-0.5100002288818324,0.25,-1.159999847412113,4.0,7.0,01-27,-0.46681785583496
01-13,-3.5499992370605504,-0.8349990844726598,0.7600002288818395,-0.04999923706055043,-2.555000305175774,0.40000152587891336,-1.4099998474121023,0.29000091552734375,-1.2399997711181605,0.25,-1.159999847412113,4.0,7.0,01-28,-0.8272722417658013
01-14,-4.255001068115231,-0.26999855041503906,-0.14500045776367188,-0.34999847412110086,-1.6199989318847656,0.055000305175788355,-2.069999694824215,0.29000091552734375,-1.5900001525878906,0.25,-1.159999847412113,3.0,8.0,01-29,-0.9877269051291723
01-15,-4.375,-0.125,-0.9050006866455114,0.10000038146972301,-2.450000762939453,-0.43999862670897727,-1.6000003814697266,1.4200000762939418,-1.2999992370605504,0.2199993133544922,-2.409999847412113,3.0,8.0,01-30,-1.078636342828925
01-16,-4.275001525878899,-0.19000053405761008,-0.9050006866455114,0.13999938964844105,-2.234996795654297,-0.42000198364258523,-2.190000534057617,1.4200000762939418,-2.5599994659423864,-1.370000839233402,-2.220001220703125,2.0,9.0,01-31,-1.3459094654430046
01-17,-3.550001144409176,-0.9500007629394496,-0.9050006866455114,-0.04999923706055043,-2.229999542236321,-0.42000198364258523,-2.0300006866455043,1.4200000762939418,-3.1299991607666016,-0.14999961853027344,-2.220001220703125,1.0,10.0,02-01,-1.2922730879350142
01-18,-3.375,-1.2550010681152308,-0.7250003814697301,-0.06500053405761363,-1.8699989318847656,-0.07500076293946023,-2.3400001525878906,1.8299999237060511,-1.970001220703125,-0.18000030517578125,-2.220001220703125,1.0,10.0,02-02,-1.1131822412664247
01-19,-3.5750007629394496,-0.5499992370605504,-0.5799999237060618,-0.059999465942386365,-0.9750022888183594,-0.07500076293946023,-2.059999465942383,3.069999694824215,-1.25,-0.4200000762939453,-3.0799999237060547,1.0,10.0,02-03,-0.8686365647749487
