,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,ups,downs,avg
01-02,0.0,-35.714283433495744,-46.66666004392862,40.00000223517415,-25.00000465661298,0.0,7.999998331069936,-27.272728504228187,-17.391306882995252,5.555558315029741,16.00000262260437,-11.111108351636943,4.0,8.0,-7.800044197418295
01-03,0.0,-35.714283433495744,-46.66666004392862,40.00000223517415,-25.00000465661298,0.0,7.999998331069936,-27.272728504228187,-17.391306882995252,5.555558315029741,16.00000262260437,-11.111108351636943,4.0,8.0,-7.800044197418295
01-04,0.0,-35.714283433495744,-46.66666004392862,40.00000223517415,-12.500006984919466,0.0,7.999998331069936,-27.272728504228187,-8.000004291534445,-3.030300019967555,16.00000262260437,-11.111108351636943,3.0,9.0,-6.691257370071875
01-05,0.0,-35.714283433495744,-46.66666004392862,40.00000223517415,-12.500006984919466,0.0,7.999998331069936,-9.090907243657693,-8.000004291534445,-3.030300019967555,16.00000262260437,-11.111108351636943,3.0,9.0,-5.176105598357668
01-06,0.0,-35.714283433495744,-46.66666004392862,40.00000223517415,-12.500006984919466,0.0,16.666672185615038,-27.272728504228187,-8.000004291534445,-3.030300019967555,16.00000262260437,-11.111108351636943,3.0,9.0,-5.969034548859785
01-07,0.0,-35.714283433495744,-46.66666004392862,40.00000223517415,-12.500006984919466,0.0,36.6197180733797,-9.090907243657693,12.000000476837158,0.0,16.00000262260437,0.0,4.0,8.0,0.053988808499487874
01-08,-25.00000465661298,-35.714283433495744,0.0,40.00000223517415,0.0,0.0,33.3333318936076,-9.090907243657693,18.51852219781745,0.0,-4.999995157122685,0.0,3.0,9.0,1.4205554863091752
01-09,-25.00000465661298,-35.714283433495744,0.0,40.00000223517415,57.894737254879814,0.0,27.536231633670887,0.0,18.51852219781745,-5.882356034843122,-24.99999813735488,9.999997764825869,5.0,7.0,5.196070735338453
01-10,-25.00000465661298,-35.714283433495744,0.0,40.00000223517415,38.46153757981291,0.0,27.536231633670887,0.0,18.51852219781745,-2.857148695965302,-56.25000349245973,9.999997764825869,5.0,7.0,1.2245709277306251
01-11,-25.00000465661298,-35.714283433495744,6.249994179233778,40.00000223517415,38.46153757981291,0.0,27.536231633670887,0.0,18.51852219781745,-2.857148695965302,-56.25000349245973,9.999997764825869,6.0,6.0,1.7454037760001064
01-12,-25.00000465661298,-35.714283433495744,6.249994179233778,0.0,38.46153757981291,0.0,27.536231633670887,-18.18181448731537,28.124997089616883,-2.857148695965302,-56.25000349245973,9.999997764825869,5.0,7.0,-2.3025413765573997
01-13,-25.00000465661298,0.0,6.249994179233778,0.0,38.46153757981291,0.0,27.536231633670887,0.0,28.124997089616883,-2.857148695965302,-47.05882198257844,9.999997764825869,5.0,7.0,2.9547319093336326
01-14,-25.00000465661298,0.0,6.249994179233778,0.0,38.46153757981291,0.0,27.536231633670887,0.0,21.874998253770134,-2.857148695965302,-47.05882198257844,-12.500006984919448,4.0,8.0,0.5588982772009597
01-15,-25.00000465661298,0.0,6.249994179233778,0.0,38.46153757981291,0.0,27.536231633670887,0.0,3.8461503192516595,-2.857148695965302,-47.05882198257844,-12.500006984919448,4.0,8.0,-0.9435057173422452
01-16,-25.00000465661298,0.0,6.249994179233778,0.0,38.46153757981291,0.0,21.739127054556995,0.0,3.8461503192516595,-2.857148695965302,-47.05882198257844,-12.500006984919448,4.0,8.0,-1.426597765601735
01-17,-25.00000465661298,0.0,6.249994179233778,0.0,38.46153757981291,0.0,-2.898547970379774,15.384612739438733,3.8461503192516595,2.9411736347271384,-47.05882198257844,-25.00000465661298,5.0,7.0,-2.7561592344766637
01-18,-25.00000465661298,0.0,6.249994179233778,0.0,38.46153757981291,0.0,-2.898547970379774,15.384612739438733,21.874998253770134,0.0,-17.64705933914052,-25.00000465661298,4.0,8.0,0.9521271774591078
01-19,-25.00000465661298,0.0,-66.66666666666666,-42.857144377669506,-46.153849680748344,0.0,-2.898547970379774,15.384612739438733,15.624994761310385,0.0,-17.64705933914052,-25.00000465661298,2.0,10.0,-16.267805820590137
01-20,-25.00000465661298,0.0,-66.66666666666666,-42.857144377669506,-46.153849680748344,0.0,-9.230769936149668,15.384612739438733,15.624994761310385,0.0,-17.64705933914052,-25.00000465661298,2.0,10.0,-16.795490984404296
01-21,42.857144377669506,0.0,-66.66666666666666,-42.857144377669506,-46.153849680748344,0.0,-6.153849680748341,15.384612739438733,15.624994761310385,0.0,-17.64705933914052,0.0,3.0,9.0,-8.800984822212895
01-22,42.857144377669506,0.0,-77.77776673988103,-42.857144377669506,-46.153849680748344,0.0,-6.153849680748341,15.384612739438733,15.624994761310385,0.0,-17.64705933914052,0.0,3.0,9.0,-9.726909828314092
