,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,ups,downs,end_day_sum,avg
01-02,0.5552945137023926,0.2352905273437509,-0.11201763153076172,0.14866924285888672,0.08332061767578303,0.23927021026611328,0.2550220489501953,0.05181598663330078,0.3184967041015625,-0.006190299987792969,0.2604227066040039,0.23342418670653942,10.0,2.0,01-17,0.18856823444366447
01-03,0.34194183349609286,0.2352905273437509,-0.12506866455078125,0.17597484588623047,0.16905498504638494,0.11884498596191406,0.22334003448486506,0.05181598663330078,0.3011293411254883,-0.03324127197265625,0.08235168457031072,0.10698604583739879,10.0,2.0,01-18,0.1373683611551916
01-04,0.34194183349609286,0.2165675163269043,-0.07307910919189275,0.16914844512939453,0.0768518447875941,0.03604888916015625,0.22334003448486506,0.03513813018798828,0.22336006164550604,-0.09661674499511719,0.0917215347290039,0.15561580657958984,10.0,2.0,01-19,0.11666985352834043
01-05,0.16937828063964755,0.18552160263061435,-0.09916305541992188,0.17604827880859375,0.08394622802734375,0.03604888916015625,0.2710428237915057,0.06858539581299006,0.15399742126464844,-0.10563945770263494,0.054245948791503906,0.15561580657958984,10.0,2.0,01-20,0.0958023468653364
01-06,0.2353816032409668,0.18556833267211914,-0.2097945213317871,0.14203739166259766,0.08394622802734375,0.06628608703613281,0.1362895965576172,-0.030945777893066406,0.14534473419189275,-0.11466503143310547,0.054245948791503906,0.1750659942626971,9.0,3.0,01-21,0.072396715482076
01-07,0.3245244026184082,0.19181251525878906,-0.1577763557434082,0.12163448333740234,0.13378238677978693,0.11915588378906428,0.112490653991701,-0.23107433319091975,0.07612895965576172,-0.08750343322754084,-0.020934104919433594,0.0972604751586914,8.0,4.0,01-22,0.056625127792358544
01-08,0.11691045761108398,0.12963438034057617,-0.11876916885375977,0.14893341064453125,0.012819290161132812,0.1568193435668963,0.07300376892089666,-0.18954849243164062,0.058762550354003906,-0.0693960189819336,-0.048987388610839844,0.1264352798461914,8.0,4.0,01-23,0.03305145104726156
01-09,-0.05495595932006747,0.09855175018310547,-0.05350017547607422,0.1557607650756836,0.1993265151977539,0.1569252014160174,0.09676647186279297,-0.19785594940185725,0.03271961212158203,-0.09664440155029297,-0.020850181579589844,0.16533946990966975,7.0,5.0,01-24,0.04013192653656028
01-10,-0.06680631637573242,0.06734323501586914,-0.07960796356201172,0.25800323486328125,0.27050876617431463,0.08166313171386896,0.033392906188964844,-0.12282276153564631,-0.019103050231933594,-0.06066513061523615,-0.058409690856933594,0.13616275787353693,6.0,6.0,01-25,0.03663825988769517
01-11,-0.13821649551391602,0.06109809875488281,0.05743598937988459,0.14333534240722656,0.3345804214477557,0.08918476104736506,0.04929637908935547,-0.08947277069091975,0.05208873748779119,-0.09959316253661932,-0.10525512695312678,0.1264352798461914,8.0,4.0,01-26,0.04007645448048924
01-12,-0.2869744300842285,0.048689842224121094,0.11096572875976562,0.1706390380859375,0.24203777313232244,0.11942863464355469,0.06520366668701172,-0.13924217224121094,0.017366409301757812,-0.1267547607421875,-0.06578350067138672,0.2415294647216797,8.0,4.0,01-27,0.03309214115142808
01-13,-0.3284616470336914,0.01872396469116122,0.11096382141113281,0.14333343505859375,0.16373157501220525,0.12699127197265625,0.08110618591308594,0.041686058044433594,0.03473377227783203,-0.13580703735351562,-0.046990394592285156,0.23177623748779297,9.0,3.0,01-28,0.036815603574116805
01-14,0.05950212478637695,0.012482166290282315,0.11749172210693182,0.1501598358154297,0.24915122985839666,0.1119070053100586,0.18288230895996094,0.058363914489746094,0.008686065673828125,-0.15391635894775568,-0.046990394592285156,0.2025146484375,10.0,2.0,01-29,0.07935285568237253
01-15,0.5117321014404297,0.0,0.13707542419433594,0.1911029815673828,0.4200086593627912,0.22682762145996094,0.14313507080078125,0.0,0.026047706604003906,-0.21729373931884588,-0.0657844543457049,0.12481784820556818,8.0,4.0,01-30,0.12480576833089192
01-16,0.30942249298095703,-0.012482166290284091,0.14359855651855646,0.20476436614990234,0.19221019744873225,0.18903255462646484,0.16698741912841797,-0.033351898193359375,0.0434112548828125,-0.3802623748779297,-0.06578445434570312,0.19314956665039062,8.0,4.0,01-31,0.07922462622324648
01-17,0.24991655349731445,0.031209945678710938,0.13054466247558594,0.21840858459472834,0.15660762786865234,0.15122127532958984,0.1749410629272461,0.0833778381347674,0.026047706604003906,-0.38932132720947443,0.028192520141601562,0.25150394439697266,11.0,1.0,02-01,0.09272086620330826
01-18,0.14876127243041992,0.0,0.09791374206543146,0.1911048889160174,0.2633848190307617,0.1436614990234375,0.2465076446533203,0.1167287826538086,0.07813644409179688,-0.41648292541503906,0.0093994140625,0.20287609100341797,10.0,2.0,02-02,0.09016597270965605
01-19,0.23206281661987127,-0.012482166290284091,0.16318178176879883,0.1569843292236328,0.12101554870605469,0.17390537261962713,0.34192848205566406,0.09171009063720703,0.05209159851074219,-0.4345903396606463,0.0,0.2126312255859375,9.0,3.0,02-03,0.09153656164805042
01-20,0.17256593704223722,0.10611343383789151,0.13054275512695312,0.15015697479248047,0.30610752105712713,0.10585784912109375,0.3498821258544922,0.36684703826904475,0.07813453674316406,-0.3802661895751971,0.0,0.27115440368652344,10.0,2.0,02-04,0.13809136549631754
01-21,0.2856173515319824,0.2059793472290039,0.15665054321289062,0.08872509002685547,0.22067928314208984,0.1436614990234375,0.3260202407836914,0.34183788299560547,0.05209159851074219,-0.4436435699462873,-0.028192520141601562,0.20287609100341797,10.0,2.0,02-05,0.12935856978098567
01-22,0.3391728401184064,0.21222448348999023,0.026106834411619317,0.17745208740234197,0.1281337738037127,0.03024387359618963,0.27831554412841797,0.3084878921508789,0.026044845581054688,-0.4979648590087873,-0.0093994140625,0.1736164093017578,10.0,2.0,02-06,0.09936952590942354
01-23,0.4879307746887189,0.2059793472290039,-0.01958656311035334,0.1706295013427752,0.02847957611084162,0.0302467346191424,0.2624082565307617,0.29181575775146484,0.060771942138671875,-0.42552947998046875,0.009395599365234375,0.029260635375974786,10.0,2.0,02-07,0.09431684017181396
