,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,ups,downs,avg
01-02,0.0,-24.390242661414284,9.756095610793878,0.0,-42.857144377669506,-9.090907243657693,-38.888883369940544,-14.973266838774277,-2.3809615716916963,0.456620557167895,-9.48905071380695,8.000001907348633,3.0,8.0,-10.321478225137048
01-03,0.0,-24.390242661414284,9.756095610793878,0.0,-5.263160784158717,0.0,11.111116630059469,-14.973266838774277,0.4629625030505781,0.456620557167895,-9.48905071380695,8.000001907348633,5.0,6.0,-2.027410315811148
01-04,0.0,-24.390242661414284,0.0,0.0,-5.263160784158717,-9.090907243657693,11.111116630059469,-16.216219873477073,4.166672461562474,1.3636350336153933,-9.48905071380695,0.0,3.0,8.0,-3.984013095939781
01-05,0.0,7.272731016490004,-22.857146992975423,0.0,-5.263160784158717,-9.090907243657693,11.111116630059469,-27.777778513637607,-6.976737223037999,1.3636350336153933,-9.48905071380695,0.0,3.0,8.0,-5.142274899259127
01-06,0.0,7.272731016490004,-22.857146992975423,0.0,-5.263160784158717,-9.090907243657693,5.882356034843122,-19.318177046115707,-4.651158148691992,2.272725056025635,-9.48905071380695,0.0,3.0,8.0,-4.603482401837311
01-07,0.0,8.88888726999726,0.0,0.0,-5.263160784158717,-9.090907243657693,5.882356034843122,-19.886358325515843,-6.976737223037999,-2.87082218479268,-15.38461961689801,-4.166662527455388,2.0,9.0,-4.072335383389663
01-08,0.0,8.88888726999726,0.0,-4.1666689949731435,-33.33333002196431,-9.090907243657693,5.882356034843122,-16.477270649114907,-5.0228261288466225,-2.3809615716916963,-10.294116486933829,3.225803350434739,3.0,8.0,-5.2307528701589225
01-09,0.0,8.88888726999726,25.531915972922498,-8.695650202114798,-33.33333002196431,-9.090907243657693,5.882356034843122,-16.477270649114907,-5.0228261288466225,-3.365392991777331,-9.48905071380695,10.156249854480844,4.0,7.0,-2.9179182349199073
01-10,0.0,35.937499126885065,2.777783296726149,-8.695650202114798,-33.33333002196431,-9.090907243657693,-5.882356034843106,-17.14285441807338,2.2831027858393536,-1.4151043126324938,-15.38461961689801,10.156249854480844,4.0,7.0,-3.3158488988543637
01-11,0.0,28.07017516341346,2.500005029141814,-8.695650202114798,-19.999999999999982,0.0,-5.882356034843106,-10.810806805239396,-10.57692484037417,-1.4151043126324938,-15.38461961689801,14.062496216501957,3.0,8.0,-2.34439878358706
01-12,0.0,31.66666997803569,-10.810808416175734,-13.636364252114102,6.666669978035689,0.0,-5.882356034843106,-19.49685133784684,0.9433953776482812,-3.3018950679290775,-15.38461961689801,11.999998092651367,4.0,7.0,-1.4363467749529875
01-13,0.0,31.66666997803569,12.765957986461249,-13.636364252114102,6.666669978035689,0.0,-5.882356034843106,-13.333335259948184,-1.886802001456624,-3.3018950679290775,-14.503821795390259,15.384610446952324,4.0,7.0,1.1616111648169665
01-14,0.0,25.454547720507108,17.02127942892154,-13.636364252114102,26.31578823536055,0.0,-5.882356034843106,-8.823527761809201,-13.20755777939627,-3.3018950679290775,-14.503821795390259,-0.7692300638503318,3.0,8.0,0.7222385524547378
01-15,0.0,0.0,25.531915972922498,-13.636364252114102,26.31578823536055,8.333331781129006,-5.882356034843106,-5.882347166332156,-7.142860944173777,-3.3018950679290775,-5.384619616898009,3.8461503192516595,4.0,7.0,1.8997286021977902
