,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,ups,downs,end_day_sum,avg
01-02,-0.09999990463256836,-0.1499999761581421,0.2900000214576721,-0.009999990463256614,-0.029999732971192294,2.4800004959106445,1.9400005340576172,-7.090000152587892,-1.25,1.6499996185302805,6.429999351501463,-0.6700000762939453,5.0,7.0,02-01,0.29083334902922336
01-03,0.0,-0.15999996662139893,0.3699999451637268,-0.060000061988830344,0.24000024795532227,2.1800003051757812,4.649999618530273,-6.460000038146973,0.0,0.10000038146972301,6.559999465942383,-0.6800003051757812,6.0,6.0,02-02,0.5616666326920189
01-04,0.0,-0.06999999284744263,0.3699999451637268,-0.11000001430511475,0.2200002670288077,1.6500005722045863,3.229999542236328,-6.690000534057617,-1.0,-0.35000038146972656,5.289999961853026,-0.8799991607666016,5.0,7.0,02-03,0.13833335041999764
01-05,0.0,-0.030000030994415394,0.3599999547004702,-0.09000003337860107,0.05000019073486328,1.5100002288818342,2.979999542236328,-7.670000076293945,-0.20000076293945312,0.39999961853027344,3.589999198913574,-0.75,6.0,6.0,02-04,0.012499819199244033
01-06,-0.3000000715255742,0.0,0.349999964237213,-0.15999996662139893,0.1700000762939453,1.2100000381469709,4.0,-7.420000076293945,0.35000038146972656,2.10000038146973,3.7799997329711914,-0.4399986267089844,7.0,5.0,02-05,0.30333348611990624
01-07,-0.31999993324279785,0.0,0.3299999237060546,-0.12999999523162842,0.22000026702880948,0.5,2.5,-6.709999084472653,1.5,1.5499992370605504,3.6400003433227575,-0.3000011444091797,7.0,5.0,02-06,0.23166663448015945
01-08,-0.4100000858306885,0.009999990463256836,0.31999993324279774,-0.039999961853027566,0.2000002861022958,0.26999950408935547,0.15999984741211293,-6.690000534057617,2.1499996185302734,-0.14999961853026988,4.550000190734867,-0.7600002288818359,7.0,5.0,02-07,-0.0325000882148733
01-09,-0.4100000858306885,0.009999990463256836,0.3299999237060546,0.09000003337860107,0.1900000572204581,-0.020000457763671875,-1.789999008178711,-6.039999008178709,1.75,-1.75,3.2899999618530256,-1.0900001525878906,6.0,6.0,02-08,-0.4533332288265229
01-10,-0.5399999618530273,0.009999990463256836,0.37000000476837147,0.13000011444091797,0.1900000572204581,-0.23000049591064453,-2.4099998474121094,-6.279999732971188,-1.1500015258789027,0.5,2.6700000762939453,-1.2000007629394531,6.0,6.0,02-09,-0.6616668403148646
01-11,-0.5,0.009999990463256836,0.4700000286102295,0.12000000476837158,0.3400001525878915,0.020000457763671875,-2.469999313354492,-6.829998970031733,-0.6200008392333984,-1.1500015258788991,3.3100004196166974,-0.8500003814697266,6.0,6.0,02-10,-0.6791666646798441
01-12,-0.31999993324279785,0.09000003337860119,0.440000057220459,0.13999998569488525,0.30999994277953924,0.4700002670288068,-1.8299999237060547,-7.620000839233398,-0.020000457763671875,-0.8000011444091797,3.5799999237060547,-1.3299999237060547,6.0,6.0,02-11,-0.574166834354401
01-13,-0.3799998760223384,0.1199999451637268,0.440000057220459,0.13999998569488525,0.25999975204467596,0.8300008773803711,-2.9099998474121094,-5.630000114440918,-0.2700004577636719,-3.4499988555908203,3.8199996948242188,-1.2300014495849645,6.0,6.0,02-12,-0.6883333573738738
01-14,-0.43000006675720215,0.039999961853027344,0.4100000262260438,0.10000002384185791,0.25999975204467596,1.130000114440918,-0.12999916076660156,-5.2599992752075195,1.7500000000000036,-3.149999618530277,4.299999237060543,-1.460000991821289,7.0,5.0,02-13,-0.20333333313465163
01-15,-0.4500000476837158,0.009999990463256836,0.04999995231628418,0.11000001430511475,0.5399999618530273,0.6500005722045898,2.8700008392333984,-5.210000038146973,1.600000381469723,-3.7999992370605504,2.8900012969970703,-2.039999008178711,8.0,4.0,02-14,-0.23166627685229044
01-16,-0.3900001049041748,0.06999999284744263,0.11000001430511475,0.039999961853027344,0.5000000000000009,0.75,2.0600013732910156,-4.9900007247924805,1.5499992370605469,-4.149999618530277,3.4099998474121094,-1.3199996948242188,8.0,4.0,02-15,-0.19666664302349113
01-17,-0.38000011444091797,0.04000002145767212,0.25,-0.039999961853027344,0.5599999427795419,0.9200000762939453,2.4300003051757812,-5.870000839233398,1.7999992370605469,-4.60000038146973,3.1000003814697266,-0.5999984741210938,7.0,5.0,02-16,-0.1991666505734128
