,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,ups,downs,end_day_sum,avg
01-02,0.0,0.43999993801116877,0.08000001311302185,-0.006999999284744277,0.0,0.0,0.0,0.008999999612569805,0.0040000006556510925,-0.04399999976158139,-0.006000012159347534,4.0,6.0,02-01,0.043272721835158026
01-03,0.0,0.3399999141693113,0.08000001311302185,-0.028999999165534973,0.0,0.0,0.0,0.008999999612569805,0.0040000006556510925,-0.04399999976158139,-0.006000012159347534,4.0,6.0,02-02,0.032181810587644556
01-04,0.0,0.28999996185302757,0.4099999964237213,-0.028999999165534973,0.0,0.0,0.0,0.008999999612569805,0.008000001311302185,-0.024999991059303256,-0.006000012159347534,4.0,6.0,02-03,0.0597272688014941
01-05,0.0,0.30000007152557373,0.4099999964237213,-0.04099999368190767,0.0,0.0,0.0,-0.005999999120831493,0.008000001311302185,-0.016999989748001126,-0.006000012159347534,3.0,7.0,02-04,0.05890909768640995
01-06,0.0,0.35000002384185813,0.4099999964237213,-0.04599999636411667,0.0,0.0,0.0,-0.005999999120831493,0.008000001311302185,0.01000000536441803,-0.078000009059906,4.0,6.0,02-05,0.05890909294513141
01-07,0.0,0.42000007629394576,0.4199999868869781,-0.04599999636411667,0.0,-0.0039999997243285205,0.0,-0.005999999120831493,0.008000001311302185,0.030000001192092896,-0.06799998879432673,4.0,6.0,02-06,0.06854546197097414
01-08,0.0,0.46000003814697243,0.3900000154972076,-0.04599999636411667,0.0,-0.0039999997243285205,0.0,-0.005999999120831493,0.008000001311302185,0.019999995827674866,-0.10499998927116388,4.0,6.0,02-07,0.06518182420933787
01-09,0.0,0.31000006198883123,0.42999997735023493,-0.0559999942779541,0.0,-0.0039999997243285205,0.0,-0.005999999120831493,0.008000001311302185,0.019999995827674866,-0.10499998927116388,4.0,6.0,02-08,0.0542727321894332
01-10,0.0,0.25999999046325684,0.42999997735023493,-0.0559999942779541,0.0,-0.0039999997243285205,0.0,-0.005999999120831493,0.008000001311302185,0.03999999165534973,-0.10499998927116388,4.0,6.0,02-09,0.051545452580533245
01-11,0.0,-0.10000002384185858,0.41999998688697815,-0.0559999942779541,0.0,-0.0039999997243285205,0.0,-0.005999999120831493,0.008000001311302185,0.03999999165534973,-0.09799998998641962,3.0,7.0,02-10,0.018545452082021616
01-12,0.0,-0.22000002861022927,0.41999998688697815,-0.0559999942779541,0.0,-0.0039999997243285205,0.0,-0.005999999120831493,0.008000001311302185,0.03999999165534973,-0.09799998998641962,3.0,7.0,02-11,0.00763636073944246
01-13,0.0,-0.4099999666213989,0.41999998688697815,-0.03399999439716338,0.0,-0.0039999997243285205,0.0,-0.005999999120831493,0.0030000004917383194,0.03999999165534973,-0.09799998998641962,3.0,7.0,02-12,-0.008090906437825068
01-14,0.0,-0.45999991893768355,0.2600000202655792,-0.03399999439716338,0.0,-0.0039999997243285205,0.0,-0.016999999061226834,0.0030000004917383194,0.019999995827674866,-0.09799998998641962,3.0,7.0,02-13,-0.029999989592893593
01-15,0.0,-0.27999997138977073,0.33000001311302196,-0.03399999439716338,0.0,-0.0039999997243285205,0.0,-0.016999999061226834,0.0030000004917383194,0.04399999976158142,-0.09899999201297754,3.0,7.0,02-14,-0.005181813019920483
01-16,0.0,-0.27999997138977073,0.33000001311302196,-0.04599999636411667,0.0,-0.0039999997243285205,0.0,-0.016999999061226834,0.0030000004917383194,0.06499999761581421,-0.060000002384185847,3.0,7.0,02-15,-0.0008181779730049192
01-17,0.0,-0.24000000953674339,0.33000001311302196,-0.04599999636411667,0.0,-0.0039999997243285205,0.0,-0.016999999061226834,0.0030000004917383194,0.06499999761581421,-0.060000002384185847,3.0,7.0,02-16,0.0028181821954521113
