,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,ups,downs,end_day_sum,avg
01-02,0.0,0.0,-0.0334155559539796,-0.05842587351799006,-0.008553341031074524,0.0,0.0,0.0,0.0,-0.028554797172546387,0.019710123538970947,1.0,9.0,02-01,-0.009930858557874511
01-03,0.0,0.0,-0.0434401035308839,-0.053751796483993586,-0.008553341031074524,0.0,0.0,0.0,0.0,-0.028554797172546387,0.019710123538970947,1.0,9.0,02-02,-0.010417264970866131
01-04,0.0,0.0,-0.0334155559539796,-0.053751796483993586,-0.014968320727348328,0.0,0.0,0.0,0.0,-0.028554797172546387,0.009855031967163086,1.0,9.0,02-03,-0.010985039851882256
01-05,0.0,0.0,-0.0334155559539796,-0.053751796483993586,-0.014968320727348328,0.0,0.0,0.0,0.0,-0.028554797172546387,0.009855031967163086,1.0,9.0,02-04,-0.010985039851882256
01-06,0.0,0.0,-0.0334155559539796,-0.08647009730339056,-0.014968320727348328,0.0,0.0,0.0,0.0,-0.028554797172546387,0.009855031967163086,1.0,9.0,02-05,-0.013959430835463799
01-07,0.0,0.0,-0.036756932735443115,-0.053751796483993586,-0.0037420690059661865,0.021718323230743408,0.0,0.0,0.0,-0.028554797172546387,0.009855031967163086,2.0,8.0,02-06,-0.008293840018185707
01-08,0.0,0.0,-0.026732444763183594,-0.08880719542503362,0.01603749394416809,0.021718323230743408,0.0,0.0,0.0,-0.028554797172546387,0.009855031967163086,3.0,7.0,02-07,-0.008771235292608093
01-09,0.0,0.0,-0.036756932735443115,-0.08296456933021551,0.01603749394416809,0.021718323230743408,0.0,0.0,0.0,-0.028554797172546387,0.009855031967163086,3.0,7.0,02-08,-0.009151404554193675
01-10,0.0,0.0,-0.06683093309402477,-0.08296456933021551,0.01603749394416809,0.021718323230743408,0.0,0.0,0.0,-0.028554797172546387,0.009855031967163086,3.0,7.0,02-09,-0.011885404586792008
01-11,0.0,0.010024666786193848,0.01670783758163452,-0.10516643524169916,0.01603749394416809,0.06515499949455261,0.0,0.0,0.0,-0.028554797172546387,0.009855031967163086,5.0,5.0,02-10,-0.00144920024004849
01-12,0.0,0.036757051944732666,-0.01670771837234508,-0.11100897192955017,0.01603749394416809,0.08687335252761846,0.0,0.0,0.0,0.0,0.009855031967163086,4.0,6.0,02-11,0.0019823854619806414
01-13,0.0,0.036757051944732666,0.0,-0.15190711617469788,0.01603749394416809,0.08687335252761846,0.0,0.0,0.0,0.0,0.009855031967163086,4.0,6.0,02-12,-0.00021674416281959724
01-14,0.0,0.036757051944732666,-0.04009854793548584,-0.15190711617469788,0.01603749394416809,0.08687335252761846,0.0,0.0,0.0,0.0,0.009855031967163086,4.0,6.0,02-13,-0.003862066702409219
01-15,0.0,0.03341549634933472,-0.06014794111251831,-0.1343792974948883,0.01603749394416809,0.08687335252761846,0.0,0.0,0.0,0.0,0.009855031967163086,4.0,6.0,02-14,-0.004395078529011115
01-16,0.0,0.05346471071243286,-0.04678165912628174,-0.12269416451454163,0.01603749394416809,0.08687335252761846,0.0,0.0,0.0,0.0,0.009855031967163086,4.0,6.0,02-15,-0.0002950213172218966
01-17,0.0,0.05346471071243286,-0.05680626630783081,-0.07595345377922064,0.01603749394416809,0.08687335252761846,0.0,0.0,0.0,0.0,0.009855031967163086,4.0,6.0,02-16,0.0030428062785755505
01-18,0.0,0.04344010353088379,0.0,-0.07595345377922064,0.01603749394416809,0.10859161615371704,0.0,0.0,0.0,0.0,0.009855031967163086,4.0,6.0,02-17,0.009270071983337397
01-19,0.0,0.060147762298583984,0.010024607181549072,-0.08179605007171631,0.022452548146247753,0.10859161615371704,0.0,0.0,0.0,0.0,0.009855031967163086,5.0,5.0,02-18,0.011752319606867694
01-20,0.0,0.060147762298583984,0.0,-0.13671636581420898,0.022452548146247753,0.08144372701644897,0.0,0.0,0.0,0.0,0.009855031967163086,4.0,6.0,02-19,0.0033802457831122556
01-21,0.0,0.060147762298583984,-0.01670771837234497,-0.13671636581420898,0.022452548146247753,0.08144372701644897,0.0,0.0,0.0,0.0,0.009855031967163086,4.0,6.0,02-20,0.0018613622947172585
01-22,0.0,0.060147762298583984,-0.01670771837234497,-0.12269413471221935,0.022452548146247753,0.08144372701644897,0.0,0.0,0.0,0.0,0.009855031967163086,4.0,6.0,02-21,0.0031361105767163163
01-23,0.0,0.05012315511703491,0.010024487972259521,-0.08647018671035761,0.022452548146247753,0.08144372701644897,0.0,0.0,0.0,0.0,0.009855031967163086,5.0,5.0,02-22,0.007948069409890603
01-24,0.0,0.06683093309402466,0.046781718730926514,-0.06543689966201782,0.022452548146247753,0.08144372701644897,0.0,0.0,0.0,0.0,0.009855031967163086,5.0,5.0,02-23,0.014720641753890288
01-25,0.0,0.026732444763183594,0.046781718730926514,-0.06543689966201782,0.022452548146247753,0.09230288863182068,0.0,0.0,0.0,0.0,0.009855031967163086,5.0,5.0,02-24,0.012062521143393073
01-26,0.0,0.026732444763183594,0.01670783758163452,-0.037392497062683105,0.022452548146247753,0.09230288863182068,0.0,0.0,0.0,0.0,0.009855031967163086,5.0,5.0,02-25,0.011878023093396957
01-27,0.0,0.026732444763183594,0.01670783758163452,-0.037392497062683105,0.022452548146247753,0.09230288863182068,0.0,0.0,0.0,0.0,0.009855031967163086,5.0,5.0,02-26,0.011878023093396957
01-28,0.0,0.026732444763183594,0.0334155559539796,-0.05375164747238159,0.022452548146247753,0.09230288863182068,0.0,0.0,0.0,0.0,0.009855031967163086,5.0,5.0,02-27,0.011909711090001192
01-29,0.0,0.01670783758163452,0.0,-0.06426817178726196,0.022452548146247753,0.09230288863182068,0.0,0.0,0.0,0.0,-0.009855091571807861,3.0,7.0,02-28,0.00521272827278483
01-30,0.0,0.026732444763183594,0.0,-0.07829046249389648,0.022452548146247753,0.09230288863182068,0.0,0.0,0.0,0.0,0.0,3.0,7.0,02-29,0.005745219913395958
01-31,0.0,0.0066831111907958984,0.02673238515853882,-0.07829046249389648,0.022452548146247753,0.09230288863182068,0.0,0.0,0.0,0.0,0.0,4.0,6.0,03-01,0.006352770057591515
02-01,0.0,0.010024666786193848,0.040098607540130615,-0.04557216167449951,0.022452548146247753,0.09230288863182068,0.0,0.0,0.0,0.0,0.0,4.0,6.0,03-02,0.010846049948172126
02-02,0.0,0.04678165912628174,0.05680626630783081,-0.06426817178726196,0.022452548146247753,0.09230288863182068,0.0,0.0,0.0,0.0,0.0,4.0,6.0,03-03,0.014006835493174457
02-03,0.0,0.04678165912628174,0.04678177833557129,-0.06426817178726196,0.022452548146247753,0.09230288863182068,0.0,0.0,0.0,0.0,0.0,4.0,6.0,03-04,0.013095518404787227
02-04,0.0,0.04678165912628174,0.03341549634933472,-0.0584256649017334,0.022452548146247753,0.07058456540107727,0.0,0.0,0.0,0.0,0.0,4.0,6.0,03-05,0.010437145829200734
02-05,0.0,0.05346471071243286,0.016707658767700195,-0.02337026596069336,0.006415054202079662,0.07058456540107727,0.0,0.0,0.0,0.0,-0.11826086044311523,4.0,6.0,03-06,0.0005037147890437632
02-06,0.0,0.020049333572387695,0.010024487972259521,-0.05492013692855835,0.006415054202079662,0.027147889137268066,0.0,0.0,0.0,0.0,-0.11826086044311523,4.0,6.0,03-07,-0.009958566589788968
02-07,0.0,0.026732444763183594,0.02004915475845337,-0.05492013692855835,0.006415054202079662,0.005429536104202215,0.0,0.0,0.0,0.0,-0.11826086044311523,4.0,6.0,03-08,-0.010414073413068613
02-08,0.0,0.03007394075393688,-0.02673238515853882,-0.014021992683410645,0.006415054202079662,0.005429536104202215,0.0,0.0,0.0,0.0,-0.11826086044311523,3.0,7.0,03-09,-0.010645155202258722
02-09,0.0,0.006683051586151123,0.04009854793548584,-0.014021992683410645,0.006415054202079662,0.005429536104202215,0.0,0.0,0.0,0.0,-0.11826086044311523,4.0,6.0,03-10,-0.006696060299873367
02-10,0.0,0.010024607181549072,0.06014794111251831,-0.053751587867736816,0.006415054202079662,0.016288667917251476,0.0,0.0,0.0,0.0,-0.11826086044311523,4.0,6.0,03-11,-0.007194197990677594
02-11,0.0,-0.010024607181549072,0.04678165912628174,-0.02337026596069347,0.006415054202079662,-0.06515502929687506,0.0,0.0,0.0,0.0,-0.11826086044311523,2.0,8.0,03-12,-0.014874004504897403
02-12,0.0,0.006683051586151123,0.04678165912628174,-0.04089808464050304,0.006415054202079662,-0.08687329292297363,0.0,0.0,0.0,0.0,-0.1082608699798584,3.0,7.0,03-13,-0.016013862057165686
02-13,0.0,0.02673238515853882,0.04678165912628174,-0.09932386875152588,0.0,-0.08687329292297363,0.0,0.002819806337356512,0.0,0.0,-0.1082608699798584,3.0,7.0,03-14,-0.019829471002925533
02-14,0.0,-0.010024607181549072,0.11695396900177002,-0.0444035530090332,0.0,-0.059725403785705566,0.0,0.002819806337356512,0.004970431327819824,0.0,-0.1082608699798584,3.0,7.0,03-15,-0.008879111571745445
02-15,0.0,-0.03341543674468994,0.08353853225708008,-0.0444035530090332,0.0,-0.059725403785705566,0.0,0.002819806337356512,0.004970431327819824,0.0,-0.1082608699798584,3.0,7.0,03-16,-0.014043317599730064
02-16,0.0,-0.05012309551239014,0.08353853225708008,-0.0666053295135497,0.0,-0.059725403785705566,0.0,0.002819806337356512,0.004970431327819824,0.18519431352615356,-0.1082608699798584,4.0,6.0,03-17,-0.0007446923039176197
02-17,0.0,-0.040098488330841064,0.056806325912475586,-0.051414787769317516,0.011760815978050343,-0.059725403785705566,0.0,0.002819806337356512,0.004970431327819824,0.18519431352615356,-0.1082608699798584,5.0,5.0,03-18,0.00018655847419393493
02-18,0.0,-0.05680626630783081,0.09022176265716542,-0.035055577754974254,0.011760815978050343,-0.059725403785705566,0.0,0.002819806337356512,0.004970431327819824,0.18519431352615356,-0.1082608699798584,5.0,5.0,03-19,0.0031926374543796935
02-19,0.0,-0.0066831111907958984,0.11695408821105957,-0.035055577754974254,0.011760815978050343,-0.059725403785705566,0.0,0.002819806337356512,0.004970431327819824,0.18519431352615356,-0.1082608699798584,5.0,5.0,03-20,0.010179499333555064
02-20,0.0,-0.0066831111907958984,0.11695408821105957,-0.05375182628631592,0.011760815978050343,-0.07058456540107727,0.0,0.002819806337356512,0.004970431327819824,0.18519431352615356,-0.1082608699798584,5.0,5.0,03-21,0.00749264386567203
02-21,0.0,-0.0066831111907958984,0.10692948102951061,-0.08179622888565063,0.011760815978050343,-0.07058456540107727,0.0,0.002819806337356512,0.004970431327819824,0.18519431352615356,-0.1082608699798584,5.0,5.0,03-22,0.004031824794682604
02-22,0.0,0.013366162776947133,0.140344798564911,-0.08179622888565063,0.011760815978050343,-0.02171835303306585,0.0,0.002819806337356512,0.004970431327819824,0.18519431352615356,-0.1082608699798584,6.0,4.0,03-23,0.013334625146605772
02-23,0.0,0.016707658767700195,0.12363708019256592,-0.08880728483200073,0.011760815978050343,-0.02171835303306585,0.0,0.002819806337356512,0.004970431327819824,0.20468848943710327,-0.1082608699798584,6.0,4.0,03-24,0.01325434310869737
02-24,0.0,0.026732265949249268,0.15705263614654552,0.8536645472049713,0.011760815978050343,-0.017875581979751587,0.0,0.002819806337356512,0.004970431327819824,0.20468848943710327,-0.3182608783245086,7.0,3.0,03-25,0.08414113927971233
02-25,0.0,0.016707658767700195,0.15036946535110474,0.8579411804676056,0.0151271671056748,-0.017875581979751587,0.0,0.002819806337356512,0.004970431327819824,0.20468848943710327,-0.3182608783245086,7.0,3.0,03-26,0.08331706713546407
02-26,0.0,0.03675699234008789,0.15036946535110474,0.853267103433609,0.0151271671056748,-0.017875581979751587,0.0,0.002819806337356512,0.004970431327819824,0.20468848943710327,-0.3182608783245086,7.0,3.0,03-27,0.08471481772986325
02-27,0.0,0.01670771837234497,-1.1314921975135803,0.8672893941402435,0.0151271671056748,-0.017875581979751587,0.0,0.002819806337356512,0.004970431327819824,0.20468848943710327,-0.3182608783245086,6.0,4.0,03-28,-0.03236596828157251
02-28,0.0,0.07685548067092896,-1.145863026380539,0.853267103433609,0.0151271671056748,-0.017875581979751587,0.0,0.002819806337356512,0.004970431327819824,0.20468848943710327,-0.3182608783245086,6.0,4.0,03-29,-0.029479182579300614
02-29,0.0,0.0,-1.1634112298488617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3182608783245086,0.0,3.0,03-30,-0.1346974643793973
03-01,0.0,0.016707777976989746,-1.1400204598903656,0.853267103433609,0.0151271671056748,-0.017875581979751587,0.0038941800594329834,0.002819806337356512,0.004970431327819824,0.20468848943710327,-0.3182608783245086,7.0,3.0,03-31,-0.03406199677423997
03-02,0.0,-0.0033415555953979492,-1.123312622308731,0.8474245965480804,0.0151271671056748,-0.017875581979751587,0.0038941800594329834,0.002819806337356512,0.004970431327819824,0.20468848943710327,-0.3182608783245086,6.0,4.0,04-01,-0.03489690612662922
03-03,0.0,-0.010024607181549072,-1.1177979409694672,0.863996684551239,0.0151271671056748,-0.017875581979751587,0.0038941800594329834,0.002819806337356512,0.004970431327819824,0.20468848943710327,-0.3182608783245086,6.0,4.0,04-02,-0.03349656814878637
03-04,0.0,0.023390769958496094,-1.1154608726501465,0.863996684551239,0.0151271671056748,-0.017875581979751587,0.0038941800594329834,0.002819806337356512,0.004970431327819824,0.20468848943710327,-0.20000001788139338,7.0,3.0,04-03,-0.019495358521288086
03-05,0.0,0.016707658767700195,-1.1131239235401154,0.863996684551239,0.0151271671056748,-0.017875581979751587,0.0038941800594329834,0.01973879337310791,0.004970431327819824,0.20468848943710327,-0.20000001788139338,7.0,3.0,04-04,-0.01835237443447112
03-06,0.0,0.026732265949249268,-1.1450018882751465,0.8859618604183197,0.0151271671056748,-0.017875581979751587,0.0038941800594329834,0.01973879337310791,0.004970431327819824,0.20468848943710327,-0.20000001788139338,7.0,4.0,04-05,-0.01834220913323488
03-07,0.0,0.02339071035385132,-1.148343563079834,0.8859618604183197,0.0151271671056748,-0.017875581979751587,0.0038941800594329834,0.01973879337310791,0.004970431327819824,0.20468848943710327,-0.20000001788139338,7.0,4.0,04-06,-0.01894977553324265
03-08,0.0,0.003341495990753063,-1.148343563079834,0.9256914556026459,0.0151271671056748,-0.017875581979751587,0.0038941800594329834,0.01973879337310791,0.004970431327819824,0.20468848943710327,-0.20000001788139338,7.0,4.0,04-07,-0.01716065000404011
03-09,0.0,-0.016707658767700195,-1.148343563079834,0.8953101336956026,0.0151271671056748,-0.017875581979751587,0.0038941800594329834,0.01973879337310791,0.004970431327819824,0.20468848943710327,-0.12000000476837158,6.0,5.0,04-08,-0.014472510326992356
03-10,0.0,-0.03341531753540039,-1.1191306412220001,0.8776688873767854,0.0151271671056748,-0.028734713792800848,0.0038941800594329834,0.01973879337310791,0.004970431327819824,0.20468848943710327,-0.12000000476837158,6.0,5.0,04-09,-0.015926611694422613
03-11,0.0,-0.053464651107788086,-1.1226361989974976,0.8739267587661744,0.0151271671056748,0.052708983421325684,0.0038941800594329834,0.0169189870357514,0.004970431327819824,0.20468848943710327,-0.12999999523162842,7.0,4.0,04-10,-0.012169622562148335
03-12,0.0,-0.016707658767700195,-1.1191306412220001,0.8739267587661744,0.0151271671056748,0.052708983421325684,0.0038941800594329834,0.0169189870357514,0.004970431327819824,0.20468848943710327,-0.12999999523162842,7.0,4.0,04-11,-0.00850939073345876
03-13,0.0,0.026732265949249268,-1.172267198562622,0.9323525428771973,0.0151271671056748,0.052708983421325684,0.0038941800594329834,0.0169189870357514,0.06177547574043274,0.20468848943710327,-0.12999999523162842,8.0,3.0,04-12,0.0010846270756288108
03-14,0.0,0.026732265949249268,-1.1746042668819427,0.9405320882797241,0.0151271671056748,0.052708983421325684,0.0038941800594329834,0.0169189870357514,0.056805044412612915,0.019494175910949707,-0.12999999523162842,8.0,3.0,04-13,-0.015671942721713662
03-15,0.0,0.02339082956314087,-1.2314107120037079,0.9253415465354919,0.003366351127624456,0.052708983421325684,0.0038941800594329834,0.0169189870357514,0.056805044412612915,0.019494175910949707,-0.12999999523162842,8.0,3.0,04-14,-0.023590055379000576
03-16,0.0,0.06014770269393921,-1.258143037557602,0.9089823365211487,0.003366351127624456,0.052708983421325684,0.0038941800594329834,0.0169189870357514,0.056805044412612915,0.019494175910949707,-0.12999999523162842,8.0,3.0,04-15,-0.024165933782404118
03-17,0.0,0.05012303590774536,-1.2558059692382812,0.9196740388870239,0.003366351127624456,0.052708983421325684,0.0038941800594329834,0.0169189870357514,0.056805044412612915,0.019494175910949707,-0.12999999523162842,8.0,3.0,04-16,-0.023892833427949386
03-18,0.0,0.05012303590774536,-1.2546375095844269,0.9282273948192596,0.003366351127624456,0.052708983421325684,0.0038941800594329834,0.0169189870357514,0.056805044412612915,0.019494175910949707,-0.12999999523162842,8.0,3.0,04-17,-0.023009032011032104
03-19,0.0,0.05012303590774536,-1.2511320114135742,0.9250199198722839,0.003366351127624456,0.052708983421325684,0.0038941800594329834,0.0169189870357514,0.056805044412612915,0.019494175910949707,-0.12999999523162842,8.0,3.0,04-18,-0.022981938990679653
03-20,0.0,0.05012303590774536,-1.2411074042320254,0.9281894862651825,0.003366351127624456,0.0038427710533142645,0.0038941800594329834,0.0169189870357514,0.06390568614006042,0.019494175910949707,-0.12999999523162842,8.0,3.0,04-19,-0.025579338723962973
03-21,0.0,0.04343998432159424,-1.2745227217674258,0.9515596926212311,0.003366351127624456,0.0038427710533142645,0.0038941800594329834,0.0169189870357514,0.06390568614006042,0.0,0.0800000131130218,8.0,3.0,04-20,-0.009781368754126829
03-22,0.0,0.023390710353851207,-1.2678395509719849,0.009087860584259033,0.003366351127624456,0.0038427710533142645,0.0038941800594329834,0.011279314756393488,0.06390568614006042,0.0,0.0800000131130218,8.0,3.0,04-21,-0.0971884239803661
03-23,0.0,0.020049214363098145,-1.2678395509719849,0.006415009498596191,0.003366351127624456,0.0038427710533142645,0.0038941800594329834,0.011279314756393488,0.06390568614006042,0.0,0.0800000131130218,8.0,3.0,04-22,-0.09773518280549483
03-24,0.0,0.020049214363098145,0.01402211189270014,0.006415009498596191,0.003366351127624456,0.0,0.0038941800594329834,0.011279314756393488,0.06390568614006042,0.0,0.0800000131130218,8.0,3.0,04-23,0.018448352813720693
03-25,0.0,0.040098488330841064,0.01402211189270014,0.012295454740524292,0.0,0.0,0.0038941800594329834,0.011279314756393488,0.06390568614006042,0.0,0.0800000131130218,7.0,4.0,04-24,0.020499568093906743
