,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,ups,downs,avg
01-02,-13.461537579812916,14.102558812210821,14.814815359896155,16.00000262260437,33.33333333333334,28.57142781116525,-39.9999985098839,33.33333333333333,66.66666666666666,-25.00000465661298,0.0,0.0,7.0,5.0,10.696716432741676
01-03,-13.461537579812916,14.102558812210821,13.750001583248364,16.00000262260437,33.33333333333334,28.57142781116525,-39.9999985098839,33.33333333333333,71.42857218883475,-25.00000465661298,0.0,0.0,7.0,5.0,11.004807411535035
01-04,-13.461537579812916,14.102558812210821,23.076926603825022,16.00000262260437,33.33333333333334,0.0,-39.9999985098839,33.33333333333333,66.66666666666666,-25.00000465661298,0.0,-49.999999999999986,6.0,6.0,4.837606718805312
01-05,-13.461537579812916,14.102558812210821,25.581398250090825,16.00000262260437,33.33333333333334,16.666663562258005,-39.9999985098839,33.33333333333333,66.66666666666666,-25.00000465661298,0.0,0.0,7.0,5.0,10.601867986182297
01-06,-13.461537579812916,14.102558812210821,22.093022611090927,16.00000262260437,33.33333333333334,16.666663562258005,-39.9999985098839,33.33333333333333,66.66666666666666,-25.00000465661298,0.0,0.0,7.0,5.0,10.311170016265637
01-07,-13.461537579812916,6.410250532086098,24.418608680681704,7.999998331069924,33.33333333333334,16.666663562258005,-39.9999985098839,33.33333333333333,57.14285828325213,-25.00000465661298,0.0,0.0,7.0,5.0,8.403625442475395
01-08,-13.461537579812916,6.410250532086098,24.13792843578641,7.999998331069924,33.33333333333334,28.57142781116525,-39.9999985098839,-33.33333333333335,57.14285828325213,-25.00000465661298,0.0,0.0,6.0,6.0,3.816743553920834
01-09,1.9230751596258298,6.410250532086098,23.255812180500048,11.53845668897101,24.99999534338703,28.57142781116525,-19.999995529651695,-300.0,57.14285828325213,-25.00000465661298,0.0,0.0,7.0,5.0,-15.929843682273107
01-10,1.9230751596258298,6.410250532086098,25.842692490524538,11.53845668897101,24.99999534338703,28.57142781116525,-19.999995529651695,-300.0,57.14285828325213,-25.00000465661298,0.0,-49.999999999999986,7.0,5.0,-19.88093698977106
01-11,1.9230751596258298,6.410250532086098,24.99999661337244,7.999998331069924,24.99999534338703,42.857144377669506,-19.999995529651695,-300.0,57.14285828325213,-25.00000465661298,0.0,-49.999999999999986,7.0,5.0,-19.055556795483472
01-12,1.9230751596258298,0.0,15.47619039171677,7.999998331069924,24.99999534338703,42.857144377669506,-19.999995529651695,-300.0,42.857144377669506,-25.00000465661298,0.0,-49.999999999999986,6.0,6.0,-21.57387101709384
01-13,1.9230751596258298,0.0,10.714282926653432,7.999998331069924,24.99999534338703,42.857144377669506,-19.999995529651695,-300.0,28.57142781116525,-25.00000465661298,0.0,-49.999999999999986,6.0,6.0,-23.161173019724473
01-14,1.9230751596258298,0.0,11.90475801897145,-8.695650202114786,9.999997764825855,42.857144377669506,-19.999995529651695,-300.0,42.857144377669506,-25.00000465661298,0.0,-49.999999999999986,5.0,7.0,-24.512794224134776
01-15,1.9230751596258298,0.0,-4.87805143982653,-8.695650202114786,9.999997764825855,28.57142781116525,-19.999995529651695,-300.0,42.857144377669506,-25.00000465661298,0.0,-49.999999999999986,4.0,8.0,-27.101838059576632
01-16,0.0,0.0,-2.3809572804273027,-8.695650202114786,0.0,28.57142781116525,0.0,-199.99999999999994,42.857144377669506,-25.00000465661298,0.0,-49.999999999999986,2.0,10.0,-17.88733666252669
01-17,0.0,0.0,-1.1764694332664312,-8.695650202114786,-9.999997764825869,28.57142781116525,-19.999995529651695,-199.99999999999994,42.857144377669506,0.0,0.0,-49.999999999999986,2.0,10.0,-18.20362839508533
01-18,0.0,-41.81817354249578,-2.3809572804273027,-13.04347206378938,-9.999997764825869,28.57142781116525,-19.999995529651695,-199.99999999999994,42.857144377669506,0.0,0.0,-49.999999999999986,2.0,10.0,-22.1511686660296
01-19,0.0,-41.81817354249578,-2.3255791388182447,-8.695650202114786,-29.999993294477562,28.57142781116525,-19.999995529651695,-199.99999999999994,42.857144377669506,0.0,0.0,-49.999999999999986,2.0,10.0,-23.45090162656027
01-20,-8.333331781128996,-44.4444334065477,1.1627895694091224,-13.04347206378938,-29.999993294477562,28.57142781116525,-19.999995529651695,-199.99999999999994,42.857144377669506,0.0,0.0,-49.999999999999986,3.0,9.0,-24.43582202644595
01-21,-8.333331781128996,-44.4444334065477,-1.1627895694091224,-13.04347206378938,-29.999993294477562,28.57142781116525,-19.999995529651695,-199.99999999999994,42.857144377669506,-33.33333333333335,0.0,-49.999999999999986,2.0,10.0,-27.40739806579192
01-22,-8.333331781128996,-44.4444334065477,3.4883756389999006,-13.04347206378938,-29.999993294477562,0.0,-19.999995529651695,-199.99999999999994,33.33333333333333,-33.33333333333335,0.0,-49.999999999999986,2.0,10.0,-30.19440420304962
01-23,-8.333331781128996,-44.4444334065477,4.597703590624888,-13.04347206378938,-29.999993294477562,0.0,-19.999995529651695,-49.999999999999986,33.33333333333333,-33.33333333333335,0.0,-49.999999999999986,2.0,10.0,-17.601960207080868
01-24,-8.333331781128996,-44.4444334065477,1.1904750923180183,-13.04347206378938,-29.999993294477562,0.0,0.0,-49.999999999999986,-25.00000465661298,-33.33333333333335,0.0,-49.999999999999986,1.0,11.0,-21.08034112029766
01-25,-23.809523133734164,-62.4999976716935,-14.864866606417648,-13.04347206378938,-19.999995529651724,0.0,0.0,-49.999999999999986,16.666663562258005,-33.33333333333335,0.0,-49.999999999999986,1.0,11.0,-20.907043731363476
01-26,-20.930226110909274,-62.4999976716935,-14.666668574015299,-8.695650202114786,-19.999995529651724,0.0,0.0,-49.999999999999986,16.666663562258005,-66.666672875484,0.0,-49.999999999999986,1.0,11.0,-23.066045616800878
01-27,-20.930226110909274,-62.4999976716935,-6.6666682561238755,-8.695650202114786,-19.999995529651724,0.0,0.0,-49.999999999999986,0.0,-66.666672875484,0.0,-49.999999999999986,0.0,12.0,-23.788267553831428
01-28,-20.930226110909274,-62.4999976716935,-8.000000317891438,-4.1666689949731435,-19.999995529651724,12.49999767169351,0.0,-49.999999999999986,0.0,-25.00000465661298,0.0,0.0,1.0,11.0,-14.841407967503214
01-29,-20.930226110909274,-62.4999976716935,-1.2658215432457103,-4.1666689949731435,-19.999995529651724,12.49999767169351,0.0,-49.999999999999986,-19.999995529651695,0.0,0.0,-49.999999999999986,1.0,11.0,-18.03022564236929
01-30,-20.930226110909274,-62.4999976716935,2.4390220854836606,0.0,-19.999995529651724,37.499997671693514,0.0,-49.999999999999986,-19.999995529651695,0.0,0.0,0.0,2.0,10.0,-11.124266257060752
01-31,-20.930226110909274,-62.4999976716935,1.2345667202249828,0.0,-19.999995529651724,25.00000000000001,0.0,-49.999999999999986,-39.9999985098839,0.0,0.0,-49.999999999999986,2.0,10.0,-18.099637591826113
02-01,-20.930226110909274,-62.4999976716935,-10.975613922394883,0.0,-19.999995529651724,25.00000000000001,16.666663562258005,-49.999999999999986,-19.999995529651695,0.0,0.0,-49.999999999999986,2.0,10.0,-16.06159710017025
02-02,-20.930226110909274,-62.4999976716935,-8.860758347611412,0.0,-33.33332505491079,25.00000000000001,16.666663562258005,-49.999999999999986,-39.9999985098839,0.0,0.0,-49.999999999999986,2.0,10.0,-18.663136844395904
02-03,-20.930226110909274,-85.71428470060125,-10.126579890857109,0.0,-9.090907243657693,25.00000000000001,0.0,-49.999999999999986,-39.9999985098839,0.0,0.0,-49.999999999999986,1.0,11.0,-20.071833037992434
02-04,-20.930226110909274,-85.71428470060125,-8.860758347611412,-3.9999961853027344,-9.090907243657693,25.00000000000001,0.0,50.0,-39.9999985098839,0.0,0.0,-49.999999999999986,2.0,10.0,-11.966347591497188
02-05,-20.930226110909274,-85.71428470060125,-11.24999655410651,-13.04347206378938,-9.090907243657693,30.00000074505805,0.0,50.0,-39.9999985098839,-33.33333333333335,0.0,0.0,2.0,10.0,-11.113518147601944
02-06,-20.930226110909274,-85.71428470060125,-17.105262745120182,-13.04347206378938,-50.00000000000002,30.00000074505805,0.0,50.0,-39.9999985098839,-33.33333333333335,0.0,0.0,2.0,10.0,-15.010548059881609
02-07,-20.930226110909274,-85.71428470060125,-15.584416589722485,-13.04347206378938,-50.00000000000002,30.00000074505805,0.0,50.0,-39.9999985098839,0.0,0.0,0.0,2.0,10.0,-12.106033102487357
02-08,-20.930226110909274,-85.71428470060125,-11.392401434102805,-8.695650202114786,-50.00000000000002,30.00000074505805,0.0,50.0,-39.9999985098839,0.0,0.0,0.0,2.0,10.0,-11.394380017712834
