,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,ups,downs,end_day_sum,avg
01-02,-2.259998321533203,0.75,-3.5700035095214844,0.6399993896484304,0.37000274658202414,-1.149993896484375,-5.25,-8.71999740600586,0.0099945068359375,4.510002136230469,11.229995727539062,-7.810005187988281,6.0,6.0,02-01,-0.93750031789144
01-03,-2.2899971008300852,-0.11999893188477273,-3.4000015258789062,0.17000198364257102,-0.37999725341797586,-0.5799942016601562,-3.240001678466804,-8.040000915527344,0.40999603271484375,4.440002441406236,10.709999084472656,-7.3000030517578125,4.0,8.0,02-02,-0.8016662597656291
01-04,-2.9799995422363352,-0.07999801635742898,-2.1899986267089844,-2.259998321533203,-0.45000076293946023,-0.18000030517579546,-3.3199996948242188,-8.91999816894532,-1.2000045776367188,4.6700057983398295,8.719993591308594,-5.649993896484375,2.0,10.0,02-03,-1.153332710266118
01-05,-3.80999755859375,-0.3300018310546875,-3.490001678466804,-3.8499984741210938,0.4399986267089844,-0.4700012207031392,-1.7099990844726491,-9.439998626708984,-0.6100006103515625,4.600006103515611,6.0500030517578125,-7.159996032714844,3.0,9.0,02-04,-1.6483322779337588
01-06,-6.389999389648445,-0.49000167846678977,-2.9300003051757955,-3.450000762939453,0.8199996948242188,-1.5100021362304759,1.8800010681152344,-7.30999755859375,-1.2600021362304688,5.379997253417969,6.090003967285156,-6.569999694824219,4.0,8.0,02-05,-1.3116668065389014
01-07,-3.539997100830078,-2.3800010681152273,-1.5400009155273509,-4.310001373291016,0.48999786376953125,-0.9399986267089844,-0.13000106811524148,-6.829998016357429,-1.2700042724609375,3.8799972534179688,7.69000244140625,-5.470001220703125,3.0,9.0,02-06,-1.1958338419596366
01-08,-3.9899978637695312,-3.2900009155273366,-2.2600021362304688,-3.490001678466797,2.0300025939941335,-1.6800041198730398,-0.5699996948242188,-5.9699974060058665,0.35999298095703125,0.43000030517578125,7.299995422363281,-4.659996032714844,4.0,8.0,02-07,-1.3158340454101562
01-09,-1.6800003051757812,-3.6599998474121165,-2.5699996948242188,-4.240001678466797,1.5999984741210866,-1.7299995422363352,1.0600013732910085,-4.709999084472656,-0.0500030517578125,-0.06999969482424717,6.650001525878906,-4.470001220703125,3.0,9.0,02-08,-1.155833562215174
01-10,0.3599967956542969,-3.479999542236321,-2.1000022888183594,-5.990001678466797,1.1399993896484304,-1.2500038146972585,3.1200027465820312,-5.509998321533203,-0.75,-1.0100021362304545,7.0,-3.5999984741210938,4.0,8.0,02-09,-1.005833943684894
01-11,2.819999694824226,-4.030002593994141,-1.9199981689453054,-5.220001220703118,1.4499969482421804,-0.6300010681152344,4.060001373291016,-6.540000915527344,-2.4599990844726562,-2.5400009155273153,7.5500030517578125,-5.2100067138671875,4.0,8.0,02-10,-1.0558341344197555
