,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,ups,downs,end_day_sum,avg
01-02,-1.3300981521606445,-0.46763706207275213,0.3572063446044922,1.357879638671875,1.014165878295902,-0.3396835327148402,-0.11062431335449219,0.34788322448730824,-0.5154800415039062,1.7385902404785085,3.4197998046875,0.47418212890625,7.0,5.0,02-01,0.49551534652710005
01-03,0.4720144271850586,-0.46763706207275213,0.7006797790527344,1.3939990997314453,1.014165878295902,-0.3396835327148402,-0.11062431335449219,0.8367996215820348,-0.5154800415039062,4.789833068847656,3.659332275390625,0.5696144104003906,8.0,4.0,02-02,1.0002511342366547
01-04,0.4720144271850586,0.4446125030517578,0.7006797790527344,2.47792816162109,1.014165878295902,-0.5328960418701136,0.1325302124023402,0.8367996215820348,-0.5154800415039062,4.0831298828125,3.3368797302246094,0.8368301391601491,10.0,2.0,02-03,1.1072661876678465
01-05,0.4720144271850586,0.4446125030517578,0.7006797790527344,2.47792816162109,1.9532012939453125,0.5200786590576172,0.1325302124023402,0.9210987091064489,-0.5154800415039062,4.0831298828125,4.682670593261719,0.43228912353514914,11.0,1.0,02-04,1.3587294419606517
01-06,0.1977691650390625,0.2817144393920916,0.7006797790527344,2.47792816162109,1.9532012939453125,-0.1429004669189453,-0.044038772583011365,0.9210987091064489,-0.5154800415039062,1.7035560607910156,2.2472267150878906,2.1853141784667898,9.0,3.0,02-05,0.9971724351247144
01-07,0.30901050567626775,0.5385789871215838,0.7006797790527344,3.772045135498047,1.9907665252685547,-0.1429004669189453,0.036228179931640625,0.29503440856933594,1.3192558288574219,1.6945419311523438,2.2472267150878906,2.1853141784667898,11.0,1.0,02-06,1.2454818089803055
01-08,0.5562219619750941,0.2174997329711914,0.8724117279052699,3.772045135498047,1.9682292938232422,-0.579696655273434,0.036228179931640625,0.29503440856933594,1.2318840026855469,1.6945419311523438,2.0450210571289062,1.8686065673828125,11.0,1.0,02-07,1.1648356119791663
01-09,0.4635143280029279,2.1307630538940376,0.8380622863769496,3.772045135498047,0.9014797210693324,-0.579696655273434,0.27699470520019176,0.5900592803955078,1.2318840026855469,1.6945419311523438,1.3478584289550852,1.3966407775878906,11.0,1.0,02-08,1.1720122496287022
01-10,0.4635143280029279,1.1533460617065394,1.1471843719482422,3.7359180450439453,0.9014797210693324,-0.579696655273434,0.07634735107421164,1.0536880493164062,1.2318840026855469,1.6945419311523438,0.9295578002929688,1.3966407775878906,11.0,1.0,02-09,1.1003671487172435
01-11,2.317585945129391,1.446574211120602,1.1471843719482422,3.4685497283935547,2.065889358520508,0.24959182739257812,0.07634735107421164,1.0536880493164062,-0.6115798950195312,1.3520278930664062,1.3943405151367188,1.1943740844726562,11.0,1.0,02-10,1.2628811200459786
01-12,2.317585945129391,0.8275413513183594,0.982315063476566,3.4685497283935547,2.065889358520508,0.17159461975097656,0.07634735107421164,1.0536880493164062,1.9745216369628906,0.5768623352050781,2.2309455871582102,0.7223968505859375,12.0,0.0,02-11,1.372353156407674
01-13,0.49441909790038885,0.7819261550903303,0.982315063476566,3.4685497283935547,2.065889358520508,0.3665904998779297,0.4214630126953054,0.7586536407470703,1.5289421081542969,0.12619400024414062,4.526954650878906,1.3966407775878906,12.0,0.0,02-12,1.4098781744639073
01-14,0.49441909790038885,0.7819261550903303,0.982315063476566,4.364589691162113,2.065889358520508,0.3665904998779297,0.14589309692382102,0.7586536407470703,1.5289421081542969,-0.09915542602539062,2.742198944091797,1.4929618835449219,11.0,1.0,02-13,1.3021020094553626
01-15,0.0308990478515625,0.1628980636596662,0.8930091857910121,4.2995605468749964,2.065889358520508,0.11699867248535156,0.14589309692382102,1.0536880493164062,1.5289421081542969,-0.3244895935058594,3.495136260986328,1.3773765563964915,11.0,1.0,02-14,1.2371501127878817
01-16,0.0308990478515625,0.9252824783325178,0.8930091857910121,4.2995605468749964,2.1034450531005895,0.11699867248535156,-0.20261955261230824,1.0536880493164062,2.1842117309570312,-0.3244895935058594,3.495136260986328,1.3773765563964915,10.0,2.0,02-15,1.32937486966451
01-17,0.9270315170288086,0.9252824783325178,0.8930091857910121,4.2995605468749964,2.1034450531005895,0.7799777984619141,-0.20261955261230824,0.29503440856933594,2.1842117309570312,-1.3520317077636719,4.248081207275391,0.8090858459472727,10.0,2.0,02-16,1.325839042663574
01-18,0.9579353332519549,0.9252824783325178,0.8930091857910121,3.4324245452880824,2.1034450531005895,1.0919723510742223,-0.20261955261230824,0.29503440856933594,2.1842117309570312,-0.45068359375,4.248081207275391,1.3292121887207102,10.0,2.0,02-17,1.4006087779998782
01-19,0.9579353332519549,0.9252824783325178,1.1540508270263672,3.4324245452880824,1.1268444061279297,1.0919723510742223,-0.20261955261230824,0.29503440856933594,2.8394813537597656,-0.45068359375,3.504436492919922,1.3003196716308594,10.0,2.0,02-18,1.3312065601348875
01-20,0.9579353332519549,0.8145046234130859,0.8930091857910121,3.685337066650387,1.1268444061279297,1.0919723510742223,-0.4052486419677699,0.2528820037841797,2.8394813537597656,-1.8027000427246094,3.504436492919922,1.3003196716308594,10.0,2.0,02-19,1.1882311503092449
01-21,0.9579353332519549,0.9578628540039062,1.0853557586669922,2.384628295898434,1.1268444061279297,0.31199455261230824,-0.24314689636230824,0.2528820037841797,2.271575927734375,-1.8027000427246094,3.504436492919922,1.3003196716308594,10.0,2.0,02-20,1.0089990297953286
01-22,-0.40170955657958984,1.023023605346678,0.6731929779052734,2.4930191040039062,1.1268444061279297,0.9749889373779332,-0.2026214599609517,-0.8007946014404297,2.271575927734375,-1.8027000427246094,2.2030563354492188,1.3003196716308594,8.0,4.0,02-21,0.7381829420725494
01-23,-0.40170955657958984,1.0425748825073224,0.6525917053222621,2.4930191040039062,1.4198303222656214,1.0919857025146484,-0.24314689636230824,-1.3487148284912074,2.271575927734375,-1.8027000427246094,3.011768341064453,1.3003196716308594,8.0,4.0,02-22,0.7906161944071445
01-24,-0.3708066940307635,1.4661245346069336,0.44651031494140625,-0.03612709045411222,1.3296833038330007,0.039011001586917615,-0.5268211364746094,-0.8007946014404297,1.7473678588867188,-1.0455665588378906,3.0210685729980398,1.3003196716308594,7.0,5.0,02-23,0.5474974314371726
01-25,-0.3708066940307635,1.4661245346069336,-0.3434658050537074,2.4930191040039062,1.3296833038330007,-0.42897605895996094,-0.5268211364746094,-0.1685867309570419,1.7473678588867188,-0.23435211181640625,3.0210685729980398,1.5411186218261648,6.0,6.0,02-24,0.7937811215718562
01-26,0.15451622009276988,1.4661245346069336,0.1717395782470703,2.4930191040039062,-0.07512283325196023,-0.42897605895996094,-0.5268211364746094,1.121118545532216,1.3105316162109375,-0.0090179443359375,2.4633293151855398,1.5892753601074148,8.0,4.0,02-25,0.8108096917470267
01-27,0.9270401000976545,1.609482765197754,0.1717395782470703,2.4930191040039062,-0.07512283325196023,-0.42897605895996094,-0.08104705810546875,1.2054233551025284,1.3105316162109375,0.0,2.2309379577636648,1.5411186218261648,8.0,4.0,02-26,0.9086789290110242
01-28,1.1433486938476545,1.5638694763183576,0.1717395782470703,2.4930191040039062,-0.10517120361328125,-0.42897605895996094,0.04052543640137074,1.2054233551025284,0.873687744140625,0.0,2.6957130432128835,2.562110900878899,9.0,3.0,02-27,1.017940839131671
01-29,0.8343372344970685,1.5638694763183576,0.4465045928955078,2.384628295898434,0.7512321472167933,0.6239986419677699,0.04052543640137074,0.7165069580078018,-1.0921134948730469,-0.13520050048828125,2.370372772216797,2.408000946044922,10.0,2.0,02-28,0.9093885421752912
01-30,0.8343372344970685,0.6516199111938477,0.3434638977050781,2.384628295898434,0.7512321472167933,0.6239986419677699,-0.20262908935546164,-0.4130458831787145,-1.0921134948730469,-0.13520050048828125,0.46477508544921875,2.408000946044922,8.0,4.0,02-29,0.5515889326731357
01-31,1.2360506057739258,0.0,0.3434638977050781,2.3485088348388636,-0.1878032684326172,-0.42897605895996094,-0.20262908935546164,0.7165069580078018,-1.0921134948730469,-2.613922119140625,-0.65069580078125,2.812541961669922,5.0,7.0,03-01,0.1900777022043858
02-01,1.7304630279541016,0.8145151138305646,0.3434638977050781,1.2645797729492188,-0.1878032684326172,0.23400306701660156,-0.20262908935546164,0.8345260620117188,0.0,-0.23434829711914062,1.7847480773925781,1.0595169067382812,8.0,4.0,03-02,0.620086272557577
