,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,ups,downs,end_day_sum,avg
01-02,0.0,0.010000005364418002,0.0,0.0,0.0,0.0,-0.02000001072883606,0.05000001192092918,0.0,0.0,0.04000002145767212,3.0,7.0,02-01,0.007272729819471204
01-03,0.0,0.010000005364418002,0.0,0.0,0.0,0.0,-0.02000001072883606,0.05000001192092918,0.030000030994415283,0.0,0.04000002145767212,4.0,6.0,02-02,0.010000005364418047
01-04,0.0,0.010000005364418002,0.0,0.0,0.0,0.0,-0.02000001072883606,0.05000001192092918,0.030000030994415283,0.0,0.04000002145767212,4.0,6.0,02-03,0.010000005364418047
01-05,0.0,0.010000005364418002,0.0,0.0,0.0,0.0,-0.06000000238418579,0.05000001192092918,0.030000030994415283,0.0,0.050000011920928955,4.0,6.0,02-04,0.007272732528773238
01-06,0.0,0.010000005364418002,0.0,0.0,0.0,0.0,-0.06000000238418579,0.05000001192092918,0.030000030994415283,0.0,0.050000011920928955,4.0,6.0,02-05,0.007272732528773238
01-07,0.0,0.010000005364418002,0.0,0.0,0.0,0.0,-0.06000000238418579,0.05000001192092918,0.030000030994415283,0.0,0.050000011920928955,4.0,6.0,02-06,0.007272732528773238
01-08,0.0,0.010000005364418002,0.0,0.0,0.0,0.0,-0.06000000238418579,0.05000001192092918,0.030000030994415283,-0.20999997854232788,0.050000011920928955,4.0,6.0,02-07,-0.011818174611438387
01-09,0.0,0.010000005364418002,0.0,0.0,0.0,0.0,-0.06000000238418579,0.05000001192092918,0.010000050067901611,-0.20999997854232788,0.050000011920928955,4.0,6.0,02-08,-0.013636354695666902
01-10,0.0,0.010000005364418002,0.0,0.0,0.0,0.0,-0.06000000238418579,0.05000001192092918,0.010000050067901611,-0.20999997854232788,0.050000011920928955,4.0,6.0,02-09,-0.013636354695666902
01-11,0.0,0.010000005364418002,0.0,0.0,0.0,0.0,-0.06000000238418579,0.02000004053115878,0.010000050067901611,-0.20999997854232788,0.050000011920928955,4.0,6.0,02-10,-0.016363624822009665
01-12,0.0,0.010000005364418002,0.0,0.0,0.0,0.0,-0.02000001072883606,0.02000004053115878,0.010000050067901611,-0.20999997854232788,0.050000011920928955,4.0,6.0,02-11,-0.0127272619442506
01-13,0.0,0.0,0.0,0.0,0.0,0.0,-0.02000001072883606,0.02000004053115878,0.010000050067901611,-0.20999997854232788,0.050000011920928955,3.0,7.0,02-12,-0.013636353341015872
01-14,0.0,0.0,0.0,0.0,0.0,0.0,-0.02000001072883606,0.02000004053115878,0.010000050067901611,-0.20999997854232788,0.050000011920928955,3.0,7.0,02-13,-0.013636353341015872
01-15,0.0,0.0,0.0,0.0,0.0,0.0,-0.02000001072883606,0.02000004053115878,0.010000050067901611,-0.20999997854232788,0.050000011920928955,3.0,7.0,02-14,-0.013636353341015872
01-16,0.0,0.0,0.0,0.0,0.0,0.0,-0.010000020265579224,0.02000004053115878,0.010000050067901611,-0.20999997854232788,0.050000011920928955,3.0,7.0,02-15,-0.012727263298901614
01-17,0.0,0.0,0.0,0.0,0.0,0.0,-0.010000020265579224,0.02000004053115878,0.010000050067901611,-0.20999997854232788,0.050000011920928955,3.0,7.0,02-16,-0.012727263298901614
01-18,0.0,0.0,0.0,0.0,0.0,0.0,-0.010000020265579224,-0.010000050067901611,0.010000050067901611,-0.20999997854232788,0.050000011920928955,2.0,8.0,02-17,-0.015454544262452559
01-19,0.0,0.0,0.0,0.0,0.0,0.0,-0.010000020265579224,-0.010000050067901611,0.010000050067901611,-0.20999997854232788,0.050000011920928955,2.0,8.0,02-18,-0.015454544262452559
01-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.010000050067901611,-0.019999980926513672,-0.20999997854232788,0.050000011920928955,1.0,9.0,02-19,-0.01727272705598311
01-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.010000050067901611,-0.030000030994415283,-0.20999997854232788,0.050000011920928955,1.0,9.0,02-20,-0.01818182251670144
01-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.010000050067901611,-0.019999980926513672,-0.20999997854232788,0.07000002264976501,1.0,9.0,02-21,-0.015454544262452559
01-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.010000050067901611,-0.019999980926513672,-0.20999997854232788,0.07000002264976501,1.0,9.0,02-22,-0.015454544262452559
