,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,ups,downs,avg
01-02,17.647058823529413,0.0,-10.81080680523942,16.666664459087183,0.0,-32.75862122120672,14.2857082036075,-39.99999761581421,-14.285711244660995,-11.111108351636926,64.70588351306617,0.0,4.0,8.0,0.36158914672766684
01-03,25.287354683872852,11.68830702368766,-10.81080680523942,16.666664459087183,-5.263159215615425,-27.586212212067167,19.047615668670826,-39.99999761581421,11.111116630059469,0.0,58.82352966957026,0.0,6.0,6.0,4.913701023851003
01-04,30.107528315153875,2.857140132359096,-16.216219873477073,18.9189199638506,0.0,-13.559329910410172,19.047615668670826,-45.833334109435484,11.764703304297399,0.0,58.82352966957026,5.882356034843122,7.0,5.0,5.982742432951871
01-05,28.571431565696315,4.477607797583034,-7.692300168250142,5.405406624492365,0.0,-13.559329910410172,19.047615668670826,-41.66667132327962,5.882356034843122,9.090907243657705,20.000002980232196,5.882356034843122,8.0,4.0,2.9532818790065622
01-06,35.41667121979907,9.230767763577962,-7.692300168250142,0.0,0.0,-24.07407223442462,19.047615668670826,-24.000000953674316,5.882356034843122,0.0,27.272728504228215,5.882356034843122,6.0,6.0,3.913843489134436
01-07,43.925232645288496,1.538460071270269,-10.256412450927074,-8.108106714865869,0.0,-25.925922246627014,23.809523133734164,-3.9999961853027344,5.882356034843122,-37.50000232830651,38.46153757981291,-14.285711244660995,5.0,7.0,1.128413191188231
01-08,48.59812992484779,1.538460071270269,-10.256412450927074,-5.263159215615425,0.0,-37.99999952316284,14.2857082036075,-3.9999961853027344,5.882356034843122,0.0,16.666663562258023,0.0,5.0,7.0,2.454312535151552
01-09,49.532708489475226,-4.615387549767128,-10.256412450927074,-8.108106714865869,-5.263159215615425,-32.00000524520874,0.0,-8.000004291534445,5.882356034843122,9.090907243657705,33.33333333333334,-6.250003492459733,4.0,8.0,1.945518845077582
01-10,60.909089175137595,-9.67742580528954,-10.256412450927074,-5.263159215615425,-5.263159215615425,-36.000001430511475,9.523807834335413,-8.000004291534445,23.809523133734164,18.1818144873154,33.33333333333334,-6.250003492459733,5.0,7.0,5.4206168384919
01-11,63.247861018512765,-13.33333651224772,-5.1282001121668035,-11.111114054550423,-5.263159215615425,-14.999995032946467,9.523807834335413,-8.000004291534445,14.2857082036075,0.0,24.99999534338703,0.0,4.0,8.0,4.518463598398451
