,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,ups,downs,end_day_sum,avg
01-02,-1.6300001144409215,-1.0100002288818342,-0.9900007247924822,-0.6299991607666016,0.7100000381469762,-0.48000049591064275,0.6199998855590803,0.30000019073486506,-0.07000064849853338,0.5300006866455078,0.6700000762939489,-0.5699996948242188,5.0,7.0,02-01,-0.21250001589457135
01-03,-1.8399991989135742,-1.0399999618530256,-0.8299999237060547,-0.5799999237060547,0.9900007247924822,-0.5799999237060511,1.0700006484985334,0.6099996566772479,-0.050000190734861505,0.5100002288818359,0.6199998855590838,-0.6299991607666016,5.0,7.0,02-02,-0.14583309491475335
01-04,-2.0099992752075213,-0.8999996185302699,-0.25,-0.01999950408935547,0.9900007247924822,-0.5399999618530273,0.8100004196166992,0.6099996566772479,-0.039999961853027344,0.17000007629394176,0.38000011444091975,-0.7100009918212891,5.0,7.0,02-03,-0.12583319346109997
01-05,-1.989999771118164,-0.5999994277954137,0.1700000762939453,0.1999998092651385,0.8999996185302734,-0.6999998092651349,0.9600000381469709,0.6199998855590803,-0.4000005722045916,-0.15999984741211293,0.5799999237060565,-0.7500009536743182,6.0,6.0,02-04,-0.09750008583068921
01-06,-1.8100004196166974,-0.5399999618530291,0.39999961853027344,0.3500003814697248,1.0499992370605469,-0.6199998855590838,1.2399997711181658,0.9300003051757795,-0.3000001907348615,0.2999992370605469,0.6900005340576154,-0.7100009918212891,7.0,5.0,02-05,0.08166646957397432
01-07,-1.8299999237060565,-0.48999977111816406,0.4499998092651385,-0.029999732971193183,0.5599994659423828,-0.9099998474121094,0.9200000762939435,1.0399999618530273,-0.34999942779541016,-0.04000091552734375,0.8200006484985352,-0.3899993896484304,5.0,7.0,02-06,-0.020833253860473338
01-08,-2.1300001144409215,-0.5700006484985352,0.4800004959106463,0.3299999237060529,0.5299997329711914,-0.7200002670288068,0.5900001525878888,1.0900001525878888,-0.1699991226196289,-0.8500003814697301,0.7799997329711896,-0.10999870300292969,6.0,6.0,02-07,-0.062499920527141185
01-09,-1.6899995803833008,-1.0599994659423828,0.3000001907348633,0.22999954223632812,0.5099992752075178,-0.6000003814697248,0.780000686645506,0.9600000381469727,-0.25,-0.5100002288818359,0.5900001525878924,-0.06999969482421875,6.0,6.0,02-08,-0.06749995549519856
01-10,-1.6399993896484375,-1.4499998092651367,0.3900003433227557,0.37999916076660156,0.36999988555908025,-0.8400001525878888,0.8299999237060529,0.75,-0.25,-0.06999969482421875,0.5399999618530273,-0.029998779296878553,6.0,6.0,02-09,-0.08499987920125356
01-11,-1.5699996948242205,-1.3999996185302734,0.3400001525878924,0.6899995803833008,0.319999694824217,-0.4499998092651367,0.5199995040893555,0.7699995040893555,0.029999732971193183,-0.3400001525878942,0.5299997329711914,0.21000003814697266,8.0,4.0,02-10,-0.029166777928670545
01-12,-1.2299995422363281,-0.9799995422363281,0.07999992370605469,0.6999998092651349,0.38000011444091797,-0.4399995803833008,0.5199995040893555,0.2300004959106463,-0.06000041961669922,-0.5,0.48000049591064453,0.10000133514404652,7.0,5.0,02-11,-0.05999978383382132
01-13,-1.3800001144409162,-1.3200006484985352,-0.05999946594238281,1.0399999618530273,0.5,-0.3199996948242205,0.48999977111816406,0.23999977111816406,0.029999732971193183,-1.069999694824217,0.4700002670288086,0.06000041961669922,7.0,5.0,02-12,-0.1099999745686846
01-14,-1.260000228881836,-1.3600006103515625,-0.050000190734861505,0.9799995422363281,0.28999996185302734,-0.36000061035155895,0.5500001907348633,0.2899999618530291,0.1399993896484375,-1.1899995803833026,0.43000030517578125,0.15000057220458984,7.0,5.0,02-13,-0.11583344141642209
01-15,-1.3500003814697266,-1.0600004196166992,-0.26999950408935547,0.8099994659423846,0.21000003814697088,-0.41000080108642756,0.5900001525878906,0.4499998092651367,-0.0200004577636701,-1.0599994659423828,0.4700002670288068,-0.15999984741210938,5.0,7.0,02-14,-0.15000009536743178
01-16,-1.5500001907348633,-1.3000001907348633,-0.3099994659423828,0.8800001144409197,0.31000041961669744,-0.2700004577636719,0.31999969482421875,0.3000001907348633,0.09999942779541016,-1.0599994659423828,0.7200002670288068,-0.5,6.0,6.0,02-15,-0.19666663805643733
01-17,-1.010000228881836,-1.1400003433227557,-0.2799997329711914,0.8099994659423846,0.1100006103515625,-0.05000019073486506,0.15999984741211115,0.2399997711181623,-0.06000041961669744,-0.8899993896484375,0.6099996566772443,-0.4200000762939453,5.0,7.0,02-16,-0.16000008583068862
01-18,-1.0799999237060547,-1.130000114440918,0.1099996566772461,0.9499998092651367,0.28999996185302557,-0.45000076293945135,0.1999998092651385,0.13000011444091797,0.05999946594238459,-0.9799995422363317,0.5299997329711932,-0.3299999237060547,7.0,5.0,02-17,-0.14166680971781398
01-19,-0.8599996566772461,-0.880000114440918,0.3099994659423828,0.7100000381469727,0.06000041961669744,-0.39000034332275213,0.13000011444091975,0.4899997711181623,0.09999942779540838,-1.1700000762939453,0.4399995803833008,-0.6999998092651349,7.0,5.0,02-18,-0.1466667652130127
01-20,-1.3900003433227521,-0.560000419616701,0.3000001907348615,0.5600004196166992,-0.15999984741211115,-0.3299999237060529,0.07999992370605646,0.8199996948242205,0.06999969482421875,-1.2000007629394531,0.46999931335449396,-0.6000003814697266,6.0,6.0,02-19,-0.1616668701171872
