,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,ups,downs,end_day_sum,avg
01-02,1.2964124679565465,-0.508468627929684,-2.445955276489258,1.1032695770263672,1.5954093933105469,-2.1043338775634766,-0.45057678222655895,0.7676258087158168,0.25619983673095703,1.2368297576904332,2.6433210372924805,-2.014585494995119,7.0,5.0,02-01,0.11459565162658765
01-03,1.0824804306030273,-0.3625564575195277,-2.0770816802978516,1.2354602813720703,1.2126083374023402,-2.198001861572269,-0.35571289062500355,1.3970718383789027,0.2328662872314453,1.578182220458988,2.908538818359375,-2.005497932434082,7.0,5.0,02-02,0.22069644927978457
01-04,1.120985984802246,-0.1326389312744105,-1.1355915069580043,1.398349761962887,1.18353271484375,-2.1357040405273438,-0.854263305664066,1.6727828979492152,-0.4249010086059588,1.5457744598388707,2.3339014053344727,-1.1315345764160156,6.0,6.0,02-03,0.28672448794047023
01-05,1.026862144470213,-0.1282272338867223,-1.0976505279541051,1.4405632019042933,1.0033836364746094,-2.170389175415039,-0.36079406738281605,0.8043689727783203,-0.5703239440917987,1.2135925292968786,2.3427467346191406,-1.378464698791504,6.0,6.0,02-04,0.17713896433512252
01-06,0.9370031356811523,-0.5571060180664062,-0.9710941314697266,1.5578308105468714,1.0909442901611293,-2.487529754638672,0.16369056701660512,1.4284610748291016,-0.4631690979003924,1.442256927490238,2.0775299072265625,-1.378464698791504,7.0,5.0,02-05,0.23669608434041325
01-07,1.4376058578491193,-0.7560768127441406,-0.5507450103759766,1.8327178955078125,0.9255561828613281,-2.5163631439208984,0.0619430541992223,1.96197509765625,0.030765533447265625,1.3769035339355469,1.3791275024414098,-0.9314937591552752,8.0,4.0,02-06,0.3543263276418053
01-08,1.2579059600830078,-0.985992431640625,-0.38953399658203125,2.517269134521481,1.250936508178711,-2.6552085876464844,-0.06475639343261363,1.9360733032226562,-0.14812278747558594,1.1971874237060582,1.7062244415283185,-0.9406394958496094,6.0,6.0,02-07,0.3901119232177736
01-09,1.0439739227294922,-2.179792404174801,-0.2893505096435547,2.333150863647461,1.4404850006103551,-2.3643341064453125,-0.0596847534179652,2.3104228973388707,-0.17145824432373225,1.4491539001464808,1.0343437194824254,-0.9406394958496094,6.0,6.0,02-08,0.30052256584167586
01-10,1.15521240234375,-2.546773910522461,-0.38953399658203125,2.4001827239990234,1.236970901489265,-2.3051719665527344,0.026170730590823865,2.0919361114501953,-0.04453659057617365,1.0413761138916016,0.9813022613525391,-1.3495750427246094,7.0,5.0,02-09,0.1914633115132657
01-11,1.4761085510253906,-2.710367202758789,-0.6809215545654332,2.3133144378662074,1.3581066131591868,-1.988363265991211,-0.569046020507809,1.7017803192138707,-0.7537651062011737,0.9522514343261719,0.8928966522216797,-1.178715705871582,6.0,6.0,02-10,0.06777326265970911
01-12,1.5916328430175781,-2.467184066772461,-1.3613872528076172,2.5257587432861293,1.4267501831054688,-1.2698402404785156,-0.4367771148681605,1.88336181640625,-0.9068384170532227,0.7983169555664062,1.1934738159179688,-0.24586963653564453,6.0,6.0,02-11,0.2276164690653483
01-13,0.9027805328369141,-3.2497863769531214,-1.451787948608402,2.7948589324951136,1.5386276245117188,-1.2401084899902344,-0.3248119354248047,1.816604614257816,-0.5930376052856463,-0.07448387145995738,1.105068206787113,-0.4836540222167951,5.0,7.0,02-12,0.061689138412476176
01-14,1.561680793762207,-3.0552425384521484,-1.3885078430175781,2.8090248107910156,1.2905445098876953,-0.8788890838623047,-0.3767223358154297,1.4643821716308665,-0.33288860321044744,0.15424537658691762,0.8575325012207031,-1.0652503967285156,6.0,6.0,02-13,0.08665911356608176
01-15,1.2792978286743164,-2.949127197265625,-1.2842273712158203,2.6957263946533203,1.3435516357421804,-0.6851119995117188,-0.09292221069335938,2.282779693603519,-0.16955471038818537,0.31762504577637074,0.6630401611328196,-0.750849723815918,6.0,6.0,02-14,0.2208522955576583
01-16,1.0054683685302734,-3.3956947326660156,-1.2523479461669922,2.6673965454101562,1.5809326171875,-0.7541275024414062,-0.2905712127685547,1.8269615173339915,0.048224449157714844,0.39114570617676137,-0.10608673095703125,-1.2803764343261719,6.0,6.0,02-15,0.036743720372518794
01-17,1.7071542739868164,-2.8783836364746094,-0.9836635589599609,2.69100189208984,1.4641857147216797,-1.365457534790039,-0.1790771484375,1.4992313385009801,0.36711788177490234,0.35779762268066406,-0.5304317474365234,-1.4358510971069318,6.0,6.0,02-16,0.059468666712443184
01-18,1.7670564651489258,-2.8474311828613317,-1.2250213623046875,2.483278274536133,1.0020675659179688,-1.03021240234375,0.3143959045410156,2.0766620635986364,0.6222295761108398,0.1960544586181605,-0.8133296966552734,-1.4358510971069318,7.0,5.0,02-17,0.0924915472666421
01-19,1.578791618347168,-2.5600357055664062,-1.2705631256103516,2.4879989624023438,0.559402465820309,-0.8914604187011719,0.7824287414550781,2.159894943237312,0.6377849578857422,0.06535148620605469,-0.9812984466552734,-1.4358510971069318,7.0,5.0,02-18,0.09437036514282271
01-20,1.429051399230957,-2.0206184387206996,-1.0656375885009695,2.4738388061523438,0.622634887695309,-0.21753501892089844,0.5484123229980469,2.6998691558837926,0.4977855682373047,-0.008169174194335938,-1.2023124694824219,-1.481578826904295,6.0,6.0,02-19,0.18964505195617778
01-21,1.0824813842773455,-1.6713237762451136,-1.0792961120605469,2.2755527496337926,0.4377937316894496,-0.5346794128417969,0.09157180786132457,2.6218395233154332,0.7777872085571307,0.3921089172363281,-1.0255012512207031,-1.481578826904295,7.0,5.0,02-20,0.15722966194152907
01-22,0.9327259063720703,-1.551944732666012,-1.1430473327636719,2.587139129638672,0.4280662536621094,-1.4766883850097656,-0.4629459381103551,1.8571357727050817,0.8477869033813459,0.3430957794189453,-0.9989795684814453,-0.8688268661499023,6.0,6.0,02-21,0.041126410166422676
01-23,1.1808891296386719,-1.7243766784667969,-1.0200881958007812,2.969551086425785,0.11674118041992188,-1.0653953552246094,-0.1271820068359375,2.3617362976074183,0.7077856063842773,0.04084587097167969,0.8221702575683594,-0.8688268661499023,7.0,5.0,02-22,0.2828208605448405
01-24,0.5904417037963849,-2.0869369506835938,-1.0792884826660227,2.9223346710205114,-0.03891944885253906,-0.44598388671875,-0.010175704956054688,2.278503417968743,0.6611185073852539,-0.3921089172363281,-0.044202804565426135,-1.0974655151367188,4.0,8.0,02-23,0.10477638244628833
01-25,-0.047061920166015625,-1.8349113464355433,-1.070180892944336,2.752378463745117,-0.13134193420410156,0.36669349670410156,-0.05596160888671875,2.4449691772460938,0.28000450134277344,-0.5228099822998047,-0.5304317474365234,-1.134047508239746,4.0,8.0,02-24,0.04310822486877471
01-26,0.051339149475094104,-1.7022705078125,-1.4663829803466761,2.478555679321289,-0.024318695068359375,0.35678291320800426,-0.1729736328125,1.7895107269287145,-0.007778167724609375,-0.6290073394775426,-0.053043365478515625,-0.9511375427246094,4.0,8.0,02-25,-0.027560313542684216
01-27,0.654623985290522,-1.3220291137695312,-1.3479785919189418,2.3888511657714844,0.10702323913574574,0.17343711853027344,0.035610198974609375,1.7062721252441406,0.6377849578857422,-0.2695751190185547,-0.00884056091308949,-1.8474016189575195,7.0,5.0,02-26,0.07564814885457342
01-28,-0.19253826141357777,-0.8091335296630859,-0.9836616516113246,2.4691143035888636,-0.3502311706542933,-0.09415054321289062,0.32559204101562145,1.1964683532714844,1.0111207962036133,-0.0326766967773402,0.1679706573486328,-2.057748794555664,5.0,7.0,02-27,0.05417712529500326
01-29,-0.13263416290283203,-0.9550457000732422,-1.3434200286865234,2.4879989624023438,-0.2724037170410156,0.5004863739013743,0.6969699859619141,0.5670223236083984,0.8322305679321289,0.1960525512695348,0.0,-1.371832847595213,6.0,6.0,02-28,0.10045202573140566
01-30,-0.17113971710205078,-1.2424430847167969,-0.46905708312987926,2.454950332641605,-0.6421051025390625,0.8523139953613317,1.1955204010009766,0.6866683959960938,0.8555641174316406,-0.3757705688476598,-0.5127506256103516,-1.6187629699707013,5.0,7.0,02-29,0.08441567420959546
01-31,-0.1326389312744123,-0.7074394226074219,-0.0045566558837890625,2.558809280395508,-0.418340682983402,0.886999130249027,0.5545139312744141,0.1820697784423828,0.7233381271362322,-0.4656314849853551,-0.6099987030029297,-1.371832847595213,5.0,7.0,03-01,0.09960762659708673
02-01,-0.3850784301757795,-1.0700092315673828,0.059202194213863635,2.280269622802738,-0.5059013366699219,1.3131599426269531,0.849584579467777,0.19767570495605824,1.3533477783203143,-0.686193466186527,-0.34478187561035156,-1.033447265625,6.0,6.0,03-02,0.16898568471272846
02-02,-1.026862144470213,-0.7693367004394531,0.44173431396484375,1.8412113189697266,-0.2821388244628942,1.446950912475586,0.5799522399902344,1.539810180664066,1.0966806411743164,-0.6208400726318359,0.5657939910888636,-1.8291101455688477,7.0,5.0,03-03,0.24865380922953273
