,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,ups,downs,avg
01-02,12.634411673793588,-10.459439847292794,3.6882104239289415,-3.342844157646675,1.5412846836475187,-5.776447578175168,0.9141886602358121,3.4194490622444187,-8.528364234860367,1.2207914898926577,10.20926165895543,-8.85514628525162,7.0,5.0,-0.2778870375440213
01-03,12.116508113527761,-11.16576717305698,4.234407587627344,-3.5539250633250816,2.7889916656214164,-5.5138759256114,4.865962073994902,6.567018414583472,-6.91702896851119,0.23251026666355315,6.911858725097743,-9.329534400045073,7.0,5.0,0.10309377638053914
01-04,6.099590030850783,-11.604940155406075,8.447070689673598,-1.5453402131297111,2.7522935779816518,-3.559381178649986,2.9140633693451483,6.954608360070208,-7.863008974303684,-1.8600660069199642,6.594805867715397,-7.837575788139595,6.0,6.0,-0.04232336840935217
01-05,9.298603331583708,-7.796613269216879,6.249999551169847,-0.7726739848662619,1.1385242507250637,-4.459562910069171,5.004356879424394,2.223886505418041,-8.125111939669246,-1.8812077019952946,6.660410229066718,-9.177817838718633,6.0,6.0,-0.1364339080956427
01-06,10.454363867041469,-8.184022107879825,6.58885555417276,0.2439994533146224,3.3395231925801827,-7.298133323223991,5.160351303597769,1.6161601371441519,-5.084745536760837,-2.7452586821703124,6.747885202513211,-7.398115144904365,7.0,5.0,0.2867386596187364
01-07,11.450375829685193,-9.055694304010318,7.04065877065492,2.106971034577417,2.580405908615161,-8.352846680517416,3.002650636179655,1.5403960079769563,-4.371872543097914,-5.162271704991885,7.499225416687983,-8.71515956582119,7.0,5.0,-0.036430099505119884
01-08,9.762958476352567,-7.312349911749333,7.6836982729495045,2.5806427795854145,2.456277387967406,-5.555556790565042,-0.0588768238003172,1.2878745989510352,-2.7735257026017255,-6.8614396927438,8.023359363493169,-5.809644723906031,6.0,6.0,0.2852847694944039
01-09,10.807547981812075,-12.650003433227559,8.570372076021124,2.698349087203459,1.4136873981798301,-5.866356807726733,1.4130100823893517,0.151671818018504,-3.001367930677622,-4.8143341039043825,6.145773974128614,-5.315207627508302,7.0,5.0,-0.03723812377430343
01-10,11.669306498467922,-10.985229228549814,8.026755331326518,1.4865365245394457,1.748509404868181,-6.021760521336036,2.357098613524936,1.25,-2.5619359449788606,-5.582310026323749,4.879560774970203,-5.129789295742793,7.0,5.0,0.09472851089716272
01-11,14.214370592920178,-14.075952843774742,7.430917550762158,2.391392498289164,1.8973152435123004,-3.160700367371599,2.7867432053013004,2.4209475131387013,-4.239744079473544,-6.873904047002949,4.972206785801928,-5.2485359523740875,7.0,5.0,0.209588008310734
01-12,12.465700810051207,-13.40050275210706,0.33975142833340854,1.7536888456823452,2.0156808401389865,-3.160700367371599,3.127739618414274,0.47453156109336614,-3.0648718731320006,-6.764448625097268,6.234497616583446,-3.3030307654178506,7.0,5.0,-0.27349697190239547
01-13,5.2339402488613445,-13.57285024496677,-0.6040009392018038,2.8298166102165467,2.34374695102719,-2.45839487670587,2.5256993527786378,3.7346447893626373,-5.925420686805298,-8.789980732834843,10.190137613561193,-1.217339203376143,6.0,6.0,-0.47583342650693156
