,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,ups,downs,avg
01-02,0.0,1.702126105374523,3.278695092153664,3.7837865702682487,3.4146309693180865,4.000003521259014,-4.751615221465622,0.3584226021499716,0.0,-5.295952469585663,10.075833127031098,5.070048302109777,8.0,3.0,1.8029982165510916
01-03,0.0,1.702126105374523,3.278695092153664,3.7837865702682487,3.4146309693180865,4.000003521259014,-1.5118724210371075,0.3584226021499716,0.0,-5.295952469585663,10.075833127031098,5.070048302109777,8.0,3.0,2.0729767832534676
01-04,0.0,1.702126105374523,5.600004196166992,3.7837865702682487,3.4146309693180865,0.0,-1.5118724210371075,0.3584226021499716,0.0,-6.542057185401118,10.075833127031098,3.9162786019379614,7.0,4.0,1.7330960471507213
01-05,0.0,1.702126105374523,5.600004196166992,3.7837865702682487,3.4146309693180865,0.0,-1.5118724210371075,0.3584226021499716,0.0,-6.438212649959837,10.075833127031098,3.9162786019379614,7.0,4.0,1.7417497584374946
01-06,0.0,1.702126105374523,5.600004196166992,3.7837865702682487,3.4146309693180865,0.0,-1.5118724210371075,0.3584226021499716,0.0,-5.503631637308254,10.075833127031098,3.9162786019379614,7.0,4.0,1.8196315094917932
01-07,0.0,1.702126105374523,5.600004196166992,0.0,3.4146309693180865,0.0,-1.5118724210371075,-2.3297511867092666,0.0,-5.503631637308254,10.075833127031098,3.9162786019379614,5.0,6.0,1.2803014795645027
01-08,0.0,1.702126105374523,5.600004196166992,-6.321839867943526,3.4146309693180865,0.0,-3.023755140932669,-2.3297511867092666,0.0,-5.503631637308254,10.075833127031098,5.4580905383302385,5.0,6.0,0.7559755919439352
01-09,0.0,1.702126105374523,5.600004196166992,-6.321839867943526,3.4146309693180865,0.0,-3.023755140932669,-2.3297511867092666,0.0,-5.503631637308254,10.075833127031098,6.627683138462179,5.0,6.0,0.8534416419549302
01-10,0.0,1.702126105374523,5.600004196166992,-6.321839867943526,3.4146309693180865,0.0,-3.023755140932669,-2.3297511867092666,0.0,-5.503631637308254,1.95015558427485,6.627683138462179,5.0,6.0,0.17630184672524293
01-11,0.0,1.702126105374523,5.600004196166992,-6.321839867943526,0.0,0.0,-1.705755282089844,-2.3297511867092666,0.0,-5.503631637308254,1.95015558427485,9.165612119066793,4.0,7.0,0.21307666923602234
01-12,0.0,-2.978730829877278,5.600004196166992,-6.321839867943526,0.0,0.0,-1.705755282089844,0.0,0.0,-5.503631637308254,-2.6077154633646327,9.165612119066793,2.0,9.0,-0.3626713971124791
01-13,0.0,-2.978730829877278,5.600004196166992,-6.321839867943526,0.0,0.0,-1.705755282089844,0.0,0.0,-5.503631637308254,1.7372404641629178,9.165612119066793,3.0,8.0,-0.0005917364851832178
01-14,0.0,-2.978730829877278,5.600004196166992,-6.321839867943526,0.0,0.0,-1.705755282089844,0.0,0.0,-5.503631637308254,1.7372404641629178,9.165612119066793,3.0,9.0,-0.0005917364851832178
01-15,0.0,-2.978730829877278,5.600004196166992,-6.321839867943526,0.0,2.108431766576155,-1.705755282089844,0.0,0.0,-15.717541644775423,1.7372404641629178,8.4070793259319,4.0,8.0,-0.7392593226540086
01-16,0.0,-2.978730829877278,5.600004196166992,-6.321839867943526,0.0,2.108431766576155,-1.705755282089844,0.0,0.0,-15.717541644775423,1.7372404641629178,8.4070793259319,4.0,8.0,-0.7392593226540086
01-17,0.0,-2.978730829877278,5.600004196166992,-6.321839867943526,0.0,2.108431766576155,-1.705755282089844,0.0,0.0,-15.717541644775423,-3.040170812285106,8.4070793259319,3.0,9.0,-1.1373769290246774
01-18,0.0,-2.978730829877278,-4.888884226481119,-6.321839867943526,0.0,2.108431766576155,-1.705755282089844,0.0,6.041337309149542,-9.111619761566226,-3.040170812285106,8.091022488388331,3.0,9.0,-0.9838507680107559
01-19,0.0,-2.978730829877278,-4.888884226481119,-6.321839867943526,0.0,2.108431766576155,-1.705755282089844,3.460212436721113,6.041337309149542,-9.68109803326933,-3.040170812285106,8.091022488388331,4.0,8.0,-0.742956254259255
