,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,ups,downs,end_day_sum,avg
01-02,0.0,0.12999999523162842,0.19000005722045943,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.17999997735023499,0.0,4.0,8.0,02-01,0.08333333581686024
01-03,0.0,0.12999999523162842,0.19000005722045943,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.17999997735023499,0.0,4.0,8.0,02-02,0.08333333581686024
01-04,0.0,0.12999999523162842,0.19000005722045943,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.16999998688697815,0.0,4.0,8.0,02-03,0.0825000032782555
01-05,0.0,0.5399999618530273,-0.06999993324279741,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.09999999403953552,0.0,3.0,9.0,02-04,0.08916666855414712
01-06,0.0,0.5399999618530273,-0.06999993324279741,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.09999999403953552,0.0,3.0,9.0,02-05,0.08916666855414712
01-07,0.0,0.5399999618530273,-0.06999993324279741,0.5,0.0,0.0,0.0,0.0,0.0,-0.09999999403953552,0.09999999403953552,0.0,3.0,9.0,02-06,0.08083333571751916
01-08,0.0,0.5399999618530273,-0.06999993324279741,0.5,0.0,0.12999999523162842,0.0,0.0,0.0,-0.10999998450279236,0.09999999403953552,0.0,4.0,8.0,02-07,0.09083333611488346
01-09,0.0,0.5399999618530273,-0.06999993324279741,0.26999998092651367,0.0,0.12999999523162842,0.0,0.0,-0.15000000596046448,-0.10999998450279236,0.09999999403953552,0.0,4.0,8.0,02-08,0.059166667362054226
01-10,0.0,0.5399999618530273,-0.06999993324279741,0.26999998092651367,0.0,0.12999999523162842,0.0,0.0,-0.15000000596046448,-0.10999998450279236,0.09999999403953552,0.0,4.0,8.0,02-09,0.059166667362054226
01-11,0.0,0.5399999618530273,-0.24999999999999956,0.25,0.0,0.12999999523162842,0.0,0.0,-0.15000000596046448,-0.10999998450279236,-0.06000000238418579,0.0,3.0,9.0,02-10,0.029166663686434464
01-12,0.0,0.5399999618530273,-0.24999999999999956,0.25,0.0,0.12999999523162842,0.0,0.0,-0.15000000596046448,-0.10999998450279236,-0.06999999284744263,0.0,3.0,9.0,02-11,0.028333331147829727
01-13,0.0,0.5399999618530273,-0.24999999999999956,0.25,0.0,0.12999999523162842,0.0,0.0,-0.15000000596046448,-0.10999998450279236,-0.06999999284744263,0.0,3.0,9.0,02-12,0.028333331147829727
01-14,0.0,0.5399999618530273,-0.24999999999999956,-0.25,0.0,-0.03999999165534973,0.0,0.0,-0.15000000596046448,-0.10999998450279236,-0.06999999284744263,0.0,1.0,11.0,02-13,-0.027500001092751785
01-15,0.0,0.5399999618530273,-0.24999999999999956,-0.25,0.0,-0.03999999165534973,0.0,0.0,-0.15000000596046448,-0.10999998450279236,-0.06999999284744263,0.0,1.0,11.0,02-14,-0.027500001092751785
01-16,0.0,0.5399999618530273,-0.24999999999999956,-0.25,0.0,-0.03999999165534973,0.0,0.0,-0.1300000250339508,-0.10999998450279236,-0.06999999284744263,0.0,1.0,11.0,02-15,-0.025833336015542312
01-17,0.0,0.5399999618530273,-0.24999999999999956,-0.25,0.0,-0.03999999165534973,0.0,0.0,-0.1300000250339508,-0.10999998450279236,-0.06999999284744263,0.0,1.0,11.0,02-16,-0.025833336015542312
01-18,0.0,0.5399999618530273,-0.24999999999999956,-0.24000000953674294,0.0,-0.03999999165534973,0.0,0.0,-0.1300000250339508,-0.10999998450279236,-0.06999999284744263,0.0,1.0,11.0,02-17,-0.025000003476937555
01-19,0.0,0.5399999618530273,-0.24999999999999956,-0.24000000953674294,0.0,-0.03999999165534973,0.0,0.0,-0.1300000250339508,-0.10999998450279236,-0.06999999284744263,0.0,1.0,11.0,02-18,-0.025000003476937555
01-20,0.0,0.5399999618530273,-0.3500001430511479,-0.24000000953674294,0.0,-0.03999999165534973,0.0,0.0,-0.1300000250339508,-0.10999998450279236,-0.06999999284744263,0.0,1.0,11.0,02-19,-0.03333334873119992
01-21,0.3400000333786011,0.5399999618530273,-0.3500001430511479,-0.24000000953674294,0.0,-0.03999999165534973,0.0,0.0,-0.1300000250339508,-0.10999998450279236,-0.06999999284744263,0.0,2.0,10.0,02-20,-0.005000012616316496
01-22,0.3400000333786011,0.5399999618530273,-0.3500001430511479,-0.24000000953674294,0.0,-0.03999999165534973,0.0,0.0,-0.1300000250339508,-0.10999998450279236,-0.06999999284744263,0.0,2.0,10.0,02-21,-0.005000012616316496
01-23,0.3400000333786011,0.5399999618530273,-0.3500001430511479,-0.24000000953674294,0.0,-0.03999999165534973,0.0,0.0,-0.1300000250339508,-0.10999998450279236,-0.06999999284744263,0.0,2.0,10.0,02-22,-0.005000012616316496
01-24,0.3400000333786011,0.5399999618530273,-0.3500001430511479,-0.24000000953674294,0.0,-0.03999999165534973,0.0,0.0,-0.1300000250339508,-0.10999998450279236,-0.06999999284744263,0.0,2.0,10.0,02-23,-0.005000012616316496
01-25,0.3400000333786011,0.5399999618530273,-0.6700000762939458,-0.24000000953674294,0.0,-0.03999999165534973,0.0,0.0,-0.1300000250339508,-0.10999998450279236,-0.06999999284744263,0.0,2.0,10.0,02-24,-0.031666673719882986
01-26,0.3400000333786011,0.4099999666213989,-0.6900000572204594,-0.24000000953674294,0.0,-0.03999999165534973,0.0,0.0,-0.1300000250339508,-0.10999998450279236,-0.06999999284744263,0.0,2.0,10.0,02-25,-0.04416667173306149
01-27,0.3400000333786011,0.4099999666213989,-0.6900000572204594,-0.24000000953674294,0.0,-0.03999999165534973,0.0,0.0,-0.1300000250339508,-0.10999998450279236,-0.1599999964237213,0.0,2.0,10.0,02-26,-0.051666672031084715
01-28,0.3400000333786011,0.4099999666213989,-0.6900000572204594,-0.24000000953674294,0.0,-0.03999999165534973,0.0,0.0,-0.1300000250339508,-0.07999998331069946,-0.1599999964237213,0.0,2.0,10.0,02-27,-0.04916667193174364
01-29,0.3400000333786011,0.4099999666213989,-0.6900000572204594,-0.24000000953674294,0.0,-0.03999999165534973,0.0,0.0,-0.1300000250339508,-0.07999998331069946,-0.1599999964237213,0.0,2.0,10.0,02-28,-0.04916667193174364
01-30,0.3400000333786011,0.4099999666213989,-0.6900000572204594,-0.24000000953674294,0.0,-0.03999999165534973,0.0,0.0,-0.1300000250339508,-0.07999998331069946,-0.1599999964237213,0.0,2.0,10.0,02-29,-0.04916667193174364
01-31,0.3400000333786011,0.4099999666213989,-0.6900000572204594,-0.24000000953674294,0.0,-0.03999999165534973,0.0,0.0,-0.1300000250339508,-0.07999998331069946,-0.09000000357627869,0.0,2.0,10.0,03-01,-0.043333339194456755
02-01,0.3400000333786011,0.4099999666213989,-0.6900000572204594,-0.24000000953674294,0.0,-0.03999999165534973,0.0,0.0,-0.1300000250339508,-0.07999998331069946,-0.09000000357627869,0.0,2.0,10.0,03-02,-0.043333339194456755
02-02,0.3400000333786011,0.0,-0.5199999809265137,-0.24000000953674294,0.0,-0.03999999165534973,0.0,0.0,-0.1300000250339508,0.02000001072883606,-0.09999999403953552,0.0,2.0,10.0,03-03,-0.05583332975705463
02-03,0.3400000333786011,0.5300000905990601,-0.5199999809265137,-0.24000000953674294,0.0,-0.03999999165534973,0.0,0.0,-0.1300000250339508,0.030000001192092896,-0.15000000596046453,0.0,3.0,9.0,03-04,-0.014999990661938972
02-04,0.3400000333786011,0.5300000905990601,-0.5199999809265137,-0.009999990463256614,0.0,-0.03999999165534973,0.0,0.0,0.019999980926513672,0.030000001192092896,-0.15000000596046453,0.0,4.0,8.0,03-05,0.01666667809089026
02-05,0.3400000333786011,0.5300000905990601,-0.5199999809265137,-0.009999990463256614,0.0,-0.16999998688697815,0.0,0.0,0.019999980926513672,0.030000001192092896,-0.15000000596046453,0.0,4.0,8.0,03-06,0.005833345154921228
02-06,0.3400000333786011,0.6299999952316284,-0.5199999809265137,-0.009999990463256614,0.0,-0.16999998688697815,0.0,0.0,0.019999980926513672,0.030000001192092896,-0.15000000596046453,0.0,4.0,8.0,03-07,0.01416667054096859
02-07,0.3400000333786011,0.6299999952316284,-0.5199999809265137,-0.009999990463256614,0.0,-0.16999998688697815,0.0,0.0,0.019999980926513672,0.030000001192092896,-0.15000000596046453,0.0,4.0,8.0,03-08,0.01416667054096859
02-08,0.3400000333786011,0.6299999952316284,-0.3399999141693115,0.009999990463257058,0.0,-0.16999998688697815,0.0,0.0,0.019999980926513672,0.030000001192092896,-0.15000000596046453,0.0,5.0,7.0,03-09,0.030833341181278243
02-09,0.3400000333786011,0.25999999046325706,-0.3399999141693115,0.009999990463257058,0.0,-0.16999998688697815,0.0,0.0,0.019999980926513672,0.030000001192092896,-0.15000000596046453,0.0,5.0,7.0,03-10,7.450580629305334e-09
02-10,0.1599999964237213,0.12999999523162842,-0.3399999141693115,0.009999990463257058,0.0,-0.16999998688697815,0.0,0.0,0.019999980926513672,0.030000001192092896,-0.15000000596046453,0.0,5.0,7.0,03-11,-0.025833328564961736
