,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,ups,downs,end_day_sum,avg
01-02,-0.6459851264953604,-1.9467248916625977,-1.5856237411499023,1.7494831085205078,-0.891238212585451,-1.2847509384155273,0.3511161804199219,-1.4435806274414062,1.1920061111450213,0.48289966583251775,1.3566646575927734,-0.49669456481933594,5.0,7.0,02-01,-0.26353569825490325
01-03,-1.0497322082519531,-2.257373809814453,-1.4587745666503906,1.7494831085205078,-0.64080810546875,-0.8313083648681641,0.6944332122802717,-1.419386386871337,1.1920061111450213,0.7638597488403338,1.4391632080078125,-0.8119039535522461,5.0,7.0,02-02,-0.21919516722361224
01-04,-0.7469239234924316,-2.119307518005371,-1.2121200561523455,2.132638931274414,-0.6481742858886701,-0.8993253707885742,0.6242094039916974,-1.7177796363830575,1.4287157058715803,0.5707006454467773,1.0816650390625,-0.8978700637817383,5.0,7.0,02-03,-0.20029759407043493
01-05,-0.7671098709106445,-2.1262102127075213,-1.4094467163085938,2.0314283370971697,-0.61871337890625,-0.9673404693603498,0.8036689758300763,-1.9919815063476562,1.3695383071899414,0.237060546875,1.0083303451538086,-1.079355239868164,5.0,7.0,02-04,-0.2925109068552653
01-06,-1.4265532493591309,-2.326401710510254,-1.6208648681640625,2.1181793212890625,-0.46403121948242365,-1.1109304428100586,0.8582897186279279,-1.7258448600769043,1.2342767715454102,0.061461448669437146,1.127497673034668,-1.079355239868164,5.0,7.0,02-05,-0.362856388092041
01-07,-1.1439380645751944,-2.2573719024658185,-1.3037395477294922,1.8651533126831055,-0.7660207748413086,-0.8010778427124023,0.8348789215087908,-1.548420429229738,0.9552984237670898,-0.043898582458496094,1.283329963684082,-0.9074230194091797,4.0,8.0,02-06,-0.31943579514821346
01-08,-0.706549644470214,-1.850081443786621,-0.6906318664550781,2.089261054992676,-0.6849985122680664,-0.8993234634399414,0.7724599838256854,-1.3306736946105957,1.0905609130859375,-0.0175590515136701,1.3108320236206055,-0.9742851257324219,4.0,8.0,02-07,-0.15758240222930872
01-09,-0.7132778167724609,-2.3194999694824237,-0.6624441146850586,2.233846664428711,-0.7881183624267578,-0.8842105865478516,0.9285116195678729,-1.2822875976562491,0.9891128540039045,-0.03512096405029119,1.228329658508299,-1.1939773559570312,4.0,8.0,02-08,-0.20826133092244473
01-10,-0.6594452857971191,-2.3747272491455096,-1.1205081939697283,2.096491813659668,-0.8323097229003888,-1.2016191482543945,0.7334480285644531,-1.2097039222717267,0.8707571029663104,-0.2809581756591797,1.2099962234497053,-1.2799434661865234,4.0,8.0,02-09,-0.33737683296203613
01-11,-0.49121952056884766,-2.36091995239258,-1.6376237869262713,2.009737968444824,-0.6113443374633789,-0.9749021530151367,0.7178430557250977,-1.3306756019592267,0.8200330734252947,-0.5794792175292969,1.2099962234497053,-1.0315971374511719,4.0,8.0,02-10,-0.355012615521749
01-12,-0.5181350708007812,-1.4037837982177734,-2.021027565002445,1.8217782974243164,-0.4419336318969691,-0.8237524032592791,0.49156761169433594,-1.4435811042785645,0.7608537673950213,-0.5794792175292969,1.200830459594723,-0.9456310272216815,4.0,8.0,02-11,-0.32519114017486617
01-13,-0.31626462936401367,-1.002429008483885,-2.021027565002445,1.6844234466552734,-0.147308349609375,-1.0126867294311523,0.48376178741455256,-1.1613163948059082,0.5917749404907244,-0.7287378311157227,1.255830764770506,-0.9169750213623047,4.0,8.0,02-12,-0.2742462158203125
01-14,-0.1816835403442374,-0.74700927734375,-1.9928350448608398,1.6844215393066406,-0.11048889160155895,-0.9597845077514631,0.40573692321777344,-1.2016396522521973,0.845393180847168,-0.974578857421875,1.264997482299803,-0.7736968994140607,4.0,8.0,02-13,-0.22843062877654977
01-15,-0.5181360244750959,-0.7124900817871094,-1.6830081939697283,1.6048994064331055,-0.0736570358276385,-0.8388652801513672,0.4525527954101545,-1.0322813987731934,0.7524003982543945,-1.0711584091186541,1.356663703918457,-0.6590766906738299,4.0,8.0,02-14,-0.20184640089670877
01-16,-0.7200074195861799,-1.0783643722534162,-1.4421920776367188,1.5832128524780273,0.11784744262695135,-0.8993263244628906,0.3355140686035156,-1.056473731994629,0.8538455963134766,-1.0887184143066424,1.3749971389770508,-0.6972837448120117,5.0,7.0,02-15,-0.22641241550445557
01-17,-0.2826199531555167,-0.8003978729248047,-1.541351318359375,1.7422571182250977,0.32408523559570135,-1.2091760635375977,0.3979339599609375,-1.1129274368286133,0.845393180847168,-1.2292003631591797,1.3841629028320312,-0.8596649169921893,5.0,7.0,02-16,-0.19512546062469505
01-18,-0.3700966835021964,-0.8281955718994141,-1.406776428222658,2.002509117126465,0.24306106567382635,-1.0277996063232422,0.4447488784790039,-0.879051685333252,0.7777624130249006,-1.1150598526000977,1.3108301162719744,-0.2961072921752912,5.0,7.0,02-17,-0.09534796078999845
01-19,-0.5383238792419434,-0.5363302230834961,-1.2726612091064453,1.142225265502928,0.2577943801879865,-1.0731439590454102,0.7022361755371094,-0.8548564910888663,0.820033073425293,-1.2204198837280273,1.347496986389162,-0.3343143463134748,5.0,7.0,02-18,-0.1300220092137654
01-20,-0.8680481910705566,-0.6609630584716797,-1.1246700286865234,1.1928291320800781,0.2062368392944336,-1.1336030960083008,0.5071706771850568,-0.5322685241699219,0.7862167358398438,-1.1501798629760724,1.3933305740356463,-0.06686210632324041,5.0,7.0,02-19,-0.12090090910593639
01-21,-1.4063677787780753,0.257174491882326,-1.2656145095825195,1.0771636962890625,0.16204166412353516,-1.1789464950561523,0.3979320526123047,-0.41936254501342773,0.7777624130249006,-1.079938888549803,1.3933305740356463,-0.133725166320799,6.0,6.0,02-20,-0.1182125409444168
01-22,-1.036271572113037,0.0845947265625,-1.2867546081542969,1.1711463928222638,-0.044196128845214844,-1.2998647689819318,0.2418804168701172,-0.524205207824707,0.9806575775146467,-1.0184793472290021,1.6591625213623065,0.019104957580566406,6.0,6.0,02-21,-0.08776875336964911
01-23,-1.1372065544128418,0.28520488739013494,-0.8972015380859375,1.431396484375,0.05892181396484375,-0.5592432022094709,0.21067047119140625,-0.4516243934631339,0.7608547210693342,-1.3609008789062536,1.778329849243164,0.2674522399902344,7.0,5.0,02-22,0.03222115834553999
01-24,-1.3659954071044922,0.22265911102294744,-0.6847162246704102,1.2795848846435547,0.2209634780883789,-0.5441293716430629,0.11703968048095525,-0.5000128746032706,0.5917758941650408,-1.28187942504883,1.6408300399780273,0.22924423217773438,7.0,5.0,02-23,-0.006219665209452237
01-25,-1.5409512519836426,0.38249015808105113,-1.4922962188720703,1.1494550704956037,0.4051055908203125,-0.5894737243652362,0.12484264373779297,-0.18548965454101385,0.31279563903808416,-1.2906579971313494,1.5949954986572266,0.29610633850097656,7.0,5.0,02-24,-0.06942315896352207
01-26,-1.3390798568725586,0.6162834167480451,-1.4636516571044922,0.9036588668823224,0.2209682464599627,-0.5592441558837908,0.023407936096191406,-0.14516448974609553,0.1352643966674787,-1.5540580749511719,1.4666643142700213,0.37252140045166016,7.0,5.0,02-25,-0.11020247141520227
01-27,-1.29197359085083,1.1009807586669904,-1.4213685989379865,0.8964271545410138,0.19150543212890803,-0.8237514495849627,0.02340602874756037,-0.31452178955078125,0.23671054840087713,-1.4925994873046875,1.4941635131835973,0.13372611999511896,7.0,5.0,02-26,-0.10560794671376517
01-28,-1.298707962036132,0.9836225509643555,-0.8716850280761719,1.1349992752075195,-0.014729499816892755,-0.7179498672485352,-0.1794586181640625,-0.4112987518310547,0.35506343841552734,-1.2467594146728516,1.677497863769533,0.0668630599975586,5.0,7.0,02-27,-0.04354524612426721
01-29,-0.9353365898132324,1.294271469116211,-0.9985342025756836,1.0554800033569336,-0.2209692001342809,-0.33252620697021484,-0.3823280334472656,-0.43549299240112394,0.35506343841552734,-1.0623788833618164,1.5033302307128924,0.5922126770019531,5.0,7.0,02-28,0.03606597582499164
01-30,-1.238144874572754,1.0450210571289062,-0.4106578826904297,1.0554800033569336,0.1252155303955078,-0.15114784240722656,-0.3121042251586914,-0.19355297088622958,0.43115234375,-0.5531396865844727,1.2008295059204102,0.7068347930908203,6.0,6.0,02-29,0.14214881261189785
01-31,-1.1237530708312988,1.3229856491088885,-0.2902507781982422,1.1422243118286133,0.13994979858398438,-0.083132743835451,-0.45255088806152344,-0.1774234771728498,0.17753314971923828,-1.1852998733520508,1.1458311080932617,0.8883199691772461,6.0,6.0,03-01,0.125369429588318
02-01,-1.19104290008545,1.0658693313598633,-0.48785781860351385,0.8675117492675781,-0.014732360839841974,0.20404720306396484,-0.4447488784790057,-0.14516353607177646,0.016908645629882812,-1.0360403060913104,1.0266637802124023,0.6781797409057599,6.0,6.0,03-02,0.044966220855712745
02-02,-1.61497163772583,1.3032379150390625,-0.4526891708374041,1.041015625,0.4787607192993164,0.19649314880371094,-0.4291419982910156,0.20968294143676758,0.2958869934082031,-0.9306802749633771,0.5774984359741193,0.5062475204467756,8.0,4.0,03-03,0.09844501813252737
02-03,-0.8545904159545898,1.4963922500610352,-0.6218252182006854,0.8169078826904297,0.007366180419923651,-0.04534149169921875,-0.20286846160888317,0.5080747604370126,0.16062450408935547,-0.8516578674316424,0.5774984359741193,0.6399717330932599,7.0,5.0,03-04,0.13587935765584302
02-04,-0.17495346069336026,1.9105863571166992,-0.6500129699707049,0.5711135864257812,-0.2798919677734375,-0.19649219512939453,-0.19506549835205256,0.5161404609680194,0.21980285644531428,-0.772639274597168,0.5225000381469727,0.42983150482177734,6.0,6.0,03-05,0.15840995311737052
02-05,-0.1076650619506836,1.9658136367797852,-0.21319198608398438,0.41206836700439453,-0.2504310607910156,-0.1360330581665039,0.015604972839355469,0.443556785583497,0.07608509063720881,-0.8955583572387695,0.5224971771240234,0.5444536209106463,7.0,5.0,03-06,0.19810001055399615
02-06,-0.2758908271789551,1.8547210693359393,-0.014881134033201349,0.137356758117674,-0.4124727249145508,-0.3325214385986328,0.031209945678710938,0.5806584358215332,0.02536201477050959,-0.9131193161010724,0.7058305740356463,0.21969223022461115,7.0,5.0,03-07,0.133828798929851
02-07,-0.9824419021606454,2.14658260345459,-0.16361713409423473,-0.36869239807128906,-0.5376911163330096,-0.4836711883544904,0.046814918518066406,0.8387269973754883,0.09299278259277344,-0.561920166015625,0.8341636657714862,0.13372611999512074,6.0,6.0,03-08,0.08291443188985255
02-08,-1.1506681442260733,2.5704860687255877,0.5382976531982404,0.1012105941772461,-0.8323163986206037,-0.2493915557861328,-0.07802581787109375,0.8548579216003418,0.1183557510375941,-0.2634010314941424,0.7791633605957031,-0.12417316436767578,6.0,6.0,03-09,0.1886996030807493
02-09,-1.1439380645751953,2.0847396850585938,1.1828298568725586,-0.043374061584472656,-0.40510559082031605,-0.28718090057373047,-0.06242084503173828,0.9355072975158691,0.059178352355955255,-0.017560005187990058,0.7241649627685547,-0.22924423217773438,5.0,7.0,03-10,0.2331330378850295
02-10,-0.5248661041259766,1.6677894592285138,1.2324113845825213,0.0361480712890625,-0.2651576995849627,-0.4307699203491211,-0.28089427947998047,0.8064689636230478,0.1521711349487287,0.2634000778198242,0.7974977493286133,-0.5826616287231445,7.0,5.0,03-11,0.23929476737976052
02-11,-0.47103261947632014,1.3898229598999023,0.9915952682495117,0.15181541442871094,-0.1915035247802752,-0.6348190307617188,-0.054618835449220526,0.8629226684570321,-0.008452415466308594,0.2546205520629883,0.8249979019165039,-0.32476234436035156,6.0,6.0,03-12,0.23254883289337122
02-12,-0.38355588912964045,1.4176206588745117,0.9349346160888672,-0.06506538391113281,-0.20623779296875,-0.8464250564575195,-0.10143375396728693,0.6290469169616708,0.2113513946533203,0.2546205520629883,0.6783323287963867,-0.6017646789550781,6.0,6.0,03-13,0.16011865933736144
02-13,-0.21532869338989347,0.9728736877441388,0.687037467956543,-0.10844039916992188,-0.30199050903320135,-0.8010807037353516,-0.3589210510253924,0.4596872329711914,0.48187732696533203,0.2985200881958008,0.54083251953125,-0.5635576248168945,6.0,6.0,03-14,0.09095911184946674
02-14,0.37009811401367276,1.1605024337768572,0.5453815460205078,0.028918266296384942,-0.25043296813964844,-0.7406215667724609,-0.1560525894165039,0.556464195251464,0.32125091552734375,0.14048099517822088,0.4949989318847656,-0.8310098648071289,8.0,4.0,03-15,0.1366648674011229
02-15,0.5315971374511728,1.1952466964721697,-0.3895568847656232,-0.3976097106933576,-0.20623779296875,-1.0731487274169922,-0.2808961868286115,0.6048517227172852,0.32970428466796875,0.07024002075195135,0.4949989318847656,-1.3563594818115234,6.0,6.0,03-16,-0.03976416587829538
