,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,ups,downs,avg
01-02,75.0,52.63157894736842,0.0,33.33333333333333,-38.532104974603534,11.673150198791946,-7.500004768371604,-4.6511582776364895,-6.837610756387045,-43.491116580473886,-16.23932172560853,-25.000004656612994,4.0,8.0,2.532228394983301
01-03,75.0,52.63157894736842,-40.0,33.33333333333333,-32.11009294715215,12.06225489618542,0.4950490375089082,-4.6511582776364895,-8.695654427396825,-43.533125590781665,-8.547010898276671,-23.43750611180453,5.0,7.0,1.045638996778979
01-04,75.0,52.63157894736842,-40.0,25.0,-32.11009294715215,19.47194454588381,1.9512176967531925,-0.5586586970038234,-2.419352512826054,-33.438483194574225,-7.692310827331858,-32.25806234530432,5.0,7.0,2.1314817221510816
01-05,75.0,52.63157894736842,-16.666666666666664,25.0,-33.33333333333333,16.15120325592923,18.292684581528878,-3.954805265898668,-4.032254188043406,-35.962140033080765,-3.3333300219643105,-38.983055813084675,5.0,7.0,4.234156788562893
01-06,75.0,55.00000000000001,-33.33333333333333,25.0,-32.11009294715215,9.963098786933324,9.777779049343533,-3.55029235195547,0.0,-30.09404454316684,-4.201676463198792,-36.66666004392862,5.0,7.0,2.898731512795137
01-07,75.0,60.0,-33.33333333333333,25.0,-27.433633920085676,10.144926534683554,4.545460949259217,0.5917224457964548,3.8759654104532895,-25.00000538596197,-3.3333300219643105,-30.645160670086945,7.0,5.0,4.951051000730024
01-08,75.0,35.0,-33.33333333333333,33.33333333333333,-17.073173568335225,6.463880946639568,3.1818150784358976,5.325445581737068,4.61538038310199,-32.587857624046976,-7.826090021259681,-14.285719692031313,7.0,5.0,4.81780675702011
01-09,75.0,35.0,-14.285714285714285,33.33333333333333,-14.754093715305943,2.2813756116841244,6.363640994079741,7.100591757714817,7.462688160516179,-38.387099800943524,-5.982910685442232,-17.46031986312503,7.0,5.0,6.305957625566428
01-10,75.0,35.0,-33.33333333333333,33.33333333333333,-10.65573706418013,2.2813756116841244,9.170307495422172,3.0864168005624912,22.784810413097148,-46.70845593703358,-11.11111111111111,-17.46031986312503,7.0,5.0,5.115607195443007
01-11,75.0,27.77777777777778,-50.0,33.33333333333333,3.278695092153664,3.515621725819018,7.1428609441737585,0.0,33.33333333333333,-51.4106531996296,-15.384621654663716,-16.666660043928623,7.0,5.0,4.159973942364077
01-12,75.0,16.666666666666664,-50.0,33.33333333333333,10.655737064180148,25.377641350166613,2.347426668941178,-5.369130362637857,33.33333333333333,-55.79936366904512,-15.044244053276215,-22.80701699349358,7.0,5.0,3.9745319448473744
01-13,75.0,6.25,-50.0,33.33333333333333,9.917355453322408,56.049820660013914,1.8264822286714788,3.205125266043049,33.870967225072455,-42.05297976647292,-13.043476458082539,-22.80701699349358,8.0,4.0,7.629134245700634
01-14,75.0,-12.5,-50.0,33.33333333333333,8.403362943984478,49.309667727276604,5.045877529629209,12.820508705793602,31.66666379681332,-49.477356547605766,-8.333325054910777,-24.137939539307464,7.0,5.0,5.927566074583878
01-15,75.0,-12.5,-80.0,40.0,3.4188002837792526,55.41957961801174,4.128447239993318,14.102558812210836,33.15217408909689,-45.423725169816606,-5.04201175583855,-27.77777225882941,7.0,5.0,4.539837571550623
01-16,75.0,-12.5,-80.0,35.714285714285715,1.6806806028663923,53.84615031925166,5.963307819265142,12.179483652584992,32.41758331730231,-32.40740584029852,-10.169492381566323,-25.925922246627014,7.0,5.0,4.6498892464220285
