,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,ups,downs,end_day_sum,avg
01-02,0.5864400863647461,0.12496709823608132,-0.04990243911743164,0.2717323303222656,-0.05782604217529297,0.4201383590698242,0.3180704116821289,0.1621265411376953,0.28323936462402344,-0.409207344055174,0.5740756988525391,0.3642463684082031,9.0,3.0,02-01,0.21567503611246738
01-03,0.4726552963256836,0.11967134475707741,-0.05555105209350586,0.3018617630004883,-0.20366668701172053,0.3728790283203125,0.33283042907714666,0.3238639831542969,0.41374492645263494,-0.46932315826416016,0.4738607406616193,0.4216289520263672,9.0,3.0,02-02,0.20870463053385335
01-04,0.4577312469482422,0.14617013931274148,-0.032903194427490234,0.39810752868652344,-0.22902488708496094,0.3055524826049787,0.38346672058105646,0.3238639831542969,0.18625831604004084,-0.5982303619384766,0.4738607406616193,0.3642845153808594,9.0,3.0,02-03,0.18159476915995257
01-05,0.4179258346557617,0.13038015365600586,-0.03283977508544833,0.39810752868652344,-0.1974039077758789,0.29876136779785334,0.4123992919921875,0.29317474365234375,0.0726165771484375,-0.6154184341430664,0.40097999572753906,0.3930797576904297,9.0,3.0,02-04,0.164313594500224
01-06,0.37877321243286133,0.15149736404418856,0.02888345718383789,0.36212635040283203,-0.1782979965209961,0.35986328125,0.34744453430175604,0.23167514801025746,0.08884811401367365,-0.6411628723144531,0.44674205780029297,0.4026756286621094,10.0,2.0,02-05,0.16492235660553
01-07,0.4084944725036621,0.15149736404418856,0.006436347961426669,0.32024288177490234,-0.1846628189086914,0.3327798843383789,0.3041820526123029,0.20868587493896662,0.07300662994384766,-0.7102422714233398,0.3826770782470703,0.3262395858764684,10.0,2.0,02-06,0.13494475682576526
01-08,0.25505638122558505,0.15677261352538796,-0.061391830444336826,0.33832263946533203,-0.23528385162353516,0.27846717834472834,0.3545656204223615,0.2010211944580096,-0.01671314239501953,-0.7879533767700213,0.30954551696777344,0.35513877868652344,8.0,4.0,02-07,0.09562897682189904
01-09,0.09667158126831055,0.10908842086791992,-0.11783361434936523,0.1997089385986328,-0.3303699493408203,0.2649688720703125,0.2609987258911115,0.27010822296142756,-0.01671314239501953,-0.607029914855957,0.33716773986816406,0.3647012710571289,8.0,4.0,02-08,0.06928892930348714
01-10,0.1263718605041504,0.2946267127990714,-0.11219263076782227,0.3019237518310547,-0.29866313934325994,0.1772003173828125,0.2973136901855469,0.2855110168457031,-0.2683563232421875,-0.4948596954345703,0.2733955383300781,0.3360137939453125,8.0,4.0,02-09,0.07652374108632413
01-11,0.19105291366577148,0.27872276306152255,-0.038943767547606534,0.40377044677734375,-0.24835777282714844,0.14257049560546875,0.21773910522460938,0.3317241668701172,-0.18760204315185725,-0.5120449066162109,0.2187366485595703,0.4031314849853498,8.0,4.0,02-10,0.10004162788391084
01-12,0.2607097625732422,0.23112821578979492,0.011291027069094461,0.3555593490600586,-0.10826301574707031,0.18331050872802734,0.15263843536376953,0.1779165267944336,-0.24470138549804688,-0.43174076080322266,0.2928638458251953,0.38393306732177734,9.0,3.0,02-11,0.10538713137308779
01-13,0.2338395118713379,0.2525053024292001,0.07902479171753196,0.33748340606689453,-0.15283584594726562,0.21046924591064453,0.014468193054200995,0.26186466217041193,-0.23654365539550604,-0.44037914276123047,0.4392967224121076,0.5279092788696307,9.0,3.0,02-12,0.12725853919982985
01-14,0.34021949768066495,0.2525053024292001,0.2935104370117205,0.31337738037109375,-0.19741344451904297,0.15614986419677734,-0.08633232116699041,0.29267787933349787,-0.2528581619262713,-0.44901275634765625,0.44845008850097656,0.5183115005493146,8.0,4.0,02-13,0.13579877217610706
01-15,0.33524465560912997,0.23129701614379972,0.28221845626830966,0.31337738037109375,-0.03183937072753906,0.15004348754882812,-0.14420604705810547,0.1848468780517596,-0.27732753753662287,-0.38857173919677734,0.21049880981445312,0.5567054748535156,8.0,4.0,02-14,0.11852395534515374
