,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,ups,downs,avg
01-02,-18.158839858324626,1.9385176955856134,2.6279914156327706,5.040444812225283,-2.7397253766360325,-21.13820640225594,-2.922544832214179,-12.211217140202502,-5.499740475511802,9.607440866283026,8.791210973266251,3.557109804804455,6.0,6.0,-2.592296543112306
01-03,-17.270791456162414,-0.6945393952783984,2.012432633124783,3.2339899434229857,-1.7849742733587657,-21.21950907483124,-2.296049030136017,-2.5641037935237803,-5.0000040154708065,7.9480555150416,8.964725635249673,4.258509584714013,5.0,7.0,-2.0343548106006977
01-04,-23.836682347226894,-2.125794083836229,3.7116331040286616,6.850157878300428,-0.29057573425004307,-17.332260729064185,-4.334832349089454,-2.0510247729191224,-7.300416611402979,6.389608011617288,7.634474138824997,2.413270774086312,5.0,7.0,-2.5227035600776015
01-05,-22.503527865713817,-1.2196662848505382,5.063290512978451,7.1559636024227045,1.7412937880614834,-19.918363921496333,-3.254437007227122,-7.480522254844746,-7.615539841746169,5.454541491223621,8.018058963031233,0.15432451554178206,6.0,6.0,-2.867048691884954
01-06,-15.619390742859876,-6.183395392251595,5.841458316326404,8.13455591850267,-0.33869568528198063,-23.5491939126224,-2.140369845245575,-3.853956670105781,-7.878150881687891,2.5369954561350836,7.495739063451759,1.019891671160249,5.0,7.0,-2.877876058706578
01-07,-14.04089688964981,-4.830578727152985,6.489933134939776,9.277107990744993,-1.1955622789639737,-21.00493546083873,-2.234363339508049,-1.6734276632686316,-8.394931931119963,1.4430708905759018,7.757638412921737,0.45755034183432114,5.0,7.0,-2.329116293290451
01-08,-13.201690411228675,-7.2426792364324895,6.355384724843556,7.6073550643150964,-2.290077316563527,-16.279998779296875,-0.7447940934695385,-0.5578124451407537,-6.6493542163403,-4.891926132444837,7.7183145872304335,3.331676061457029,4.0,8.0,-2.2371335160892403
01-09,-8.963327793324131,-4.57500219345095,6.752084983184452,7.037038824903756,-3.893260568179634,-14.239997863769545,0.546170339307311,-0.7121026995677517,-5.282054803310297,-1.2107832274669315,8.281686272419675,4.724021551995576,5.0,7.0,-0.9612939314382061
01-10,-13.245520853783127,-7.962318973103626,7.440645374574292,6.869307086362181,-3.937006100178051,-13.199996948242202,4.538942900562344,-5.263156827360182,-4.410259540264406,-1.8378386626372467,7.49295731665383,5.917456479066761,5.0,7.0,-1.466399062362453
01-11,-12.553646349474862,-8.811865179711214,8.979490229346512,6.350183579373869,-4.330707544556563,-11.699166861285049,6.722691544951497,-3.7735813219785634,-1.7311617268536643,-2.7027027027027026,6.028167294784351,3.7074729801163824,5.0,7.0,-1.1512355048325
01-12,-17.662711973543065,-11.914638170662412,3.257876662208018,7.213311788837908,-5.4266947501836444,-10.07843017578125,5.263160750690453,-7.247161542321923,-3.2586625096047053,-2.2162153914168075,3.550643769009608,3.7563535523253484,5.0,7.0,-2.896930665870206
01-13,-9.640688500479369,-10.626618258452647,1.2185189993372805,7.891490672982476,-5.750655954590686,-12.100633660192752,4.792930188997927,-7.068498167273117,-4.124243373031547,-12.976192882001644,3.099419151006775,3.117019007991567,5.0,7.0,-3.5140127313088114
01-14,-2.382583540448294,-10.465122009941377,2.9111912079534124,7.486308417919919,-4.376084195062941,-9.885782942969131,5.589189072979658,-9.205481124250856,0.5015064131965388,-11.976393439081088,2.0685601648435985,4.321601605470008,6.0,6.0,-2.1177575307825465
01-15,-3.634973825482192,-10.44574048870019,-2.061853744307326,5.99876476470078,-5.8900540007677655,-12.894217756327484,6.101534736088931,-6.410959322158605,3.454983507698728,-9.837955949299408,-0.24039012616926134,3.1616563994705547,4.0,8.0,-2.724933817104436
01-16,-4.054983783895598,-11.11111932536042,-2.177722014718416,7.598789639514614,-3.7395530074264762,-11.856292659319182,4.191894025681052,-5.698635153574486,2.0246906045042437,-12.042496717029776,-1.5700497419493125,4.385520569018183,4.0,8.0,-2.8374964637129643
01-17,-2.4513180040962617,-9.70087934015638,1.6246910047008507,11.007026480319757,-1.935770096431454,-12.854296681731025,4.750808491086394,-6.456953764376561,0.6509722846092638,-10.257873523881642,-2.475844569049168,3.8245791772392725,5.0,7.0,-2.0229048784805794
01-18,-4.608191545693805,-11.681064459305786,-0.5586526156394435,11.960891564319878,-2.6396849694379316,-11.057886395723138,5.01625587209549,-6.574588447389794,2.4900398500983556,-7.564467834452201,-6.4613510225335276,2.498723895294035,4.0,8.0,-2.431664675697322
01-19,-8.106370114167342,-10.24934906729905,1.35954557194856,10.810806364292853,-4.927412502372663,-13.043474217235318,9.151485761867159,-2.4429155267397205,2.5398417869500896,-8.653285131884681,-3.9251185959701758,1.3415806645624155,5.0,7.0,-2.178722083837323
01-20,-17.673891231273743,-6.44346470423023,3.9074715774924447,6.382971489140286,-6.998651421569399,-14.297450782334224,9.513272487787708,3.631581758197967,2.340634039543099,-9.398276893669198,-2.869094772086062,0.7784100413440324,6.0,6.0,-2.5938740343047764
01-21,-21.144942359253655,-8.622866567889405,5.012713325630452,4.945363618096802,-7.8209741256785925,-11.503001379253842,10.406650549974408,5.947364004034745,3.187247968526468,-9.14808692057196,-2.1364907706401226,0.5202834427346155,6.0,6.0,-2.529728267857507
01-22,-26.86965415552193,-6.247633134561821,4.1373272363098605,4.8359246517167485,-3.831088787206098,-11.786147365197646,11.281153603108203,2.3157922845137557,4.2364469720416675,-8.036219978284075,-0.5844445970422177,-1.215642395924242,5.0,7.0,-2.6470154721706494
01-23,-23.023499003108103,-7.0103905585330795,5.3043547808382785,7.602005306885902,-3.682596108088873,-9.356012215374204,10.275471339022909,2.6161227073882727,2.21327286359916,-11.098533458416235,-0.4072117082575752,-0.7928098199017313,5.0,7.0,-2.2799854894954397
01-24,-20.07998866097664,-10.467109058619926,3.438423549047895,7.48143602980431,-1.7097821399749449,-8.059942195518156,10.804904438999191,3.89883977326468,3.5341014755036246,-14.505990719458211,-0.17451296314647344,-3.9112038484891776,5.0,7.0,-2.4792353599636523
01-25,-18.549766258637028,-9.694912069384774,0.5800841061342061,6.55926032621368,-1.9289809046886586,-7.7017659969979375,11.232041797258853,4.751957522398897,1.871526710501917,-15.077095117873817,0.17452405883330563,-7.894736842105263,6.0,6.0,-2.973155222362218
01-26,-25.797538610367344,-4.841784775617787,1.618966221067354,6.041422829471702,-2.2907424358504906,-7.967147858995302,11.15468970887791,-0.48833505750195494,1.9726924024623222,-13.87778568482037,1.983664904872931,-6.107662131547033,5.0,7.0,-3.2166300406623383
01-27,-33.664311920883456,-7.17665726800287,1.8595573452185488,6.041422829471702,-1.3531185858012849,-7.834297869191084,11.998276553696789,3.34572046372374,2.2255969846719585,-13.536857093886375,1.0017683156897021,-10.155826586040813,6.0,6.0,-3.93739390261112
01-28,-35.12195494116806,-7.351700554305789,4.255430412989588,9.769791259373823,-1.0883761753299355,-8.295502545834225,11.202422398673963,3.451936384301054,4.783488085313975,-10.234899382554524,2.1549262527042528,-8.943086993495578,6.0,6.0,-2.9514604832776214
01-29,-37.26828970560215,-4.5445656484969925,4.71840423802469,10.969527013446948,3.1857693642247527,-0.9852207106110887,11.461943900027892,-5.629312109597528,4.97487331706432,-9.015482121929603,1.2124658670485677,-9.309960757294673,6.0,6.0,-2.519153946141239
01-30,-29.99024740079556,-3.5830568299170666,5.641995308284684,10.37367863186617,1.0677627302203199,-2.7914625949837824,13.19204599349967,-4.824331887869103,4.350028277383477,-10.00000108372077,1.0303285913099591,-8.926610845209257,6.0,6.0,-2.038322592494272
01-31,-34.26037097095875,-0.639279913405719,6.992013415831543,14.57204095406286,0.9445566268301193,-0.5747101237302498,13.738832457637768,-5.2105251111482325,2.3136285104774728,-10.695806070348372,-1.373782372931763,-6.462214076587841,5.0,7.0,-1.7213013895225968
02-01,-31.353620474813383,0.7738426611179297,6.5697707897788895,9.867690564533174,2.997944685010596,-0.29524084722001603,13.518123552916181,-7.473114844842832,1.906228412124881,-8.798164119294077,-0.8013812392657046,-13.09112132519148,6.0,6.0,-2.1815868487621537
02-02,-36.74111006137015,-3.0364939826227935,3.135681212452667,8.489520727644082,6.319999694824219,-1.0624734071592608,11.787729932373333,-0.41731832753086107,2.4214287328660626,-7.590567804217183,-2.9137529396622037,-16.795708999731403,5.0,7.0,-3.0335887685111245
