,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,ups,downs,avg
01-02,0.0,-14.936100776254316,1.1045767671753497,4.907233908300212,-6.338029587890848,1.5172432208883229,6.181820956143482,7.780979213266767,8.90410902979319,-9.615384968074851,6.250000846656903,-6.682571101369775,7.0,4.0,-0.07717687428046364
01-03,0.0,-14.936100776254316,2.048410782522648,6.529409745160261,-8.04829199705071,1.103447223531789,1.5267161679471672,7.780979213266767,8.90410902979319,-9.441228626509611,-0.5681812794001732,-4.7732650724070025,6.0,5.0,-0.8228329657833324
01-04,0.0,-16.329834086109017,3.0217156771807985,8.467743175955093,-5.231393156091259,-0.5571025460913389,1.3384353997340641,7.780979213266767,6.937391844293206,-10.597296875412008,-2.272725117600642,-2.863959043444189,5.0,6.0,-0.8588371261932103
01-05,0.0,-13.227513391807763,-0.3304990265137666,6.854841545040234,-6.387219165769147,-0.5571025460913389,1.3384353997340641,8.30945447164973,6.937391844293206,-10.404623427735146,5.645162272362333,-3.6057716555145065,5.0,6.0,-0.45228697336267526
01-06,0.0,-15.506713525702551,0.09443086626766639,7.085261557257834,-1.7175602389136266,-0.5571025460913389,11.504426272494808,17.312657821398716,6.937391844293206,-8.000001453218006,6.400000254313151,-8.291455329763444,6.0,5.0,1.271777960194701
01-07,0.0,-15.099719323980379,1.6525041379918985,7.696726963424242,-1.7175602389136266,-1.833563255373249,9.625667540131442,17.312657821398716,6.937391844293206,-8.000001453218006,6.400000254313151,-8.905855906001236,6.0,5.0,1.172354032005513
01-08,0.0,-15.099719323980379,1.6525041379918985,10.223463478801504,-4.580157603787615,-1.5514760833551684,9.803924735208748,17.312657821398716,7.4074082993586865,-10.958902703480007,6.400000254313151,-8.080812337848297,6.0,5.0,1.0440742228851032
01-09,0.0,-17.256816539608437,1.6525041379918985,8.900225335299771,-7.190163205529525,-1.5514760833551684,9.803924735208748,21.1822637245422,7.4074082993586865,-10.371814464252974,4.800001780192045,-3.5353501297213805,6.0,5.0,1.1533922991771555
01-10,0.0,-17.256816539608437,9.336236875511446,12.188206875970433,-8.987708518143434,-3.8081801849885766,10.33867932089889,20.987656864700455,1.8518540817300488,-10.156249854480862,5.066668192545573,-3.5353501297213805,6.0,5.0,1.3354164153678465
01-11,0.0,-17.256816539608437,9.336236875511446,7.369610442409746,-8.987708518143434,2.374302792134679,9.041590977034126,26.605505741020753,6.228954242337472,-9.179692920588561,7.7333323160807295,-1.485147112526747,7.0,4.0,2.6483473579718146
